Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
5.11757E-7,0.000051176,0.000468775,1,0,0
6.12747E-7,0.00011245,0.000561257,0.999370673,0,0
1.69352E-6,0.000281803,0.001550445,0.998741347,0,0
2.60109E-6,0.000729026,0.002380348,0.997482694,0,0
2.8745E-6,0.001016476,0.002630226,0.996853367,0,0
5.46473E-6,0.002988566,0.004994415,0.99433606,0,0
7.54253E-6,0.005640716,0.006886836,0.991818754,0,0
8.52475E-6,0.01050635,0.007780175,0.988042794,0,0
1.45842E-5,0.025289009,0.013273499,0.979861548,0,0
2.0756E-5,0.051570159,0.018837484,0.970421649,0,0
2.54896E-5,0.100118918,0.023083619,0.95720579,0,0
3.47129E-5,0.202912349,0.03130443,0.935179358,0,0
3.82706E-5,0.301801738,0.034456893,0.918187539,0.00243309,0
4.1958E-5,0.402183103,0.037713488,0.902454374,0.00243309,0
4.5586E-5,0.503654474,0.040906827,0.887979862,0.00486618,0
4.99274E-5,0.603698494,0.044714262,0.874764003,0.00486618,0
5.26976E-5,0.701545782,0.047135807,0.862806797,0.00486618,0
5.37016E-5,0.754737687,0.048011912,0.856513531,0.00486618,0
5.4343E-5,0.803443111,0.048571247,0.850849591,0.00729927,0
5.83612E-5,0.90518513,0.052067595,0.839521712,0.00729927,0
6.03018E-5,1.000246923,0.053751517,0.829452486,0.00729927,0
6.23185E-5,1.104424515,0.055498365,0.818753933,0.00729927,0
6.42415E-5,1.205635129,0.05716097,0.808684707,0.00729927,0
6.69361E-5,1.304674841,0.059485847,0.799244808,0.00729927,0
6.95895E-5,1.400138608,0.061769561,0.790434235,0.00729927,0
7.22408E-5,1.506783575,0.064045972,0.780994336,0.00729927,0
7.81079E-5,1.753107074,0.069063704,0.760226558,0.01216545,0
8.52584E-5,2.005586331,0.075142827,0.740717432,0.01216545,0
9.35791E-5,2.255719129,0.082166765,0.723096287,0.01216545,0
1.02502E-4,2.502638975,0.089639862,0.707363121,0.01459854,0
1.09735E-4,2.757765184,0.095653243,0.692259283,0.01459854,0
1.15269E-4,3.005187505,0.100226716,0.678414097,0.01459854,0
1.22711E-4,3.255128163,0.106340976,0.665198238,0.01459854,0
1.31108E-4,3.509816656,0.113190213,0.652611705,0.01703163,0
1.37183E-4,3.750955723,0.118112008,0.641283826,0.01946472,0
1.45869E-4,4.006018799,0.125102584,0.629955947,0.01946472,0
1.48609E-4,4.25693945,0.127296875,0.619257395,0.0243309,0
1.56745E-4,4.501217095,0.133777454,0.609188169,0.0243309,0
1.64554E-4,4.757896957,0.139952977,0.599118943,0.02676399,0
1.70566E-4,5.008720327,0.144677586,0.589679043,0.02919708,0
1.80665E-4,5.254971652,0.152555185,0.580868471,0.03163017,0
1.92158E-4,5.516105234,0.16143225,0.572057898,0.03406326,0
2.0354E-4,5.7550206,0.170132334,0.564505979,0.03406326,0
2.14618E-4,6.005976812,0.178512688,0.556954059,0.03892944,0
2.2406E-4,6.269278873,0.185588677,0.54940214,0.03892944,0
2.34068E-4,6.52244941,0.193022187,0.542479547,0.04379562,0
2.51854E-4,6.769129061,0.206065956,0.536186281,0.04379562,0
2.57819E-4,7.023676779,0.210393071,0.529893014,0.04379562,0
2.71876E-4,7.261868848,0.220497824,0.524229075,0.04379562,0
2.80985E-4,7.511648993,0.226976492,0.518565135,0.04379562,0
2.93623E-4,7.772148781,0.23587574,0.512901196,0.04622871,0
3.00167E-4,8.010078068,0.24044362,0.507866583,0.0486618,0
3.06604E-4,8.252626584,0.244910079,0.50283197,0.053527981,0
3.14425E-4,8.501112933,0.250301937,0.497797357,0.058394161,0
3.2218E-4,8.75749982,0.255609897,0.492762744,0.063260341,0
3.3325E-4,9.020625807,0.263121604,0.487728131,0.070559611,0
3.43199E-4,9.257990202,0.269807936,0.483322845,0.072992701,0
3.49981E-4,9.501308857,0.274331331,0.478917558,0.075425791,0
3.59933E-4,9.750422972,0.280918088,0.474512272,0.075425791,0
3.70061E-4,10.005886423,0.287560012,0.470106986,0.075425791,0
3.90535E-4,10.272798051,0.300799832,0.465701699,0.077858881,0
