x,y,species cloglog values
1.0,1.0,0.032702755
2.0,2.0,0.4094854
3.0,3.0,0.008994068
4.0,4.0,0.044578884
5.0,5.0,0.16309243
6.0,6.0,0.102216065
7.0,7.0,0.25790966
8.0,8.0,2.4614163E-4
9.0,9.0,0.058888126
10.0,10.0,0.4962807
11.0,11.0,0.11210886
12.0,12.0,0.55919874
13.0,13.0,0.14628398
14.0,14.0,0.06420413
15.0,15.0,0.39219695
16.0,16.0,0.26117986
17.0,17.0,0.6495301
18.0,18.0,0.115167916
19.0,19.0,0.019441655
20.0,20.0,0.14949878
21.0,21.0,0.2824402
22.0,22.0,0.43695438
23.0,23.0,0.0897092
24.0,24.0,0.24606118
25.0,25.0,0.058663215
26.0,26.0,0.03289587
27.0,27.0,0.19305167
28.0,28.0,0.504224
29.0,29.0,0.10860263
30.0,30.0,0.14828803
31.0,31.0,0.30989823
32.0,32.0,0.3903839
33.0,33.0,0.23537631
34.0,34.0,0.69802976
35.0,35.0,0.4855082
36.0,36.0,0.09268543
37.0,37.0,0.8986489
38.0,38.0,0.10402777
39.0,39.0,0.53356403
40.0,40.0,0.73624134
41.0,41.0,0.23950015
42.0,42.0,0.5630887
43.0,43.0,0.29195833
44.0,44.0,0.39191622
45.0,45.0,0.06113797
46.0,46.0,0.3504973
47.0,47.0,0.13018906
48.0,48.0,0.06454309
49.0,49.0,0.061743278
50.0,50.0,0.16608937
51.0,51.0,0.7354036
52.0,52.0,0.061775066
53.0,53.0,0.42791083
54.0,54.0,0.18000466
55.0,55.0,0.25906852
56.0,56.0,0.3759794
57.0,57.0,0.039964356
58.0,58.0,0.6411016
59.0,59.0,0.3596304
60.0,60.0,0.08742991
61.0,61.0,0.07262171
62.0,62.0,0.67530274
63.0,63.0,0.15205961
64.0,64.0,0.07420165
65.0,65.0,0.41906315
66.0,66.0,0.22988148
67.0,67.0,0.5091576
68.0,68.0,0.63853717
69.0,69.0,0.6743926
70.0,70.0,0.469962
71.0,71.0,0.05147265
72.0,72.0,0.08494102
73.0,73.0,0.1855804
74.0,74.0,0.21475688
75.0,75.0,0.16263972
76.0,76.0,0.6095792
77.0,77.0,0.3065501
78.0,78.0,0.79475904
79.0,79.0,0.2637297
80.0,80.0,0.45296934
81.0,81.0,0.5959181
82.0,82.0,0.055055216
83.0,83.0,0.20507973
84.0,84.0,0.24538776
85.0,85.0,0.896549
86.0,86.0,0.0066928607
87.0,87.0,0.005899124
88.0,88.0,0.13371354
89.0,89.0,0.14211547
90.0,90.0,0.5228302
91.0,91.0,0.391222
92.0,92.0,0.5837623
93.0,93.0,0.24330324
94.0,94.0,0.10622281
95.0,95.0,0.09616436
96.0,96.0,0.17634049
97.0,97.0,0.26188856
98.0,98.0,0.19163486
99.0,99.0,0.07523308
100.0,100.0,0.109497115
101.0,101.0,0.46560693
102.0,102.0,0.4159615
103.0,103.0,0.3169281
104.0,104.0,0.30199617
105.0,105.0,0.21377368
106.0,106.0,0.50369966
107.0,107.0,0.3986828
108.0,108.0,0.69346315
109.0,109.0,0.12138953
110.0,110.0,0.1899366
111.0,111.0,0.15366106
112.0,112.0,0.6585851
113.0,113.0,0.033381414
114.0,114.0,0.10044466
115.0,115.0,0.073740385
116.0,116.0,0.18710685
117.0,117.0,0.44876355
118.0,118.0,0.2753925
119.0,119.0,0.048127715
120.0,120.0,0.2294584
121.0,121.0,0.67630017
122.0,122.0,0.69741976
123.0,123.0,0.6553328
124.0,124.0,0.8662376
125.0,125.0,0.3159629
126.0,126.0,0.08486663
127.0,127.0,0.3608802
128.0,128.0,0.14647841
129.0,129.0,0.42158395
130.0,130.0,0.53843546
131.0,131.0,0.09818272
132.0,132.0,0.23168659
133.0,133.0,0.09902475
134.0,134.0,0.3265623
135.0,135.0,0.48270756
136.0,136.0,0.15739484
137.0,137.0,0.12531748
138.0,138.0,0.033894904
139.0,139.0,0.11468042
140.0,140.0,0.2340198
141.0,141.0,0.3731289
142.0,142.0,0.76696825
143.0,143.0,0.05259192
144.0,144.0,0.24639785
145.0,145.0,0.18130372
146.0,146.0,0.68034494
147.0,147.0,0.7235098
148.0,148.0,0.17281099
149.0,149.0,0.06443339
150.0,150.0,0.0013102983
151.0,151.0,0.29472443
152.0,152.0,0.15037104
153.0,153.0,0.6946008
154.0,154.0,0.084229305
155.0,155.0,0.0782301
156.0,156.0,0.12510303
157.0,157.0,0.5082618
158.0,158.0,0.14057869
159.0,159.0,0.23631597
160.0,160.0,0.11364635
161.0,161.0,0.120919906
162.0,162.0,0.18522544
163.0,163.0,0.19610062
164.0,164.0,0.13698883
165.0,165.0,0.6647777
166.0,166.0,0.42057055
167.0,167.0,0.71018875
168.0,168.0,0.07672054
169.0,169.0,0.1726097
170.0,170.0,0.28853017
171.0,171.0,0.35039756
172.0,172.0,0.1653757
173.0,173.0,0.77758694
174.0,174.0,0.0765208
175.0,175.0,0.51746744
176.0,176.0,0.22434609
177.0,177.0,0.03884523
178.0,178.0,0.32500213
179.0,179.0,0.32196805
180.0,180.0,0.07865788
181.0,181.0,0.45450258
182.0,182.0,0.048621815
183.0,183.0,0.0226768
184.0,184.0,0.25470456
185.0,185.0,0.51186895
186.0,186.0,0.16506302
187.0,187.0,0.14126131
188.0,188.0,0.016817803
189.0,189.0,0.62064725
190.0,190.0,0.030952066
191.0,191.0,0.3865212
192.0,192.0,0.17858629
193.0,193.0,0.057865933
194.0,194.0,0.16131078
195.0,195.0,0.3517674
196.0,196.0,0.2889083
197.0,197.0,0.20065536
198.0,198.0,0.06416971
199.0,199.0,0.6022564
200.0,200.0,0.8192485
201.0,201.0,0.08818122
202.0,202.0,0.32185298
203.0,203.0,0.32267267
204.0,204.0,0.61451143
205.0,205.0,0.5569596
206.0,206.0,0.09490264
207.0,207.0,0.04340678
208.0,208.0,0.845278
209.0,209.0,0.12396964
210.0,210.0,0.61499894
211.0,211.0,0.02085773
212.0,212.0,0.54921114
213.0,213.0,0.07168262
214.0,214.0,0.22880629
215.0,215.0,0.14509547
216.0,216.0,0.2708232
217.0,217.0,0.29491305
218.0,218.0,0.2593065
219.0,219.0,0.521079
220.0,220.0,0.08613906
221.0,221.0,0.060398944
222.0,222.0,0.20666768
223.0,223.0,0.17868608
224.0,224.0,0.09893347
225.0,225.0,0.12874709
226.0,226.0,0.2389742
227.0,227.0,0.17282325
228.0,228.0,0.06786048
229.0,229.0,0.6416326
230.0,230.0,0.15587533
231.0,231.0,0.2167634
232.0,232.0,0.5131778
233.0,233.0,0.104549155
234.0,234.0,0.44197705
235.0,235.0,0.061404172
236.0,236.0,0.7506765
237.0,237.0,0.08869475
238.0,238.0,0.021592554
239.0,239.0,0.255585
240.0,240.0,0.2327872
241.0,241.0,0.047309317
242.0,242.0,0.523667
243.0,243.0,0.070749976
244.0,244.0,0.26344734
