Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
4.01273E-9,0.000000401,0.000128161,1,0,0
5.34369E-9,0.000001353,0.000170666,0.999961515,0,0
7.40812E-9,0.000002829,0.000236591,0.99992303,0,0
1.48199E-8,0.00001124,0.000473245,0.999769089,0,0
2.09345E-8,0.000025726,0.000668436,0.999615148,0,0
3.48807E-8,0.000050335,0.001113488,0.999441964,0,0
4.49302E-8,0.000102526,0.001434066,0.99919181,0,0
6.59302E-8,0.000254433,0.002103632,0.998691502,0,0
9.03317E-8,0.000505258,0.002881084,0.998075739,0.000074272,0
1.22071E-7,0.001009609,0.003891437,0.997171336,0.000074272,0
1.63776E-7,0.002510046,0.00521742,0.995170105,0.000074272,0
2.05085E-7,0.005001932,0.006529128,0.992572352,0.000074272,0
2.6719E-7,0.010016414,0.008497889,0.988454433,0.000074272,0
4.00062E-7,0.025028034,0.012696899,0.979814501,0.000297089,0
5.41726E-7,0.050027263,0.017154165,0.969615917,0.000668449,0
7.05369E-7,0.100001147,0.022277961,0.954183344,0.000891266,0
9.50963E-7,0.200046209,0.029917614,0.930957512,0.001782531,0
1.15015E-6,0.300008983,0.036069936,0.912600062,0.002302436,0
1.33022E-6,0.40010678,0.041597861,0.897090517,0.002822341,0
1.49942E-6,0.500032308,0.04676363,0.883505234,0.002970885,0
1.66916E-6,0.600121996,0.051917664,0.871343904,0.003416518,0
1.81641E-6,0.700105351,0.056366131,0.860317888,0.004307784,0
1.89067E-6,0.750017911,0.058601636,0.855141626,0.004456328,0
1.95759E-6,0.800033308,0.060611753,0.850138547,0.004827689,0
2.07832E-6,0.90018665,0.064227244,0.840594212,0.005347594,0
2.20697E-6,1.000216507,0.068064687,0.831607913,0.006090315,0
2.32746E-6,1.100067642,0.071644269,0.823141164,0.006981581,0
2.44645E-6,1.200122658,0.075165919,0.81507851,0.007575758,0
2.54772E-6,1.300055224,0.07815244,0.807381466,0.007947118,0
2.64861E-6,1.40002963,0.08111854,0.79997306,0.008392751,0
2.7633E-6,1.500134009,0.084478268,0.792853294,0.008986928,0
2.99185E-6,1.750016221,0.091137305,0.776150708,0.011437908,0
3.2285E-6,2.000280013,0.097981394,0.760641164,0.013740345,0
3.45462E-6,2.250067976,0.104472435,0.746247691,0.015745692,0
3.68949E-6,2.500111304,0.111165595,0.732777863,0.017453951,0
3.93205E-6,2.750258909,0.118025155,0.720135468,0.018865122,0
4.15368E-6,3.000140836,0.124246624,0.708243534,0.020721925,0
4.36481E-6,3.250011555,0.130132468,0.696948122,0.023172906,0
4.59012E-6,3.500144265,0.136370105,0.686191502,0.024881165,0
4.80221E-6,3.750064402,0.142200656,0.675954433,0.026663696,0
5.01861E-6,4.000416855,0.148109305,0.666140702,0.028446227,0
5.26955E-6,4.250422306,0.154910002,0.656788793,0.030822935,0
5.51226E-6,4.500048035,0.161436179,0.647879464,0.032456922,0
5.74824E-6,4.750402802,0.167732776,0.639335745,0.033645276,0
5.99835E-6,5.000488236,0.174355217,0.631138393,0.035427807,0
6.22065E-6,5.250446576,0.180196767,0.623268165,0.036319073,0
6.46491E-6,5.500039641,0.18656781,0.615686576,0.037581699,0
6.69657E-6,5.750095721,0.192564533,0.608374384,0.039438503,0
6.92159E-6,6.000647323,0.19834684,0.601293103,0.040701129,0
7.14626E-6,6.250379493,0.20407903,0.594461977,0.042855021,0
7.37077E-6,6.500123244,0.209766098,0.587842518,0.044637552,0
7.60184E-6,6.750122403,0.215576892,0.581415486,0.046420083,0
7.85256E-6,7.000573208,0.221833658,0.575180881,0.048202614,0
8.09579E-6,7.250306714,0.227855644,0.569157943,0.050059418,0
8.3325E-6,7.500132476,0.233671634,0.56330819,0.05221331,0
8.57821E-6,7.750595336,0.23966235,0.557612377,0.053995841,0
8.83483E-6,8.000619964,0.245868917,0.552089748,0.056966726,0
9.09434E-6,8.250820542,0.252094055,0.546721059,0.05919489,0
9.34422E-6,8.500666221,0.258039509,0.541506312,0.061497326,0
9.62183E-6,8.750068764,0.264589544,0.536445505,0.06372549,0
9.87485E-6,9.000445353,0.270508871,0.531500154,0.065879382,0
1.01313E-5,9.250680836,0.276459926,0.526689501,0.067959002,0
1.03835E-5,9.500957006,0.28226417,0.521994304,0.069741533,0
1.06562E-5,9.750173235,0.288488792,0.517433805,0.072192513,0
1.09106E-5,10.000418991,0.294247061,0.51296952,0.074420677,0
1.11642E-5,10.250960959,0.299940096,0.508601447,0.077243018,0
1.14126E-5,10.500500225,0.305473386,0.50434883,0.079322638,0
1.165E-5,10.750743728,0.31071882,0.500173183,0.081105169,0
1.18845E-5,11.000157973,0.31586296,0.49609375,0.083184789,0
1.21118E-5,11.250993932,0.320811086,0.492072044,0.085710042,0
1.23238E-5,11.500346547,0.325395396,0.488146552,0.087789661,0
1.24953E-5,11.751089252,0.329079896,0.484259544,0.090463458,0
1.27376E-5,12.000943863,0.334252857,0.480449507,0.093508616,0
1.29607E-5,12.250055281,0.338980762,0.476716441,0.095662507,0
1.31971E-5,12.501123379,0.343951815,0.47302186,0.097519311,0
1.34149E-5,12.751113589,0.348500863,0.469404249,0.099673203,0
1.36412E-5,13.000157071,0.353193421,0.465863608,0.102124183,0
1.3885E-5,13.250668215,0.35821037,0.462361453,0.104426619,0
1.40874E-5,13.500850088,0.362344852,0.458917026,0.106357695,0
1.43026E-5,13.750754578,0.366713873,0.455530326,0.109031491,0
1.45068E-5,14.001349051,0.370830757,0.452182112,0.111259655,0
1.47162E-5,14.251219093,0.375024291,0.448891626,0.114601901,0
1.489E-5,14.500040604,0.378483911,0.445658867,0.117647059,0
1.51029E-5,14.750466205,0.382696794,0.442445351,0.119503862,0
1.53407E-5,15.000217575,0.387366755,0.439289563,0.122697564,0
1.55195E-5,15.250114956,0.390856828,0.43617226,0.125742721,0
1.57114E-5,15.500085044,0.394578576,0.433093442,0.128416518,0
1.59135E-5,15.751566829,0.398473892,0.430033867,0.130867499,0
1.61291E-5,16.001388738,0.402602398,0.42703202,0.132872846,0
1.63251E-5,16.251378024,0.406331139,0.424068658,0.135175282,0
1.65084E-5,16.500885525,0.409796327,0.421143781,0.137403446,0
1.66846E-5,16.751505903,0.413107892,0.418238147,0.140151515,0
1.68818E-5,17.001571642,0.416793392,0.415370998,0.142602496,0
1.70502E-5,17.251000002,0.419922787,0.412542334,0.145350564,0
1.72639E-5,17.501351761,0.423866944,0.409732913,0.148767083,0
1.74802E-5,17.751610553,0.427833685,0.406961977,0.151663696,0
1.76623E-5,18.001150392,0.431152475,0.404229526,0.154040404,0
1.78437E-5,18.251378801,0.434439286,0.401516318,0.156268568,0
1.80172E-5,18.500551357,0.43756456,0.398841595,0.158942365,0
1.82251E-5,18.750576691,0.441286671,0.396186115,0.161764706,0
1.83864E-5,19.001293418,0.444157765,0.393549877,0.164141414,0
1.85653E-5,19.250726554,0.447325217,0.390952124,0.166592395,0
1.87684E-5,19.500749118,0.450898906,0.388373615,0.169043375,0
1.8927E-5,19.751405891,0.453672884,0.385814347,0.171791444,0
1.91116E-5,20.00055365,0.45688612,0.383293565,0.17409388,0
1.92843E-5,20.250147563,0.459872726,0.380792026,0.176470588,0
1.94806E-5,20.500037382,0.463248372,0.378309729,0.179218657,0
1.96598E-5,20.7504721,0.466312761,0.375846675,0.181446821,0
1.98498E-5,21.001311728,0.469541433,0.373402863,0.184120618,0
2.00253E-5,21.250489961,0.472505824,0.370997537,0.186348782,0
2.02369E-5,21.500231908,0.47606045,0.368611453,0.188799762,0
2.04445E-5,21.750362185,0.479522509,0.366244612,0.191027926,0
2.06264E-5,22.000960734,0.482537474,0.363897014,0.194147356,0
2.08268E-5,22.251760099,0.485838821,0.361568658,0.197192513,0
2.10165E-5,22.500882203,0.488944727,0.359278787,0.19986631,0
2.12293E-5,22.750095699,0.492407343,0.357008159,0.202020202,0
2.14294E-5,23.001703327,0.495640702,0.354737531,0.204174094,0
2.16468E-5,23.251451908,0.499130427,0.352505388,0.206922163,0
2.18372E-5,23.501595522,0.502167527,0.350292488,0.208853238,0
2.20268E-5,23.751650282,0.505172995,0.34809883,0.211898396,0
2.22306E-5,24.001702672,0.508383929,0.345924415,0.214646465,0
2.24452E-5,24.251966359,0.511741914,0.343769243,0.217691622,0
2.26591E-5,24.502247981,0.515066557,0.341633313,0.22110814,0
2.2843E-5,24.750195199,0.517907016,0.339535868,0.224079026,0
2.30338E-5,25.000117683,0.520835511,0.337438424,0.226975639,0
2.32065E-5,25.252163277,0.52347123,0.335340979,0.228906714,0
2.33961E-5,25.501542722,0.526348125,0.33328202,0.23120915,0
2.35892E-5,25.750609226,0.529260875,0.331242303,0.233585859,0
2.37859E-5,26.001715023,0.532209679,0.329202586,0.2364082,0
2.3995E-5,26.250188822,0.535323404,0.327201355,0.23885918,0
2.42032E-5,26.500771508,0.538403475,0.325200123,0.24131016,0
2.44313E-5,26.751252064,0.541754507,0.323218134,0.243612597,0
2.4629E-5,27.001390347,0.544638692,0.321255388,0.246212121,0
2.48291E-5,27.25107612,0.547539438,0.319311884,0.249405823,0
2.50623E-5,27.500594189,0.550897125,0.317387623,0.252005348,0
2.52957E-5,27.752356959,0.554232902,0.315463362,0.2545306,0
2.54993E-5,28.001223056,0.557122115,0.313577586,0.257501485,0
2.57104E-5,28.252272422,0.560098661,0.31169181,0.26010101,0
2.59062E-5,28.500024333,0.562841255,0.30984452,0.263294712,0
2.60866E-5,28.752314911,0.565351874,0.307977986,0.265597148,0
2.63132E-5,29.001154753,0.568487626,0.306149938,0.267453951,0
2.65328E-5,29.25211443,0.571503162,0.30432189,0.270276292,0
2.66925E-5,29.502323572,0.573683652,0.302513085,0.272875817,0
2.68679E-5,29.7514424,0.576064403,0.300723522,0.275549614,0
2.70334E-5,30.002107118,0.578299858,0.298933959,0.278074866,0
2.71884E-5,30.251594298,0.58038228,0.297163639,0.280451575,0
2.73276E-5,30.502290871,0.582244399,0.295393319,0.282828283,0
2.7541E-5,30.752015192,0.585081789,0.293642241,0.285279263,0
2.77249E-5,31.000688473,0.587511549,0.291910406,0.287507427,0
2.7937E-5,31.251238608,0.590297364,0.290178571,0.289884135,0
2.81086E-5,31.500622746,0.592536221,0.288465979,0.293300654,0
2.82854E-5,31.751648054,0.59483104,0.286753387,0.295454545,0
2.84499E-5,32.001343831,0.596954742,0.285060037,0.298128342,0
2.86347E-5,32.252613938,0.599325837,0.283366687,0.301099228,0
2.88054E-5,32.502467539,0.601504734,0.28169258,0.303773024,0
2.89551E-5,32.75086616,0.603405322,0.280037716,0.306521093,0
2.90935E-5,33.000443456,0.605154759,0.278382851,0.309417706,0
2.92455E-5,33.251384277,0.607067331,0.276727986,0.311720143,0
2.94107E-5,33.500738495,0.609135065,0.275092365,0.314319667,0
2.95592E-5,33.751381799,0.610984881,0.273456743,0.317067736,0
2.97259E-5,34.000426881,0.613050076,0.271840363,0.319667261,0
2.98643E-5,34.250697028,0.614757537,0.270223984,0.323306595,0
3.00038E-5,34.502185099,0.616470356,0.268607605,0.325609031,0
3.01752E-5,34.751993782,0.618563346,0.267010468,0.327911468,0
3.03408E-5,35.00001495,0.62057641,0.265432574,0.330956625,0
3.04714E-5,35.252384292,0.62215586,0.263835437,0.334001783,0
3.06178E-5,35.502800613,0.623918048,0.262257543,0.336898396,0
3.076E-5,35.751413992,0.62562252,0.260698892,0.339795009,0
3.09423E-5,36.001377338,0.627796295,0.25914024,0.342394534,0
3.10771E-5,36.252597795,0.629395799,0.257581589,0.344771242,0
3.11967E-5,36.501710408,0.630808588,0.25604218,0.347742127,0
3.13532E-5,36.751938913,0.63264903,0.254502771,0.349970291,0
3.14776E-5,37.000161599,0.634106073,0.252982605,0.352644088,0
3.15965E-5,37.252379543,0.6354928,0.251443196,0.355614973,0
3.17421E-5,37.502581191,0.637184434,0.24992303,0.359180036,0
3.18872E-5,37.750703482,0.638861525,0.248422106,0.362076649,0
3.20411E-5,38.000059043,0.640632605,0.246921182,0.364156269,0
3.21756E-5,38.250498652,0.642173618,0.245420259,0.367052882,0
3.23045E-5,38.502032317,0.643643248,0.243919335,0.369652406,0
3.245E-5,38.751313423,0.645296065,0.242437654,0.372251931,0
3.26107E-5,39.001768522,0.647111551,0.240955973,0.375148544,0
3.27692E-5,39.250231194,0.648893764,0.239493534,0.377599525,0
3.29059E-5,39.503054547,0.650423159,0.238011853,0.379827689,0
3.30684E-5,39.75050383,0.652232532,0.236568658,0.382055853,0
3.32248E-5,40.002410558,0.653965584,0.235106219,0.384432561,0
3.33745E-5,40.252215124,0.655616122,0.233663023,0.386660725,0
3.35074E-5,40.503017444,0.65707498,0.232219828,0.38963161,0
3.36421E-5,40.751485207,0.658547423,0.230795874,0.392453951,0
3.38125E-5,41.001082732,0.660401233,0.229371921,0.395053476,0
3.39422E-5,41.251807801,0.66180496,0.227947968,0.397430184,0
3.40685E-5,41.500052091,0.663166291,0.226543257,0.400103981,0
3.4228E-5,41.752699733,0.664877651,0.225119304,0.402629234,0
3.43792E-5,42.003180468,0.666492839,0.223714594,0.405154486,0
3.45073E-5,42.251154292,0.66785421,0.222329126,0.408125371,0
3.46367E-5,42.500114546,0.669224349,0.220943658,0.410650624,0
3.4806E-5,42.750144528,0.671008001,0.21955819,0.413621509,0
3.49566E-5,43.001291045,0.672587284,0.218172722,0.416369578,0
3.50992E-5,43.253488443,0.674075068,0.216787254,0.418969103,0
3.52448E-5,43.503169388,0.675586833,0.215421028,0.421420083,0
3.53746E-5,43.75032579,0.676928644,0.214074046,0.423722519,0
3.55487E-5,44.002133233,0.678721035,0.21270782,0.42654486,0
3.56691E-5,44.251436327,0.67995409,0.211360837,0.429218657,0
3.58242E-5,44.501637602,0.681535177,0.210013855,0.431818182,0
3.59473E-5,44.752832254,0.682785096,0.208666872,0.434863339,0
3.60816E-5,45.00137812,0.684142955,0.207339132,0.437982769,0
3.61919E-5,45.250705489,0.685253562,0.206011392,0.441027926,0
3.63214E-5,45.500902545,0.686552848,0.204683651,0.443553179,0
3.64784E-5,45.752052317,0.688121283,0.203355911,0.446226976,0
