x,y,species cloglog values
1.0,1.0,0.37207776
2.0,2.0,0.06008046
3.0,3.0,0.050844185
4.0,4.0,0.017473402
5.0,5.0,0.031542394
6.0,6.0,0.25598398
7.0,7.0,0.15233378
8.0,8.0,0.68722296
9.0,9.0,0.04451835
10.0,10.0,0.2064702
11.0,11.0,0.044938482
12.0,12.0,0.03468512
13.0,13.0,0.7577161
14.0,14.0,0.019526148
15.0,15.0,0.041694723
16.0,16.0,0.036057536
17.0,17.0,0.13086066
18.0,18.0,0.008684602
19.0,19.0,0.66989946
20.0,20.0,0.03390142
21.0,21.0,0.27242395
22.0,22.0,0.036578212
23.0,23.0,0.40900874
24.0,24.0,0.6066135
25.0,25.0,0.43603012
26.0,26.0,0.023713408
27.0,27.0,0.35901725
28.0,28.0,0.11851877
29.0,29.0,0.51750296
30.0,30.0,0.09792268
31.0,31.0,0.15880956
32.0,32.0,0.018464241
33.0,33.0,0.01275032
34.0,34.0,0.051229034
35.0,35.0,0.04458043
36.0,36.0,0.44403762
37.0,37.0,0.12640528
38.0,38.0,0.2545328
39.0,39.0,0.45180833
40.0,40.0,0.14630924
41.0,41.0,0.45693898
42.0,42.0,0.12956743
43.0,43.0,0.24870303
44.0,44.0,0.10189473
45.0,45.0,0.39274842
46.0,46.0,0.037547212
47.0,47.0,0.017940486
48.0,48.0,0.45743176
49.0,49.0,0.46183056
50.0,50.0,0.5378791
51.0,51.0,0.17691405
52.0,52.0,0.27457032
53.0,53.0,0.727078
54.0,54.0,0.65167576
55.0,55.0,0.34762964
56.0,56.0,0.0673667
57.0,57.0,0.03059952
58.0,58.0,0.05568055
59.0,59.0,0.034798797
60.0,60.0,0.0033010696
61.0,61.0,0.019703936
62.0,62.0,0.16375358
63.0,63.0,0.7182709
64.0,64.0,0.13139917
65.0,65.0,0.099761136
66.0,66.0,0.7119436
67.0,67.0,0.07201012
68.0,68.0,0.1870156
69.0,69.0,0.027831078
70.0,70.0,0.049588587
71.0,71.0,0.0075357356
72.0,72.0,0.15220042
73.0,73.0,0.56531924
74.0,74.0,0.24431626
75.0,75.0,0.04388343
76.0,76.0,0.08041964
77.0,77.0,0.048908126
78.0,78.0,0.121055864
79.0,79.0,0.71115285
80.0,80.0,0.4607431
81.0,81.0,0.28842503
82.0,82.0,0.6980346
83.0,83.0,0.028137155
84.0,84.0,0.37456354
85.0,85.0,0.044972204
86.0,86.0,0.022025105
87.0,87.0,0.015289852
88.0,88.0,0.66383725
89.0,89.0,0.12441763
90.0,90.0,0.04703639
91.0,91.0,0.1487114
92.0,92.0,0.0035309927
93.0,93.0,0.5503319
94.0,94.0,0.047562473
95.0,95.0,0.15560748
96.0,96.0,0.11952843
97.0,97.0,0.121963106
98.0,98.0,0.015457507
99.0,99.0,0.40220353
100.0,100.0,0.04040318
101.0,101.0,0.25540704
102.0,102.0,0.10719174
103.0,103.0,0.12527885
104.0,104.0,0.017604962
105.0,105.0,0.14601599
106.0,106.0,0.10182208
107.0,107.0,0.41508013
108.0,108.0,0.02051541
109.0,109.0,0.19911423
110.0,110.0,0.04070807
111.0,111.0,0.16538693
112.0,112.0,0.12661983
113.0,113.0,0.0039091664
114.0,114.0,0.253262
115.0,115.0,0.23600519
116.0,116.0,0.38930574
117.0,117.0,0.079824954
118.0,118.0,0.24098094
119.0,119.0,0.029076459
120.0,120.0,0.80242676
121.0,121.0,0.11976134
122.0,122.0,0.15232922
123.0,123.0,0.31462443
124.0,124.0,0.036337513
125.0,125.0,0.3498816
126.0,126.0,0.055960853
127.0,127.0,0.2027058
128.0,128.0,0.03452188
129.0,129.0,0.3540242
130.0,130.0,0.035673928
131.0,131.0,0.48602763
132.0,132.0,0.739941
133.0,133.0,0.5494017
134.0,134.0,0.12128592
135.0,135.0,0.54427904
136.0,136.0,0.1458699
137.0,137.0,0.70209795
138.0,138.0,0.3730987
139.0,139.0,0.65026546
140.0,140.0,0.36648595
141.0,141.0,0.4101042
142.0,142.0,0.099126175
143.0,143.0,0.03935876
144.0,144.0,0.13284628
145.0,145.0,0.021879796
146.0,146.0,0.28663647
147.0,147.0,0.030506253
148.0,148.0,0.39956576
149.0,149.0,0.020185607
150.0,150.0,0.695515
151.0,151.0,0.028567798
152.0,152.0,0.47377992
153.0,153.0,0.04189425
154.0,154.0,0.039034687
155.0,155.0,0.03842628
156.0,156.0,0.36068323
157.0,157.0,0.110172175
158.0,158.0,0.7179232
159.0,159.0,0.71493024
160.0,160.0,0.36871663
161.0,161.0,0.6862338
162.0,162.0,0.67898434
163.0,163.0,0.08475579
164.0,164.0,0.6092732
165.0,165.0,0.16035388
166.0,166.0,0.09540067
167.0,167.0,0.015784888
168.0,168.0,0.87796307
169.0,169.0,0.02552129
170.0,170.0,0.08478868
171.0,171.0,0.0972408
172.0,172.0,0.24442291
173.0,173.0,0.011160342
174.0,174.0,0.5770296
175.0,175.0,0.14466773
176.0,176.0,0.25681463
177.0,177.0,0.019518651
178.0,178.0,0.09841952
179.0,179.0,0.8268111
180.0,180.0,0.46635705
181.0,181.0,0.41443908
182.0,182.0,0.03964827
183.0,183.0,0.019794766
184.0,184.0,0.6388523
185.0,185.0,0.32595855
186.0,186.0,0.38440177
187.0,187.0,0.17500599
188.0,188.0,0.0071488824
189.0,189.0,0.35266048
190.0,190.0,0.0216627
191.0,191.0,0.013511893
192.0,192.0,0.22958498
193.0,193.0,0.5962444
194.0,194.0,0.30409136
195.0,195.0,0.012953588
196.0,196.0,0.055999815
197.0,197.0,0.0807773
198.0,198.0,0.39455122
199.0,199.0,0.17841655
200.0,200.0,0.025662301
201.0,201.0,0.20311005
202.0,202.0,0.4907453
203.0,203.0,0.81963825
204.0,204.0,0.15707172
205.0,205.0,0.052340817
206.0,206.0,0.48177487
207.0,207.0,0.04421619
208.0,208.0,0.008556271
209.0,209.0,0.32755965
210.0,210.0,0.088494055
211.0,211.0,0.022359772
212.0,212.0,0.058995213
213.0,213.0,0.58210933
214.0,214.0,0.15030429
215.0,215.0,0.36409923
216.0,216.0,0.0625168
217.0,217.0,0.8426806
218.0,218.0,0.3303025
219.0,219.0,0.15643123
220.0,220.0,0.044135325
221.0,221.0,0.034178883
222.0,222.0,0.68677187
223.0,223.0,0.71134984
224.0,224.0,0.34061646
225.0,225.0,0.73018324
226.0,226.0,0.026097424
227.0,227.0,0.82219815
228.0,228.0,0.017672086
229.0,229.0,0.042945202
230.0,230.0,0.6666962
231.0,231.0,0.75135785
232.0,232.0,0.48927647
233.0,233.0,0.030444639
234.0,234.0,0.09295896
235.0,235.0,0.7691977
236.0,236.0,0.2741998
237.0,237.0,0.3948123
238.0,238.0,0.021748416
239.0,239.0,0.6000422
240.0,240.0,0.1187809
241.0,241.0,0.027391313
242.0,242.0,0.0400842
243.0,243.0,0.6314211
244.0,244.0,0.31091136
245.0,245.0,0.3562639
246.0,246.0,0.20754991
247.0,247.0,0.044181347
248.0,248.0,0.2582805
