Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.18751E-7,0.000021875,0.001912596,1,0,0
2.61405E-7,0.000048016,0.002285097,0.999935421,0,0
2.7977E-7,0.000075993,0.002445439,0.999870843,0,0
2.92478E-7,0.00010524,0.002556379,0.999806264,0,0
3.12582E-7,0.000256275,0.002731859,0.999483371,0,0
3.48276E-7,0.000526195,0.003043338,0.998966742,0,0
3.74881E-7,0.00103718,0.003275434,0.998062641,0,0
4.04182E-7,0.002520543,0.003530993,0.995608654,0,0
4.75634E-7,0.005019671,0.004153909,0.991927672,0.000249813,0
5.82254E-7,0.010048183,0.0050827,0.985792703,0.000499625,0
9.46609E-7,0.025056885,0.00825013,0.973135292,0.000999251,0
1.3269E-6,0.050130704,0.011545359,0.958992573,0.001249063,0
1.72933E-6,0.100014233,0.015020436,0.938004521,0.001498876,0
2.36367E-6,0.200029324,0.02047346,0.906167259,0.002747939,0
2.93677E-6,0.300139816,0.025373987,0.88169196,0.002747939,0
3.36376E-6,0.400173163,0.029009209,0.861091379,0.00374719,0
3.71038E-6,0.500017046,0.031950275,0.842880207,0.005745691,0
4.01758E-6,0.60015073,0.034549349,0.826154343,0.006744941,0
4.32573E-6,0.70030159,0.037149476,0.810655473,0.006994754,0
4.48141E-6,0.750022952,0.038460451,0.803358088,0.007244567,0
4.64724E-6,0.800275462,0.039854844,0.79625444,0.007244567,0
4.93604E-6,0.900150899,0.042278505,0.782822086,0.007244567,0
5.23616E-6,1.000461729,0.044790748,0.770100097,0.007494379,0
5.52743E-6,1.100371467,0.047222508,0.758088473,0.008243817,0
5.89514E-6,1.200184871,0.050283695,0.746787213,0.009243068,0
6.38933E-6,1.300500593,0.054382328,0.736196319,0.009243068,0
6.96316E-6,1.400240184,0.059119203,0.726509525,0.009992506,0
7.58027E-6,1.500419282,0.064186922,0.717597675,0.011991007,0
9.19201E-6,1.750463261,0.077294202,0.698288666,0.018236323,0
1.04211E-5,2.000504246,0.087165786,0.681821117,0.021483887,0
1.14865E-5,2.250905992,0.095637866,0.667097191,0.025980515,0
1.25644E-5,2.50080962,0.104128673,0.653664837,0.027729203,0
1.35009E-5,2.751317689,0.111441333,0.641265741,0.029727704,0
1.4491E-5,3.001370461,0.119107051,0.629706167,0.031726205,0
1.53377E-5,3.250060434,0.125610779,0.618921537,0.033474894,0
1.63367E-5,3.500717381,0.133221723,0.608718114,0.034224332,0
1.7248E-5,3.750720985,0.14010706,0.599095899,0.036972271,0
1.81577E-5,4.000187613,0.14692587,0.589990313,0.038471147,0
1.90059E-5,4.25126436,0.15323527,0.581272199,0.039970022,0
1.99346E-5,4.500603817,0.160089534,0.573006135,0.041219086,0
2.11878E-5,4.750887884,0.169250506,0.565127543,0.043467399,0
2.24044E-5,5.001559421,0.178048897,0.557701001,0.045715713,0
2.347E-5,5.251374338,0.185678395,0.550661931,0.048963278,0
2.47266E-5,5.502057857,0.194584694,0.543945754,0.052210842,0
2.58323E-5,5.752324053,0.202341257,0.53755247,0.052710467,0
2.68951E-5,6.002545948,0.209725673,0.531417501,0.055458406,0
2.79732E-5,6.25251063,0.217147317,0.525540846,0.058206345,0
2.92114E-5,6.501629977,0.225584241,0.519922506,0.061204097,0
3.03323E-5,6.751509263,0.233143937,0.514497901,0.064451661,0
3.13129E-5,7.001317474,0.239697016,0.509267033,0.066699975,0
3.21699E-5,7.251705545,0.245377803,0.504165321,0.067949038,0
3.30888E-5,7.503157306,0.251422538,0.499192767,0.069447914,0
3.39123E-5,7.750872484,0.256797643,0.494413949,0.07094679,0
3.46431E-5,8.000769783,0.261536109,0.489699709,0.072695478,0
3.56868E-5,8.250031184,0.268250246,0.485114627,0.075193605,0
3.66423E-5,8.502999149,0.274343984,0.480594123,0.077691731,0
3.77053E-5,8.752171393,0.281063309,0.476267356,0.080189858,0
3.88569E-5,9.001107832,0.288272574,0.472069745,0.082438171,0
3.9784E-5,9.252781253,0.294023932,0.467936713,0.08418686,0
4.09357E-5,9.502791608,0.301104198,0.463932838,0.086934799,0
4.21763E-5,9.75226314,0.308651192,0.460058121,0.0889333,0
4.35598E-5,10.001078062,0.316971004,0.456312561,0.090432176,0
4.47491E-5,10.253154095,0.324043706,0.452631579,0.093429928,0
4.57746E-5,10.502051074,0.33008292,0.449079755,0.096677492,0
4.70742E-5,10.753067119,0.337659271,0.445592509,0.097926555,0
4.79503E-5,11.004633147,0.342717997,0.442169842,0.100674494,0
4.89316E-5,11.252115,0.348338462,0.438876332,0.102922808,0
4.99128E-5,11.503989688,0.353910753,0.435582822,0.104671496,0
5.05524E-5,11.754950723,0.357517023,0.432353891,0.106420185,0
5.12973E-5,12.004595656,0.361691839,0.429189538,0.107669248,0
5.23123E-5,12.253535343,0.367336687,0.426089764,0.109667749,0
5.31526E-5,12.501338399,0.3719724,0.423054569,0.111916063,0
5.38684E-5,12.752516676,0.375893939,0.420019374,0.115913065,0
5.46447E-5,13.002021459,0.380119634,0.417048757,0.117162128,0
5.54189E-5,13.255155625,0.384305614,0.41407814,0.11916063,0
5.59516E-5,13.500132568,0.387169402,0.411236681,0.121159131,0
5.6672E-5,13.753436895,0.391020838,0.408330643,0.123407444,0
5.73561E-5,14.004315651,0.394656075,0.405489183,0.127654259,0
5.81931E-5,14.252673741,0.39907389,0.402712302,0.129902573,0
5.88415E-5,14.50429917,0.40247437,0.399935421,0.131901074,0
5.97259E-5,14.753268619,0.407080963,0.397223119,0.134649013,0
6.05024E-5,15.005582228,0.411096825,0.394510817,0.13714714,0
6.10342E-5,15.254802166,0.413831136,0.391863093,0.139145641,0
6.16097E-5,15.500060084,0.41677608,0.389279948,0.140644517,0
6.23933E-5,15.754246828,0.420761947,0.386632225,0.142643018,0
6.32692E-5,16.005816818,0.425185047,0.38404908,0.144641519,0
6.40115E-5,16.254201716,0.428907401,0.381530513,0.147389458,0
6.4672E-5,16.505234163,0.432199089,0.379011947,0.149387959,0
6.53158E-5,16.752318209,0.435389275,0.376557959,0.151636273,0
6.59135E-5,17.001513651,0.438334874,0.374103972,0.154134399,0
6.68338E-5,17.253564116,0.442840205,0.371649984,0.1561329,0
6.73797E-5,17.501785585,0.445495544,0.369260575,0.157381964,0
6.81903E-5,17.753062097,0.449415358,0.366871166,0.159130652,0
6.90492E-5,18.000257109,0.45353838,0.364546335,0.160629528,0
6.96369E-5,18.256801214,0.456342252,0.362156926,0.161628778,0
7.00923E-5,18.501394468,0.458504529,0.359896674,0.164376717,0
7.08268E-5,18.75531088,0.461974185,0.357571844,0.165375968,0
7.15053E-5,19.004515119,0.465159436,0.355311592,0.167374469,0
7.20398E-5,19.255814067,0.46765547,0.35305134,0.170372221,0
7.2813E-5,19.5021823,0.471245453,0.350855667,0.171871097,0
7.34593E-5,19.750724217,0.474227907,0.348659994,0.173869598,0
7.42016E-5,20.001812034,0.477632442,0.34646432,0.176367724,0
7.49112E-5,20.255464614,0.480866352,0.344268647,0.178616038,0
7.53852E-5,20.503375116,0.483015343,0.342137552,0.180614539,0
7.61601E-5,20.7534741,0.48650915,0.340006458,0.182363228,0
7.66929E-5,21.005741844,0.488898317,0.337875363,0.184861354,0
7.72666E-5,21.251978909,0.491457728,0.335808847,0.186859855,0
7.78269E-5,21.500072085,0.493945185,0.333742331,0.190357232,0
7.86722E-5,21.75063538,0.497675402,0.331675815,0.193354984,0
7.96607E-5,22.004050382,0.502002263,0.329609299,0.195353485,0
8.04212E-5,22.252374902,0.50530556,0.327607362,0.197351986,0
8.13777E-5,22.502981954,0.509429395,0.325605425,0.198850862,0
8.21873E-5,22.756512149,0.512892713,0.323603487,0.20059955,0
8.27715E-5,23.004057627,0.515376885,0.321666129,0.202098426,0
8.32242E-5,23.252917611,0.517293232,0.31972877,0.204846365,0
8.40669E-5,23.503823079,0.520839958,0.317791411,0.206844866,0
8.47688E-5,23.757243688,0.523774235,0.315854052,0.209842618,0
8.5728E-5,24.004488059,0.527755209,0.313981272,0.211341494,0
8.65671E-5,24.25432965,0.531210617,0.312108492,0.213339995,0
8.72048E-5,24.506365362,0.533819576,0.310235712,0.215588309,0
8.77488E-5,24.751367906,0.53603357,0.30842751,0.217836623,0
8.86251E-5,25.007335001,0.539578006,0.30655473,0.220584562,0
8.93931E-5,25.256591908,0.542662548,0.304746529,0.222583063,0
9.00786E-5,25.507874729,0.545397937,0.302938327,0.224331751,0
9.09054E-5,25.752172181,0.548675595,0.301194705,0.227579316,0
9.17877E-5,26.007997135,0.552146973,0.299386503,0.229328004,0
9.25211E-5,26.256864685,0.555012236,0.29764288,0.231576318,0
9.32833E-5,26.507815716,0.557970631,0.295899257,0.232575568,0
9.38918E-5,26.751256894,0.560318375,0.294220213,0.235823133,0
9.4675E-5,27.005632846,0.563321753,0.29247659,0.237072196,0
9.5346E-5,27.252733333,0.565878527,0.290797546,0.239070697,0
9.6064E-5,27.501571702,0.568597831,0.289118502,0.239570322,0
9.68532E-5,27.752447497,0.571567173,0.287439458,0.240569573,0
9.777E-5,28.005461432,0.574991095,0.285760413,0.242817887,0
9.83054E-5,28.250545977,0.576977715,0.284145948,0.244316762,0
9.91849E-5,28.5072937,0.580221149,0.282466903,0.246814889,0
9.97858E-5,28.755960332,0.582422988,0.280852438,0.248563577,0
1.00572E-4,29.006606031,0.585285107,0.279237972,0.251311516,0
1.01403E-4,29.259152414,0.58829281,0.277623507,0.253060205,0
1.01966E-4,29.503338709,0.590315769,0.27607362,0.254309268,0
1.02672E-4,29.759121118,0.592838887,0.274459154,0.256307769,0
1.03674E-4,30.006911436,0.596392326,0.272909267,0.258805896,0
1.04384E-4,30.256608143,0.598893555,0.27135938,0.260054959,0
1.0485E-4,30.507653842,0.600525799,0.269809493,0.261553835,0
1.05703E-4,30.760262813,0.60349649,0.268259606,0.264301774,0
1.06396E-4,31.00414259,0.605895349,0.266774298,0.266300275,0
1.07117E-4,31.260431142,0.608374895,0.265224411,0.267799151,0
1.07746E-4,31.507566766,0.610522263,0.263739102,0.270796902,0
1.08432E-4,31.756106513,0.61285458,0.262253794,0.272295778,0
1.09012E-4,32.006336959,0.614815633,0.260768486,0.274294279,0
1.09861E-4,32.258004485,0.617665417,0.259283177,0.276542593,0
1.10485E-4,32.500301197,0.619747252,0.257862448,0.278041469,0
1.11419E-4,32.755544704,0.622844624,0.256377139,0.280289783,0
1.12392E-4,33.001800271,0.626042854,0.254956409,0.282787909,0
1.13103E-4,33.250074312,0.628360862,0.25353568,0.28478641,0
1.13695E-4,33.510843278,0.630282676,0.252050371,0.287784162,0
1.14352E-4,33.750259686,0.632401304,0.25069422,0.2885336,0
1.15199E-4,34.002778479,0.635116154,0.24927349,0.290781914,0
1.16082E-4,34.257327163,0.637926454,0.247852761,0.292780415,0
1.16907E-4,34.50197542,0.640530043,0.24649661,0.295278541,0
1.17509E-4,34.759923932,0.642418196,0.24507588,0.297776667,0
1.18253E-4,35.007591371,0.64473993,0.243719729,0.300774419,0
1.19121E-4,35.25701031,0.647427855,0.242363578,0.30277292,0
1.19783E-4,35.507814423,0.649465189,0.241007427,0.304771421,0
1.20389E-4,35.760012213,0.651318682,0.239651275,0.307269548,0
1.20836E-4,36.001238355,0.652681506,0.238359703,0.309767674,0
1.21424E-4,36.25580003,0.654461807,0.237003552,0.312015988,0
1.22331E-4,36.511657904,0.657193582,0.235647401,0.314514114,0
1.23204E-4,36.757130907,0.659805031,0.234355828,0.317761679,0
1.23653E-4,37.003961035,0.661136858,0.233064256,0.320009993,0
1.24421E-4,37.25195174,0.663408604,0.231772683,0.322508119,0
1.25341E-4,37.501608182,0.666107497,0.230481111,0.32450662,0
1.26022E-4,37.75306713,0.668090807,0.229189538,0.326754934,0
1.26613E-4,38.005884041,0.669804694,0.227897966,0.329752685,0
1.27206E-4,38.259684276,0.671511486,0.226606393,0.332000999,0
1.27631E-4,38.501808515,0.672732073,0.225379399,0.334499126,0
1.28331E-4,38.757807236,0.67473202,0.224087827,0.337996503,0
1.29099E-4,39.002317767,0.67690893,0.222860833,0.340994254,0
1.29612E-4,39.260962174,0.678357499,0.221569261,0.343742193,0
1.30239E-4,39.507784996,0.680117124,0.220342267,0.345990507,0
1.311E-4,39.756112869,0.682519454,0.219115273,0.348238821,0
1.31755E-4,40.005798365,0.684333981,0.217888279,0.35098676,0
1.32512E-4,40.25674095,0.686417871,0.216661285,0.353734699,0
1.33074E-4,40.509038642,0.687955946,0.215434291,0.356482638,0
1.33436E-4,40.762310924,0.688943675,0.214207297,0.36047964,0
1.34063E-4,41.003147678,0.690645334,0.213044882,0.363227579,0
1.34657E-4,41.258568284,0.692249907,0.211817888,0.366475144,0
1.35237E-4,41.501400589,0.693807901,0.210655473,0.368723457,0
1.35628E-4,41.758768458,0.694854778,0.209428479,0.372220834,0
1.35907E-4,42.003200545,0.695598078,0.208266064,0.373969523,0
1.36509E-4,42.261913438,0.697196772,0.20703907,0.377217087,0
1.36866E-4,42.507923841,0.698140751,0.205876655,0.380214839,0
1.37248E-4,42.754677942,0.699149807,0.20471424,0.382712965,0
1.37914E-4,43.002235847,0.700896995,0.203551824,0.38596053,0
1.38482E-4,43.250950909,0.702380821,0.202389409,0.389457907,0
1.3908E-4,43.500715482,0.70393311,0.201226994,0.392705471,0
1.39371E-4,43.751337164,0.704686271,0.200064579,0.396202848,0
1.39734E-4,44.002548961,0.705624429,0.198902163,0.398950787,0
1.4031E-4,44.254579422,0.707104717,0.197739748,0.401448913,0
1.40772E-4,44.507646547,0.708286451,0.196577333,0.404196852,0
1.41112E-4,44.761390575,0.709153936,0.195414918,0.407194604,0
1.41576E-4,45.001761276,0.710330868,0.194317081,0.409193105,0
1.41902E-4,45.256943135,0.711157017,0.193154666,0.411691232,0
1.42223E-4,45.512673966,0.711967707,0.191992251,0.414439171,0
1.42595E-4,45.754786931,0.712902011,0.190894414,0.416437672,0
1.43125E-4,46.011886948,0.714232402,0.189731999,0.419435423,0
1.43413E-4,46.255499499,0.714952112,0.188634162,0.421683737,0
1.44071E-4,46.500015221,0.716588685,0.187536325,0.425430927,0
1.44652E-4,46.759752303,0.718024363,0.18637391,0.428928304,0
1.45165E-4,47.0062007,0.719288037,0.185276074,0.431176618,0
1.457E-4,47.253463907,0.720599215,0.184178237,0.434424182,0
1.4624E-4,47.501594961,0.721917588,0.1830804,0.436422683,0
1.46812E-4,47.750756919,0.723305418,0.181982564,0.439170622,0
1.47372E-4,48.000762876,0.724658797,0.180884727,0.441169123,0
1.47772E-4,48.251687103,0.725619514,0.179786891,0.444166875,0
1.48063E-4,48.503129874,0.726318017,0.178689054,0.446914814,0
1.48419E-4,48.755176303,0.727169164,0.177591217,0.449662753,0
1.48753E-4,49.00778921,0.72796667,0.176493381,0.451161629,0
1.49078E-4,49.260931831,0.728738928,0.175395544,0.454659006,0
1.49626E-4,49.514896178,0.730035481,0.174297707,0.457406945,0
1.5011E-4,49.754662023,0.731176395,0.173264449,0.460654509,0
