x,y,species cloglog values
1.0,1.0,0.07107274
2.0,2.0,0.004285399
3.0,3.0,0.09114885
4.0,4.0,0.01838616
5.0,5.0,0.026015045
6.0,6.0,0.7716546
7.0,7.0,0.011015467
8.0,8.0,0.07081345
9.0,9.0,0.0053909626
10.0,10.0,0.009980528
11.0,11.0,0.078523986
12.0,12.0,0.008561978
13.0,13.0,0.38056558
14.0,14.0,0.021408748
15.0,15.0,0.007046667
16.0,16.0,0.026455397
17.0,17.0,0.0076305885
18.0,18.0,0.0014304545
19.0,19.0,0.09438366
20.0,20.0,0.0023898638
21.0,21.0,0.205236
22.0,22.0,0.0074255643
23.0,23.0,0.024094367
24.0,24.0,0.60120595
25.0,25.0,0.088729456
26.0,26.0,0.0034134202
27.0,27.0,0.14190707
28.0,28.0,0.01298261
29.0,29.0,0.34748742
30.0,30.0,0.041289423
31.0,31.0,0.19430415
32.0,32.0,0.007343467
33.0,33.0,0.011211739
34.0,34.0,0.0059829173
35.0,35.0,0.0032085883
36.0,36.0,0.12092469
37.0,37.0,0.0053672683
38.0,38.0,0.032906666
39.0,39.0,0.6476539
40.0,40.0,0.005943031
41.0,41.0,0.026737398
42.0,42.0,0.016008995
43.0,43.0,0.0314986
44.0,44.0,0.0040413467
45.0,45.0,0.56361806
46.0,46.0,0.008744295
47.0,47.0,0.01832341
48.0,48.0,0.014792276
49.0,49.0,0.26824063
50.0,50.0,0.33919904
51.0,51.0,0.035833564
52.0,52.0,0.41622376
53.0,53.0,0.1304895
54.0,54.0,0.5798724
55.0,55.0,0.017942512
56.0,56.0,0.002916575
57.0,57.0,0.0015975885
58.0,58.0,0.004373685
59.0,59.0,0.0018994152
60.0,60.0,0.0120255845
61.0,61.0,0.003667463
62.0,62.0,0.014321008
63.0,63.0,0.11810656
64.0,64.0,0.45507315
65.0,65.0,0.3341776
66.0,66.0,0.25833824
67.0,67.0,0.20565005
68.0,68.0,0.0013817309
69.0,69.0,0.051949527
70.0,70.0,0.004031135
71.0,71.0,0.0015584076
72.0,72.0,0.08203684
73.0,73.0,0.14975177
74.0,74.0,0.1820918
75.0,75.0,0.053743497
76.0,76.0,0.017282156
77.0,77.0,0.008337403
78.0,78.0,0.037965685
79.0,79.0,0.35701102
80.0,80.0,0.73816437
81.0,81.0,0.16794716
82.0,82.0,0.0592208
83.0,83.0,0.060923148
84.0,84.0,0.19567508
85.0,85.0,0.018442161
86.0,86.0,0.0022370159
87.0,87.0,0.0031654208
88.0,88.0,0.1327568
89.0,89.0,0.006373251
90.0,90.0,0.0182197
91.0,91.0,0.0034782016
92.0,92.0,0.001222331
93.0,93.0,0.60517085
94.0,94.0,0.13230559
95.0,95.0,0.0070239175
96.0,96.0,0.16093662
97.0,97.0,0.041890085
98.0,98.0,0.024468364
99.0,99.0,0.020468459
100.0,100.0,0.056678172
101.0,101.0,0.019089598
102.0,102.0,0.006253529
103.0,103.0,0.007139927
104.0,104.0,0.0111478735
105.0,105.0,0.21933678
106.0,106.0,0.0072964462
107.0,107.0,0.16507378
108.0,108.0,0.012524138
109.0,109.0,0.047363658
110.0,110.0,0.0228288
111.0,111.0,0.7687974
112.0,112.0,0.02621094
113.0,113.0,0.0015001089
114.0,114.0,0.7841469
115.0,115.0,0.1410692
116.0,116.0,0.16115026
117.0,117.0,0.0113766575
118.0,118.0,0.22033538
119.0,119.0,0.15621503
120.0,120.0,0.6513215
121.0,121.0,0.030567152
122.0,122.0,0.4971621
123.0,123.0,0.08757
124.0,124.0,0.003447402
125.0,125.0,0.013020857
126.0,126.0,0.004347501
127.0,127.0,0.019290548
128.0,128.0,0.07845187
129.0,129.0,0.18187322
130.0,130.0,0.00332544
131.0,131.0,0.07023257
132.0,132.0,0.6588486
133.0,133.0,0.049757153
134.0,134.0,0.048434533
135.0,135.0,0.14542258
136.0,136.0,0.6439772
137.0,137.0,0.05056424
138.0,138.0,0.031493966
139.0,139.0,0.2594974
140.0,140.0,0.035132073
141.0,141.0,0.08045271
142.0,142.0,0.16148369
143.0,143.0,0.0073671932
144.0,144.0,0.050360344
145.0,145.0,0.004183315
146.0,146.0,0.023183405
147.0,147.0,0.03581959
148.0,148.0,0.5567234
149.0,149.0,6.147088E-4
150.0,150.0,0.46440956
151.0,151.0,0.0014525852
152.0,152.0,0.18594292
153.0,153.0,0.0027752782
154.0,154.0,0.0026387789
155.0,155.0,0.12092475
156.0,156.0,0.49779144
157.0,157.0,0.19694677
158.0,158.0,0.28377235
159.0,159.0,0.1894068
160.0,160.0,0.6536495
161.0,161.0,0.4874945
162.0,162.0,0.23951915
163.0,163.0,0.6542697
164.0,164.0,0.026927093
165.0,165.0,0.7139996
166.0,166.0,0.028633803
167.0,167.0,0.022728167
168.0,168.0,0.75544715
169.0,169.0,0.012517818
170.0,170.0,0.016853442
171.0,171.0,0.012543846
172.0,172.0,0.42396677
173.0,173.0,0.0063325707
174.0,174.0,0.19702852
175.0,175.0,0.012937648
176.0,176.0,0.70415354
177.0,177.0,0.0026424031
178.0,178.0,0.014855186
179.0,179.0,0.11876885
180.0,180.0,0.04362986
181.0,181.0,0.06359772
182.0,182.0,0.051649638
183.0,183.0,0.0046465625
184.0,184.0,0.35504466
185.0,185.0,0.67919344
186.0,186.0,0.21923001
187.0,187.0,0.06238272
188.0,188.0,0.06652149
189.0,189.0,0.035782833
190.0,190.0,0.0016249997
191.0,191.0,0.0018948494
192.0,192.0,0.2253945
193.0,193.0,0.27731675
194.0,194.0,0.7854318
195.0,195.0,0.01701736
196.0,196.0,0.013446785
197.0,197.0,0.04761306
198.0,198.0,0.5629732
199.0,199.0,0.06882832
200.0,200.0,0.021491077
201.0,201.0,0.3147163
202.0,202.0,0.039241042
203.0,203.0,0.13934194
204.0,204.0,0.047562614
205.0,205.0,0.022589771
206.0,206.0,0.04738494
207.0,207.0,0.012806051
208.0,208.0,0.005041544
209.0,209.0,0.45964104
210.0,210.0,0.005521988
211.0,211.0,0.019932723
212.0,212.0,0.011088685
213.0,213.0,0.060159463
214.0,214.0,0.018426953
215.0,215.0,0.86196214
216.0,216.0,0.04915575
217.0,217.0,0.0360693
218.0,218.0,0.40023515
219.0,219.0,0.03951788
220.0,220.0,0.034111656
221.0,221.0,0.12766246
222.0,222.0,0.8160567
223.0,223.0,0.7159503
224.0,224.0,0.53935856
225.0,225.0,0.0837724
226.0,226.0,0.19807552
227.0,227.0,0.001590444
228.0,228.0,0.108526364
229.0,229.0,0.5018459
230.0,230.0,0.6982765
231.0,231.0,0.045562502
232.0,232.0,0.023712296
233.0,233.0,0.010486075
234.0,234.0,0.26099133
235.0,235.0,0.003832933
236.0,236.0,0.7282248
237.0,237.0,0.027334724
238.0,238.0,0.0077968133
239.0,239.0,0.024027595
240.0,240.0,0.016451148
241.0,241.0,0.03275791
242.0,242.0,0.37372252
243.0,243.0,0.019004513
244.0,244.0,0.42109695
245.0,245.0,0.0024240878
246.0,246.0,0.0041013225
247.0,247.0,0.6585798
248.0,248.0,0.048032463
249.0,249.0,0.03506804
250.0,250.0,0.51101565
251.0,251.0,0.0077464366
252.0,252.0,0.58565235
253.0,253.0,0.40814155
254.0,254.0,0.050616767
255.0,255.0,0.0016816498
256.0,256.0,0.18814272
257.0,257.0,0.27577823
258.0,258.0,0.0124860285
259.0,259.0,0.15193526
260.0,260.0,0.04622849
261.0,261.0,0.4922602
262.0,262.0,0.0043005147
263.0,263.0,0.031742617
264.0,264.0,0.03531011
265.0,265.0,0.45334896
266.0,266.0,0.03754874
