x,y,species cloglog values
1.0,1.0,0.51969284
2.0,2.0,0.1759986
3.0,3.0,0.38123357
4.0,4.0,0.0025577662
5.0,5.0,0.15330659
6.0,6.0,0.762257
7.0,7.0,0.010445662
8.0,8.0,0.40033582
9.0,9.0,0.005685323
10.0,10.0,0.0143010365
11.0,11.0,0.011026011
12.0,12.0,0.0045746733
13.0,13.0,0.7081717
14.0,14.0,0.05176425
15.0,15.0,0.18409282
16.0,16.0,0.10629699
17.0,17.0,0.02839817
18.0,18.0,0.0041925875
19.0,19.0,0.43740216
20.0,20.0,0.01228732
21.0,21.0,0.22704245
22.0,22.0,0.017534224
23.0,23.0,0.05370503
24.0,24.0,0.20576821
25.0,25.0,0.3539599
26.0,26.0,0.08731413
27.0,27.0,0.0333913
28.0,28.0,0.011411984
29.0,29.0,0.574267
30.0,30.0,0.01802882
31.0,31.0,0.5450033
32.0,32.0,0.0058381497
33.0,33.0,0.43788093
34.0,34.0,0.040787503
35.0,35.0,0.02102482
36.0,36.0,0.20460238
37.0,37.0,0.37577248
38.0,38.0,0.58398986
39.0,39.0,0.14314334
40.0,40.0,0.0138314655
41.0,41.0,0.44698
42.0,42.0,0.1602327
43.0,43.0,0.7775916
44.0,44.0,0.0132611655
45.0,45.0,0.34070802
46.0,46.0,0.09218153
47.0,47.0,0.0067414884
48.0,48.0,0.51323426
49.0,49.0,0.26944563
50.0,50.0,0.46734887
51.0,51.0,0.41214308
52.0,52.0,0.53688645
53.0,53.0,0.83395433
54.0,54.0,0.3713794
55.0,55.0,0.04083923
56.0,56.0,0.013464243
57.0,57.0,0.4188462
58.0,58.0,0.014548075
59.0,59.0,0.008371379
60.0,60.0,0.0059778313
61.0,61.0,0.0115274275
62.0,62.0,0.5057462
63.0,63.0,0.67771536
64.0,64.0,0.0476663
65.0,65.0,0.50210077
66.0,66.0,0.5869855
67.0,67.0,0.39004424
68.0,68.0,0.011002269
69.0,69.0,0.065636784
70.0,70.0,0.02105546
71.0,71.0,0.057039373
72.0,72.0,0.009751594
73.0,73.0,0.16128016
74.0,74.0,0.4056173
75.0,75.0,0.1544364
76.0,76.0,0.035987433
77.0,77.0,0.018065417
78.0,78.0,0.009041594
79.0,79.0,0.12589699
80.0,80.0,0.566088
81.0,81.0,0.25232694
82.0,82.0,0.24036178
83.0,83.0,0.005515398
84.0,84.0,0.6380279
85.0,85.0,0.021386798
86.0,86.0,0.15019499
87.0,87.0,0.0053100637
88.0,88.0,0.7098669
89.0,89.0,0.1563347
90.0,90.0,0.01781424
91.0,91.0,0.0071911425
92.0,92.0,0.003073931
93.0,93.0,0.28747424
94.0,94.0,0.005627259
95.0,95.0,0.14460337
96.0,96.0,0.04526184
97.0,97.0,0.0067136395
98.0,98.0,0.11035002
99.0,99.0,0.462393
100.0,100.0,0.0062734745
101.0,101.0,0.016175784
102.0,102.0,0.0079762405
103.0,103.0,0.012744734
104.0,104.0,0.014011366
105.0,105.0,0.19845164
106.0,106.0,0.08048476
107.0,107.0,0.31086913
108.0,108.0,0.004653041
109.0,109.0,0.034028754
110.0,110.0,0.0049972096
111.0,111.0,0.7819083
112.0,112.0,0.014435624
113.0,113.0,0.0064779115
114.0,114.0,0.7739921
115.0,115.0,0.006617318
116.0,116.0,0.06899889
117.0,117.0,0.076232985
118.0,118.0,0.695388
119.0,119.0,0.0061380444
120.0,120.0,0.11904673
121.0,121.0,0.3913689
122.0,122.0,0.016701952
123.0,123.0,0.033655357
124.0,124.0,0.017742358
125.0,125.0,0.8538291
126.0,126.0,0.071350664
127.0,127.0,0.6539175
128.0,128.0,0.44836432
129.0,129.0,0.030961731
130.0,130.0,0.005082506
131.0,131.0,0.22510792
132.0,132.0,0.4886822
133.0,133.0,0.36712155
134.0,134.0,0.02005042
135.0,135.0,0.22874697
136.0,136.0,0.7252145
137.0,137.0,0.2869274
138.0,138.0,0.7862602
139.0,139.0,0.6825659
140.0,140.0,0.61588126
141.0,141.0,0.2143235
142.0,142.0,0.69987595
143.0,143.0,0.4173369
144.0,144.0,0.025443288
145.0,145.0,0.007974618
146.0,146.0,0.45681807
147.0,147.0,0.31814554
148.0,148.0,0.7071153
149.0,149.0,0.006492555
150.0,150.0,0.14504397
151.0,151.0,0.031827673
152.0,152.0,0.25698355
153.0,153.0,0.009344471
154.0,154.0,0.07324894
155.0,155.0,0.009852113
156.0,156.0,0.36427855
157.0,157.0,0.017297668
158.0,158.0,0.370401
159.0,159.0,0.20546828
160.0,160.0,0.5226941
161.0,161.0,0.58129996
162.0,162.0,0.40166324
163.0,163.0,0.030087067
164.0,164.0,0.48044488
165.0,165.0,0.01658715
166.0,166.0,0.0076752817
167.0,167.0,0.009855089
168.0,168.0,0.3989151
169.0,169.0,0.010879463
170.0,170.0,0.12375577
171.0,171.0,0.3816202
172.0,172.0,0.74758923
173.0,173.0,0.015266816
174.0,174.0,0.30046615
175.0,175.0,0.011131326
176.0,176.0,0.7227904
177.0,177.0,0.0018699624
178.0,178.0,0.01810411
179.0,179.0,0.17788815
180.0,180.0,0.435582
181.0,181.0,0.6453787
182.0,182.0,0.04623573
183.0,183.0,0.006845067
184.0,184.0,0.23176074
185.0,185.0,0.1009271
186.0,186.0,0.7600648
187.0,187.0,0.3323279
188.0,188.0,0.002060619
189.0,189.0,0.60073197
190.0,190.0,0.0059871282
191.0,191.0,0.09154362
192.0,192.0,0.22499497
193.0,193.0,0.23793809
194.0,194.0,0.57174206
195.0,195.0,0.0024594096
196.0,196.0,0.21728486
197.0,197.0,0.09241888
198.0,198.0,0.38359955
199.0,199.0,0.21033284
200.0,200.0,0.012323813
201.0,201.0,0.0392559
202.0,202.0,0.30553746
203.0,203.0,0.18416034
204.0,204.0,0.18135883
205.0,205.0,0.17037043
206.0,206.0,0.2359595
207.0,207.0,0.0059795673
208.0,208.0,0.02386599
209.0,209.0,0.019405155
210.0,210.0,0.01313602
211.0,211.0,0.008879761
212.0,212.0,0.018040953
213.0,213.0,0.6220257
214.0,214.0,0.02776008
215.0,215.0,0.19162233
216.0,216.0,0.022243885
217.0,217.0,0.18334594
218.0,218.0,0.04006894
219.0,219.0,0.033359725
220.0,220.0,0.006522148
221.0,221.0,0.08035113
222.0,222.0,0.69238085
223.0,223.0,0.5103283
224.0,224.0,0.5327178
225.0,225.0,0.15308473
226.0,226.0,0.0047682417
227.0,227.0,0.35224277
228.0,228.0,0.013511234
229.0,229.0,0.008693543
230.0,230.0,0.20416117
231.0,231.0,0.6093552
232.0,232.0,0.18146805
233.0,233.0,0.26843354
234.0,234.0,0.011621306
235.0,235.0,0.35637096
236.0,236.0,0.023168383
237.0,237.0,0.3997162
238.0,238.0,0.03374451
239.0,239.0,0.03591651
240.0,240.0,0.13904221
241.0,241.0,0.079437144
242.0,242.0,0.017183524
243.0,243.0,0.54376495
244.0,244.0,0.25265628
245.0,245.0,0.044052586
246.0,246.0,0.019068075
247.0,247.0,0.022143804
248.0,248.0,0.68876445
249.0,249.0,0.14833719
250.0,250.0,0.005754165
251.0,251.0,0.20098339
252.0,252.0,0.0035154088
253.0,253.0,0.089522704
254.0,254.0,0.050887045
255.0,255.0,0.041570548
256.0,256.0,8.386716E-4
257.0,257.0,0.060522474
258.0,258.0,0.4479697
259.0,259.0,0.10556231
260.0,260.0,0.05245244
261.0,261.0,0.18167117
262.0,262.0,0.27145916
263.0,263.0,0.009559068
264.0,264.0,0.67762077
265.0,265.0,0.024186047
266.0,266.0,0.7302989
267.0,267.0,0.024269758
268.0,268.0,0.7298795
269.0,269.0,0.008017937
270.0,270.0,0.28717822
271.0,271.0,0.21152686
272.0,272.0,0.49691784
273.0,273.0,0.12289868
274.0,274.0,0.57752293
275.0,275.0,0.28778294
276.0,276.0,0.33625704
277.0,277.0,0.023550224
278.0,278.0,0.24544175
279.0,279.0,0.013871135
280.0,280.0,0.0060187043
281.0,281.0,0.48562086
282.0,282.0,0.32265857
283.0,283.0,0.019846527
284.0,284.0,0.040379744
285.0,285.0,0.0054456065
286.0,286.0,0.4217179
287.0,287.0,0.010536562
288.0,288.0,0.038667947
289.0,289.0,0.06177693
290.0,290.0,0.02186332
291.0,291.0,0.0067938324
292.0,292.0,0.005966919
293.0,293.0,0.09448539
294.0,294.0,0.5898666
295.0,295.0,0.7684242
296.0,296.0,0.067534305
297.0,297.0,0.04337772
298.0,298.0,0.015727378
299.0,299.0,0.47500044
300.0,300.0,0.032758106
301.0,301.0,0.56064546
302.0,302.0,0.5155621
303.0,303.0,0.062687926
304.0,304.0,0.01002414
305.0,305.0,0.012868738
306.0,306.0,0.005408841
307.0,307.0,0.010626606
308.0,308.0,0.72557443
309.0,309.0,0.029585075
310.0,310.0,0.1603951
311.0,311.0,0.6447097
312.0,312.0,0.005335913
313.0,313.0,0.80133754
314.0,314.0,0.2902032
315.0,315.0,0.6645567
316.0,316.0,0.61984783
317.0,317.0,0.017063025
318.0,318.0,0.48121622
319.0,319.0,0.82885754
320.0,320.0,0.051950257
321.0,321.0,0.20772351
322.0,322.0,0.54655707
323.0,323.0,0.13308206
324.0,324.0,0.01293555
325.0,325.0,0.4677338
326.0,326.0,0.70086694
327.0,327.0,0.18952851
328.0,328.0,0.32210946
329.0,329.0,0.008482843
330.0,330.0,0.048357222
331.0,331.0,0.12944406
332.0,332.0,0.3805698
333.0,333.0,0.13930264
334.0,334.0,0.071289666
335.0,335.0,0.006573614
336.0,336.0,0.18867213
337.0,337.0,0.00573684
338.0,338.0,0.004003263
339.0,339.0,0.09413296
340.0,340.0,0.004724358
341.0,341.0,0.027608493
342.0,342.0,0.10488524
343.0,343.0,0.014234958
344.0,344.0,0.41877267
345.0,345.0,0.04662322
346.0,346.0,0.028872155
347.0,347.0,0.017492134
348.0,348.0,0.4925288
349.0,349.0,0.2801873
350.0,350.0,0.3491861
351.0,351.0,0.12837957
352.0,352.0,0.37225658
353.0,353.0,0.06233049
354.0,354.0,0.32309526
355.0,355.0,0.015576687
