Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
8.76409E-9,0.000000876,0.000204633,1,0,0
1.61987E-8,0.000002496,0.000378191,0.999977508,0,0
1.6315E-8,0.000004128,0.000380907,0.999955017,0,0
2.15139E-8,0.000011664,0.000502255,0.99986505,0,0
2.99244E-8,0.000027061,0.000698534,0.999730101,0,0
3.66848E-8,0.000051087,0.000856276,0.999572659,0,0
4.88074E-8,0.00010454,0.001139075,0.99930276,0,0
5.46344E-8,0.000250944,0.00127498,0.998672994,0,0
6.2938E-8,0.000505311,0.001468614,0.997705855,0,0
7.11706E-8,0.001002173,0.001660557,0.996041475,0,0
8.72443E-8,0.002501255,0.002035207,0.991858033,0,0
1.06628E-7,0.005000337,0.002486823,0.986032703,0,0
1.38091E-7,0.010006205,0.003219442,0.976811138,0.000086858,0
1.94239E-7,0.025013471,0.004525482,0.956703628,0.000086858,0
2.46347E-7,0.050009311,0.005736057,0.931243112,0.00052115,0
3.40696E-7,0.10002604,0.007924182,0.892467556,0.000955442,0
5.09273E-7,0.200025283,0.011821833,0.838982479,0.001476592,0
6.56741E-7,0.300035393,0.015218851,0.800409348,0.00156345,0
8.14592E-7,0.400041789,0.018842129,0.769618317,0.001737167,0
9.89291E-7,0.500084794,0.0228366,0.744472684,0.002432033,0
1.25687E-6,0.600033832,0.028923223,0.724230224,0.002779467,0
1.54477E-6,0.700060348,0.035429857,0.70808124,0.003213758,0
1.67526E-6,0.750089959,0.038364517,0.701086345,0.003387475,0
1.81976E-6,0.800103172,0.041603845,0.694653741,0.003387475,0
2.10349E-6,0.900126712,0.047932632,0.683160523,0.003908625,0
2.3695E-6,1.000228436,0.053828359,0.673084276,0.004429775,0
2.63694E-6,1.100069575,0.059718787,0.664087627,0.00469035,0
2.86977E-6,1.200027906,0.064817246,0.655923169,0.005298358,0
3.10627E-6,1.300215248,0.069967568,0.648388475,0.005819508,0
3.31009E-6,1.400279828,0.07438354,0.641371089,0.0062538,0
3.53424E-6,1.50001386,0.079215766,0.634826027,0.007122383,0
4.02753E-6,1.750364483,0.089761643,0.619914082,0.009206983,0
4.55348E-6,2.000225059,0.100872362,0.606778975,0.010683575,0
5.07732E-6,2.250354338,0.111803877,0.59506084,0.012247025,0
5.6727E-6,2.500215954,0.12406713,0.584579744,0.013723617,0
6.22667E-6,2.750410845,0.135325107,0.575133263,0.015287067,0
6.75355E-6,3.000178704,0.145898428,0.566473988,0.0177191,0
7.32421E-6,3.250202485,0.157204451,0.558466971,0.019369408,0
7.82593E-6,3.500346819,0.16702091,0.551044736,0.020672284,0
8.32366E-6,3.750546816,0.176646354,0.544072333,0.022148875,0
8.76176E-6,4.000259311,0.18502654,0.537504779,0.023278034,0
9.14731E-6,4.25033501,0.192330983,0.531229617,0.02553635,0
9.50455E-6,4.500519459,0.199040623,0.525201862,0.027707809,0
9.86283E-6,4.750103799,0.205713711,0.519399024,0.029792409,0
1.02356E-5,5.00044912,0.212597779,0.51379861,0.031703292,0
1.05786E-5,5.250297073,0.218879049,0.508400621,0.033093025,0
1.09568E-5,5.500157047,0.225747116,0.503182564,0.035090767,0
1.13626E-5,5.750996497,0.2330497,0.49812195,0.037088509,0
1.17142E-5,6.000025871,0.239320615,0.493263759,0.039346825,0
1.20739E-5,6.251166336,0.24568399,0.488518027,0.041344567,0
