x,y,species cloglog values
1.0,1.0,0.1660039
2.0,2.0,0.32758468
3.0,3.0,0.41541544
4.0,4.0,0.45661327
5.0,5.0,0.2350515
6.0,6.0,0.053728975
7.0,7.0,0.7855284
8.0,8.0,0.034489635
9.0,9.0,0.46024835
10.0,10.0,0.25398147
11.0,11.0,0.5208383
12.0,12.0,0.42170233
13.0,13.0,0.064700216
14.0,14.0,0.004975822
15.0,15.0,0.19072269
16.0,16.0,0.3038362
17.0,17.0,0.21508737
18.0,18.0,0.021753855
19.0,19.0,0.04888968
20.0,20.0,0.15250061
21.0,21.0,0.11667591
22.0,22.0,0.70219976
23.0,23.0,0.188786
24.0,24.0,0.09357279
25.0,25.0,0.053300522
26.0,26.0,0.17918256
27.0,27.0,0.31177455
28.0,28.0,0.4554222
29.0,29.0,0.025319878
30.0,30.0,0.25399503
31.0,31.0,0.07482856
32.0,32.0,0.3589157
33.0,33.0,0.495396
34.0,34.0,0.075195305
35.0,35.0,0.8523828
36.0,36.0,0.30619317
37.0,37.0,0.38308942
38.0,38.0,0.12396099
39.0,39.0,0.106340975
40.0,40.0,0.72080564
41.0,41.0,0.08554417
42.0,42.0,0.27399674
43.0,43.0,0.10724868
44.0,44.0,0.7024286
45.0,45.0,0.052270208
46.0,46.0,0.76442677
47.0,47.0,0.25488192
48.0,48.0,0.10251103
49.0,49.0,0.05983996
50.0,50.0,0.03472825
51.0,51.0,0.15316702
52.0,52.0,0.05450683
53.0,53.0,0.1404287
54.0,54.0,0.062330656
55.0,55.0,0.112634085
56.0,56.0,0.6264445
57.0,57.0,0.14060023
58.0,58.0,0.021673523
59.0,59.0,0.80616534
60.0,60.0,0.6681243
61.0,61.0,0.6263748
62.0,62.0,0.41352215
63.0,63.0,0.0667401
64.0,64.0,0.035347056
65.0,65.0,0.2777564
66.0,66.0,0.053079687
67.0,67.0,0.63994634
68.0,68.0,0.38233364
69.0,69.0,0.33588636
70.0,70.0,0.60790724
71.0,71.0,0.3412737
72.0,72.0,0.07226056
73.0,73.0,0.053360652
74.0,74.0,0.0546444
75.0,75.0,0.47058904
76.0,76.0,0.142538
77.0,77.0,0.4798561
78.0,78.0,0.065909155
79.0,79.0,0.123033926
80.0,80.0,0.040263772
81.0,81.0,0.033997152
82.0,82.0,0.08064441
83.0,83.0,0.41037312
84.0,84.0,0.066863924
85.0,85.0,0.8179712
86.0,86.0,0.007882307
87.0,87.0,0.14082281
88.0,88.0,0.067811675
89.0,89.0,0.62894887
90.0,90.0,0.5838419
91.0,91.0,0.27433133
92.0,92.0,0.16921619
93.0,93.0,0.04789637
94.0,94.0,0.16828999
95.0,95.0,0.069856346
96.0,96.0,0.2053749
97.0,97.0,0.15068062
98.0,98.0,0.6535186
99.0,99.0,0.07332933
100.0,100.0,0.31908643
101.0,101.0,0.82439756
102.0,102.0,0.40492025
103.0,103.0,0.25978577
104.0,104.0,0.84427285
105.0,105.0,0.07082909
106.0,106.0,0.7526344
107.0,107.0,0.04471426
108.0,108.0,0.0053321137
109.0,109.0,0.058654644
110.0,110.0,0.048331317
111.0,111.0,0.04083715
112.0,112.0,0.2798135
113.0,113.0,0.24666873
114.0,114.0,0.09340558
115.0,115.0,0.11520701
116.0,116.0,0.043234665
117.0,117.0,0.205253
118.0,118.0,0.0894439
119.0,119.0,0.20631795
120.0,120.0,0.14965181
121.0,121.0,0.3227658
122.0,122.0,0.15894675
123.0,123.0,0.14370134
124.0,124.0,0.12752886
125.0,125.0,0.025639996
126.0,126.0,0.55572563
127.0,127.0,0.14359881
128.0,128.0,0.40649998
129.0,129.0,0.10407425
130.0,130.0,0.010287298
131.0,131.0,0.087796375
132.0,132.0,0.07242857
133.0,133.0,0.054460168
134.0,134.0,0.39790317
135.0,135.0,0.12546448
136.0,136.0,0.06311174
137.0,137.0,0.09355253
138.0,138.0,0.05881381
139.0,139.0,0.05044517
140.0,140.0,0.049270432
141.0,141.0,0.031854883
142.0,142.0,0.32867092
143.0,143.0,0.4876954
144.0,144.0,0.17886491
145.0,145.0,0.33365273
146.0,146.0,0.036155805
147.0,147.0,0.49022213
148.0,148.0,0.059642624
149.0,149.0,0.087699465
150.0,150.0,0.02756542
151.0,151.0,0.37381083
152.0,152.0,0.035814177
153.0,153.0,0.16217293
154.0,154.0,0.66363573
155.0,155.0,0.6652581
156.0,156.0,0.1344589
157.0,157.0,0.18056728
158.0,158.0,0.044787105
159.0,159.0,0.0726155
160.0,160.0,0.09794409
161.0,161.0,0.055711057
162.0,162.0,0.030295845
163.0,163.0,0.411711
164.0,164.0,0.09335774
165.0,165.0,0.07494591
166.0,166.0,0.093940996
167.0,167.0,0.78443253
168.0,168.0,0.12673579
169.0,169.0,0.20766246
170.0,170.0,0.5970942
171.0,171.0,0.83260983
172.0,172.0,0.10297293
173.0,173.0,0.27688965
174.0,174.0,0.07949202
175.0,175.0,0.23495339
176.0,176.0,0.12209843
177.0,177.0,0.13517958
178.0,178.0,0.47110525
179.0,179.0,0.062509164
180.0,180.0,0.031783793
181.0,181.0,0.038695786
182.0,182.0,0.4059415
183.0,183.0,0.58140695
184.0,184.0,0.03195406
185.0,185.0,0.032867283
186.0,186.0,0.043943647
187.0,187.0,0.12729688
188.0,188.0,0.30454707
189.0,189.0,0.064363204
190.0,190.0,0.51992327
191.0,191.0,0.5975523
192.0,192.0,0.04079406
193.0,193.0,0.23741391
194.0,194.0,0.041754767
195.0,195.0,0.16185482
196.0,196.0,0.39035088
197.0,197.0,0.7232367
198.0,198.0,0.052530214
199.0,199.0,0.039564848
200.0,200.0,0.35158917
201.0,201.0,0.022830052
202.0,202.0,0.08535463
203.0,203.0,0.053711202
204.0,204.0,0.039008524
205.0,205.0,0.51528466
206.0,206.0,0.07528664
207.0,207.0,0.021653868
208.0,208.0,0.31396952
209.0,209.0,0.112282805
210.0,210.0,0.5518758
211.0,211.0,0.41620064
212.0,212.0,0.8052228
213.0,213.0,0.015351237
214.0,214.0,0.2914728
215.0,215.0,0.2159828
216.0,216.0,0.17586471
217.0,217.0,0.09150507
218.0,218.0,0.26461634
219.0,219.0,0.24114087
220.0,220.0,0.07357167
221.0,221.0,0.10105486
222.0,222.0,0.050698396
223.0,223.0,0.11605874
224.0,224.0,0.047135808
225.0,225.0,0.22551994
226.0,226.0,0.10443225
227.0,227.0,0.18697521
228.0,228.0,0.27699858
229.0,229.0,0.039457854
230.0,230.0,0.044213515
231.0,231.0,0.06657743
232.0,232.0,0.13443346
233.0,233.0,0.44226477
234.0,234.0,0.2269765
235.0,235.0,0.27364153
236.0,236.0,0.04842921
237.0,237.0,0.45419785
238.0,238.0,0.03732213
239.0,239.0,0.08295981
240.0,240.0,0.0053354963
241.0,241.0,0.3540703
242.0,242.0,0.032576513
243.0,243.0,0.06647005
244.0,244.0,0.09926136
245.0,245.0,0.5475596
246.0,246.0,0.6451224
247.0,247.0,0.08394777
248.0,248.0,0.059037644
249.0,249.0,0.44209474
250.0,250.0,0.048398755
251.0,251.0,0.1487307
252.0,252.0,0.024366194
253.0,253.0,0.08596056
254.0,254.0,0.014692964
255.0,255.0,0.22467314
256.0,256.0,0.08694503
257.0,257.0,0.028227916
258.0,258.0,0.67023504
259.0,259.0,0.51704633
260.0,260.0,0.09749435
261.0,261.0,0.063542016
262.0,262.0,0.34052607
263.0,263.0,0.08520026
264.0,264.0,0.15391223
265.0,265.0,0.047289506
266.0,266.0,0.18356955
267.0,267.0,0.12573774
268.0,268.0,0.19234228
269.0,269.0,0.11331169
270.0,270.0,0.0978353
271.0,271.0,0.034107264
272.0,272.0,0.5568816
273.0,273.0,0.100869164
274.0,274.0,0.038225316
275.0,275.0,0.14467758
276.0,276.0,0.614292
277.0,277.0,0.18148881
278.0,278.0,0.8908342
279.0,279.0,4.6877476E-4
280.0,280.0,0.11187456
281.0,281.0,0.16771665
282.0,282.0,0.38577476
283.0,283.0,0.08589181
284.0,284.0,0.3524402
285.0,285.0,0.121507354
286.0,286.0,0.41574624
287.0,287.0,0.1004847
288.0,288.0,0.11101957
289.0,289.0,0.023757303
290.0,290.0,0.45905483
291.0,291.0,0.118395366
292.0,292.0,0.09568681
293.0,293.0,0.11813151
294.0,294.0,0.16143225
295.0,295.0,0.11622659
296.0,296.0,0.006940799
297.0,297.0,0.098109394
298.0,298.0,0.22733773
299.0,299.0,0.3202013
300.0,300.0,0.14222825
301.0,301.0,0.23915064
302.0,302.0,0.859591
303.0,303.0,0.15672064
304.0,304.0,0.29694256
305.0,305.0,0.73482937
306.0,306.0,0.4905971
307.0,307.0,0.064178444
308.0,308.0,0.26755896
309.0,309.0,0.09912967
310.0,310.0,0.030573139
311.0,311.0,0.0066705123
312.0,312.0,0.025394248
