x,y,species cloglog values
1.0,1.0,1.2777386E-4
2.0,2.0,0.058675434
3.0,3.0,0.3775031
4.0,4.0,0.10951339
5.0,5.0,0.61911064
6.0,6.0,0.0029200315
7.0,7.0,0.3574966
8.0,8.0,0.0024351259
9.0,9.0,0.6395015
10.0,10.0,0.013543286
11.0,11.0,0.2515431
12.0,12.0,0.24062912
13.0,13.0,0.0025851387
14.0,14.0,0.65492606
15.0,15.0,0.032428294
16.0,16.0,0.68357235
17.0,17.0,0.01823903
18.0,18.0,0.09018421
19.0,19.0,9.927563E-5
20.0,20.0,0.090878695
21.0,21.0,0.009019959
22.0,22.0,0.017230378
23.0,23.0,1.3272362E-4
24.0,24.0,1.8422212E-4
25.0,25.0,1.4490484E-4
26.0,26.0,0.22542304
27.0,27.0,5.3651445E-4
28.0,28.0,0.041781597
29.0,29.0,1.05035295E-4
30.0,30.0,0.1971787
31.0,31.0,0.006143919
32.0,32.0,0.12988907
33.0,33.0,0.5785701
34.0,34.0,0.63659793
35.0,35.0,0.030602453
36.0,36.0,3.9081182E-4
37.0,37.0,0.05303025
38.0,38.0,0.0036497873
39.0,39.0,0.0066630295
40.0,40.0,0.039063197
41.0,41.0,0.003939243
42.0,42.0,0.17425229
43.0,43.0,0.0021479991
44.0,44.0,0.046549737
45.0,45.0,3.4712287E-4
46.0,46.0,0.43725532
47.0,47.0,0.483236
48.0,48.0,0.0013686193
49.0,49.0,8.570359E-4
50.0,50.0,8.71579E-4
51.0,51.0,0.028122192
52.0,52.0,0.0055867587
53.0,53.0,7.804058E-4
54.0,54.0,0.0068800095
55.0,55.0,0.0101944925
56.0,56.0,0.104578756
57.0,57.0,0.33551785
58.0,58.0,0.2337718
59.0,59.0,0.09491741
60.0,60.0,0.4074625
61.0,61.0,0.24680059
62.0,62.0,0.060453136
63.0,63.0,0.003869372
64.0,64.0,0.005823624
65.0,65.0,0.02370355
66.0,66.0,0.0057132747
67.0,67.0,0.03242076
68.0,68.0,0.037689716
69.0,69.0,0.32469702
70.0,70.0,0.0329065
71.0,71.0,0.28719965
72.0,72.0,0.0074136155
73.0,73.0,0.0017737052
74.0,74.0,0.010317627
75.0,75.0,0.5663219
76.0,76.0,0.018601883
77.0,77.0,0.044743713
78.0,78.0,0.18782683
79.0,79.0,0.014735003
80.0,80.0,2.922122E-4
81.0,81.0,0.0010534466
82.0,82.0,2.7645234E-4
83.0,83.0,0.7462714
84.0,84.0,0.0018807634
85.0,85.0,0.15147696
86.0,86.0,0.31662893
87.0,87.0,0.13482085
88.0,88.0,0.0046822983
