Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.31837E-8,0.000001318,0.000026197,1,0,0
2.00629E-8,0.000003325,0.000039867,0.999777332,0,0
2.50898E-8,0.000012502,0.000049855,0.998886662,0,0
3.00156E-8,0.000026326,0.000059643,0.997773324,0,0
4.27057E-8,0.000053722,0.000084858,0.996214652,0,0
5.28608E-8,0.000100913,0.000105035,0.993987976,0,0
7.45308E-8,0.000250768,0.000148091,0.988866622,0,0
1.02242E-7,0.000505886,0.000203147,0.982631931,0,0
1.36756E-7,0.001010506,0.000271715,0.972834558,0,0
2.22264E-7,0.002503821,0.000441568,0.954575818,0,0
3.3855E-7,0.00501343,0.000672514,0.934758406,0,0
5.32037E-7,0.010001414,0.001056664,0.909374304,0,0
1.04278E-6,0.025053299,0.002069977,0.865508795,0.000859845,0
1.80171E-6,0.050055945,0.003573808,0.82676464,0.000859845,0
3.32233E-6,0.100226429,0.006580134,0.780895124,0.000859845,0
6.06967E-6,0.200534662,0.011988733,0.731908261,0.00171969,0
7.91538E-6,0.300152829,0.01560577,0.700289468,0.00171969,0
9.69637E-6,0.400082185,0.019083431,0.675128034,0.002579536,0
1.14859E-5,0.500900237,0.022565445,0.653974616,0.003439381,0
1.33291E-5,0.600454909,0.026138912,0.636161211,0.003439381,0
1.53526E-5,0.701250813,0.030046919,0.620574482,0.003439381,0
1.61214E-5,0.750056182,0.03152756,0.613671788,0.003439381,0
1.7023E-5,0.800239564,0.033261052,0.606991761,0.004299226,0
1.90391E-5,0.900698547,0.037126344,0.594522378,0.004299226,0
2.09827E-5,1.000610642,0.040837902,0.583389,0.005159071,0
2.27761E-5,1.101398487,0.044250066,0.573146293,0.005159071,0
2.49974E-5,1.202108656,0.048459339,0.563794255,0.006018917,0
2.69684E-5,1.300932775,0.052178953,0.555332888,0.007738607,0
2.92688E-5,1.40190032,0.056501642,0.547316856,0.007738607,0
3.11386E-5,1.501515758,0.060000722,0.539968827,0.008598452,0
3.76003E-5,1.753529528,0.071993348,0.523491427,0.013757524,0
4.53288E-5,2.000754934,0.086136334,0.510131374,0.016337059,0
5.1014E-5,2.251253145,0.09640225,0.498552661,0.017196905,0
5.70227E-5,2.504220463,0.107127176,0.488087286,0.020636285,0
6.34185E-5,2.750323799,0.118403113,0.478957916,0.023215821,0
6.82366E-5,3.000321712,0.126803431,0.470496549,0.024075666,0
