x,y,species cloglog values
1.0,1.0,0.04518038
2.0,2.0,0.23905739
3.0,3.0,0.5020713
4.0,4.0,0.6934168
5.0,5.0,0.63217133
6.0,6.0,0.049900327
7.0,7.0,0.5363336
8.0,8.0,0.119138986
9.0,9.0,0.5771264
10.0,10.0,0.45284125
11.0,11.0,0.5205165
12.0,12.0,0.539335
13.0,13.0,0.0066061537
14.0,14.0,0.39460698
15.0,15.0,0.2547327
16.0,16.0,0.7538075
17.0,17.0,0.40365538
18.0,18.0,0.33873042
19.0,19.0,0.033969592
20.0,20.0,0.7395736
21.0,21.0,0.096143
22.0,22.0,0.6732564
23.0,23.0,0.08197844
24.0,24.0,0.00420988
25.0,25.0,0.07554043
26.0,26.0,0.62911576
27.0,27.0,0.09107185
28.0,28.0,0.18573989
29.0,29.0,0.045925308
30.0,30.0,0.7348173
31.0,31.0,0.1820751
32.0,32.0,0.49391955
33.0,33.0,0.5425974
34.0,34.0,0.3186523
35.0,35.0,0.8788324
36.0,36.0,0.10017358
37.0,37.0,0.07436931
38.0,38.0,0.0096238945
39.0,39.0,0.0071891695
40.0,40.0,0.17625917
41.0,41.0,0.012474977
42.0,42.0,0.094427586
43.0,43.0,0.02707048
44.0,44.0,0.46024024
45.0,45.0,0.011894674
46.0,46.0,0.5747062
47.0,47.0,0.6933345
48.0,48.0,0.03598654
49.0,49.0,0.07693116
50.0,50.0,0.093411714
51.0,51.0,0.20392165
52.0,52.0,0.041970063
53.0,53.0,0.07253618
54.0,54.0,0.26360446
55.0,55.0,0.1299088
56.0,56.0,0.11638842
57.0,57.0,0.66623104
58.0,58.0,0.3804994
59.0,59.0,0.69507647
60.0,60.0,0.5748422
61.0,61.0,0.4493208
62.0,62.0,0.085553266
63.0,63.0,0.017805671
64.0,64.0,0.20554891
65.0,65.0,0.276285
66.0,66.0,0.14962564
67.0,67.0,0.20352478
68.0,68.0,0.26682374
69.0,69.0,0.38328025
70.0,70.0,0.42685443
71.0,71.0,0.7152841
72.0,72.0,0.123025574
73.0,73.0,0.00658841
74.0,74.0,0.09654228
75.0,75.0,0.59749186
76.0,76.0,0.09117077
77.0,77.0,0.250842
78.0,78.0,0.58625305
79.0,79.0,0.108096406
80.0,80.0,0.023611112
81.0,81.0,0.023447935
82.0,82.0,0.008825414
83.0,83.0,0.5206422
84.0,84.0,0.026331604
85.0,85.0,0.14363557
86.0,86.0,0.4523718
87.0,87.0,0.28643578
88.0,88.0,0.0072609833
89.0,89.0,0.8580005
90.0,90.0,0.54169405
91.0,91.0,0.75400066
92.0,92.0,0.34393138
93.0,93.0,0.0843675
94.0,94.0,0.6894112
95.0,95.0,0.3563273
96.0,96.0,0.4574012
97.0,97.0,0.002755734
98.0,98.0,0.80869365
99.0,99.0,0.035841662
100.0,100.0,0.66314197
101.0,101.0,0.14473192
102.0,102.0,0.27143782
103.0,103.0,0.08672756
104.0,104.0,0.7569973
105.0,105.0,0.350544
106.0,106.0,0.74748814
107.0,107.0,0.10973103
108.0,108.0,0.30613223
109.0,109.0,0.050677773
110.0,110.0,0.37916273
111.0,111.0,0.23971343
112.0,112.0,0.25006852
113.0,113.0,0.5624131
114.0,114.0,0.03355426
115.0,115.0,0.5050566
116.0,116.0,0.045783624
117.0,117.0,0.010701057
118.0,118.0,0.19714738
119.0,119.0,0.6176407
120.0,120.0,0.0045134802
121.0,121.0,0.04365451
122.0,122.0,0.158807
123.0,123.0,0.0035927591
124.0,124.0,0.568008
125.0,125.0,0.06634064
126.0,126.0,0.5938017
127.0,127.0,0.028620064
128.0,128.0,0.59236056
129.0,129.0,0.33949795
130.0,130.0,0.72756916
131.0,131.0,0.0070990496
132.0,132.0,0.020375967
133.0,133.0,0.009323632
134.0,134.0,0.18995042
135.0,135.0,0.004349895
136.0,136.0,0.03215753
137.0,137.0,0.0025068468
138.0,138.0,0.079940386
139.0,139.0,0.026887951
140.0,140.0,0.036785953
141.0,141.0,0.023553595
142.0,142.0,0.16751473
143.0,143.0,0.616002
144.0,144.0,0.031122642
145.0,145.0,0.6616953
146.0,146.0,0.0074238717
147.0,147.0,0.46084404
148.0,148.0,0.008104469
149.0,149.0,0.769966
150.0,150.0,0.050630834
151.0,151.0,0.35282698
152.0,152.0,0.047042042
153.0,153.0,0.33918315
154.0,154.0,0.43292207
155.0,155.0,0.61462086
156.0,156.0,0.08607759
157.0,157.0,0.09707049
158.0,158.0,0.0073656025
159.0,159.0,0.22515725
160.0,160.0,0.0112942355
161.0,161.0,0.14082435
162.0,162.0,0.009499489
163.0,163.0,0.07700546
164.0,164.0,0.16991402
165.0,165.0,0.06374345
166.0,166.0,0.30058315
167.0,167.0,0.50004905
168.0,168.0,0.4363255
169.0,169.0,0.27779415
170.0,170.0,0.6101658
171.0,171.0,0.5662584
172.0,172.0,0.43270248
173.0,173.0,0.4210827
174.0,174.0,0.00630007
175.0,175.0,0.7775805
176.0,176.0,0.029185178
177.0,177.0,0.72455376
178.0,178.0,0.40259025
179.0,179.0,0.12606479
180.0,180.0,0.027268957
181.0,181.0,0.101567425
182.0,182.0,0.62451917
183.0,183.0,0.5160485
184.0,184.0,0.022244936
185.0,185.0,0.17409556
186.0,186.0,0.03342451
187.0,187.0,0.03193839
188.0,188.0,0.22465143
189.0,189.0,0.028650247
190.0,190.0,0.26764047
191.0,191.0,0.31877097
192.0,192.0,0.12574725
193.0,193.0,0.006688525
194.0,194.0,0.014115069
195.0,195.0,0.54912084
196.0,196.0,0.29320607
197.0,197.0,0.7770341
198.0,198.0,0.0135041345
199.0,199.0,0.3701047
200.0,200.0,0.8159221
201.0,201.0,0.14551005
202.0,202.0,0.0033982813
203.0,203.0,0.11024856
204.0,204.0,0.4797414
205.0,205.0,0.13025777
206.0,206.0,0.0072115776
207.0,207.0,0.47210196
208.0,208.0,0.14679581
209.0,209.0,0.04869839
210.0,210.0,0.18407421
211.0,211.0,0.13178743
212.0,212.0,0.6832722
213.0,213.0,0.15197718
214.0,214.0,0.06487725
215.0,215.0,0.22500256
216.0,216.0,0.83992934
217.0,217.0,0.0082220575
218.0,218.0,0.051789667
219.0,219.0,0.6418334
220.0,220.0,0.7386714
221.0,221.0,0.14830239
222.0,222.0,0.014868766
223.0,223.0,0.048189335
224.0,224.0,0.3036356
225.0,225.0,0.44339567
226.0,226.0,0.006233595
227.0,227.0,0.4922504
228.0,228.0,0.3377668
229.0,229.0,0.21977228
230.0,230.0,0.06285759
231.0,231.0,0.040765855
232.0,232.0,0.34784025
233.0,233.0,0.13438849
234.0,234.0,0.0038275192
235.0,235.0,0.4166506
236.0,236.0,0.34336615
237.0,237.0,0.57972914
238.0,238.0,0.42363006
239.0,239.0,0.039626133
240.0,240.0,0.59157956
241.0,241.0,0.4779608
242.0,242.0,0.31857905
243.0,243.0,0.08270509
244.0,244.0,0.02519383
245.0,245.0,0.3149299
246.0,246.0,0.3675297
