Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.0702E-8,0.00000107,0.000371772,1,0,0
1.19864E-8,0.000003346,0.00041638,0.999963484,0,0
1.84718E-8,0.000011377,0.000641594,0.999872193,0,0
2.80086E-8,0.00002724,0.000972683,0.999744386,0.000141183,0
4.21218E-8,0.000052602,0.001462449,0.999616578,0.000211775,0
4.7109E-8,0.000101998,0.001635461,0.999415739,0.000211775,0
5.1729E-8,0.000252459,0.001795707,0.998867993,0.000211775,0
5.78128E-8,0.000501011,0.002006687,0.998046376,0.000211775,0
6.50389E-8,0.001005642,0.00225722,0.996549206,0.000211775,0
8.37259E-8,0.002503249,0.002904822,0.992861055,0.000211775,0
1.10534E-7,0.005010891,0.003833118,0.988186964,0.000211775,0
1.35252E-7,0.010000036,0.004688308,0.980810663,0.000211775,0
1.87807E-7,0.025013204,0.006504091,0.96377579,0.000211775,0
2.59566E-7,0.05000648,0.008978058,0.943162315,0.000211775,0
4.32632E-7,0.100009226,0.014919352,0.915994157,0.000494141,0
7.31097E-7,0.200031114,0.025081991,0.883823261,0.000776507,0
1.01455E-6,0.300073596,0.034636556,0.862935914,0.001200056,0
1.23924E-6,0.40009355,0.04214351,0.8467044,0.001623606,0
1.38861E-6,0.500115298,0.047101598,0.832828191,0.001976564,0
1.53146E-6,0.600130449,0.051819482,0.820321344,0.002329521,0
1.68796E-6,0.700067281,0.056961389,0.808964762,0.003388395,0
1.76045E-6,0.750064789,0.059333706,0.803669892,0.003741353,0
1.83802E-6,0.800062899,0.061865542,0.798594121,0.004235493,0
1.98884E-6,0.900188737,0.066768595,0.789045098,0.005364958,0
2.16542E-6,1.000110807,0.072476858,0.780262918,0.006000282,0
2.32303E-6,1.100119077,0.077542195,0.772119774,0.006565015,0
2.486E-6,1.200188094,0.082750619,0.764506116,0.006988564,0
2.64015E-6,1.300074768,0.087650254,0.75738543,0.007200339,0
2.80449E-6,1.400233187,0.092844918,0.750666423,0.007482705,0
2.98029E-6,1.500045321,0.098368943,0.744367354,0.007976846,0
3.50617E-6,1.750031167,0.114693649,0.730290305,0.009600452,0
3.99756E-6,2.000238333,0.129680443,0.718112105,0.011506424,0
4.36913E-6,2.250146583,0.140844189,0.707211977,0.013341804,0
4.73502E-6,2.500395984,0.151697458,0.697169984,0.015177185,0
5.05041E-6,2.750168098,0.160942699,0.687840058,0.017577298,0
5.39191E-6,3.000458741,0.170839455,0.679094395,0.019836228,0
5.72348E-6,3.250275716,0.180336897,0.670896476,0.022589298,0
6.0445E-6,3.500553181,0.189428624,0.663118496,0.024565862,0
6.29875E-6,3.750498399,0.196557391,0.655723936,0.027742482,0
6.56377E-6,4.000028588,0.203921645,0.648639766,0.031060285,0
6.82781E-6,4.250383029,0.211191655,0.641811211,0.033954539,0
7.09616E-6,4.500519312,0.218511968,0.635256527,0.036354652,0
