X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,1.9203307237704575E-4,77.67362703227182,0.8137375168055113
2.0,2.0,train,1.355152022216431E-4,41.68452159394975,0.6945521102339837
3.0,3.0,train,1.397341733024535E-4,44.00262478998828,0.7056244290206372
4.0,4.0,train,9.00662800950606E-6,1.7217032559507706,0.07579603320589257
5.0,5.0,train,2.0079427292535017E-4,84.01175866172463,0.8274853301121688
6.0,6.0,train,2.0237026176686654E-4,84.90787546490601,0.8298483944034017
7.0,7.0,train,1.5100095215846065E-4,50.27620850074311,0.7332654526749037
8.0,8.0,train,2.0425875172379342E-4,85.94685747970823,0.832637434295965
9.0,9.0,train,1.5969193708992727E-4,55.66698385240334,0.7528009566778532
10.0,10.0,train,2.100684157967625E-4,89.10949878696495,0.8409340968215715
11.0,11.0,train,2.0892662325048896E-4,88.56797329751863,0.839336659340381
12.0,12.0,train,4.501860020249254E-5,10.318563930436646,0.32563595990326144
13.0,13.0,train,1.9381018342242657E-4,78.83691406163372,0.8166119687141267
14.0,14.0,train,1.9999710812104645E-4,83.58887128115744,0.8262775778328721
15.0,15.0,train,2.3431885304127045E-4,97.00955127658159,0.8713509373818681
16.0,16.0,train,1.3307391570839409E-4,40.50900080111454,0.6879559461939116
17.0,17.0,train,2.060122638130878E-4,86.83556554302028,0.835186182386732
18.0,18.0,train,1.35810841774953E-4,41.918956259586196,0.695341380738494
19.0,19.0,train,1.0731466434374142E-4,31.338093941575657,0.6090501555126657
20.0,20.0,train,6.776653236709648E-5,17.62169909096189,0.44736979440674896
21.0,21.0,train,1.6284805785164632E-4,57.8216364301187,0.759535439747097
22.0,22.0,train,2.9566191986753763E-5,6.580722820544073,0.22798535379332607
23.0,23.0,train,2.4344356270961196E-4,98.2455488899221,0.8812248322437332
24.0,24.0,train,7.192814685078985E-5,19.203319550746684,0.46713492564635817
25.0,25.0,train,1.6419657140859527E-4,58.51199032144136,0.7623566414214157
26.0,26.0,train,1.8523064817155377E-4,72.62972952080318,0.8023121963576495
27.0,27.0,train,1.3791375282988153E-4,43.00214397174969,0.7008969948391155
28.0,28.0,train,1.5449203276227732E-4,52.199415415344426,0.7412916446816707
29.0,29.0,train,1.7250551568915454E-4,63.75703534630058,0.7790239281787522
30.0,30.0,train,2.863512565988559E-5,6.385686601695398,0.22166902594816773
31.0,31.0,train,1.6122404857526855E-4,56.79107421147664,0.7560933879399006
32.0,32.0,train,1.3614080187091286E-4,42.10367821678186,0.696219868882989
33.0,33.0,train,9.95313080344856E-5,28.65064553763234,0.5814919314814537
34.0,34.0,train,2.1544658725476617E-5,4.824416015848664,0.17184126430730096
35.0,35.0,train,1.5277463563958648E-4,51.34473482663817,0.7373738929635749
36.0,36.0,train,1.081994142755207E-5,2.0942442402145405,0.09034684345713806
37.0,37.0,train,6.036209767817552E-5,14.959992807303781,0.4103732022951678
38.0,38.0,train,1.9887075181446856E-4,82.79394098875257,0.8245566531700654
39.0,39.0,train,1.9052750965325348E-4,76.58862169039827,0.8112670646237552
