Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.03906E-8,0.000002039,0.000263573,1,0,0
2.5173E-8,0.000004556,0.000325382,0.999962505,0,0
2.92645E-8,0.000010256,0.000378258,0.999887514,0,0
3.57979E-8,0.000027232,0.000462686,0.999700037,0,0
3.98807E-8,0.000050233,0.000515443,0.999475066,0,0
4.80578E-8,0.000104114,0.000621095,0.999025122,0,0
5.60125E-8,0.000255406,0.000723864,0.997937758,0,0
6.57009E-8,0.000501736,0.000849017,0.996437945,0,0
7.53161E-8,0.001004705,0.000973207,0.993775778,0,0
9.73089E-8,0.002506643,0.001257213,0.987289089,0,0
1.23604E-7,0.005005337,0.001596662,0.978852643,0,0
1.63864E-7,0.010008262,0.002116182,0.965691789,0,0
2.37811E-7,0.025016353,0.003069682,0.937945257,0,0
3.24529E-7,0.050012089,0.004186704,0.904724409,0,0
4.6874E-7,0.100035785,0.006041512,0.856730409,0.000145518,0
7.73972E-7,0.200036603,0.009955963,0.794675666,0.000145518,0
1.10722E-6,0.300109343,0.014212105,0.754555681,0.001164144,0
1.43225E-6,0.400113146,0.018345653,0.724934383,0.002473807,0
1.75882E-6,0.500154985,0.022481299,0.701274841,0.003637951,0
2.07664E-6,0.600161965,0.026489485,0.681702287,0.004656577,0
2.47054E-6,0.700041362,0.031434335,0.665166854,0.005529686,0
2.64842E-6,0.750193318,0.033659099,0.657817773,0.005675204,0
2.80793E-6,0.800127661,0.035649776,0.65095613,0.00596624,0
3.17662E-6,0.900195711,0.040235336,0.638395201,0.00669383,0
3.62729E-6,1.00029566,0.045810814,0.627334083,0.007566938,0
3.98737E-6,1.100291617,0.050242395,0.617472816,0.008440047,0
4.35109E-6,1.200296772,0.054697815,0.608473941,0.009749709,0
4.6864E-6,1.300009556,0.058786641,0.600187477,0.010913853,0
4.99535E-6,1.400195759,0.062538434,0.592425947,0.011495925,0
5.2956E-6,1.500344579,0.066170261,0.585114361,0.012077998,0
6.0007E-6,1.750246625,0.074643897,0.568503937,0.013533178,0
6.77348E-6,2.000211453,0.08384258,0.553768279,0.015570431,0
7.64184E-6,2.250209116,0.094069996,0.54071991,0.017171129,0
8.6378E-6,2.500544637,0.105659699,0.529171354,0.019062864,0
9.4715E-6,2.750830992,0.115247112,0.518860142,0.021827707,0
1.02272E-5,3.000706831,0.123848243,0.509336333,0.024447031,0
1.09134E-5,3.251084664,0.131586872,0.500449944,0.026338766,0
1.15822E-5,3.500933788,0.139062683,0.492125984,0.028521537,0
1.23516E-5,3.750629237,0.147583803,0.484289464,0.029685681,0
1.30523E-5,4.001210144,0.155270832,0.476902887,0.031577416,0
1.38518E-5,4.251291094,0.163956439,0.469928759,0.033323632,0
1.46584E-5,4.50041269,0.172629464,0.463367079,0.035069849,0
1.54603E-5,4.750381289,0.18116255,0.457142857,0.036961583,0
1.62187E-5,5.000332439,0.189151941,0.451218598,0.038416764,0
1.6913E-5,5.250311479,0.196397639,0.445556805,0.040454016,0
1.76984E-5,5.500647326,0.204515785,0.440119985,0.042345751,0
1.85262E-5,5.750153308,0.212983302,0.434945632,0.044237485,0
1.9379E-5,6.000333691,0.221612228,0.42999625,0.046274738,0
2.04279E-5,6.250821117,0.232096054,0.425271841,0.048748545,0
2.15815E-5,6.501230952,0.243463445,0.420809899,0.050931315,0
2.27687E-5,6.751944376,0.254985657,0.416572928,0.053259604,0
2.38258E-5,7.001398539,0.265098305,0.41256093,0.054714785,0
2.50555E-5,7.25036419,0.27668925,0.408736408,0.055878929,0
2.62058E-5,7.50105026,0.287365636,0.405061867,0.058352736,0
2.71787E-5,7.752296708,0.296272718,0.401537308,0.060535506,0
2.82782E-5,8.001469632,0.306204816,0.39816273,0.062863795,0
2.91304E-5,8.250781651,0.313806929,0.394900637,0.064610012,0
3.01157E-5,8.502638534,0.322492225,0.391713536,0.06621071,0
3.11814E-5,8.750949863,0.331761817,0.388676415,0.068102445,0
3.25746E-5,9.002891421,0.343689828,0.385714286,0.070285215,0
3.35372E-5,9.2507739,0.351806861,0.382902137,0.072322468,0
3.46259E-5,9.503028686,0.360865988,0.380127484,0.074359721,0
3.55736E-5,9.752084939,0.368649296,0.377465317,0.075960419,0
3.65187E-5,10.001328968,0.37631637,0.37487814,0.078288708,0
3.75702E-5,10.253330895,0.384736622,0.372328459,0.081053551,0
3.83895E-5,10.500187169,0.391219579,0.369891264,0.083672875,0
3.91005E-5,10.752089318,0.396789049,0.367454068,0.0862922,0
3.98383E-5,11.00082885,0.402515304,0.365091864,0.088183935,0
4.05674E-5,11.250028778,0.408120895,0.362767154,0.091239814,0
4.13542E-5,11.500165536,0.414110816,0.36047994,0.093859139,0
4.20737E-5,11.750575066,0.419535559,0.358230221,0.096623981,0
4.2797E-5,12.000979195,0.424937745,0.356017998,0.09895227,0
4.35889E-5,12.251318546,0.430794912,0.35384327,0.102153667,0
4.42315E-5,12.501585522,0.435503835,0.351706037,0.104772992,0
