X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,2.6746877061313073E-5,7.640780643132067,0.29233322546185647
2.0,2.0,train,1.362728264296658E-4,95.12978690014586,0.828251928353712
3.0,3.0,train,1.2022109284898955E-4,82.69469321456675,0.7886438741484658
4.0,4.0,train,1.1093814827319814E-4,69.87210799362647,0.7616944109252743
5.0,5.0,train,1.222862217122974E-4,84.95851185076879,0.7942119708682154
6.0,6.0,train,8.59394767532727E-5,36.143161384433945,0.6707770768072782
7.0,7.0,train,1.1601234438659311E-4,77.73265257552461,0.7768252832609173
8.0,8.0,train,1.0571041824741843E-4,61.01387368396566,0.7450321128383076
9.0,9.0,train,7.434988702734714E-5,26.3461200960889,0.6175627488975926
10.0,10.0,train,6.581938995718293E-5,21.129503023724673,0.5729733929385371
11.0,11.0,train,1.0301176752305021E-4,57.19900688554328,0.7359798060960916
12.0,12.0,train,9.069354990345703E-5,41.41360437702654,0.690401982240691
13.0,13.0,train,1.2217282868864327E-4,84.87968187439873,0.793910077168888
14.0,14.0,train,1.1901968322040132E-6,0.3256392903319207,0.015269018355717257
15.0,15.0,train,8.187221812195873E-5,32.69453955846931,0.6530029201244723
16.0,16.0,train,1.336092673023875E-4,93.68586031718918,0.8222348976370198
17.0,17.0,train,9.330246552044856E-5,44.33255860778757,0.7006699408832571
18.0,18.0,train,9.432875202273382E-5,45.51007975830441,0.7046151526236354
19.0,19.0,train,8.728570404061513E-5,37.62934162084052,0.6764572811698637
20.0,20.0,train,9.544096572478022E-5,46.86833214500616,0.7088319929630045
21.0,21.0,train,8.199005951577767E-5,32.80183033062417,0.6535311490297311
22.0,22.0,train,8.529163035344875E-5,35.62332916184313,0.6680081510905114
23.0,23.0,train,1.1487353175128033E-4,76.1408614220893,0.7735152879122168
24.0,24.0,train,9.869329277880257E-5,50.94788597171916,0.7208206062245501
25.0,25.0,train,7.467933266773934E-5,26.612330700824252,0.6191881055812242
26.0,26.0,train,7.640647614847412E-5,27.99650200909486,0.6275968012596812
27.0,27.0,train,5.0075965133301665E-5,14.587426831481418,0.4765841176499602
28.0,28.0,train,1.0180626396263512E-4,55.4996046136684,0.7318329071795837
29.0,29.0,train,1.0532486340932762E-4,60.47441632916068,0.7437580710034688
30.0,30.0,train,1.0516933294071957E-4,60.225734537875944,0.7432423300650745
31.0,31.0,train,1.1507323661043651E-4,76.42628126633522,0.7740992656107334
32.0,32.0,train,1.7576947054190657E-5,5.461935808225838,0.2032654140288811
33.0,33.0,train,7.89909121652912E-5,30.45468902920814,0.6398337581648601
34.0,34.0,train,1.08757455604196E-4,66.11352166562952,0.7548805369019571
35.0,35.0,train,1.0458078287684043E-4,59.311274539317196,0.7412812770109845
36.0,36.0,train,8.171187489761698E-5,32.56307977129104,0.6522828813592692
37.0,37.0,train,8.536050637803931E-5,35.69267658157084,0.6683036333398924
38.0,38.0,train,1.3248341284705984E-4,93.00797820030029,0.8196286096249868
39.0,39.0,train,9.81510286875669E-6,2.864444932867255,0.11916859216955455
40.0,40.0,train,1.2144058622366423E-4,84.21263446039818,0.7919498873421401
41.0,41.0,train,1.389620748397611E-4,96.32592709658493,0.8341203926770232
42.0,42.0,train,1.6784059188959243E-5,5.203887022481506,0.195056561913294
43.0,43.0,train,2.2145363085357504E-5,6.620307809140486,0.24895812416906493
44.0,44.0,train,1.2416396390639703E-4,86.78132728586598,0.7991473970084076
45.0,45.0,train,1.389050984696693E-4,96.30167045148823,0.833998162912361
46.0,46.0,train,8.459492604011655E-5,35.058298512970296,0.6650044102146675
47.0,47.0,train,1.0762528408772707E-4,63.99624372610686,0.7512664262384787
48.0,48.0,train,1.1984737099269858E-4,82.2619795551262,0.7876202461927497
49.0,49.0,train,7.654609383718138E-6,2.253418713098206,0.0942195319382858
50.0,50.0,train,1.1018784721523427E-4,68.4897700394764,0.7593716365506087
51.0,51.0,train,9.955717108620007E-5,52.289068279446795,0.7239211815848299
52.0,52.0,train,1.0782414720759753E-4,64.32528130822551,0.7519050715942109
53.0,53.0,train,1.2237159125049976E-4,85.02754330898303,0.7944389639646197
54.0,54.0,train,9.337469987416248E-5,44.44641756150305,0.7009493371505482
55.0,55.0,train,7.474555912349561E-5,26.669776855872687,0.619514006330057
56.0,56.0,train,6.455663602357694E-5,20.529734534852956,0.5659450553038629
57.0,57.0,train,1.3209049700156806E-4,92.68681435465162,0.8187100657097828
58.0,58.0,train,9.001702707307969E-5,40.49150127556434,0.6876823484140153
59.0,59.0,train,1.0406544456556955E-4,58.622473452709606,0.7395518707544716
60.0,60.0,train,6.696066972842578E-5,21.8087640213182,0.5792276591196567
61.0,61.0,train,2.8579082884120945E-5,8.089493240686618,0.30889851267819757
62.0,62.0,train,7.286624018719353E-5,25.35106606691744,0.6101566140653758
63.0,63.0,train,8.197890751399147E-5,32.79031342678195,0.6534811941894084
64.0,64.0,train,8.082624363549801E-5,31.87600541001268,0.6482788559278856
65.0,65.0,train,8.649559749105933E-5,36.7851710100996,0.6731355348556116
66.0,66.0,train,7.98484058995463E-5,31.15450083079287,0.6438043771280357
67.0,67.0,train,1.1577507151934776E-4,77.35811865044938,0.7761396552203014
68.0,68.0,train,7.369391589709291E-5,26.00167902571708,0.6143057550147575
69.0,69.0,train,1.088428182800695E-4,66.24971895941462,0.7551508925491259
70.0,70.0,train,1.3104779681818524E-4,91.95948750085503,0.816249738847491
71.0,71.0,train,4.279148226552825E-5,11.999068973108045,0.4248967021783715
72.0,72.0,train,3.073528494295058E-5,8.647003703008584,0.32789711070955874
73.0,73.0,train,1.2795014707377595E-4,89.81535162227084,0.8087419082808465
74.0,74.0,train,1.5757323113937288E-4,99.64315743556494,0.8695932510756885
75.0,75.0,train,1.0359360303606335E-4,58.08664573111609,0.7379582979656265
76.0,76.0,train,1.255227674823412E-4,87.80669948809427,0.8026448706370733
77.0,77.0,train,2.018281358668902E-5,6.192292120129145,0.22965911285612584
78.0,78.0,train,1.3273603814324342E-4,93.22100693200287,0.8202167279847669
79.0,79.0,train,1.1673575683610507E-4,78.54565714925863,0.7789027351947647
80.0,80.0,train,9.24790513024895E-5,43.40813832909814,0.6974665382486439
81.0,81.0,train,8.38579887697176E-5,34.47033024946179,0.6617976294169776
82.0,82.0,train,1.418952032537852E-4,97.53319961864904,0.8402926676433669
83.0,83.0,train,7.481671980870573E-5,26.73150306044233,0.6198638776036596
84.0,84.0,train,7.157566428704511E-5,24.43952723034443,0.6035977143531679
85.0,85.0,train,8.878671779314079E-6,2.5728571231063753,0.1084403314097615
86.0,86.0,train,8.655750049096565E-5,36.85033355426328,0.6733970126907131
87.0,87.0,train,1.2671059654544717E-4,88.99018320593714,0.805652340767051
88.0,88.0,train,8.99149064517786E-5,40.38941089072381,0.6872697515411306
89.0,89.0,train,1.0668945106070019E-4,62.50054541452741,0.7482388729169186
90.0,90.0,train,6.47272621313022E-6,1.9029290846606886,0.08027355871626041
91.0,91.0,train,1.210022759569255E-4,83.64499248211526,0.7907676358378757
92.0,92.0,train,1.0231159996150585E-4,56.19329616278017,0.733579119801485
93.0,93.0,train,1.0278058697597632E-4,56.88277159626668,0.7351895518796194
94.0,94.0,train,1.2609907837778773E-4,88.46867973977578,0.8041098032150314
95.0,95.0,train,1.1783929120228607E-4,80.02394301191606,0.7820346089177351
96.0,96.0,train,1.0121856507590197E-4,54.72876843987464,0.7297876851330305
97.0,97.0,train,9.956412470477665E-5,52.30083109916006,0.7239459988358743
98.0,98.0,train,1.0092670499131789E-4,54.338019906356266,0.7287662079491014
99.0,99.0,train,8.613616639988738E-5,36.30597383342215,0.671613158599429
100.0,100.0,train,9.650001881630401E-5,48.15750440020232,0.7127913163624915
101.0,101.0,train,8.866243573306017E-5,39.00773690589447,0.6821648487576817
102.0,102.0,train,9.47262004693497E-5,46.014310107265416,0.7061290031401244
103.0,103.0,train,4.246061707163551E-6,1.1714191444169844,0.05341340246472348
104.0,104.0,train,1.1836065671694619E-4,80.61537239320774,0.7834987950701848
105.0,105.0,train,1.0577015225727408E-4,61.08344323393133,0.7452289326073911
106.0,106.0,train,1.2000752819939116E-4,82.43586022848143,0.7880595240521612
107.0,107.0,train,1.1302101302006497E-4,73.33307753939219,0.7680256761182942
108.0,108.0,train,1.2367984582294206E-4,86.25042561149473,0.7978863892203887
109.0,109.0,train,1.0779321467560103E-4,64.25737974227287,0.7518058401212274
110.0,110.0,train,1.2014475568724862E-4,82.59836751702984,0.7884351876237772
111.0,111.0,train,1.0313379793709655E-4,57.40269434854624,0.7363959963881235
112.0,112.0,train,1.0503065050497321E-4,59.98133566745678,0.7427815820157011
113.0,113.0,train,8.886158716499194E-5,39.238805762309624,0.6829821001159041
114.0,114.0,train,1.0509177627896833E-5,3.1035936678220484,0.1270368990408648
115.0,115.0,train,1.2186062277236168E-4,84.62674113095123,0.7930765805026192
116.0,116.0,train,6.505027767655653E-5,20.7643643556375,0.5687062733398994
117.0,117.0,train,9.045514750084552E-5,41.09749988515467,0.6894463132988846
118.0,118.0,train,2.3406080543000113E-6,0.6670951208536389,0.02980600681917034
