X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,3.126163213511262E-5,23.641445128500163,0.5180931974978036
2.0,2.0,train,7.07904306982244E-5,75.67415302237389,0.8085367564971337
3.0,3.0,train,4.426738322307292E-5,36.733083939263004,0.6443142729335452
4.0,4.0,train,2.6185403378842347E-5,18.642978319231833,0.457445762306819
5.0,5.0,train,3.561174070869338E-5,27.628664986227125,0.5646416945092243
6.0,6.0,train,5.446970562771494E-5,50.593867386055535,0.7197145641223832
7.0,7.0,train,2.6887816518363243E-5,19.374731045073975,0.46627234997076206
8.0,8.0,train,8.875629633018405E-5,96.15093166018553,0.874140427690184
9.0,9.0,train,6.371724885308999E-5,65.27346507378859,0.7741513860547636
10.0,10.0,train,3.2674458307614034E-5,24.957809967319065,0.5337326438190066
11.0,11.0,train,2.202732796475574E-5,14.633229531622625,0.4021229318738563
12.0,12.0,train,8.768359177195388E-5,95.2270081861331,0.8709479269159082
13.0,13.0,train,5.810350921875508E-5,56.058144115388046,0.742516947266101
14.0,14.0,train,4.509503231308294E-5,37.780037271010265,0.6511225400786467
15.0,15.0,train,1.4487534301157136E-5,7.98768805581231,0.2870221885694618
16.0,16.0,train,6.0585879632245796E-5,60.20423716197959,0.7570181019844584
17.0,17.0,train,5.5557354686260326E-5,52.27659798738408,0.7267436647251768
18.0,18.0,train,4.4415988243711725E-5,36.92996038888217,0.6455464142448499
19.0,19.0,train,1.9334842665175124E-5,11.980027803289564,0.3633254556891402
20.0,20.0,train,4.934850170125559E-5,43.16178442534972,0.6841093682789221
21.0,21.0,train,4.924741071747517E-5,43.02775304522241,0.68336278925281
22.0,22.0,train,2.434114936674211E-5,16.834689519329974,0.43356968173055865
23.0,23.0,train,4.1384266049087175E-5,33.42748137371243,0.6195432412720393
24.0,24.0,train,6.598896407979862E-5,68.68823963362495,0.785819937829181
25.0,25.0,train,3.305063079502371E-5,25.27809682100147,0.5378104810763801
26.0,26.0,train,2.506541106404079E-5,17.56447397741989,0.4430689156209351
27.0,27.0,train,6.018124564908043E-5,59.50782842732813,0.7547113357735044
28.0,28.0,train,8.04799995036621E-5,87.67829629403992,0.8473068521589735
29.0,29.0,train,5.8570773988387104E-5,56.85377377036841,0.7453111530862013
30.0,30.0,train,4.525467361989349E-5,38.02774150523697,0.6524206840358553
31.0,31.0,train,7.840168796290711E-5,85.20449889156063,0.8397136452901629
32.0,32.0,train,6.271938426009791E-5,63.617843667178946,0.7688269617677195
33.0,33.0,train,4.277091023059699E-5,34.94788103921976,0.6316651765437036
34.0,34.0,train,2.9566446478168982E-5,21.921864109125988,0.4986342934129665
35.0,35.0,train,4.3233725489344704E-5,35.45792861250272,0.6356244880879438
36.0,36.0,train,8.886259914910284E-5,96.24647405103647,0.8744524646419238
37.0,37.0,train,5.110468346848667E-5,45.509018681346646,0.6968018187599948
38.0,38.0,train,7.052558646312064E-5,75.28717498175794,0.8073489833926228
39.0,39.0,train,2.6866518729720965E-5,19.35214192994084,0.4660068428783726
40.0,40.0,train,5.0903657745564906E-5,45.22409580202073,0.6953751870351961
41.0,41.0,train,5.458148743768648E-5,50.83726227174962,0.7204452301114913
42.0,42.0,train,6.739971998415022E-5,70.83207899927395,0.7927607603958511
43.0,43.0,train,8.181252566659116E-5,89.29474972267226,0.8519849562496018
44.0,44.0,train,2.1468896785371764E-5,14.020563719583237,0.394275452492194
45.0,45.0,train,6.873633648863848E-5,72.70101621308585,0.7991291960361709
46.0,46.0,train,8.719442043201263E-5,94.78127816568642,0.869465331318647
47.0,47.0,train,1.0115559946212128E-5,4.919832477570667,0.21038755083699523
48.0,48.0,train,8.012816235840534E-5,87.25324808028559,0.8460471715837832
49.0,49.0,train,6.884270812232186E-5,72.82646556503046,0.799627526333565
50.0,50.0,train,5.273761948947633E-5,48.08712356825883,0.7081455479413934
51.0,51.0,train,3.411139762590177E-5,26.281711725223847,0.5491184916322107
52.0,52.0,train,8.550097290709728E-5,93.28980280734707,0.8641999867788924
53.0,53.0,train,3.606209014051056E-5,27.99237246171457,0.5691960694202769
