x,y,species cloglog values
1.0,1.0,0.032404207
2.0,2.0,0.6237903
3.0,3.0,0.12344192
4.0,4.0,0.4851788
5.0,5.0,0.1774974
6.0,6.0,0.7217996
7.0,7.0,0.13571142
8.0,8.0,0.43901116
9.0,9.0,0.47017363
10.0,10.0,0.13720809
11.0,11.0,0.40006295
12.0,12.0,0.11500643
13.0,13.0,0.13600652
14.0,14.0,0.6346405
15.0,15.0,0.035022363
16.0,16.0,0.0082257455
17.0,17.0,0.08876449
18.0,18.0,0.050956562
19.0,19.0,0.023129102
20.0,20.0,0.046873618
21.0,21.0,0.5552088
22.0,22.0,0.4234745
23.0,23.0,0.07269106
24.0,24.0,0.04080228
25.0,25.0,0.14931315
26.0,26.0,0.51123554
27.0,27.0,0.6877324
28.0,28.0,0.14090413
29.0,29.0,0.41170737
30.0,30.0,0.008731154
31.0,31.0,0.48955745
32.0,32.0,0.0112030255
33.0,33.0,0.007982113
34.0,34.0,0.067905426
35.0,35.0,0.097663686
36.0,36.0,0.03942867
37.0,37.0,0.22132355
38.0,38.0,0.041286707
39.0,39.0,0.025496323
40.0,40.0,0.5181178
41.0,41.0,0.1746316
42.0,42.0,0.17449684
43.0,43.0,0.03841413
44.0,44.0,0.06629693
45.0,45.0,0.023643963
46.0,46.0,0.23739867
47.0,47.0,0.49976045
48.0,48.0,0.5488865
49.0,49.0,0.37067464
50.0,50.0,0.087148316
51.0,51.0,0.015035566
52.0,52.0,0.07902509
53.0,53.0,0.061373122
54.0,54.0,0.4276817
55.0,55.0,0.0074019386
56.0,56.0,0.008265796
57.0,57.0,0.019766008
58.0,58.0,0.01706121
59.0,59.0,0.055947855
60.0,60.0,0.24540436
61.0,61.0,0.5138463
62.0,62.0,0.5941845
63.0,63.0,0.06639868
64.0,64.0,0.16474947
65.0,65.0,0.62852174
66.0,66.0,0.06046295
67.0,67.0,0.47336724
68.0,68.0,0.022760931
69.0,69.0,0.080230646
70.0,70.0,0.4956167
71.0,71.0,0.05266332
72.0,72.0,0.6535874
73.0,73.0,0.49765328
74.0,74.0,0.031032214
75.0,75.0,0.06725068
76.0,76.0,0.02528102
77.0,77.0,0.17516495
78.0,78.0,0.11581053
79.0,79.0,0.06377308
80.0,80.0,0.09060393
81.0,81.0,0.35777944
82.0,82.0,0.06280094
83.0,83.0,0.4919297
84.0,84.0,0.010500776
85.0,85.0,0.10310972
86.0,86.0,0.022748189
87.0,87.0,0.018691711
88.0,88.0,0.14866802
89.0,89.0,0.13418582
90.0,90.0,0.073645726
91.0,91.0,0.015244105
92.0,92.0,0.15845872
93.0,93.0,0.4867582
94.0,94.0,0.05381424
95.0,95.0,0.17234842
96.0,96.0,0.34148964
97.0,97.0,0.06354876
98.0,98.0,0.5374217
99.0,99.0,0.5097647
100.0,100.0,0.039612852
101.0,101.0,0.38677678
102.0,102.0,0.05004978
103.0,103.0,0.105925076
104.0,104.0,0.06394847
105.0,105.0,0.034479454
106.0,106.0,0.15786313
107.0,107.0,0.041653704
108.0,108.0,0.53776985
109.0,109.0,0.019995825
110.0,110.0,0.35968208
111.0,111.0,0.5669142
112.0,112.0,0.22241265
113.0,113.0,0.58257216
114.0,114.0,0.5855707
115.0,115.0,0.023901716
116.0,116.0,0.1913315
117.0,117.0,0.029766222
118.0,118.0,0.015764223
119.0,119.0,0.30870435
120.0,120.0,0.60926765
121.0,121.0,0.011124097
122.0,122.0,0.0493042
123.0,123.0,0.027288496
124.0,124.0,0.051036306
125.0,125.0,0.6575851
126.0,126.0,0.06676965
127.0,127.0,0.0107989535
128.0,128.0,0.056943916
129.0,129.0,0.67051613
130.0,130.0,0.43188944
131.0,131.0,0.00828542
132.0,132.0,0.034800835
133.0,133.0,0.030248584
134.0,134.0,0.014109055
135.0,135.0,0.397779
136.0,136.0,0.058988024
137.0,137.0,0.05074357
138.0,138.0,0.052231494
139.0,139.0,0.023806836
140.0,140.0,0.6233602
141.0,141.0,0.06589712
142.0,142.0,0.7948528
143.0,143.0,0.06793294
144.0,144.0,0.030630661
145.0,145.0,0.041526362
146.0,146.0,0.13132343
147.0,147.0,0.05837725
148.0,148.0,0.38409406
149.0,149.0,0.08165803
150.0,150.0,0.5718399
151.0,151.0,0.5150234
152.0,152.0,0.060604915
153.0,153.0,0.088284574
154.0,154.0,0.5843184
155.0,155.0,0.012471232
156.0,156.0,0.048354562
157.0,157.0,0.14029196
158.0,158.0,0.062805206
159.0,159.0,0.10015451
160.0,160.0,0.60624117
161.0,161.0,0.03959896
162.0,162.0,0.2909458
163.0,163.0,0.05875183
164.0,164.0,0.05861199
165.0,165.0,0.50075006
166.0,166.0,0.4442628
167.0,167.0,0.19040185
168.0,168.0,0.5346441
169.0,169.0,0.6984646
170.0,170.0,0.0460665
171.0,171.0,0.109883174
172.0,172.0,0.011514095
173.0,173.0,0.050791778
174.0,174.0,0.08093307
175.0,175.0,0.070215024
176.0,176.0,0.56901765
177.0,177.0,0.0120970635
178.0,178.0,0.20346007
179.0,179.0,0.22650366
180.0,180.0,0.47797313
181.0,181.0,0.031377498
182.0,182.0,0.09165834
183.0,183.0,0.014446456
184.0,184.0,0.4775304
185.0,185.0,0.13711716
186.0,186.0,0.4493493
187.0,187.0,0.021831453
188.0,188.0,0.025983244
189.0,189.0,0.065053105
190.0,190.0,0.052906375
191.0,191.0,0.026850661
192.0,192.0,0.501118
193.0,193.0,0.029188782
194.0,194.0,0.35989445
195.0,195.0,0.02450885
196.0,196.0,0.7121928
