Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.28535E-6,0.000128535,0.000934713,1,0,0
2.06876E-6,0.000335412,0.001503982,0.999132697,0,0
2.58928E-6,0.00059434,0.001882038,0.998265395,0,0
4.41028E-6,0.001035367,0.003203524,0.997398092,0,0
8.97474E-6,0.003262108,0.006508238,0.994796184,0,0
1.0628E-5,0.005346091,0.007702535,0.993061578,0,0
1.13529E-5,0.010839695,0.008225728,0.988725065,0,0
1.37276E-5,0.025547699,0.009937705,0.978317433,0,0
1.54609E-5,0.050383096,0.011185452,0.963573287,0,0
2.21493E-5,0.101733593,0.0159854,0.939288812,0,0
3.3118E-5,0.201803299,0.023806785,0.908933218,0,0
4.15346E-5,0.301024006,0.029766214,0.885516045,0,0
4.82279E-5,0.403350507,0.034479407,0.865568083,0.002409639,0
5.71141E-5,0.504980689,0.040701491,0.849089332,0.002409639,0
6.48227E-5,0.602565133,0.046066513,0.835212489,0.002409639,0
7.15787E-5,0.705012159,0.050743856,0.822202949,0.002409639,0
7.39888E-5,0.755764976,0.052406877,0.81613183,0.002409639,0
7.60317E-5,0.800775442,0.053814229,0.810928014,0.002409639,0
8.26758E-5,0.905569221,0.058376902,0.799653079,0.002409639,0
8.59319E-5,1.006884263,0.06060492,0.789245447,0.002409639,0
9.0246E-5,1.103757043,0.063548764,0.779705117,0.002409639,0
9.42858E-5,1.204829794,0.066297101,0.770164788,0.002409639,0
9.79024E-5,1.300783105,0.068750663,0.761491761,0.002409639,0
1.0456E-4,1.402308749,0.073250088,0.752818734,0.002409639,0
1.11042E-4,1.509609326,0.077610661,0.744145707,0.002409639,0
1.24848E-4,1.759728066,0.086829269,0.72593235,0.002409639,0
1.36274E-4,2.005256555,0.094388589,0.709453599,0.002409639,0
1.51815E-4,2.264015311,0.104570335,0.693842151,0.004819277,0
1.67668E-4,2.505776668,0.114838662,0.680832611,0.004819277,0
1.83446E-4,2.754375414,0.124941756,0.668690373,0.004819277,0
2.01184E-4,3.008280974,0.136162045,0.657415438,0.012048193,0
2.14192E-4,3.256093249,0.144298669,0.647007806,0.012048193,0
2.29763E-4,3.522119575,0.153938072,0.636600173,0.014457831,0
2.52021E-4,3.763731572,0.167528191,0.627927147,0.01686747,0
2.64688E-4,4.021829399,0.175164952,0.61925412,0.021686747,0
2.85471E-4,4.27425404,0.18754299,0.611448395,0.021686747,0
3.14463E-4,4.514892207,0.204500745,0.604509974,0.028915663,0
3.38468E-4,4.776341748,0.218273502,0.597571552,0.028915663,0
3.53016E-4,5.01987841,0.226503735,0.591500434,0.031325301,0
3.67804E-4,5.273306924,0.234780783,0.585429315,0.03373494,0
3.80089E-4,5.534765045,0.241589768,0.579358196,0.038554217,0
4.07699E-4,5.771695201,0.256672459,0.57415438,0.038554217,0
4.3099E-4,6.023631898,0.269162306,0.568950564,0.040963855,0
4.56564E-4,6.289751235,0.282634763,0.563746748,0.045783133,0
4.74071E-4,6.524384639,0.291713541,0.559410234,0.05060241,0
4.9E-4,6.765453791,0.299874561,0.555073721,0.053012048,0
5.08725E-4,7.016370556,0.309348089,0.550737207,0.053012048,0
5.27086E-4,7.274863339,0.31851258,0.546400694,0.057831325,0
5.68517E-4,7.550786457,0.338748153,0.54206418,0.060240964,0
