x,y,species cloglog values
1.0,1.0,0.31247297
2.0,2.0,0.54171103
3.0,3.0,0.0049143387
4.0,4.0,0.30549762
5.0,5.0,0.27306634
6.0,6.0,0.70280105
7.0,7.0,0.7022266
8.0,8.0,0.1884652
9.0,9.0,0.760396
10.0,10.0,0.016415281
11.0,11.0,0.002629717
12.0,12.0,0.014123588
13.0,13.0,0.023031581
14.0,14.0,0.30129153
15.0,15.0,0.06821837
16.0,16.0,0.102991395
17.0,17.0,0.011392228
18.0,18.0,0.011489771
19.0,19.0,0.0044381446
20.0,20.0,0.005753119
21.0,21.0,0.020529382
22.0,22.0,0.005895669
23.0,23.0,0.03764318
24.0,24.0,0.09433644
25.0,25.0,0.19908613
26.0,26.0,0.0066218926
27.0,27.0,0.0067859096
28.0,28.0,0.0036068247
29.0,29.0,0.0027638164
30.0,30.0,0.03293665
31.0,31.0,0.24286743
32.0,32.0,0.4565983
33.0,33.0,0.036022555
34.0,34.0,0.007481055
35.0,35.0,0.02314677
36.0,36.0,0.012835615
37.0,37.0,0.02171379
38.0,38.0,0.015435125
39.0,39.0,0.016815677
40.0,40.0,0.37709975
41.0,41.0,0.009829567
42.0,42.0,0.0034883951
43.0,43.0,0.0101488875
44.0,44.0,0.31009755
45.0,45.0,0.011335612
46.0,46.0,0.043812595
47.0,47.0,0.044936404
48.0,48.0,0.0028846217
49.0,49.0,0.003500734
50.0,50.0,0.008946007
51.0,51.0,0.31069073
52.0,52.0,0.71863014
53.0,53.0,0.6859981
54.0,54.0,0.0143390475
55.0,55.0,0.16207597
56.0,56.0,0.036101982
57.0,57.0,0.012556858
58.0,58.0,0.0038163716
59.0,59.0,0.49804628
60.0,60.0,0.037537333
61.0,61.0,0.019095331
62.0,62.0,0.008640548
63.0,63.0,0.010647911
64.0,64.0,0.016055085
65.0,65.0,0.016921623
66.0,66.0,0.031961136
67.0,67.0,0.018690271
68.0,68.0,0.006003861
69.0,69.0,0.0074011995
70.0,70.0,0.06300348
71.0,71.0,0.0071734725
72.0,72.0,0.20079358
73.0,73.0,0.019756138
74.0,74.0,0.46108142
75.0,75.0,0.0035171132
76.0,76.0,0.19989897
77.0,77.0,0.0031317465
78.0,78.0,0.010483386
79.0,79.0,0.004803267
80.0,80.0,0.35398865
81.0,81.0,0.44990924
82.0,82.0,0.13352273
83.0,83.0,0.007950975
84.0,84.0,0.43057778
85.0,85.0,0.0073738242
86.0,86.0,0.009871461
87.0,87.0,0.0039800233
88.0,88.0,0.004180385
89.0,89.0,0.044974092
90.0,90.0,0.3006141
91.0,91.0,0.12184883
92.0,92.0,0.114252925
93.0,93.0,0.0055037416
94.0,94.0,0.24754988
95.0,95.0,0.059421677
96.0,96.0,0.613031
97.0,97.0,0.008966344
98.0,98.0,0.009476761
99.0,99.0,0.19357225
100.0,100.0,0.4239792
101.0,101.0,0.0034306196
102.0,102.0,0.009546889
103.0,103.0,0.013109359
104.0,104.0,0.6502829
105.0,105.0,0.010866444
106.0,106.0,0.19726022
107.0,107.0,0.007460174
