Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
4.46519E-7,0.000044652,0.000785126,1,0,0
4.78918E-7,0.000092544,0.00084207,0.999687695,0,0
5.09806E-7,0.000143524,0.000896357,0.99937539,0,0
5.37549E-7,0.000250945,0.000945112,0.998750781,0,0
7.809E-7,0.000516051,0.001372675,0.997501562,0,0
1.0861E-6,0.0010921,0.001908654,0.995627733,0,0
1.30017E-6,0.002581796,0.002284403,0.991880075,0,0
1.42391E-6,0.00503704,0.002501553,0.986258588,0,0
1.80045E-6,0.010094254,0.003162019,0.976577139,0,0
2.1197E-6,0.025094078,0.003721649,0.952841974,0.000852515,0
2.4993E-6,0.050149587,0.004386657,0.919113054,0.000852515,0
3.61082E-6,0.100020054,0.006331377,0.866333542,0.000852515,0
5.79911E-6,0.200185556,0.01014889,0.798875703,0.00170503,0
7.74525E-6,0.30037028,0.013531656,0.752654591,0.002557545,0
1.07259E-5,0.400318212,0.018690267,0.718301062,0.00341006,0
1.58211E-5,0.500994266,0.02744587,0.693628982,0.004262575,0
2.01816E-5,0.601094484,0.034877022,0.676139913,0.00511509,0
2.39152E-5,0.700516837,0.041194678,0.662086196,0.00511509,0
2.54695E-5,0.75024479,0.043812594,0.6558401,0.00511509,0
2.84322E-5,0.801751308,0.04878265,0.649906309,0.00511509,0
3.3098E-5,0.901121413,0.056557574,0.639912555,0.005967604,0
3.69115E-5,1.0023617,0.062865046,0.630855715,0.006820119,0
3.98188E-5,1.102322794,0.067645275,0.62273579,0.006820119,0
4.4715E-5,1.200553529,0.075640849,0.61555278,0.008525149,0
4.90883E-5,1.304456215,0.082724243,0.608682074,0.009377664,0
5.44541E-5,1.401712171,0.091341287,0.602748282,0.009377664,0
5.92329E-5,1.504070996,0.098947437,0.597126796,0.009377664,0
6.97946E-5,1.755224578,0.115532961,0.584946908,0.009377664,0
8.09163E-5,2.004698848,0.132667795,0.574640849,0.011935209,0
9.00471E-5,2.258520756,0.146486938,0.565271705,0.015345269,0
9.93673E-5,2.503780973,0.160365742,0.55715178,0.020460358,0
1.09304E-4,2.755170996,0.174914634,0.549656465,0.023017903,0
1.18978E-4,3.005768688,0.188835755,0.542785759,0.024722933,0
1.2837E-4,3.255161,0.20212675,0.536539663,0.027280477,0
1.35575E-4,3.505314872,0.212174867,0.530605871,0.029838022,0
1.43006E-4,3.755101465,0.222405346,0.524984385,0.033248082,0
1.53338E-4,4.007978036,0.23641005,0.519675203,0.037510656,0
1.61245E-4,4.260456839,0.2469564,0.514678326,0.039215686,0
1.65199E-4,4.506065637,0.252176381,0.509993754,0.042625746,0
1.74014E-4,4.762354707,0.263682273,0.505309182,0.046888321,0
1.80262E-4,5.009760522,0.271730776,0.500936914,0.049445865,0
1.88864E-4,5.268540056,0.28266712,0.496564647,0.05029838,0
1.95744E-4,5.519203144,0.291296525,0.492504685,0.051150895,0
2.0135E-4,5.757291956,0.298250407,0.488757027,0.05370844,0
2.06475E-4,6.00282743,0.304548148,0.485009369,0.054560955,0
2.11191E-4,6.253360959,0.310293753,0.481261711,0.05541347,0
2.1736E-4,6.509976703,0.31773656,0.477514054,0.059676044,0
2.27808E-4,6.75466797,0.33016185,0.474078701,0.063938619,0
