x,y,species cloglog values
1.0,1.0,0.7747635
2.0,2.0,0.11109402
3.0,3.0,0.05789707
4.0,4.0,0.11528864
5.0,5.0,0.29292244
6.0,6.0,0.23548444
7.0,7.0,0.68189466
8.0,8.0,0.058439452
9.0,9.0,0.056710985
10.0,10.0,0.08707332
11.0,11.0,0.0841459
12.0,12.0,0.43510795
13.0,13.0,0.76184803
14.0,14.0,0.38545468
15.0,15.0,0.07298955
16.0,16.0,0.1068887
17.0,17.0,0.28368387
18.0,18.0,0.26385087
19.0,19.0,0.5226634
20.0,20.0,0.06491388
21.0,21.0,0.276999
22.0,22.0,0.1070308
23.0,23.0,0.49386466
24.0,24.0,0.33206275
25.0,25.0,0.53903985
26.0,26.0,0.08487509
27.0,27.0,0.37640715
28.0,28.0,0.117988765
29.0,29.0,0.28682756
30.0,30.0,0.3599981
31.0,31.0,0.23704995
32.0,32.0,0.57782745
33.0,33.0,0.65681183
34.0,34.0,0.55443865
35.0,35.0,0.4727137
36.0,36.0,0.31513855
37.0,37.0,0.23423013
38.0,38.0,0.7208925
39.0,39.0,0.10325315
40.0,40.0,0.2740065
41.0,41.0,0.52480966
42.0,42.0,0.11298163
43.0,43.0,0.12259608
44.0,44.0,0.6489917
45.0,45.0,0.54281735
46.0,46.0,0.10381147
47.0,47.0,0.58894813
48.0,48.0,0.02784112
49.0,49.0,0.068122946
50.0,50.0,0.19010043
51.0,51.0,0.29737985
52.0,52.0,0.6322944
53.0,53.0,0.68811554
54.0,54.0,0.17525756
55.0,55.0,0.115438804
56.0,56.0,0.3012018
57.0,57.0,0.6547664
58.0,58.0,0.16494696
59.0,59.0,0.7675131
60.0,60.0,0.4946416
61.0,61.0,0.3064105
62.0,62.0,0.2549191
63.0,63.0,0.37670135
64.0,64.0,0.41657138
65.0,65.0,0.322122
66.0,66.0,0.22079638
67.0,67.0,0.3604323
68.0,68.0,0.63562965
69.0,69.0,0.35441267
70.0,70.0,0.21118458
71.0,71.0,0.047751248
72.0,72.0,0.10012659
73.0,73.0,0.069400884
74.0,74.0,0.26285937
75.0,75.0,0.09940049
