Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
4.76604E-8,0.000004766,0.00120348,1,0,0
7.22996E-8,0.000011996,0.001825078,0.999971744,0,0
8.4226E-8,0.000028096,0.002125821,0.999915233,0,0
9.89968E-8,0.000056818,0.002498161,0.999830465,0,0
1.33532E-7,0.000103678,0.003368173,0.999717442,0,0
1.83646E-7,0.000257667,0.004629301,0.99946314,0,0
2.15208E-7,0.000518294,0.005422753,0.999095815,0,0
2.93953E-7,0.001000195,0.007399606,0.998558956,0,0
4.29223E-7,0.002533326,0.010786289,0.997372213,0,0
5.73272E-7,0.005005478,0.014380091,0.99598768,0,0
7.37228E-7,0.010036647,0.018454641,0.993840242,0,0
1.00009E-6,0.025018036,0.024952053,0.989065017,0.000147297,0
1.23424E-6,0.050001799,0.030703536,0.98276398,0.000294594,0
1.65782E-6,0.100111767,0.041021876,0.972959227,0.000662837,0
2.09018E-6,0.200160713,0.051440866,0.957955412,0.001767565,0
2.3925E-6,0.300224979,0.058658898,0.945353338,0.002724996,0
2.62835E-6,0.400108181,0.064251694,0.934107541,0.00353513,0
2.85211E-6,0.500189665,0.069527265,0.923794185,0.003829725,0
3.05307E-6,0.600093061,0.074239794,0.914215479,0.004787156,0
3.24205E-6,0.700185668,0.078649476,0.905230143,0.005376344,0
3.32144E-6,0.750104945,0.080495705,0.900935266,0.00559729,0
3.41623E-6,0.800289966,0.082695425,0.896725156,0.005965532,0
3.59748E-6,0.900096964,0.086886555,0.888672261,0.006407424,0
3.76197E-6,1.000187663,0.090673612,0.880986692,0.007217558,0
3.91816E-6,1.100339505,0.094255202,0.873611935,0.007733098,0
4.06742E-6,1.200147848,0.097664431,0.866547992,0.008322286,0
4.22082E-6,1.300005212,0.101155038,0.859738352,0.008837826,0
4.37304E-6,1.400136626,0.104605283,0.853154757,0.009500663,0
4.51041E-6,1.500436258,0.107707832,0.846768953,0.009868906,0
4.87112E-6,1.750446001,0.115802897,0.831708626,0.011636471,0
5.19706E-6,2.000281415,0.123054666,0.817665508,0.013993224,0
5.5303E-6,2.250485785,0.130407435,0.804470063,0.016276329,0
5.84678E-6,2.500040192,0.137333267,0.792065779,0.018117543,0
6.18685E-6,2.750552128,0.144713666,0.780283123,0.020253351,0
6.4835E-6,3.000353734,0.1511004,0.769122093,0.021358079,0
6.81392E-6,3.250625966,0.158158012,0.758497923,0.022241862,0
7.16622E-6,3.500237309,0.165618207,0.748410613,0.023788481,0
7.53399E-6,3.750030206,0.173335457,0.738803651,0.025703344,0
7.89177E-6,4.000672003,0.180774627,0.729620525,0.026660775,0
8.24899E-6,4.250336662,0.188135413,0.720889492,0.028133746,0
8.60771E-6,4.50067655,0.195460598,0.712497528,0.030269554,0
8.91416E-6,4.750387012,0.201665969,0.704444633,0.031889822,0
9.20614E-6,5.000363596,0.207533894,0.69664604,0.03351009,0
9.52499E-6,5.250558846,0.213892373,0.689101749,0.035351304,0
9.83318E-6,5.500338857,0.219989877,0.68181176,0.036676977,0
1.01502E-5,5.7503276,0.226213601,0.674747817,0.038739137,0
1.0442E-5,6.000433204,0.231897591,0.667881665,0.040580351,0
1.07309E-5,6.250077085,0.237483948,0.661213303,0.042863456,0
1.10927E-5,6.500887831,0.244421014,0.654714475,0.045293858,0
1.14233E-5,6.750617202,0.250707299,0.648441694,0.047650611,0
1.17572E-5,7.000795044,0.25700134,0.642338448,0.049197231,0
1.21671E-5,7.250877301,0.264657593,0.636432991,0.051627633,0
1.25221E-5,7.50029404,0.27122374,0.630725326,0.054647223,0
1.28662E-5,7.750292713,0.277531098,0.625158939,0.056267492,0
1.32334E-5,8.001194711,0.284203877,0.619733831,0.058329651,0
1.35905E-5,8.250724406,0.29063334,0.614478257,0.06039181,0
1.39069E-5,8.500829592,0.296281319,0.609335707,0.062306673,0
1.43136E-5,8.750527516,0.303474702,0.604334435,0.064295183,0
1.46515E-5,9.001060633,0.309396024,0.599446187,0.067388422,0
1.49563E-5,9.251275605,0.314694347,0.594670962,0.070187067,0
1.52981E-5,9.500712503,0.320586957,0.590008759,0.072470172,0
1.56315E-5,9.751014129,0.326287055,0.585431324,0.07563706,0
1.59999E-5,10.000911718,0.33252815,0.580966912,0.077772868,0
1.63765E-5,10.250270476,0.338848995,0.576615524,0.080350567,0
1.67456E-5,10.500031223,0.344986547,0.572348902,0.083222861,0
1.70706E-5,10.750310522,0.35034321,0.568167048,0.085726911,0
1.73655E-5,11.000060986,0.35516647,0.564069961,0.088893799,0
1.77339E-5,11.251113262,0.361140384,0.560029386,0.091324201,0
1.81337E-5,11.500444616,0.367561058,0.556101834,0.092944469,0
1.84485E-5,11.750938318,0.372572318,0.552230793,0.095522168,0
1.87858E-5,12.000300811,0.377896891,0.54844452,0.098541759,0
1.91325E-5,12.250645079,0.383322721,0.544714758,0.100456621,0
1.94739E-5,12.501554404,0.388618999,0.541041508,0.103991751,0
1.98125E-5,12.751111244,0.393826714,0.537453025,0.106127559,0
2.0211E-5,13.001324751,0.399900124,0.533921053,0.108926204,0
2.05033E-5,13.251832023,0.404315138,0.530445594,0.111062012,0
2.08226E-5,13.501997168,0.409101974,0.527026645,0.114523494,0
2.1156E-5,13.751930584,0.414057921,0.523664208,0.117616733,0
2.14805E-5,14.001402809,0.418842587,0.520358283,0.119752541,0
2.17881E-5,14.250050393,0.423341553,0.517108869,0.122698483,0
2.2105E-5,14.500192989,0.427940219,0.513887712,0.125349831,0
2.24539E-5,14.752025004,0.43296167,0.510694809,0.127780233,0
2.27524E-5,15.00073474,0.437222273,0.507586675,0.129842392,0
2.30345E-5,15.250312613,0.441219145,0.504506796,0.13249374,0
2.33259E-5,15.500798416,0.445317486,0.501455172,0.135292385,0
2.36464E-5,15.752079141,0.449791472,0.498431805,0.137501841,0
2.38955E-5,16.001621412,0.453243393,0.495464949,0.139932243,0
2.41751E-5,16.251518266,0.45709262,0.492526349,0.142436294,0
2.45038E-5,16.502300729,0.461582455,0.489616004,0.144572102,0
2.48106E-5,16.75135969,0.465739983,0.486762171,0.147002504,0
2.51298E-5,17.001146464,0.470032204,0.483936594,0.1497275,0
2.53824E-5,17.251206414,0.473402719,0.481139273,0.152673442,0
2.56524E-5,17.501321889,0.476983663,0.478370207,0.155545736,0
2.59446E-5,17.751651228,0.480830998,0.475629397,0.158270732,0
2.62293E-5,18.002187168,0.484551365,0.472916843,0.160774783,0
2.65134E-5,18.250014771,0.488238354,0.470260801,0.163352482,0
2.67294E-5,18.500152093,0.491023718,0.467604758,0.165193696,0
2.69495E-5,18.752448149,0.493846435,0.464948716,0.167255855,0
2.72261E-5,19.001631899,0.497371378,0.462349185,0.169391663,0
2.74523E-5,19.250285465,0.500236481,0.45977791,0.171822065,0
2.7715E-5,19.501413708,0.503541767,0.457206634,0.175283547,0
2.79806E-5,19.751962057,0.506862316,0.454663615,0.178008543,0
2.82405E-5,20.002193898,0.510089792,0.452148851,0.180438945,0
2.84702E-5,20.251804817,0.512925129,0.449662344,0.182795699,0
2.87699E-5,20.500841822,0.516599949,0.447204091,0.185152452,0
2.89607E-5,20.752011617,0.518924598,0.444745839,0.187656503,0
2.92118E-5,21.00217725,0.521967111,0.442315843,0.190307851,0
2.94239E-5,21.251301327,0.524522124,0.439914102,0.19340109,0
2.9665E-5,21.502280432,0.527410049,0.437512362,0.195536898,0
2.99094E-5,21.75246318,0.53031885,0.435138877,0.198114597,0
3.01258E-5,22.0016507,0.532879872,0.432793648,0.200397702,0
3.03742E-5,22.252773898,0.535802682,0.430448419,0.202680807,0
3.06044E-5,22.502819225,0.538494342,0.428131446,0.205774046,0
3.07843E-5,22.751451979,0.540587499,0.425842728,0.208719988,0
3.09913E-5,23.001600236,0.542984276,0.423554011,0.211297687,0
3.11856E-5,23.250301774,0.545221511,0.421293549,0.214243629,0
3.13758E-5,23.500612553,0.547402797,0.419033088,0.217042274,0
3.16041E-5,23.752676111,0.550005817,0.416772626,0.219988216,0
3.17906E-5,24.003029747,0.552120466,0.41454042,0.222786861,0
3.20398E-5,24.252027451,0.554932272,0.41233647,0.225511857,0
3.22521E-5,24.502803754,0.557312834,0.41013252,0.228531448,0
3.24871E-5,24.752070614,0.559934031,0.407956825,0.230888202,0
3.26948E-5,25.00307076,0.562236789,0.405781131,0.233392252,0
3.29087E-5,25.252473897,0.564596699,0.403633692,0.235896303,0
3.31072E-5,25.500009861,0.566774692,0.401514509,0.238400354,0
3.32925E-5,25.752294201,0.568798542,0.399367071,0.240830756,0
3.34997E-5,26.00274229,0.571049831,0.397247888,0.24414494,0
3.37124E-5,26.251503201,0.573348857,0.395156961,0.246869937,0
3.39108E-5,26.501666217,0.575482221,0.393066034,0.249521284,0
3.41162E-5,26.753335031,0.577679312,0.390975107,0.252540875,0
3.43383E-5,27.003286915,0.580043482,0.388912435,0.255118574,0
3.45285E-5,27.251254908,0.582056715,0.38687802,0.258138165,0
3.46972E-5,27.50048864,0.583833695,0.384843604,0.261378701,0
3.48989E-5,27.751128994,0.585949778,0.382809189,0.263588157,0
3.51306E-5,28.003274214,0.588366086,0.380774773,0.266313154,0
3.52681E-5,28.253190835,0.589793619,0.378768613,0.26903815,0
3.54291E-5,28.500595604,0.591458836,0.37679071,0.271542201,0
3.55911E-5,28.752726614,0.593127982,0.37478455,0.274414494,0
3.57452E-5,29.002442993,0.594709201,0.372806646,0.27713949,0
