x,y,species cloglog values
1.0,1.0,0.769234
2.0,2.0,0.2933919
3.0,3.0,0.69329226
4.0,4.0,0.4910459
5.0,5.0,0.7723766
6.0,6.0,0.16414563
7.0,7.0,0.42535922
8.0,8.0,0.0996279
9.0,9.0,0.42388985
10.0,10.0,0.7268391
11.0,11.0,0.20410058
12.0,12.0,0.51368797
13.0,13.0,0.45313483
14.0,14.0,0.019399129
15.0,15.0,0.038223036
16.0,16.0,0.41276005
17.0,17.0,0.008563008
18.0,18.0,0.7555675
19.0,19.0,0.7544403
20.0,20.0,0.58872765
21.0,21.0,0.051400356
22.0,22.0,0.24100144
23.0,23.0,0.14763477
24.0,24.0,0.048951212
25.0,25.0,0.0066614384
26.0,26.0,0.5754296
27.0,27.0,0.022640765
28.0,28.0,0.118174314
29.0,29.0,0.19682951
30.0,30.0,0.123188116
31.0,31.0,0.016894937
32.0,32.0,0.69884807
33.0,33.0,0.5150013
34.0,34.0,0.5385431
35.0,35.0,0.4272511
36.0,36.0,0.6193791
37.0,37.0,0.36988145
38.0,38.0,0.010137216
39.0,39.0,0.034262165
40.0,40.0,0.040595427
41.0,41.0,0.05487198
42.0,42.0,0.85593975
43.0,43.0,0.5082577
44.0,44.0,0.06956757
45.0,45.0,0.20438428
46.0,46.0,0.03665741
47.0,47.0,0.34485742
48.0,48.0,0.31103376
49.0,49.0,0.075447164
50.0,50.0,0.027120017
51.0,51.0,0.010485835
52.0,52.0,0.36594394
53.0,53.0,0.7728111
54.0,54.0,0.2157398
55.0,55.0,0.55157584
56.0,56.0,0.03225381
57.0,57.0,0.6468302
58.0,58.0,0.024060352
59.0,59.0,0.023296185
60.0,60.0,0.047084883
61.0,61.0,0.108196765
62.0,62.0,0.34237796
63.0,63.0,0.33422276
64.0,64.0,0.7597507
65.0,65.0,0.7180316
66.0,66.0,0.64510465
67.0,67.0,0.014163802
68.0,68.0,0.6323864
69.0,69.0,0.7515501
70.0,70.0,0.4792035
71.0,71.0,0.017871637
72.0,72.0,0.018089566
73.0,73.0,0.025571795
74.0,74.0,0.7328612
75.0,75.0,0.04015357
76.0,76.0,0.38743827
77.0,77.0,0.02988168
78.0,78.0,0.6251291
79.0,79.0,0.0063202437
80.0,80.0,0.51784694
81.0,81.0,0.03134823
82.0,82.0,0.07563551
83.0,83.0,0.12977062
84.0,84.0,0.06584135
85.0,85.0,0.026576912
86.0,86.0,0.29613888
87.0,87.0,0.39777672
88.0,88.0,0.16682546
89.0,89.0,0.023959791
90.0,90.0,0.04308145
91.0,91.0,0.30092937
92.0,92.0,0.6094454
93.0,93.0,0.326458
94.0,94.0,0.73127586
95.0,95.0,0.1384107
96.0,96.0,0.3023655
97.0,97.0,0.046836935
98.0,98.0,0.061742425
99.0,99.0,0.05885944
100.0,100.0,0.37794998
101.0,101.0,0.22014886
102.0,102.0,0.6854848
103.0,103.0,0.3035414
104.0,104.0,0.107423745
105.0,105.0,0.26302445
106.0,106.0,0.1371384
107.0,107.0,0.026417281
108.0,108.0,0.34220114
109.0,109.0,0.75335306
110.0,110.0,0.06624614
111.0,111.0,0.06963436
112.0,112.0,0.42675465
113.0,113.0,0.75322807
114.0,114.0,0.028617783
115.0,115.0,0.02817387
116.0,116.0,0.42931387
117.0,117.0,0.08724477
118.0,118.0,0.2945932
119.0,119.0,0.29066584
120.0,120.0,0.63935757
121.0,121.0,0.022158703
122.0,122.0,0.47062927
123.0,123.0,0.112408556
124.0,124.0,0.8450788
125.0,125.0,0.034170456
126.0,126.0,0.017229188
127.0,127.0,0.21687925
128.0,128.0,0.82703125
129.0,129.0,0.28805926
130.0,130.0,0.66938734
131.0,131.0,0.18061608
132.0,132.0,0.15252356
133.0,133.0,0.75492644
134.0,134.0,0.6234332
135.0,135.0,0.12627201
136.0,136.0,0.71948236
137.0,137.0,0.7758093
138.0,138.0,0.021268722
139.0,139.0,0.4461748
140.0,140.0,0.2173227
141.0,141.0,0.5304652
142.0,142.0,0.47720712
143.0,143.0,0.6383352
144.0,144.0,0.059713215
145.0,145.0,0.009305386
146.0,146.0,0.5578412
147.0,147.0,0.05181204
148.0,148.0,0.13786826
149.0,149.0,0.4604109
150.0,150.0,0.018485226
151.0,151.0,0.5397314
152.0,152.0,0.5618515
153.0,153.0,0.5681346
154.0,154.0,0.3774851
155.0,155.0,0.0096842805
156.0,156.0,0.8205291
157.0,157.0,0.6710755
158.0,158.0,0.3002764
159.0,159.0,0.15913795
160.0,160.0,0.108429834
161.0,161.0,0.20829526
162.0,162.0,0.30347311
163.0,163.0,0.051587388
164.0,164.0,0.0344832
165.0,165.0,0.13953024
166.0,166.0,0.028731989
167.0,167.0,0.48406386
168.0,168.0,0.43335903
169.0,169.0,0.06506451
170.0,170.0,0.6922891
171.0,171.0,0.038392887
172.0,172.0,0.20705792
173.0,173.0,0.55006105
174.0,174.0,0.25329387
175.0,175.0,0.4652668
176.0,176.0,0.61978453
177.0,177.0,0.13074325
178.0,178.0,0.6612687
179.0,179.0,0.3088031
180.0,180.0,0.33101472
181.0,181.0,0.22542268
182.0,182.0,0.0532507
183.0,183.0,0.65230197
184.0,184.0,0.28620586
185.0,185.0,0.6459836
186.0,186.0,0.7497451
187.0,187.0,0.0056249932
188.0,188.0,0.07552952
189.0,189.0,0.53782094
190.0,190.0,0.061299723
191.0,191.0,0.049201936
192.0,192.0,0.4708103
193.0,193.0,0.37258288
194.0,194.0,0.039373606
195.0,195.0,0.39452597
196.0,196.0,0.41003764
197.0,197.0,0.041847043
198.0,198.0,0.121291436
199.0,199.0,0.041011322
200.0,200.0,0.5323779
201.0,201.0,0.044188116
202.0,202.0,0.84220976
203.0,203.0,0.6782388
204.0,204.0,0.1264947
205.0,205.0,0.015845908
206.0,206.0,0.007947242
207.0,207.0,0.28541505
208.0,208.0,0.68221223
209.0,209.0,0.2079106
210.0,210.0,0.6479086
211.0,211.0,0.027480662
212.0,212.0,0.3783199
213.0,213.0,0.5128891
214.0,214.0,0.014963294
215.0,215.0,0.38822263
216.0,216.0,0.05979888
217.0,217.0,0.49775755
218.0,218.0,0.2273457
219.0,219.0,0.39619982
220.0,220.0,0.7011402
221.0,221.0,0.07213217
222.0,222.0,0.3078575
223.0,223.0,0.17581129
224.0,224.0,0.1115641
225.0,225.0,0.5597785
226.0,226.0,0.70293087
227.0,227.0,0.61003023
228.0,228.0,0.72562903
229.0,229.0,0.33829987
230.0,230.0,0.41773686
231.0,231.0,0.028078895
232.0,232.0,0.078172915
233.0,233.0,0.7894135
234.0,234.0,0.57830083
235.0,235.0,0.59939647
236.0,236.0,0.46247727
237.0,237.0,0.53065586
238.0,238.0,0.028044557
239.0,239.0,0.5528955
240.0,240.0,0.5604762
241.0,241.0,0.6448104
242.0,242.0,0.2809486
243.0,243.0,0.05577684
244.0,244.0,0.016312463
245.0,245.0,0.036153592
246.0,246.0,0.0616159
247.0,247.0,0.54932517
248.0,248.0,0.26953205
249.0,249.0,0.12289596
250.0,250.0,0.7177559
251.0,251.0,0.5015678
252.0,252.0,0.39966667
253.0,253.0,0.116719805
254.0,254.0,0.14743707
255.0,255.0,0.6202358
256.0,256.0,0.45770887
257.0,257.0,0.44220534
258.0,258.0,0.009827077
259.0,259.0,0.4151622
260.0,260.0,0.015730593
261.0,261.0,0.468824
262.0,262.0,0.05150352
263.0,263.0,0.03797771
264.0,264.0,0.61475563
265.0,265.0,0.1211384
266.0,266.0,0.6412841
267.0,267.0,0.36173007
268.0,268.0,0.45246133
269.0,269.0,0.3179678
270.0,270.0,0.5620131
271.0,271.0,0.6188594
272.0,272.0,0.22793326
273.0,273.0,0.68495214
274.0,274.0,0.27507153
275.0,275.0,0.2457275
276.0,276.0,0.03454847
277.0,277.0,0.2859805
278.0,278.0,0.3165899
279.0,279.0,0.03982239
280.0,280.0,0.14727543
281.0,281.0,0.64916164
282.0,282.0,0.5095296
283.0,283.0,0.4841426
284.0,284.0,0.111857004
285.0,285.0,0.094495215
286.0,286.0,0.06442918
287.0,287.0,0.011526984
288.0,288.0,0.38957536
289.0,289.0,0.27167925
290.0,290.0,0.038905982
291.0,291.0,0.29106188
292.0,292.0,0.31280565
293.0,293.0,0.34655496
294.0,294.0,0.24010007
295.0,295.0,0.84023345
296.0,296.0,0.19123237
297.0,297.0,0.51526946
298.0,298.0,0.7768941
299.0,299.0,0.27927682
300.0,300.0,0.5142145
301.0,301.0,0.7581164
302.0,302.0,0.78652775
303.0,303.0,0.43094653
304.0,304.0,0.010628057
305.0,305.0,0.66819644
306.0,306.0,0.6881072
307.0,307.0,0.41838622
308.0,308.0,0.30339292
309.0,309.0,0.28108296
310.0,310.0,0.8111198
311.0,311.0,0.31680244
312.0,312.0,0.33483982
313.0,313.0,0.60903984
314.0,314.0,0.27287695
315.0,315.0,0.615039
316.0,316.0,0.016718615
317.0,317.0,0.39240566
318.0,318.0,0.24786045
319.0,319.0,0.0343173
320.0,320.0,0.39141336
321.0,321.0,0.67287695
322.0,322.0,0.3007678
323.0,323.0,0.06896364
324.0,324.0,0.06276136
325.0,325.0,0.0154969515
326.0,326.0,0.09345603
327.0,327.0,0.74594355
328.0,328.0,0.041844457
329.0,329.0,0.5522668
330.0,330.0,0.096967235
331.0,331.0,0.58937633
332.0,332.0,0.02396411
333.0,333.0,0.09752833
334.0,334.0,0.19208688
335.0,335.0,0.30913135
336.0,336.0,0.78730726
337.0,337.0,0.020983616
338.0,338.0,0.25392094
339.0,339.0,0.07422624
340.0,340.0,0.012025374
341.0,341.0,0.30179575
342.0,342.0,0.034750607
343.0,343.0,0.434446
344.0,344.0,0.5348124
345.0,345.0,0.11764586
346.0,346.0,0.06613773
347.0,347.0,0.64604294
348.0,348.0,0.39305037
349.0,349.0,0.10974486
350.0,350.0,0.23139326
351.0,351.0,0.091705255
352.0,352.0,0.17997752
353.0,353.0,0.066481456
354.0,354.0,0.50514215
355.0,355.0,0.6205019
356.0,356.0,0.1214422
357.0,357.0,0.7159154
358.0,358.0,0.1980896
359.0,359.0,0.7366493
360.0,360.0,0.055291675
361.0,361.0,0.26046547
362.0,362.0,0.056378882
363.0,363.0,0.02207312
364.0,364.0,0.7211023
365.0,365.0,0.6699251
366.0,366.0,0.5349049
367.0,367.0,0.11334504
368.0,368.0,0.38848233
369.0,369.0,0.031103762
370.0,370.0,0.73846245
371.0,371.0,0.6049834
372.0,372.0,0.52052313
373.0,373.0,0.006083476
374.0,374.0,0.77781886
375.0,375.0,0.06001202
376.0,376.0,0.19439213
377.0,377.0,0.30344805
378.0,378.0,0.029654806
379.0,379.0,0.6844255
380.0,380.0,0.19107872
381.0,381.0,0.71248406
382.0,382.0,0.32654092
383.0,383.0,0.525648
384.0,384.0,0.4372526
385.0,385.0,0.5734697
386.0,386.0,0.29226416
387.0,387.0,0.69402796
388.0,388.0,0.47263032
389.0,389.0,0.2053803
390.0,390.0,0.018868959
391.0,391.0,0.51862895
392.0,392.0,0.6756244
393.0,393.0,0.015873779
394.0,394.0,0.3421188
395.0,395.0,0.210156
396.0,396.0,0.4200413
397.0,397.0,0.110040255
398.0,398.0,0.63468534
399.0,399.0,0.012805375
400.0,400.0,0.030945668
401.0,401.0,0.2591576
402.0,402.0,0.3383362
403.0,403.0,0.5525044
404.0,404.0,0.045562264
405.0,405.0,0.63852036
406.0,406.0,0.1263533
407.0,407.0,0.1416093
408.0,408.0,0.72629964
409.0,409.0,0.66080827
410.0,410.0,0.13849203
411.0,411.0,0.015461549
412.0,412.0,0.418405
413.0,413.0,0.27939758
414.0,414.0,0.6027266
415.0,415.0,0.03877812
416.0,416.0,0.59388876
417.0,417.0,0.09474365
418.0,418.0,0.16135
419.0,419.0,0.60800993
420.0,420.0,0.305964
421.0,421.0,0.3205642
422.0,422.0,0.11538916
423.0,423.0,0.11378563
424.0,424.0,0.57126683
425.0,425.0,0.06436585
426.0,426.0,0.027064173
427.0,427.0,0.024737801
428.0,428.0,0.43456873
429.0,429.0,0.56692135
430.0,430.0,0.199902
431.0,431.0,0.26329756
432.0,432.0,0.30715728
433.0,433.0,0.016885962
434.0,434.0,0.60531265
435.0,435.0,0.51812667
436.0,436.0,0.0896409
437.0,437.0,0.64431113
438.0,438.0,0.023488324
439.0,439.0,0.6929574
440.0,440.0,0.022099392
441.0,441.0,0.5822048
442.0,442.0,0.12431285
443.0,443.0,0.030412968
444.0,444.0,0.069327794
445.0,445.0,0.38246888
446.0,446.0,0.46402934
447.0,447.0,0.31670222
448.0,448.0,0.16364917
449.0,449.0,0.007211139
450.0,450.0,0.14077322
451.0,451.0,0.03662735
452.0,452.0,0.017614713
453.0,453.0,0.049425278
454.0,454.0,0.27138147
455.0,455.0,0.5747924
456.0,456.0,0.27917737
457.0,457.0,0.04393672
458.0,458.0,0.35650688
459.0,459.0,0.2679038
460.0,460.0,0.2598936
461.0,461.0,0.795443
462.0,462.0,0.135303
463.0,463.0,0.019096594
464.0,464.0,0.024613531
465.0,465.0,0.018170966
466.0,466.0,0.13218826
467.0,467.0,0.47626567
468.0,468.0,0.3132595
469.0,469.0,0.112498924
470.0,470.0,0.0921392
471.0,471.0,0.3247636
