Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.5057E-7,0.000015057,0.00406991,1,0,0
1.57679E-7,0.000030825,0.00426167,0.999972922,0,0
1.59308E-7,0.000062576,0.004305595,0.999918765,0,0
1.65243E-7,0.000111658,0.004465657,0.99983753,0,0
1.77874E-7,0.000250542,0.004806182,0.999620904,0,0
1.94017E-7,0.000509991,0.005241207,0.999241809,0,0
2.07266E-7,0.001010408,0.005598124,0.998564852,0,0
2.3425E-7,0.002514694,0.006324625,0.996723531,0,0
2.67204E-7,0.005012141,0.007211145,0.994015705,0,0
3.13875E-7,0.010027549,0.008465344,0.989331167,0,0
4.37903E-7,0.025009459,0.011790651,0.978445708,0,0
5.74859E-7,0.050050448,0.015449607,0.965204441,0.000490505,0
7.62405E-7,0.100011615,0.020438156,0.944922827,0.001121155,0
1.17602E-6,0.200028322,0.031350776,0.916815597,0.001681732,0
1.52608E-6,0.300016509,0.040491644,0.896804766,0.001962021,0
1.89204E-6,0.400151354,0.049955364,0.880855673,0.002032093,0
2.24305E-6,0.500167463,0.058944954,0.867776875,0.002102165,0
2.58435E-6,0.60021025,0.067603995,0.856485242,0.002522598,0
3.00797E-6,0.700235815,0.07824105,0.846818305,0.003083176,0
3.23919E-6,0.750287162,0.083995652,0.842485784,0.003363464,0
3.43778E-6,0.800222126,0.088909468,0.838424045,0.003713825,0
3.797E-6,0.900157516,0.097731118,0.830923369,0.004414547,0
4.09547E-6,1.00036038,0.104995634,0.824045491,0.005325485,0
4.32078E-6,1.100195692,0.11044087,0.817627945,0.00644664,0
4.52968E-6,1.200203445,0.115459932,0.811508259,0.006797001,0
4.73047E-6,1.300179971,0.120257394,0.805659356,0.007147362,0
4.97137E-6,1.40004137,0.125978874,0.800081235,0.007637867,0
5.21884E-6,1.500433069,0.131817754,0.794746818,0.008338589,0
5.93352E-6,1.750146968,0.148461644,0.78261576,0.009319599,0
6.60228E-6,2.000354804,0.163747189,0.771784457,0.01065097,0
7.39792E-6,2.25066685,0.181575687,0.762090441,0.012612991,0
8.08485E-6,2.500313161,0.196662291,0.753344165,0.014645084,0
8.78726E-6,2.750633197,0.211801207,0.745301923,0.017307827,0
9.4714E-6,3.000656785,0.226272109,0.73788248,0.020741364,0
1.0163E-5,3.250149359,0.240630353,0.731004603,0.023053745,0
1.07323E-5,3.500162677,0.252250616,0.7245329,0.025716488,0
1.1179E-5,3.751075498,0.261243539,0.718331979,0.028379231,0
1.1583E-5,4.00033824,0.269283298,0.712401841,0.030831757,0
1.19223E-5,4.250720823,0.275967215,0.706634173,0.033074066,0
1.22184E-5,4.500537866,0.281749688,0.701028974,0.035106159,0
1.2516E-5,4.750442452,0.287516656,0.695559166,0.037628758,0
1.28059E-5,5.001166475,0.293089927,0.690197671,0.040011212,0
1.30927E-5,5.250971546,0.298558508,0.684971568,0.043234532,0
1.33934E-5,5.500016597,0.304249766,0.679880856,0.045336697,0
1.36756E-5,5.750334896,0.309546747,0.674871378,0.047298718,0
1.39535E-5,6.00045233,0.314723913,0.669970214,0.049400883,0
1.42216E-5,6.25120396,0.319682489,0.665150284,0.05220377,0
1.44884E-5,6.500785994,0.324580767,0.660438668,0.054936585,0
1.47956E-5,6.75114699,0.330177583,0.655808286,0.057178894,0
1.50706E-5,7.000609462,0.335148302,0.651286217,0.059351132,0
1.53389E-5,7.251429191,0.339961455,0.646818305,0.06124308,0
1.56121E-5,7.500539808,0.344827185,0.642458706,0.062714596,0
1.59237E-5,7.751277038,0.350333846,0.638153263,0.065026978,0
1.62133E-5,8.000366122,0.355409411,0.633956133,0.066848854,0
1.64605E-5,8.25033637,0.359712082,0.62981316,0.069021092,0
1.67678E-5,8.501395931,0.365018884,0.625724343,0.07154369,0
1.70621E-5,8.75019255,0.370060788,0.62174384,0.073856072,0
1.73364E-5,9.001319913,0.374723112,0.617790414,0.07574802,0
1.76244E-5,9.251336096,0.379581433,0.613918224,0.07735968,0
1.78595E-5,9.501696531,0.38352016,0.61010019,0.079251629,0
1.81303E-5,9.750062674,0.388025014,0.60636339,0.081704155,0
1.83806E-5,10.000124842,0.392158918,0.602653669,0.083876393,0
1.86237E-5,10.251543143,0.396147976,0.598971026,0.086819424,0
1.88621E-5,10.500744342,0.400034535,0.595369618,0.088851517,0
1.90934E-5,10.751164516,0.403782544,0.591795288,0.09088361,0
1.9356E-5,11.001244546,0.40800778,0.588275115,0.093756569,0
1.95959E-5,11.250565496,0.411841543,0.584809098,0.095858734,0
1.97895E-5,11.500663315,0.414917567,0.58137016,0.09733025,0
2.00102E-5,11.751487425,0.418404868,0.577958299,0.09957256,0
2.0227E-5,12.001006165,0.421809843,0.574600596,0.101534581,0
2.04802E-5,12.251292718,0.425762242,0.57126997,0.103076168,0
2.07397E-5,12.500557926,0.429783748,0.567993501,0.104898045,0
2.09594E-5,12.75078877,0.43316733,0.56474411,0.10700021,0
2.11807E-5,13.00158592,0.436553795,0.561521798,0.10861187,0
2.14259E-5,13.250814861,0.440283865,0.558353642,0.110784108,0
2.16438E-5,13.5007227,0.443576816,0.555212564,0.113026417,0
2.18845E-5,13.75099893,0.44719277,0.552098565,0.115619088,0
2.21159E-5,14.001741051,0.45064742,0.549011644,0.118351902,0
2.23214E-5,14.250723497,0.453696162,0.545978879,0.121014645,0
2.25561E-5,14.501975588,0.45715807,0.542946114,0.122416089,0
2.27807E-5,14.751336042,0.460450656,0.539967506,0.125148903,0
2.30207E-5,15.000999988,0.463946153,0.537015976,0.12697078,0
2.32649E-5,15.250953223,0.467480636,0.534091525,0.129143017,0
2.34945E-5,15.501238847,0.470781577,0.531194151,0.131245183,0
2.37304E-5,15.751633284,0.474152522,0.528323856,0.133767781,0
2.39404E-5,16.001802439,0.477134019,0.525480639,0.135589657,0
2.41997E-5,16.252097799,0.480793755,0.5226645,0.137972111,0
2.44185E-5,16.500224052,0.483861718,0.519902518,0.140424637,0
2.45868E-5,16.750036866,0.486208916,0.517140536,0.142947236,0
2.48209E-5,17.002047534,0.489457241,0.514378554,0.145119473,0
2.50339E-5,17.251330796,0.492393121,0.511670728,0.147712144,0
2.52555E-5,17.50032503,0.495431826,0.508989981,0.150374886,0
2.54975E-5,17.751483383,0.498727645,0.506309234,0.153037629,0
2.56984E-5,18.002280642,0.501448149,0.503655565,0.155770444,0
2.58986E-5,18.250009149,0.504143776,0.501056052,0.158012753,0
2.60781E-5,18.502068115,0.506549483,0.498429461,0.160535351,0
2.62571E-5,18.750626595,0.508935828,0.495857027,0.162987878,0
2.6472E-5,19.001027879,0.511785705,0.493284592,0.165440404,0
2.66608E-5,19.250773437,0.51427526,0.490739236,0.167612641,0
2.68397E-5,19.502274821,0.51662335,0.48819388,0.170275384,0
2.70361E-5,19.750066577,0.519187923,0.485702681,0.172587765,0
2.72112E-5,20.002330588,0.521463042,0.483184403,0.175110364,0
2.74038E-5,20.250834217,0.523952592,0.480720282,0.177913251,0
2.75915E-5,20.501048517,0.526367369,0.47825616,0.180295705,0
2.78295E-5,20.750418724,0.529410801,0.475819117,0.182748231,0
2.80014E-5,21.001716414,0.531595537,0.473382074,0.185200757,0
2.82432E-5,21.25204436,0.534653934,0.470972109,0.187583211,0
2.84285E-5,21.501391076,0.536983697,0.468589223,0.190035737,0
2.8594E-5,21.752343056,0.539054942,0.466206336,0.192488263,0
2.87478E-5,22.001776972,0.540970978,0.463850528,0.194310139,0
2.89496E-5,22.252778896,0.543472142,0.46149472,0.197042954,0
2.91234E-5,22.502478456,0.54561681,0.45916599,0.200266274,0
2.93019E-5,22.750794559,0.547808768,0.456864338,0.202858945,0
2.94878E-5,23.00076024,0.5500787,0.454562686,0.205311471,0
2.96677E-5,23.252188378,0.552266667,0.452261034,0.207693925,0
2.98258E-5,23.502064814,0.554179312,0.449986461,0.210006306,0
3.00041E-5,23.750364261,0.556327047,0.447738966,0.212598977,0
3.01659E-5,24.000050338,0.558267504,0.44549147,0.215471936,0
