x,y,species cloglog values
1.0,1.0,0.030532578
2.0,2.0,0.015613219
3.0,3.0,0.046786454
4.0,4.0,0.2308911
5.0,5.0,0.03708785
6.0,6.0,0.170041
7.0,7.0,0.037957136
8.0,8.0,0.7141598
9.0,9.0,0.010876125
10.0,10.0,0.0056743477
11.0,11.0,0.46383
12.0,12.0,0.03895663
13.0,13.0,0.19707677
14.0,14.0,0.85623777
15.0,15.0,0.03363984
16.0,16.0,0.14371465
17.0,17.0,0.16146387
18.0,18.0,0.6962695
19.0,19.0,0.11210851
20.0,20.0,0.03220698
21.0,21.0,0.039784912
22.0,22.0,0.09493495
23.0,23.0,0.6260397
24.0,24.0,0.31871396
25.0,25.0,0.5677197
26.0,26.0,0.053937476
27.0,27.0,0.033357296
28.0,28.0,0.54341066
29.0,29.0,0.6325162
30.0,30.0,0.204472
31.0,31.0,0.42463514
32.0,32.0,0.025319666
33.0,33.0,0.15751946
34.0,34.0,0.084503345
35.0,35.0,0.034808166
36.0,36.0,0.28637558
37.0,37.0,0.34826142
38.0,38.0,0.63877124
39.0,39.0,0.24714836
40.0,40.0,0.24875195
41.0,41.0,0.03851218
42.0,42.0,0.13060576
43.0,43.0,0.1446892
44.0,44.0,0.31685486
45.0,45.0,0.053801097
46.0,46.0,0.19084895
47.0,47.0,0.15183051
48.0,48.0,0.2196005
49.0,49.0,0.47179922
50.0,50.0,0.63945305
51.0,51.0,0.044327464
52.0,52.0,0.16271836
53.0,53.0,0.01070345
54.0,54.0,0.3887035
55.0,55.0,0.044872396
56.0,56.0,0.20912683
57.0,57.0,0.053244296
58.0,58.0,0.027703099
59.0,59.0,0.76349974
60.0,60.0,0.09360994
61.0,61.0,0.18298481
62.0,62.0,0.13028747
63.0,63.0,0.69783115
64.0,64.0,0.34621933
65.0,65.0,0.022279803
66.0,66.0,0.81408155
67.0,67.0,0.0136277
68.0,68.0,0.48032612
69.0,69.0,0.5593815
70.0,70.0,0.03276987
71.0,71.0,0.56789064
72.0,72.0,0.1892725
73.0,73.0,0.37582147
74.0,74.0,0.045090985
75.0,75.0,0.019636622
76.0,76.0,0.15297902
77.0,77.0,0.017742004
78.0,78.0,0.5512535
79.0,79.0,0.7397536
80.0,80.0,0.27456692
81.0,81.0,0.55038625
82.0,82.0,0.19909419
83.0,83.0,0.06513141
84.0,84.0,0.41914007
85.0,85.0,0.042297788
86.0,86.0,0.4764246
87.0,87.0,0.025089141
88.0,88.0,0.020466555
89.0,89.0,0.043845568
90.0,90.0,0.3484522
91.0,91.0,0.36125466
92.0,92.0,0.23392996
93.0,93.0,0.12946689
94.0,94.0,0.2570378
95.0,95.0,0.3956183
96.0,96.0,0.2206814
97.0,97.0,0.1775145
98.0,98.0,0.4597985
99.0,99.0,0.027133973
100.0,100.0,0.07545954
101.0,101.0,0.48608086
102.0,102.0,0.057650052
103.0,103.0,0.78433144
104.0,104.0,0.20059675
105.0,105.0,0.31338942
106.0,106.0,0.2534967
107.0,107.0,0.1277411
108.0,108.0,0.030596804
109.0,109.0,0.8082794
110.0,110.0,0.2293803
111.0,111.0,0.7066438
112.0,112.0,0.01782949
113.0,113.0,0.048242528
114.0,114.0,0.05717799
115.0,115.0,0.40988806
116.0,116.0,0.6699011
117.0,117.0,0.01270193
118.0,118.0,0.1514983
119.0,119.0,0.54044473
120.0,120.0,0.5130892
121.0,121.0,0.29183275
122.0,122.0,0.14350735
123.0,123.0,0.53689724
124.0,124.0,0.022940943
125.0,125.0,0.5235451
126.0,126.0,0.15226942
127.0,127.0,0.0026847841
128.0,128.0,0.057516754
129.0,129.0,0.6643335
130.0,130.0,0.1938108
131.0,131.0,0.4782791
132.0,132.0,0.14530832
133.0,133.0,0.7248148
134.0,134.0,0.12533444
135.0,135.0,0.65325516
136.0,136.0,0.27972755
137.0,137.0,0.039762393
138.0,138.0,0.06313619
139.0,139.0,0.02242074
140.0,140.0,0.027792383
141.0,141.0,0.106753014
142.0,142.0,0.25930694
143.0,143.0,0.008227847
144.0,144.0,0.6957219
145.0,145.0,0.22769128
146.0,146.0,0.4484439
147.0,147.0,0.2186269
148.0,148.0,0.6388977
149.0,149.0,0.46489605
150.0,150.0,0.09476905
151.0,151.0,0.004833947
152.0,152.0,0.26856896
153.0,153.0,0.11510526
154.0,154.0,0.05469482
155.0,155.0,0.3758148
156.0,156.0,0.10304633
157.0,157.0,0.55880076
158.0,158.0,0.06968642
159.0,159.0,0.17123309
160.0,160.0,0.7804603
161.0,161.0,0.054495208
162.0,162.0,0.64581543
163.0,163.0,0.084406815
164.0,164.0,0.47016507
165.0,165.0,0.52441114
166.0,166.0,0.72107446
167.0,167.0,0.12756144
168.0,168.0,0.532754
169.0,169.0,0.17611764
170.0,170.0,0.01948684
171.0,171.0,0.035463817
172.0,172.0,0.14704688
173.0,173.0,0.014390748
174.0,174.0,0.59518015
175.0,175.0,0.04221212
176.0,176.0,0.21572861
177.0,177.0,0.13605271
178.0,178.0,0.014171241
179.0,179.0,0.044053
180.0,180.0,0.65312016
181.0,181.0,0.39093497
182.0,182.0,0.0643355
183.0,183.0,0.18319543
184.0,184.0,0.034284957
185.0,185.0,0.042149268
186.0,186.0,0.13756248
187.0,187.0,0.31512615
188.0,188.0,0.04161314
189.0,189.0,0.013235613
190.0,190.0,0.117400356
191.0,191.0,0.4851513
192.0,192.0,0.7193946
193.0,193.0,0.19117445
194.0,194.0,0.041194726
195.0,195.0,0.7713677
196.0,196.0,0.20615144
197.0,197.0,0.29142928
198.0,198.0,0.78055215
199.0,199.0,0.027486412
200.0,200.0,0.16818914
201.0,201.0,0.28753003
202.0,202.0,0.023131624
203.0,203.0,0.24182986
204.0,204.0,0.010243992
205.0,205.0,0.28761956
206.0,206.0,0.35154048
207.0,207.0,0.82800794
208.0,208.0,0.007143338
209.0,209.0,0.45048717
210.0,210.0,0.3033301
211.0,211.0,0.14446193
212.0,212.0,0.061446175
213.0,213.0,0.031886343
214.0,214.0,0.4513197
215.0,215.0,0.76905143
216.0,216.0,0.25146997
217.0,217.0,0.1841
218.0,218.0,0.14705202
219.0,219.0,0.67484677
220.0,220.0,0.03374382
221.0,221.0,0.115962796
222.0,222.0,0.053054202
223.0,223.0,0.014426581
224.0,224.0,0.6838897
225.0,225.0,0.121638626
226.0,226.0,0.037463974
227.0,227.0,0.06727935
228.0,228.0,0.13922244
229.0,229.0,0.5185415
230.0,230.0,0.43724146
231.0,231.0,0.125001
232.0,232.0,0.075206086
233.0,233.0,0.015252755
234.0,234.0,0.13617772
235.0,235.0,0.19077635
236.0,236.0,0.018269595
237.0,237.0,0.38389978
238.0,238.0,0.016450457
239.0,239.0,0.094538435
240.0,240.0,0.04281091
241.0,241.0,0.7098338
242.0,242.0,0.30171612
243.0,243.0,0.5028872
244.0,244.0,0.39699712
245.0,245.0,0.03101052
246.0,246.0,0.13169375
247.0,247.0,0.02947274
248.0,248.0,0.04229568
249.0,249.0,0.64709586
250.0,250.0,0.085498065
251.0,251.0,0.035879254
252.0,252.0,0.49224025
253.0,253.0,0.34068078
254.0,254.0,0.35726008
255.0,255.0,0.009509536
256.0,256.0,0.33594874
257.0,257.0,0.07683497
258.0,258.0,0.41835377
259.0,259.0,0.073253825
260.0,260.0,0.38767737
261.0,261.0,0.027715966
262.0,262.0,0.4297448
263.0,263.0,0.81409967
264.0,264.0,0.01609908
265.0,265.0,0.15454252
266.0,266.0,0.085304715
267.0,267.0,0.53201044
268.0,268.0,0.030124884
269.0,269.0,0.07679453
270.0,270.0,0.04232067
271.0,271.0,0.022492494
272.0,272.0,0.22991724
273.0,273.0,0.026466217
274.0,274.0,0.025001327
275.0,275.0,0.24773128
276.0,276.0,0.048902355
277.0,277.0,0.035510287
278.0,278.0,0.026887525
279.0,279.0,0.053143404
280.0,280.0,0.051122524
281.0,281.0,0.075741164
282.0,282.0,0.020598983
283.0,283.0,0.021953573
284.0,284.0,0.5792428
285.0,285.0,0.107577555
286.0,286.0,0.36740628
287.0,287.0,0.005424224
288.0,288.0,0.053360946
289.0,289.0,0.46347994
290.0,290.0,0.02311854
291.0,291.0,0.28470019
292.0,292.0,0.3656712
293.0,293.0,0.053413637
294.0,294.0,0.11172976
295.0,295.0,0.013625371
296.0,296.0,0.029998561
297.0,297.0,0.030004801
298.0,298.0,0.05356428
299.0,299.0,0.51684177
300.0,300.0,0.04481101
301.0,301.0,0.042789146
302.0,302.0,0.22041462
303.0,303.0,0.04266952
304.0,304.0,0.37910163
305.0,305.0,0.018186377
306.0,306.0,0.06852613
307.0,307.0,0.026461279
308.0,308.0,0.19526789
309.0,309.0,0.05477675
310.0,310.0,0.15560395
311.0,311.0,0.054914247
312.0,312.0,0.69377947
313.0,313.0,0.03431582
314.0,314.0,0.123047814
315.0,315.0,0.17596328
316.0,316.0,0.050784457
317.0,317.0,0.026521344
318.0,318.0,0.044129185
319.0,319.0,0.09520911
320.0,320.0,0.46299753
321.0,321.0,0.6403244
322.0,322.0,0.060056396
323.0,323.0,0.61957794
324.0,324.0,0.42523462
325.0,325.0,0.49051687
326.0,326.0,0.58528167
327.0,327.0,0.6235875
328.0,328.0,0.27353987
329.0,329.0,0.18545046
330.0,330.0,0.1080135
331.0,331.0,0.69418085
332.0,332.0,0.022095064
333.0,333.0,0.04599265
334.0,334.0,0.4475805
335.0,335.0,0.07127378
336.0,336.0,0.5428847
337.0,337.0,0.037736733
338.0,338.0,0.0260641
339.0,339.0,0.7047065
340.0,340.0,0.011721696
341.0,341.0,0.033019647
342.0,342.0,0.05971471
343.0,343.0,0.3634268
344.0,344.0,0.16507061
345.0,345.0,0.14003697
346.0,346.0,0.34998974
347.0,347.0,0.5864583
