Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.80943E-7,0.000018094,0.001291792,1,0,0
2.47964E-7,0.000042891,0.001769844,0.999908667,0,0
2.88413E-7,0.000071732,0.002058255,0.999817335,0,0
2.95759E-7,0.000101308,0.002110622,0.999726002,0,0
3.3493E-7,0.000261097,0.002389821,0.99926934,0,0
3.76862E-7,0.000513415,0.002688621,0.998630012,0,0
4.69166E-7,0.00103735,0.003346031,0.997534021,0,0
6.36429E-7,0.002559008,0.004536223,0.99497671,0,0
8.89024E-7,0.005045798,0.006330909,0.992054069,0,0
1.11446E-6,0.010110142,0.007929907,0.987487442,0,0
1.63336E-6,0.025147625,0.011600608,0.977532195,0.00024919,0
2.23594E-6,0.05010108,0.015846259,0.965932962,0.00024919,0
2.97366E-6,0.10018068,0.02101931,0.948397114,0.000996761,0
3.9612E-6,0.200353989,0.027901471,0.922184674,0.001744331,0
4.56463E-6,0.300119021,0.032083003,0.900995525,0.001993521,0
5.13056E-6,0.400425443,0.03598832,0.882089689,0.002741091,0
5.59423E-6,0.500333839,0.039176205,0.865101836,0.004236232,0
6.02804E-6,0.60042802,0.042149268,0.849392639,0.004983803,0
6.49512E-6,0.700446202,0.04534002,0.834779432,0.006229753,0
6.82859E-6,0.750351178,0.047611577,0.827929491,0.006229753,0
7.16106E-6,0.800691511,0.049870909,0.821353548,0.006229753,0
7.73249E-6,0.900205268,0.053741612,0.809114988,0.006478943,0
8.36656E-6,1.000522606,0.058018196,0.79769842,0.007226514,0
8.95496E-6,1.100295004,0.061969431,0.787195178,0.008223274,0
9.62347E-6,1.200348717,0.066438501,0.777331263,0.008970845,0
1.07085E-5,1.300601053,0.073646939,0.768289341,0.010216795,0
1.22516E-5,1.401063195,0.083802848,0.760252078,0.010216795,0
1.36309E-5,1.500907661,0.092785767,0.753219472,0.010964366,0
1.73399E-5,1.751573656,0.116508521,0.7384236,0.015200598,0
1.92762E-5,2.001813293,0.128645154,0.726002375,0.017443309,0
2.09542E-5,2.250700536,0.139028097,0.714677139,0.020184401,0
2.22448E-5,2.500743989,0.146929428,0.704082565,0.021181161,0
2.33923E-5,2.751985308,0.153894218,0.694035985,0.023423872,0
