X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,2.718692816386157E-4,99.75453909572035,0.8566101792633007
2.0,2.0,train,5.224835686362305E-5,8.192972540295752,0.3115092925156807
3.0,3.0,train,2.16937666217157E-4,74.88628393991341,0.7877023827339317
4.0,4.0,train,1.652123476935914E-4,45.757697819749595,0.6927978176947249
5.0,5.0,train,1.9710308849432592E-4,63.59316107291014,0.7553853717199548
6.0,6.0,train,1.7337675453256427E-4,51.001728025275625,0.7102029187194977
7.0,7.0,train,2.136485613671195E-4,72.75478945896381,0.7826549992920606
8.0,8.0,train,1.64967368618516E-4,45.606460448996685,0.6922597157370209
9.0,9.0,train,2.0146745206480282E-4,65.60669700556296,0.7628943675416916
10.0,10.0,train,2.0282411969464983E-4,66.37726802131935,0.7651812491781441
11.0,11.0,train,2.581922215792569E-4,97.94009955850447,0.8418927574581645
12.0,12.0,train,9.66289094687531E-5,18.75148468369238,0.4985747058137847
13.0,13.0,train,2.2979170348528502E-4,82.85092871221339,0.8063287626148987
14.0,14.0,train,1.2938103126003156E-4,29.781582484489515,0.6031815020341238
15.0,15.0,train,2.2808599171539022E-4,81.65063250069193,0.803954380179208
16.0,16.0,train,1.373937025221076E-4,32.5189195620211,0.6252579889003591
17.0,17.0,train,1.4500335726337242E-4,35.4164225372811,0.6450859215826135
18.0,18.0,train,6.334769124577864E-5,9.948722396894468,0.36399269652916966
19.0,19.0,train,2.5969655280108276E-4,98.34522246571694,0.8435827893972733
20.0,20.0,train,2.2849445390245228E-4,81.89252160188498,0.8045256045474259
21.0,21.0,train,1.5238195073876524E-4,39.04030047234781,0.6633094365987037
22.0,22.0,train,2.1231907279260038E-4,71.96813114526555,0.7805809002725652
23.0,23.0,train,2.527081931627379E-4,96.16724695966877,0.8355756595379163
24.0,24.0,train,2.594133733887202E-4,98.28127806783877,0.8432660392865381
25.0,25.0,train,1.3054033030162213E-4,30.138030886075978,0.6064543169914215
26.0,26.0,train,1.7337983287954485E-4,51.00356027764186,0.7102092916327173
27.0,27.0,train,2.304551630762616E-4,83.49051631246137,0.8072445233373202
28.0,28.0,train,2.0302730238126339E-4,66.46453445409901,0.7655218420250287
29.0,29.0,train,7.12579221202638E-5,11.750884362385097,0.39893643747587015
30.0,30.0,train,2.502217837490845E-4,95.03987513301158,0.8326289811536741
31.0,31.0,train,1.8507816103141062E-4,58.18921770132223,0.7334430059790348
32.0,32.0,train,2.20799871025423E-4,77.14476937007277,0.7934798048732445
33.0,33.0,train,2.445457535412632E-4,91.79589057702398,0.82570284650983
34.0,34.0,train,6.376487246797584E-5,10.022954658251649,0.36588534980251086
35.0,35.0,train,2.5594844750430345E-4,97.31292508236666,0.8393380132311312
36.0,36.0,train,1.3809218619899004E-4,32.71930197559239,0.6271232376841154
37.0,37.0,train,1.8054752217794168E-4,55.490567215227614,0.7246744536184657
