x,y,species cloglog values
1.0,1.0,0.0018965023
2.0,2.0,0.11531417
3.0,3.0,0.0013142382
4.0,4.0,0.0018258383
5.0,5.0,0.07932506
6.0,6.0,0.0067212894
7.0,7.0,0.7063662
8.0,8.0,0.054326918
9.0,9.0,0.47378674
10.0,10.0,0.0020753983
11.0,11.0,0.689929
12.0,12.0,0.101606004
13.0,13.0,0.0020189686
14.0,14.0,0.15116839
15.0,15.0,0.024828631
16.0,16.0,9.5966214E-4
17.0,17.0,0.12569964
18.0,18.0,0.005520035
19.0,19.0,0.0068743136
20.0,20.0,0.76676387
21.0,21.0,0.09330584
22.0,22.0,0.6732532
23.0,23.0,0.007258126
24.0,24.0,0.04159344
25.0,25.0,0.0012522672
26.0,26.0,0.0441507
27.0,27.0,0.25751266
28.0,28.0,0.34198624
29.0,29.0,0.010743433
30.0,30.0,0.0014315066
31.0,31.0,0.005793197
32.0,32.0,0.2692945
33.0,33.0,0.08300917
34.0,34.0,0.017129298
35.0,35.0,0.5401131
36.0,36.0,0.36319718
37.0,37.0,0.024595018
38.0,38.0,0.017122235
39.0,39.0,0.0023423187
40.0,40.0,0.63578576
41.0,41.0,0.1272769
42.0,42.0,0.63035685
43.0,43.0,0.050054766
44.0,44.0,0.0629033
45.0,45.0,0.027207777
46.0,46.0,0.0012454338
47.0,47.0,0.025143066
48.0,48.0,0.034384552
49.0,49.0,0.7156517
50.0,50.0,0.0046305954
51.0,51.0,0.07661392
52.0,52.0,0.64702415
53.0,53.0,0.002672391
54.0,54.0,0.7117669
55.0,55.0,0.39399332
56.0,56.0,0.06301663
57.0,57.0,0.08428364
58.0,58.0,0.05695606
59.0,59.0,0.0067186025
60.0,60.0,0.2926212
61.0,61.0,0.022899117
62.0,62.0,0.008173312
63.0,63.0,0.1329513
64.0,64.0,0.5921387
65.0,65.0,0.0077451356
66.0,66.0,0.028631033
67.0,67.0,0.3562706
68.0,68.0,0.012557896
69.0,69.0,0.13054286
70.0,70.0,0.01356625
71.0,71.0,0.0016905204
72.0,72.0,0.14266215
73.0,73.0,0.0018814421
74.0,74.0,0.012663995
75.0,75.0,0.393288
76.0,76.0,0.34505156
77.0,77.0,0.24446398
78.0,78.0,0.0017481715
79.0,79.0,0.6796343
80.0,80.0,0.3686717
81.0,81.0,0.637835
82.0,82.0,0.707212
83.0,83.0,0.18324827
84.0,84.0,6.9322693E-4
85.0,85.0,0.031549912
86.0,86.0,0.0016623004
87.0,87.0,0.001954165
88.0,88.0,0.008154853
89.0,89.0,0.065930456
90.0,90.0,0.7339789
91.0,91.0,0.73962945
92.0,92.0,0.019704036
93.0,93.0,0.016096601
94.0,94.0,0.68970233
95.0,95.0,0.15497495
96.0,96.0,0.06603287
97.0,97.0,0.07920174
98.0,98.0,0.44896016
99.0,99.0,0.013617026
100.0,100.0,0.16225186
101.0,101.0,0.015607771
102.0,102.0,0.0017855188
103.0,103.0,0.0015349763
104.0,104.0,0.0023792782
105.0,105.0,0.029858315
106.0,106.0,0.17033519
107.0,107.0,0.019189786
108.0,108.0,0.006388681
109.0,109.0,0.012900541
110.0,110.0,0.21230413
111.0,111.0,0.009239579
112.0,112.0,0.010137447
113.0,113.0,0.007084139
114.0,114.0,9.352985E-4
115.0,115.0,0.6692486
116.0,116.0,0.06882616
117.0,117.0,0.6833472
118.0,118.0,0.21056345
119.0,119.0,0.08655973
120.0,120.0,0.03216243
121.0,121.0,0.54003674
122.0,122.0,0.04762357
123.0,123.0,0.0041836244
124.0,124.0,0.57777005
125.0,125.0,0.005615286
126.0,126.0,0.0015163021
127.0,127.0,0.68493104
128.0,128.0,0.41221854
129.0,129.0,0.06844794
130.0,130.0,0.1645607
131.0,131.0,0.008639725
132.0,132.0,0.010854811
133.0,133.0,0.0018774284
134.0,134.0,0.6710066
135.0,135.0,0.030172456
136.0,136.0,0.033308644
137.0,137.0,0.27415454
138.0,138.0,0.008983019
139.0,139.0,0.0059510386
140.0,140.0,0.0019313896
141.0,141.0,0.5608889
142.0,142.0,0.62899786
143.0,143.0,0.09979228
144.0,144.0,0.001307293
145.0,145.0,9.4253774E-4
146.0,146.0,0.031633597
147.0,147.0,0.70433086
148.0,148.0,0.03610614
149.0,149.0,0.0014977363
150.0,150.0,0.12084291
151.0,151.0,0.27261743
152.0,152.0,0.3638327
153.0,153.0,0.02342282
154.0,154.0,0.039155006
155.0,155.0,0.56765455
156.0,156.0,0.019808928
157.0,157.0,0.0056178626
158.0,158.0,0.037607927
159.0,159.0,0.0021394151
160.0,160.0,0.09613281
161.0,161.0,0.0031156018
162.0,162.0,0.18500473
163.0,163.0,0.0022425917
164.0,164.0,0.6313499
165.0,165.0,0.11140463
166.0,166.0,0.045005817
167.0,167.0,0.03150602
168.0,168.0,0.112222746
169.0,169.0,0.12162586
170.0,170.0,0.036254838
171.0,171.0,0.00859205
172.0,172.0,0.4438817
173.0,173.0,0.0020870124
174.0,174.0,0.3015879
175.0,175.0,0.0024134177
176.0,176.0,0.32364085
177.0,177.0,0.7235116
178.0,178.0,0.6505572
179.0,179.0,0.6072026
180.0,180.0,0.08344392
181.0,181.0,0.02577531
182.0,182.0,0.11246475
183.0,183.0,0.0055506565
184.0,184.0,0.03052124
185.0,185.0,0.3505923
186.0,186.0,0.5423195
187.0,187.0,0.03022621
188.0,188.0,0.3513618
189.0,189.0,0.0037635763
190.0,190.0,0.05637162
191.0,191.0,0.0122910105
192.0,192.0,0.057008184
193.0,193.0,6.6415605E-4
194.0,194.0,0.02442685
195.0,195.0,0.00716173
196.0,196.0,0.002830828
197.0,197.0,0.24969697
198.0,198.0,0.032224707
199.0,199.0,0.07135858
200.0,200.0,0.00487711
201.0,201.0,0.09838578
202.0,202.0,0.35507697
203.0,203.0,0.63410556
204.0,204.0,0.001417237
205.0,205.0,0.06639311
206.0,206.0,8.9936954E-4
207.0,207.0,0.06612375
208.0,208.0,0.57612836
209.0,209.0,0.0101803625
210.0,210.0,0.4123904
211.0,211.0,0.458349
212.0,212.0,0.0044215396
213.0,213.0,0.023008484
214.0,214.0,0.23657638
215.0,215.0,0.010902646
216.0,216.0,0.045695394
217.0,217.0,0.012755898
218.0,218.0,0.08513345
219.0,219.0,0.12265942
220.0,220.0,0.001388121
221.0,221.0,0.70109254
222.0,222.0,0.038137563
223.0,223.0,0.0029501866
224.0,224.0,0.0332797
225.0,225.0,0.0047720983
226.0,226.0,0.017824823
227.0,227.0,0.008207918
228.0,228.0,0.16738895
229.0,229.0,0.36991453
230.0,230.0,0.5812484
231.0,231.0,0.48709825
232.0,232.0,0.21456775
233.0,233.0,0.116432756
234.0,234.0,0.2666064
235.0,235.0,0.0011837267
236.0,236.0,0.3710597
237.0,237.0,0.14787158
238.0,238.0,0.0027042902
239.0,239.0,0.030806897
240.0,240.0,0.012179764
241.0,241.0,0.63408643
242.0,242.0,0.074079506
243.0,243.0,0.012452753
244.0,244.0,0.49578226
245.0,245.0,0.007414364
246.0,246.0,0.07485436
247.0,247.0,0.0015917845
248.0,248.0,0.0018186264
249.0,249.0,0.0052669444
250.0,250.0,0.08431298
251.0,251.0,0.030940024
252.0,252.0,0.07577457
253.0,253.0,0.124553554
254.0,254.0,0.09008121
255.0,255.0,0.0048837694
256.0,256.0,0.08503809
257.0,257.0,0.28481504
258.0,258.0,0.14287618
259.0,259.0,0.46903822
260.0,260.0,0.055611707
261.0,261.0,0.7211565
262.0,262.0,0.061051518
263.0,263.0,0.0012426442
264.0,264.0,0.08613547
265.0,265.0,5.189032E-4
266.0,266.0,0.13194878
267.0,267.0,0.62035215
268.0,268.0,0.15338787
269.0,269.0,0.037620015
270.0,270.0,0.018298035
271.0,271.0,0.022991603
272.0,272.0,0.0011572625
273.0,273.0,0.046672877
274.0,274.0,0.18485273
275.0,275.0,0.69091916
276.0,276.0,0.0026900156
