Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.18953E-8,0.00000219,0.000235828,1,0,0
2.5029E-8,0.000004692,0.000269575,0.999946775,0,0
3.01043E-8,0.000010682,0.000324229,0.999840324,0,0
3.25699E-8,0.000026227,0.000350781,0.999574196,0,0
3.83066E-8,0.000051327,0.000412552,0.999201618,0,0
4.48009E-8,0.00010062,0.000482477,0.998562912,0,0
5.55201E-8,0.000251733,0.000597881,0.996966149,0,0
7.05565E-8,0.000506637,0.000759744,0.99483713,0,0
8.37149E-8,0.001006254,0.000901367,0.9914307,0,0
9.81392E-8,0.002502694,0.001056593,0.98275495,0,0
1.15153E-7,0.005004715,0.001239656,0.970246966,0,0
1.46715E-7,0.010002102,0.001579161,0.949808388,0,0
2.43339E-7,0.025014778,0.002617811,0.907174792,0.000143041,0
4.46406E-7,0.050008013,0.004797123,0.866989568,0.000143041,0
8.65516E-7,0.100074891,0.009279979,0.825526932,0.000715205,0
1.5994E-6,0.200023973,0.017081089,0.781243347,0.002145616,0
2.2957E-6,0.300035739,0.024425955,0.753672557,0.003289944,0
2.90055E-6,0.400092585,0.030761509,0.733233979,0.004005149,0
3.38904E-6,0.500003623,0.035848258,0.716255056,0.004291232,0
3.96595E-6,0.600271985,0.041821345,0.70167128,0.004577314,0
4.65428E-6,0.700449172,0.048899704,0.689322972,0.005721642,0
4.99899E-6,0.750197091,0.052424778,0.683840749,0.006150765,0
5.36432E-6,0.800317387,0.056146397,0.678677879,0.006436847,0
5.98867E-6,0.900185846,0.062473011,0.669310198,0.006722929,0
6.60932E-6,1.000463317,0.068720092,0.660847349,0.007438135,0
7.15042E-6,1.100703626,0.074132473,0.653076432,0.008010299,0
7.61739E-6,1.200475996,0.078777965,0.645890994,0.009011586,0
8.01891E-6,1.30061069,0.082753878,0.639078135,0.009583751,0
8.353E-6,1.400533306,0.086048884,0.632584628,0.010728079,0
8.7567E-6,1.500645835,0.090014717,0.626357249,0.011443284,0
9.72481E-6,1.75002154,0.099455176,0.611933149,0.014304105,0
1.07206E-5,2.0001263,0.109062985,0.598839685,0.017021885,0
1.19319E-5,2.250723692,0.120612437,0.587023632,0.019167501,0
1.31221E-5,2.500996862,0.131815074,0.576378539,0.020454871,0
1.4652E-5,2.751170688,0.146005399,0.566797956,0.022457445,0
1.62966E-5,3.000716176,0.161001872,0.558175431,0.024316979,0
1.80725E-5,3.250340895,0.176899334,0.550457739,0.02574739,0
1.99436E-5,3.500018976,0.193323187,0.543485203,0.026605636,0
2.22131E-5,3.75013009,0.212804887,0.537151373,0.027893005,0
2.41557E-5,4.002395168,0.229105932,0.531349798,0.02989558,0
2.59168E-5,4.25023861,0.243592562,0.526080477,0.032184237,0
2.74416E-5,4.500999182,0.255914628,0.521077283,0.033614647,0
2.90548E-5,4.752224376,0.268733133,0.516340217,0.034902017,0
3.06998E-5,5.002724474,0.281577245,0.511869278,0.036761551,0
3.22472E-5,5.251889774,0.293453083,0.507664467,0.038907166,0
3.34906E-5,5.501607059,0.302853428,0.503619331,0.0407667,0
3.48607E-5,5.751301756,0.31306701,0.499733873,0.042912316,0
3.61089E-5,6.000026171,0.322241422,0.49600809,0.044914891,0
3.71519E-5,6.252961157,0.329813209,0.492335533,0.047203547,0
3.85698E-5,6.50263003,0.33997164,0.488822653,0.049063081,0
3.9444E-5,6.752216337,0.34615763,0.485416223,0.051351738,0
4.04386E-5,7.000204703,0.353125299,0.482116244,0.054212559,0
4.13588E-5,7.253883346,0.35950565,0.478816266,0.056501216,0
4.23328E-5,7.501058807,0.366190512,0.475675963,0.058789873,0
4.32079E-5,7.753621608,0.372137681,0.472535661,0.06107853,0
4.40336E-5,8.002600573,0.377696843,0.46950181,0.063510227,0
4.51209E-5,8.252015267,0.384943403,0.466521184,0.066800172,0
4.61725E-5,8.503018263,0.391871425,0.463593783,0.069804034,0
4.73867E-5,8.750815541,0.399773076,0.460772834,0.07338006,0
4.88278E-5,9.001193506,0.40901923,0.45800511,0.075525676,0
5.05232E-5,9.253650002,0.419713835,0.455290611,0.078243456,0
5.19084E-5,9.504355826,0.428308384,0.452682563,0.080532113,0
5.32414E-5,9.751805892,0.436458277,0.450180967,0.082963811,0
5.45706E-5,10.005242884,0.444469964,0.44767937,0.085824632,0
5.57848E-5,10.253981184,0.451688684,0.445284224,0.088828494,0
5.74053E-5,10.503342999,0.461176948,0.442942304,0.090831069,0
5.87699E-5,10.752633275,0.469039036,0.440653609,0.093119725,0
5.97331E-5,11.001550155,0.474519999,0.438418139,0.096123587,0
6.12573E-5,11.255485923,0.483076936,0.43618267,0.09912745,0
6.22323E-5,11.50257161,0.488477898,0.434053651,0.102274353,0
6.34636E-5,11.753995846,0.49521752,0.431924633,0.104276927,0
6.45695E-5,12.00363522,0.501194943,0.42984884,0.106851666,0
6.57916E-5,12.251422605,0.507718772,0.427826272,0.110141611,0
6.70199E-5,12.504003593,0.514189099,0.425803704,0.11271635,0
6.83484E-5,12.754517011,0.521092097,0.423834362,0.116149335,0
6.93932E-5,13.002332566,0.526451547,0.421918246,0.118437992,0
7.01048E-5,13.253483357,0.5300674,0.420002129,0.121012731,0
7.07899E-5,13.500175252,0.533522615,0.418139238,0.124302675,0
7.1724E-5,13.756962672,0.538193173,0.416223121,0.126734373,0
7.24544E-5,14.002179525,0.541811963,0.414413455,0.128736948,0
7.32029E-5,14.256998067,0.545491661,0.412550564,0.131311686,0
7.38851E-5,14.507121277,0.548819491,0.410740898,0.134172508,0
7.44078E-5,14.751864869,0.551352803,0.408984458,0.137319411,0
7.50511E-5,15.005836853,0.554451055,0.407174792,0.141038478,0
7.56426E-5,15.254587313,0.557280804,0.405418352,0.143613217,0
7.63289E-5,15.505287942,0.560541368,0.403661912,0.145901874,0
7.67745E-5,15.750098991,0.562646022,0.401958697,0.147761408,0
7.74699E-5,16.004687119,0.565909937,0.400202257,0.150622229,0
7.79944E-5,16.253540576,0.568355429,0.398499042,0.15348305,0
7.84177E-5,16.503846818,0.57031935,0.396795827,0.155914748,0
7.9088E-5,16.755920785,0.573410703,0.395092612,0.158203404,0
7.9654E-5,17.002005172,0.576003485,0.393442623,0.160492061,0
8.02288E-5,17.257786186,0.578620527,0.391739408,0.163209841,0
8.08062E-5,17.507442216,0.581233273,0.390089419,0.165641539,0
8.12386E-5,17.75055708,0.583179116,0.388492655,0.167644114,0
8.17125E-5,18.003273674,0.585301725,0.386842666,0.170361894,0
8.22705E-5,18.257545285,0.587786993,0.385192676,0.172936633,0
8.27224E-5,18.505107981,0.589788551,0.383595912,0.175368331,0
8.31079E-5,18.753904764,0.591488556,0.381999148,0.178658275,0
8.35422E-5,19.00397852,0.593395218,0.380402385,0.181089973,0
8.38472E-5,19.25509666,0.594728959,0.378805621,0.183950794,0
8.41903E-5,19.50723053,0.596224005,0.377208857,0.186239451,0
8.44557E-5,19.751826147,0.597376715,0.375665318,0.188242025,0
8.49742E-5,20.006144196,0.599619237,0.374068554,0.190530682,0
8.54007E-5,20.25314449,0.601454303,0.372525016,0.192533257,0
8.57275E-5,20.501271152,0.602854874,0.370981478,0.194678873,0
8.61284E-5,20.750442949,0.60456629,0.369437939,0.197539694,0
8.6383E-5,21.000615767,0.605649057,0.367894401,0.19968531,0
8.6732E-5,21.251597055,0.607129182,0.366350862,0.20240309,0
8.71085E-5,21.503636238,0.608718968,0.364807324,0.204691747,0
8.75313E-5,21.757009524,0.610497292,0.363263785,0.208124732,0
8.77752E-5,22.002432277,0.611519283,0.361773472,0.209698183,0
8.81904E-5,22.257609003,0.613252717,0.360229934,0.212129881,0
8.85476E-5,22.504992477,0.614737859,0.358739621,0.214418538,0
8.8825E-5,22.753323777,0.615887366,0.357249308,0.217279359,0
8.9191E-5,23.002569424,0.617398977,0.355758995,0.220426262,0
8.95796E-5,23.252755845,0.618997129,0.354268682,0.223287083,0
8.9975E-5,23.504113035,0.62061621,0.352778369,0.226433987,0
9.01965E-5,23.756363125,0.621520454,0.351288056,0.228722643,0
9.05392E-5,24.000325027,0.62291518,0.349850969,0.2310113,0
9.07783E-5,24.25423047,0.623885092,0.348360656,0.234301244,0
9.10542E-5,24.508789368,0.625001153,0.346870343,0.237162066,0
9.13636E-5,24.755071372,0.626248875,0.345433255,0.240022887,0
9.15966E-5,25.002054579,0.627185651,0.343996168,0.242311543,0
9.18551E-5,25.258922771,0.628222703,0.342505855,0.245172364,0
9.21288E-5,25.507277619,0.629317112,0.341068767,0.248176227,0
9.24178E-5,25.756423754,0.630469289,0.33963168,0.25003576,0
9.26628E-5,26.006362763,0.631443106,0.338194592,0.253182663,0
9.29492E-5,26.256985183,0.632578535,0.336757505,0.256043484,0
9.32195E-5,26.508290108,0.633646584,0.335320417,0.258618223,0
9.34005E-5,26.750933193,0.63436023,0.333936555,0.260620798,0
9.36514E-5,27.00352497,0.635347094,0.332499468,0.263338578,0
9.39386E-5,27.256795825,0.636473387,0.33106238,0.26634244,0
9.41291E-5,27.501290083,0.637218856,0.329678518,0.268917179,0
9.43465E-5,27.755768745,0.638067204,0.328241431,0.271491918,0
9.44912E-5,28.001263773,0.638630825,0.326857569,0.275210986,0
9.48159E-5,28.256816843,0.639892786,0.325420481,0.27721356,0
9.50391E-5,28.503667959,0.640757511,0.324036619,0.279788299,0
9.53016E-5,28.751126343,0.641771817,0.322652757,0.282506079,0
9.55129E-5,29.008775936,0.642586295,0.32121567,0.285080818,0
9.56931E-5,29.257384325,0.643279606,0.319831808,0.287655557,0
9.58987E-5,29.506464883,0.644068432,0.318447945,0.290516378,0
9.61584E-5,29.756134618,0.645062795,0.317064083,0.293806322,0
9.64087E-5,30.006479652,0.646018584,0.315680221,0.296381061,0
9.66747E-5,30.257539397,0.647031599,0.314296359,0.298669718,0
9.68858E-5,30.509218156,0.647833045,0.312912497,0.301244457,0
9.71243E-5,30.751662475,0.648736716,0.311581861,0.30439136,0
9.73779E-5,31.004501284,0.649695023,0.310197999,0.306966099,0
9.76066E-5,31.258017159,0.650557058,0.308814137,0.310113002,0
9.78418E-5,31.50227271,0.651441232,0.3074835,0.312830782,0
9.80839E-5,31.756977767,0.652348939,0.306099638,0.315548562,0
9.83567E-5,32.00257137,0.653369038,0.304769001,0.317408096,0
9.85573E-5,32.258532698,0.654117251,0.303385139,0.320268917,0
9.87643E-5,32.50520619,0.654887771,0.302054503,0.322700615,0
9.89521E-5,32.7523405,0.655584972,0.300723866,0.32470319,0
9.91613E-5,33.009860542,0.65636023,0.299340004,0.327850093,0
9.9409E-5,33.258125512,0.657276213,0.298009368,0.330281791,0
9.95899E-5,33.506874635,0.657943407,0.296678731,0.333142612,0
9.98795E-5,33.756261432,0.659008602,0.295348095,0.336003433,0
1.00091E-4,34.00622489,0.659786272,0.294017458,0.338864254,0
1.00284E-4,34.256710107,0.660491041,0.292686821,0.341438993,0
1.00547E-4,34.507705573,0.661450072,0.291356185,0.34372765,0
1.00802E-4,34.759392831,0.66238159,0.290025548,0.346159348,0
1.00983E-4,35.001498796,0.663037255,0.288748137,0.348448005,0
1.01213E-4,35.254273785,0.663871077,0.287417501,0.351022744,0
1.01365E-4,35.507504776,0.664421786,0.286086864,0.353597482,0
1.01597E-4,35.7510665,0.66525787,0.284809453,0.355743098,0
1.01888E-4,36.005426157,0.666306124,0.283478816,0.358890001,0
1.02035E-4,36.250137138,0.666836218,0.282201405,0.361321699,0
1.02279E-4,36.50560564,0.667710667,0.280870769,0.363610356,0
1.02459E-4,36.751309479,0.668352421,0.279593357,0.365612931,0
1.02705E-4,37.007749625,0.669230339,0.278262721,0.368044629,0
1.02889E-4,37.254463336,0.66988711,0.27698531,0.370047204,0
1.03091E-4,37.50166913,0.670602791,0.275707899,0.372478901,0
1.03331E-4,37.759730605,0.671453954,0.274377262,0.37505364,0
1.03496E-4,38.00793529,0.672035459,0.273099851,0.377485338,0
1.03745E-4,38.256650846,0.672917213,0.27182244,0.379487913,0
1.039E-4,38.505833608,0.67346194,0.270545029,0.381633529,0
1.04088E-4,38.755422993,0.674121879,0.269267618,0.384780432,0
1.04324E-4,39.005511165,0.674949214,0.267990207,0.387069089,0
1.04571E-4,39.256171271,0.67581286,0.266712795,0.388785581,0
1.04711E-4,39.507315316,0.676303272,0.265435384,0.391217279,0
1.049E-4,39.758843058,0.676958289,0.264157973,0.393219854,0
1.05049E-4,40.000289665,0.677476587,0.262933788,0.395794593,0
1.05232E-4,40.25265099,0.678114723,0.261656376,0.398512373,0
1.05427E-4,40.505467168,0.678789681,0.260378965,0.401087112,0
1.05568E-4,40.758697194,0.679274423,0.259101554,0.403232728,0
1.05691E-4,41.00163231,0.679699847,0.257877369,0.406093549,0
1.05861E-4,41.255460825,0.680287935,0.256599957,0.408525247,0
1.0608E-4,41.50982874,0.681041588,0.255322546,0.411386068,0
1.06374E-4,41.754132533,0.682047303,0.254098361,0.413817766,0
1.06482E-4,42.009566362,0.682417939,0.25282095,0.41582034,0
1.06656E-4,42.254702031,0.683014107,0.251596764,0.418252038,0
1.06819E-4,42.500226796,0.68356788,0.250372578,0.420397654,0
1.06991E-4,42.756796206,0.684155746,0.249095167,0.422829352,0
1.07182E-4,43.003090214,0.684804179,0.247870981,0.425547132,0
1.07328E-4,43.260520671,0.685298826,0.24659357,0.428121871,0
1.07484E-4,43.507574833,0.685827538,0.245369385,0.430553569,0
1.0767E-4,43.754982513,0.686456462,0.244145199,0.433271349,0
1.07818E-4,44.002815852,0.686955231,0.242921013,0.435703047,0
1.07926E-4,44.250956364,0.687319871,0.241696828,0.438277786,0
1.08085E-4,44.510131183,0.687855525,0.240419417,0.440995566,0
1.08262E-4,44.758926324,0.688449259,0.239195231,0.443284223,0
1.08464E-4,45.008225299,0.689127944,0.237971045,0.446002003,0
1.08594E-4,45.257880417,0.689560311,0.23674686,0.4484337,0
1.08714E-4,45.507784207,0.689963187,0.235522674,0.450865398,0
1.089E-4,45.758049933,0.690582403,0.234298488,0.453726219,0
1.09029E-4,46.008679618,0.691012579,0.233074303,0.456443999,0
1.09203E-4,46.259603669,0.691593187,0.231850117,0.458875697,0
1.09363E-4,46.500018939,0.692123377,0.230679157,0.461164354,0
1.09517E-4,46.751760343,0.692634579,0.229454971,0.463882134,0
1.09631E-4,47.003786946,0.69301165,0.228230786,0.466885996,0
1.09786E-4,47.256133734,0.693521804,0.2270066,0.469174653,0
1.09931E-4,47.508850608,0.694001125,0.225782414,0.471749392,0
1.1011E-4,47.750887212,0.694591508,0.224611454,0.473751967,0
1.10294E-4,48.004362358,0.695195414,0.223387268,0.476326706,0
1.10401E-4,48.258173925,0.69554744,0.222163083,0.478758404,0
1.10539E-4,48.501227652,0.695997945,0.220992123,0.481190102,0
1.10643E-4,48.755579676,0.696339497,0.219767937,0.483621799,0
1.1073E-4,49.010167806,0.696623284,0.218543751,0.486339579,0
1.1086E-4,49.253906567,0.697047014,0.217372791,0.488628236,0
1.11028E-4,49.50910754,0.697594963,0.216148605,0.491489057,0
1.11143E-4,49.753523662,0.69797116,0.214977645,0.494349878,0
1.11268E-4,50.009303055,0.698375471,0.21375346,0.496638535,0
1.11432E-4,50.254270722,0.6989086,0.212582499,0.499070233,0
1.11597E-4,50.510749352,0.699441662,0.211358314,0.501788013,0
1.11711E-4,50.756395223,0.699811756,0.210187354,0.504362752,0
1.11837E-4,51.002285378,0.700218377,0.209016393,0.507223573,0
1.11957E-4,51.25963779,0.700605355,0.207792208,0.509941353,0
1.12098E-4,51.506084756,0.701060615,0.206621248,0.512802174,0
1.12254E-4,51.752865013,0.70156289,0.205450287,0.514804749,0
1.12413E-4,52.011241139,0.702072372,0.204226102,0.517379488,0
1.12538E-4,52.258690855,0.702473441,0.203055142,0.519954227,0
1.12682E-4,52.506476073,0.702934975,0.201884181,0.522672007,0
1.1281E-4,52.754522923,0.703344874,0.200713221,0.525103705,0
1.12949E-4,53.002844592,0.703789263,0.199542261,0.527678444,0
1.13062E-4,53.251467382,0.70415063,0.198371301,0.530396224,0
1.13191E-4,53.500341041,0.704561282,0.197200341,0.533114004,0
1.13286E-4,53.760778923,0.704861618,0.195976155,0.535974825,0
1.13379E-4,54.010099804,0.705156114,0.194805195,0.538692605,0
1.13508E-4,54.259683422,0.705566067,0.193634235,0.541553426,0
1.13627E-4,54.509564985,0.705944351,0.192463274,0.543985124,0
1.13736E-4,54.759657215,0.706289836,0.191292314,0.546559863,0
1.13865E-4,55.010034255,0.706696436,0.190121354,0.548705478,0
1.14001E-4,55.260709914,0.707126639,0.188950394,0.551423258,0
1.14135E-4,55.500275594,0.707549347,0.187832659,0.553854956,0
1.14286E-4,55.751542038,0.708024218,0.186661699,0.556143613,0
1.14402E-4,56.00310249,0.708388089,0.185490739,0.55843227,0
1.14521E-4,56.254930039,0.708761442,0.184319779,0.561007009,0
1.14692E-4,56.507091007,0.709297032,0.183148818,0.563152625,0
1.14842E-4,56.759584796,0.709767684,0.181977858,0.565727364,0
1.14939E-4,57.00085508,0.710072044,0.180860123,0.56787298,0
1.15082E-4,57.253853653,0.710517476,0.179689163,0.57059076,0
1.15211E-4,57.507196149,0.710918965,0.178518203,0.57330854,0
1.15352E-4,57.760831565,0.711359201,0.177347243,0.575597196,0
1.15461E-4,58.003182613,0.711695853,0.176229508,0.578314976,0
1.15593E-4,58.257351508,0.712104675,0.175058548,0.580746674,0
1.15743E-4,58.500251447,0.712572398,0.173940813,0.583321413,0
1.15875E-4,58.755044345,0.712977873,0.172769853,0.585753111,0
1.15973E-4,59.010080239,0.713281284,0.171598893,0.588470891,0
1.16108E-4,59.25375031,0.713698632,0.170481158,0.590759548,0
1.16195E-4,59.509277448,0.713966858,0.169310198,0.593477328,0
1.16327E-4,59.753413688,0.714374802,0.168192463,0.595622944,0
1.16412E-4,60.009412685,0.714633498,0.167021503,0.598340724,0
1.16569E-4,60.254057331,0.715116019,0.165903768,0.600629381,0
1.16692E-4,60.510623629,0.71549389,0.164732808,0.603061079,0
1.16772E-4,60.755767379,0.715740839,0.163615073,0.605778859,0
1.16956E-4,61.001182001,0.716300817,0.162497339,0.608353597,0
1.17115E-4,61.258695007,0.716786201,0.161326379,0.610928336,0
1.17212E-4,61.504759699,0.717084092,0.160208644,0.613646116,0
1.17323E-4,61.751039274,0.71742289,0.159090909,0.615934773,0
1.1745E-4,62.009289845,0.717806889,0.157919949,0.618366471,0
1.17631E-4,62.256173869,0.718356628,0.156802214,0.620655128,0
1.17742E-4,62.503301195,0.718694704,0.155684479,0.623229867,0
1.17842E-4,62.750691619,0.718997883,0.154566745,0.625804606,0
1.17981E-4,63.010104282,0.71941776,0.153395785,0.628665427,0
1.18152E-4,63.258077786,0.719933606,0.15227805,0.631240166,0
1.18251E-4,63.506319537,0.720233687,0.151160315,0.633528823,0
1.18415E-4,63.754828728,0.720726328,0.15004258,0.636389644,0
1.18509E-4,64.003609603,0.721009098,0.148924846,0.638821342,0
1.18609E-4,64.252592243,0.721309697,0.147807111,0.641396081,0
1.18738E-4,64.50180154,0.721696874,0.146689376,0.64397082,0
1.1885E-4,64.751276195,0.722032554,0.145571641,0.646545559,0
1.18993E-4,65.001016044,0.722460774,0.144453907,0.649549421,0
1.19163E-4,65.251075506,0.722968438,0.143336172,0.652410242,0
1.19267E-4,65.50144407,0.723277031,0.142218437,0.654984981,0
1.19427E-4,65.752068395,0.723754015,0.141100703,0.65755972,0
1.1956E-4,66.00301784,0.724150849,0.139982968,0.659848376,0
1.19686E-4,66.254247098,0.724523023,0.138865233,0.662137033,0
1.19787E-4,66.505704559,0.72482249,0.137747498,0.664997854,0
1.19951E-4,66.757442246,0.725307692,0.136629764,0.667572593,0
1.20087E-4,67.009506697,0.725710751,0.135512029,0.670004291,0
1.20239E-4,67.261847761,0.726160497,0.134394294,0.672149907,0
1.20346E-4,67.502446026,0.72647514,0.133329785,0.674295523,0
1.20464E-4,67.755275239,0.726823035,0.13221205,0.676870262,0
1.20609E-4,68.008374442,0.727249228,0.131094316,0.679588042,0
1.20771E-4,68.261835401,0.727725334,0.129976581,0.682448863,0
1.20906E-4,68.503512132,0.728120225,0.128912072,0.684594479,0
1.21018E-4,68.757547139,0.728448506,0.127794337,0.687026177,0
1.21128E-4,69.011807341,0.728768831,0.126676602,0.689743957,0
1.212E-4,69.254129477,0.728981193,0.125612093,0.692175654,0
1.21329E-4,69.508784915,0.729355788,0.124494358,0.695036475,0
1.21432E-4,69.751527568,0.72965493,0.123429849,0.697182091,0
1.21588E-4,70.006696569,0.730111236,0.122312114,0.699613789,0
1.21754E-4,70.250018609,0.73059108,0.121247605,0.702188528,0
1.21902E-4,70.505894481,0.731021507,0.12012987,0.705049349,0
1.2205E-4,70.762071574,0.731448908,0.119012135,0.707481047,0
1.22167E-4,71.006280907,0.731787139,0.117947626,0.710341868,0
1.22299E-4,71.250777448,0.732169649,0.116883117,0.712773566,0
1.22492E-4,71.507876938,0.732724725,0.115765382,0.715205264,0
1.22624E-4,71.753025954,0.733104108,0.114700873,0.717923044,0
1.22779E-4,72.010695577,0.733549881,0.113583138,0.720783865,0
1.22836E-4,72.256315479,0.733712779,0.112518629,0.723501645,0
1.22943E-4,72.502099333,0.734021206,0.11145412,0.725790302,0
1.23035E-4,72.760394073,0.734283484,0.110336385,0.728508082,0
1.23126E-4,73.006574555,0.734543364,0.109271876,0.73093978,0
1.23246E-4,73.252932011,0.734887719,0.108207366,0.733228437,0
1.23363E-4,73.511874048,0.735222531,0.107089632,0.735946217,0
1.23453E-4,73.758689674,0.735478151,0.106025122,0.738663997,0
1.23549E-4,74.005701264,0.735752219,0.104960613,0.741381777,0
1.23683E-4,74.25295456,0.736134015,0.103896104,0.743956516,0
1.23782E-4,74.50044557,0.736413636,0.102831595,0.746102131,0
1.2385E-4,74.760468218,0.736607661,0.10171386,0.748819911,0
1.2396E-4,75.008261487,0.736920188,0.100649351,0.751537691,0
1.24012E-4,75.256238922,0.737066989,0.099584841,0.75411243,0
1.24135E-4,75.504377845,0.737413575,0.098520332,0.75683021,0
1.24239E-4,75.752774971,0.73770754,0.097455823,0.759404949,0
1.24337E-4,76.001346535,0.737986235,0.096391314,0.761836647,0
1.24468E-4,76.250144,0.73835335,0.095326804,0.764554427,0
1.24536E-4,76.5116116,0.738545549,0.09420907,0.766986125,0
1.24669E-4,76.76082006,0.738920353,0.09314456,0.769417823,0
1.24785E-4,77.010293652,0.739246784,0.092080051,0.771849521,0
1.24898E-4,77.259993903,0.73956409,0.091015542,0.77442426,0
1.2498E-4,77.509854049,0.739794468,0.089951033,0.776712917,0
1.25103E-4,77.759944953,0.740137383,0.088886523,0.779001573,0
1.25217E-4,78.010253791,0.740457117,0.087822014,0.781433271,0
1.25318E-4,78.260780864,0.740738396,0.086757505,0.784151051,0
1.25459E-4,78.51155161,0.74113267,0.085692996,0.78672579,0
1.25599E-4,78.750038303,0.741522154,0.084681712,0.78944357,0
1.25732E-4,79.001382411,0.741893896,0.083617202,0.792018309,0
1.25844E-4,79.252979957,0.742204298,0.082552693,0.794736089,0
