X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,6.010121593731642E-5,11.06287924780638,0.4765993701994726
2.0,2.0,train,9.839074744989661E-5,32.04601519098978,0.6534962055155268
3.0,3.0,train,2.908384177899347E-6,0.4016949122652468,0.030843338999012704
4.0,4.0,train,1.13766201444229E-4,54.818275418176604,0.7063848356660418
5.0,5.0,train,1.2904086970673393E-4,85.24484116103034,0.7509305481112847
6.0,6.0,train,1.1014293182400456E-4,47.79625351035653,0.6946985430219036
7.0,7.0,train,1.0905632135398287E-4,46.04807953075969,0.6911040156521426
8.0,8.0,train,1.2385027227527386E-4,74.76108156327435,0.7366076606236172
9.0,9.0,train,5.470967817974669E-5,10.033734129262136,0.4453015461853773
10.0,10.0,train,1.2160670954048114E-4,70.03412092777911,0.7301645630346071
11.0,11.0,train,1.1432852963449591E-4,55.84377284901023,0.7081579980890511
12.0,12.0,train,1.062697387488392E-4,41.66749505299487,0.6816913322711096
13.0,13.0,train,1.309646846089247E-4,88.38247273121306,0.7560389655862992
14.0,14.0,train,1.03371601016678E-4,37.820805529577235,0.6715974316979343
15.0,15.0,train,1.1252141345033768E-4,52.2258561589731,0.7024212917645245
16.0,16.0,train,1.1840487534097824E-4,63.73948683273995,0.7206955737191465
17.0,17.0,train,1.0953682828948488E-4,46.7955959258261,0.6926987315127738
18.0,18.0,train,8.785939053937903E-5,22.054174729309526,0.611871232945375
19.0,19.0,train,1.0058103508508266E-4,34.54129850335393,0.6615758225020205
20.0,20.0,train,1.1333547771339762E-4,53.89342222508774,0.7050193723448647
21.0,21.0,train,1.3760480309030223E-4,94.62351607208181,0.7728793428254778
22.0,22.0,train,8.089698078661202E-5,17.558483285821914,0.5816426465017008
23.0,23.0,train,1.1494257098336738E-4,57.00717293801506,0.710081996724263
24.0,24.0,train,1.331132454860057E-4,90.75576096192164,0.761620414831796
25.0,25.0,train,7.932963032337959E-5,16.860976350387773,0.5745193711065787
26.0,26.0,train,8.636237072670476E-5,20.98034521148718,0.6055615922459945
27.0,27.0,train,5.7444754766284514E-5,10.510550744549304,0.46140575493806524
28.0,28.0,train,8.103288160111159E-5,17.634892878871295,0.5822546395374955
29.0,29.0,train,1.1961062704921381E-4,66.10396225276757,0.7242998098918902
30.0,30.0,train,1.0416172914356738E-4,38.8335534452792,0.6743806806102378
31.0,31.0,train,6.98719211420335E-5,13.171291522562868,0.528887218461696
32.0,32.0,train,1.1408439054348461E-4,55.409795826354184,0.7073894851728649
33.0,33.0,train,9.611199236017955E-5,29.711519357561233,0.6448854422159519
34.0,34.0,train,9.830643395781546E-5,31.957318369968284,0.6531813602511618
35.0,35.0,train,1.15481857741363E-4,58.04334465144266,0.7117612993453901
36.0,36.0,train,1.1321131256384186E-4,53.556026947368046,0.7046245710764983
37.0,37.0,train,1.2202585498848798E-4,70.72027833846217,0.7313801290331026
38.0,38.0,train,1.1184732869511646E-4,51.02443633300862,0.7002526444569743
39.0,39.0,train,8.223232597329145E-5,18.24014999598648,0.5876173457424928
40.0,40.0,train,1.2688267082729224E-4,81.30661290792415,0.7450723397287679
41.0,41.0,train,1.8014869907641337E-5,3.242240272436243,0.17638782021982724
42.0,42.0,train,9.125650577950119E-5,24.66982450955247,0.6258175330044351
43.0,43.0,train,7.162678343338337E-5,13.73023749126695,0.5377091656511324
44.0,44.0,train,1.2022342979563672E-4,67.23599906405443,0.7261137377449189
45.0,45.0,train,1.2727062542429435E-4,81.85797300177428,0.7461354677705719
46.0,46.0,train,1.2172851918887125E-4,70.21266895270661,0.7305183897657896
47.0,47.0,train,1.0975641866787848E-4,47.20797402983467,0.6934247688871418
48.0,48.0,train,8.634202103640166E-5,20.96034937736089,0.6054751194577586
49.0,49.0,train,5.754732261221159E-5,10.529288225583958,0.462000495980071
50.0,50.0,train,1.1897653177630959E-4,64.97225540275704,0.7224102071973871
51.0,51.0,train,1.1644610991020746E-4,60.06256432135539,0.714739707719952
52.0,52.0,train,7.591624647836309E-6,1.194970995145007,0.07852229944724631
53.0,53.0,train,9.325122230482828E-5,26.550816063286433,0.6337718334177782
54.0,54.0,train,1.2959014869689693E-4,86.25837369913509,0.7523998942875116
