x,y,species cloglog values
1.0,1.0,0.01305292
2.0,2.0,0.2936596
3.0,3.0,0.0046651056
4.0,4.0,0.03217965
5.0,5.0,0.14492276
6.0,6.0,0.007340362
7.0,7.0,0.050955266
8.0,8.0,0.4515739
9.0,9.0,0.40935484
10.0,10.0,0.25125095
11.0,11.0,0.26725566
12.0,12.0,0.07700726
13.0,13.0,0.0055970084
14.0,14.0,0.22149545
15.0,15.0,0.047907975
16.0,16.0,0.52831244
17.0,17.0,0.78168786
18.0,18.0,0.043910008
19.0,19.0,0.77088994
20.0,20.0,0.031174285
21.0,21.0,0.023490679
22.0,22.0,0.0057003344
23.0,23.0,0.026603764
24.0,24.0,0.4136534
25.0,25.0,0.021111235
26.0,26.0,0.67442375
27.0,27.0,0.54887265
28.0,28.0,0.700574
29.0,29.0,0.006822425
30.0,30.0,0.010020457
31.0,31.0,0.31217784
32.0,32.0,0.34508768
33.0,33.0,0.5089043
34.0,34.0,0.120220326
35.0,35.0,0.015809204
36.0,36.0,0.0019769894
37.0,37.0,0.011871176
38.0,38.0,0.24643803
39.0,39.0,0.6287807
40.0,40.0,0.05857844
41.0,41.0,0.027068252
42.0,42.0,0.01148115
43.0,43.0,0.011405396
44.0,44.0,0.73462784
45.0,45.0,0.4345391
46.0,46.0,0.00944663
47.0,47.0,0.015867995
48.0,48.0,0.64050996
49.0,49.0,0.37681758
50.0,50.0,0.17762317
51.0,51.0,0.46122357
52.0,52.0,0.005671761
53.0,53.0,0.009490184
54.0,54.0,0.010529944
55.0,55.0,0.073981404
56.0,56.0,0.15154006
57.0,57.0,0.1256424
58.0,58.0,0.33950093
59.0,59.0,0.19555731
60.0,60.0,0.60050803
61.0,61.0,0.02890939
62.0,62.0,0.3183019
63.0,63.0,0.20181671
64.0,64.0,0.5814157
65.0,65.0,0.014604653
66.0,66.0,0.024384055
67.0,67.0,0.38224003
68.0,68.0,0.032033812
69.0,69.0,0.45329848
70.0,70.0,0.605981
71.0,71.0,0.09591236
72.0,72.0,0.47224957
73.0,73.0,0.24864171
74.0,74.0,0.55116147
75.0,75.0,0.03545373
76.0,76.0,0.002088501
77.0,77.0,0.0030340445
78.0,78.0,0.0052225087
79.0,79.0,0.43243513
80.0,80.0,0.04263512
81.0,81.0,0.40054545
82.0,82.0,0.30063358
83.0,83.0,0.42948806
84.0,84.0,0.54310006
85.0,85.0,0.2552719
86.0,86.0,0.58274144
87.0,87.0,0.010660683
88.0,88.0,0.019601474
89.0,89.0,0.7491521
90.0,90.0,0.039793164
91.0,91.0,0.64938986
92.0,92.0,0.052033775
93.0,93.0,0.17795168
94.0,94.0,0.0070783794
95.0,95.0,0.0036850823
96.0,96.0,0.6897366
97.0,97.0,0.38280755
98.0,98.0,0.40089536
99.0,99.0,0.38320887
100.0,100.0,0.23175235
101.0,101.0,0.025686594
102.0,102.0,0.5255525
103.0,103.0,0.0022385046
104.0,104.0,0.018235868
105.0,105.0,0.0048554023
106.0,106.0,0.5658853
107.0,107.0,0.123338565
108.0,108.0,0.022972109
109.0,109.0,0.5052804
110.0,110.0,0.0038972276
111.0,111.0,0.011902304
112.0,112.0,0.24587923
113.0,113.0,0.009061008
114.0,114.0,0.4170032
115.0,115.0,0.06153293
116.0,116.0,0.3686651
117.0,117.0,0.27550903
118.0,118.0,0.0013145295
119.0,119.0,0.0036220863
120.0,120.0,0.53814524
121.0,121.0,0.15502097
122.0,122.0,0.053024113
123.0,123.0,0.7133833
124.0,124.0,0.0232749
125.0,125.0,0.7098927
126.0,126.0,0.022890177
127.0,127.0,0.028195268
128.0,128.0,0.010496748
129.0,129.0,0.05399807
130.0,130.0,0.5205027
131.0,131.0,0.53875864
132.0,132.0,0.25466558
133.0,133.0,0.1550504
134.0,134.0,0.6913505
135.0,135.0,0.6613646
136.0,136.0,0.21664727
137.0,137.0,0.011822448
138.0,138.0,0.0053390106
139.0,139.0,0.3861603
140.0,140.0,0.2515687
141.0,141.0,0.2010191
142.0,142.0,0.0888785
143.0,143.0,0.13830592
144.0,144.0,0.44716728
145.0,145.0,0.3451842
146.0,146.0,0.029046161
147.0,147.0,0.0040736427
148.0,148.0,0.04641722
149.0,149.0,0.3803247
150.0,150.0,0.41545966
151.0,151.0,0.059343528
152.0,152.0,0.1802039
153.0,153.0,0.28636712
154.0,154.0,0.029413277
155.0,155.0,0.17066985
156.0,156.0,0.008277095
157.0,157.0,0.09488943
158.0,158.0,0.6227311
159.0,159.0,0.028772013
160.0,160.0,0.0039169067
161.0,161.0,0.013042974
162.0,162.0,0.0066472692
163.0,163.0,0.60594875
164.0,164.0,0.037873052
165.0,165.0,0.021028586
166.0,166.0,0.0021728948
167.0,167.0,0.22609054
168.0,168.0,0.017455457
169.0,169.0,0.010785447
170.0,170.0,0.6458152
171.0,171.0,0.057804372
172.0,172.0,0.5799057
173.0,173.0,0.19218805
174.0,174.0,0.7368104
175.0,175.0,0.6886966
176.0,176.0,0.15317103
177.0,177.0,0.101799
178.0,178.0,0.026316956
179.0,179.0,0.5551566
180.0,180.0,0.0061024455
181.0,181.0,0.51939154
182.0,182.0,0.009799202
183.0,183.0,0.59616244
184.0,184.0,0.49560872
185.0,185.0,0.34431544
186.0,186.0,0.29661265
187.0,187.0,0.606157
188.0,188.0,0.6187038
189.0,189.0,0.59805804
190.0,190.0,0.4269179
191.0,191.0,0.026481373
192.0,192.0,0.28358117
193.0,193.0,0.590521
194.0,194.0,0.04578062
195.0,195.0,0.14209376
196.0,196.0,0.035209328
197.0,197.0,0.60469717
198.0,198.0,0.5921396
199.0,199.0,0.010190099
200.0,200.0,0.009552206
201.0,201.0,0.17525837
202.0,202.0,0.007875513
203.0,203.0,0.20548508
204.0,204.0,0.011429038
205.0,205.0,0.0336718
206.0,206.0,0.24301395
207.0,207.0,0.10925553
208.0,208.0,0.6482079
209.0,209.0,0.7903547
210.0,210.0,0.23496202
211.0,211.0,0.008084275
212.0,212.0,0.074755006
213.0,213.0,0.2487965
214.0,214.0,0.17127633
215.0,215.0,0.74084646
216.0,216.0,0.12331211
217.0,217.0,0.06585008
218.0,218.0,0.028359529
219.0,219.0,0.023470487
220.0,220.0,0.031178754
221.0,221.0,0.07125375
222.0,222.0,0.119938925
223.0,223.0,0.004700901
224.0,224.0,0.0041295034
225.0,225.0,0.7222271
226.0,226.0,0.017453969
227.0,227.0,0.008147924
228.0,228.0,0.41103393
229.0,229.0,0.050116885
230.0,230.0,0.006067695
231.0,231.0,0.1562087
232.0,232.0,0.0115420185
233.0,233.0,0.24824329
234.0,234.0,0.6135903
235.0,235.0,0.5228958
236.0,236.0,0.6366119
237.0,237.0,0.04881275
238.0,238.0,0.39900193
239.0,239.0,0.0017771628
240.0,240.0,0.2520794
241.0,241.0,0.003136804
242.0,242.0,0.43745974
243.0,243.0,0.10662359
244.0,244.0,0.20465413
245.0,245.0,0.22168255
246.0,246.0,0.48454997
247.0,247.0,0.0038025323
248.0,248.0,0.016050637
249.0,249.0,0.57228696
250.0,250.0,0.6640068
251.0,251.0,0.062188074
252.0,252.0,0.02580905
253.0,253.0,0.0101697175
254.0,254.0,0.013808551
255.0,255.0,0.016519194
256.0,256.0,0.18196213
257.0,257.0,0.015535376
258.0,258.0,0.04070328
259.0,259.0,0.003043449
260.0,260.0,0.0067274733
261.0,261.0,0.12568043
262.0,262.0,0.004365995
263.0,263.0,0.6993903
264.0,264.0,0.16366594
265.0,265.0,0.34792262
266.0,266.0,0.0067912824
267.0,267.0,0.6324703
268.0,268.0,0.012076732
269.0,269.0,0.012321484
270.0,270.0,0.007666383
271.0,271.0,0.4536402
272.0,272.0,0.029799288
273.0,273.0,0.37131953
274.0,274.0,0.0051353686
275.0,275.0,0.26025918
276.0,276.0,0.010179372
277.0,277.0,0.008377086
278.0,278.0,0.10131707
279.0,279.0,0.10517831
280.0,280.0,0.67195374
281.0,281.0,0.023595234
282.0,282.0,0.012550407
283.0,283.0,0.00828131
284.0,284.0,0.0075633014
285.0,285.0,0.49524269
286.0,286.0,0.46313256
287.0,287.0,0.0055638896
288.0,288.0,0.22676033
289.0,289.0,0.2757073
290.0,290.0,0.0015699795
291.0,291.0,0.023819853
292.0,292.0,0.007991527
293.0,293.0,0.62806463
294.0,294.0,0.268155
295.0,295.0,0.15920582
296.0,296.0,0.051876176
297.0,297.0,0.004753653
298.0,298.0,0.004031613
299.0,299.0,0.0038126125
300.0,300.0,0.010788913
301.0,301.0,0.3292264
302.0,302.0,0.2673568
303.0,303.0,0.036427874
304.0,304.0,0.36983913
305.0,305.0,0.0037388273
306.0,306.0,0.50514835
307.0,307.0,0.007311216
308.0,308.0,0.0041913665
309.0,309.0,0.0082179895
310.0,310.0,0.16100822
311.0,311.0,7.174774E-4
312.0,312.0,0.002606315
