Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.08485E-8,0.000002085,0.000407129,1,0,0
2.52364E-8,0.000004608,0.000492795,0.999967779,0,0
2.79573E-8,0.000012733,0.000545913,0.999871117,0,0
3.24273E-8,0.000028071,0.000633169,0.999710014,0,0
3.57964E-8,0.000052152,0.000698931,0.99948447,0,0
4.38594E-8,0.000104155,0.000856295,0.999065601,0,0
5.87752E-8,0.000255284,0.001147338,0.998131202,0,0
7.72916E-8,0.000503877,0.00150852,0.996971259,0,0
9.30837E-8,0.001004748,0.001816456,0.995102462,0,0
1.14975E-7,0.002507214,0.002243173,0.99052713,0,0
1.40145E-7,0.005000426,0.002733567,0.984308545,0,0
1.75362E-7,0.010007956,0.003419305,0.974062379,0,0
2.66443E-7,0.025013244,0.005190636,0.951959015,0.000254691,0
3.79403E-7,0.05003266,0.0073831,0.927052455,0.000424484,0
5.24206E-7,0.100050831,0.01018654,0.891609744,0.001103659,0
7.8892E-7,0.200071548,0.01529106,0.841699961,0.001443246,0
1.1164E-6,0.300098804,0.02156952,0.807578296,0.001867731,0
1.4962E-6,0.400004029,0.028800855,0.782542853,0.002122421,0
2.01234E-6,0.500110792,0.038542581,0.763919319,0.002377112,0
2.44287E-6,0.600011876,0.04659371,0.749548911,0.002631802,0
2.88691E-6,0.700046787,0.054826721,0.737498389,0.003141183,0
3.1792E-6,0.750212098,0.060207361,0.732149762,0.003395874,0
3.43332E-6,0.800167081,0.064860405,0.727284444,0.003480771,0
3.97363E-6,0.900196268,0.07467733,0.718552649,0.003820358,0
4.59375E-6,1.000085665,0.085817473,0.711013017,0.004244843,0
5.18341E-6,1.100208515,0.09628593,0.704407785,0.004754224,0
5.81907E-6,1.200311172,0.107436789,0.698543627,0.005263605,0
6.32818E-6,1.300137361,0.116268381,0.693259441,0.006027676,0
6.78003E-6,1.400448344,0.124033526,0.688329682,0.006621954,0
7.24941E-6,1.500125397,0.132027492,0.68375435,0.007046439,0
8.27312E-6,1.750742525,0.149210356,0.673379301,0.009253757,0
9.12788E-6,2.000311948,0.163296588,0.664164196,0.011121487,0
9.88109E-6,2.250218156,0.175515808,0.655690166,0.012819424,0
1.05533E-5,2.500653677,0.186270904,0.647796108,0.014772052,0
1.12067E-5,2.750584944,0.19658884,0.640385359,0.016045505,0
1.18818E-5,3.00112461,0.207112795,0.633393479,0.017913235,0
1.2494E-5,3.250862249,0.216538462,0.626788246,0.020290347,0
1.31276E-5,3.500935981,0.226173259,0.62050522,0.022582562,0
1.37033E-5,3.750721101,0.234825737,0.614512179,0.024704983,0
1.42818E-5,4.001411909,0.243423145,0.608744684,0.028015961,0
1.47834E-5,4.251431264,0.250799298,0.603202732,0.030647763,0
1.51989E-5,4.500157497,0.256855774,0.597854105,0.033449359,0
1.56739E-5,4.750301116,0.26371758,0.59263436,0.035741574,0
1.60848E-5,5.000959234,0.269603233,0.587543498,0.038288479,0
1.65144E-5,5.250307232,0.275707194,0.582613739,0.040835385,0
1.69848E-5,5.501405834,0.282330679,0.577780642,0.042788013,0
1.74255E-5,5.751001618,0.288481786,0.573108648,0.044655743,0
1.79075E-5,6.000350703,0.295149712,0.568565537,0.046523474,0
1.83463E-5,6.250707417,0.301164062,0.564119088,0.048900586,0
1.87796E-5,6.501359399,0.307053539,0.5597693,0.051617285,0
1.92775E-5,6.750820616,0.313759666,0.555548395,0.05552254,0
1.97749E-5,7.000801955,0.320395164,0.551424153,0.057560065,0
2.02426E-5,7.250926795,0.326574545,0.547396572,0.059173105,0
2.07718E-5,7.50103571,0.333499549,0.543465653,0.06146532,0
2.13119E-5,7.751841039,0.340494067,0.539631396,0.063757535,0
2.18367E-5,8.002010516,0.347218961,0.535893801,0.065710162,0
2.23259E-5,8.251500689,0.35342651,0.532252868,0.069106036,0
2.28744E-5,8.500164974,0.36031705,0.528708596,0.071228457,0
2.32875E-5,8.751853762,0.365457925,0.525196546,0.074030053,0
2.37602E-5,9.001074979,0.371288807,0.521781157,0.076152475,0
2.41568E-5,9.250401781,0.376140098,0.51843021,0.078274896,0
2.45533E-5,9.501330736,0.380952948,0.515111483,0.080991595,0
2.49829E-5,9.751565462,0.386125476,0.511857198,0.08302912,0
2.53957E-5,10.001002278,0.391055164,0.508667354,0.085745819,0
2.58465E-5,10.251954872,0.396393659,0.505509731,0.088207827,0
2.62229E-5,10.501856286,0.400814629,0.502416549,0.090415146,0
2.66697E-5,10.750425847,0.406021527,0.499387808,0.092707361,0
2.71008E-5,11.000447957,0.41100226,0.496391288,0.094744885,0
2.74426E-5,11.251262526,0.414920993,0.493426988,0.096782409,0
2.78656E-5,11.500131335,0.419735516,0.49052713,0.099074624,0
2.82699E-5,11.752788766,0.424299346,0.487627272,0.101451736,0
2.86124E-5,12.00020378,0.428137131,0.484824075,0.103149673,0
2.89743E-5,12.250716517,0.432165206,0.482020879,0.105781476,0
2.93087E-5,12.50132131,0.435862641,0.479249903,0.107479413,0
2.96638E-5,12.751901229,0.439761997,0.476511148,0.110111215,0
3.00307E-5,13.002466279,0.443761622,0.473804614,0.112573224,0
3.04542E-5,13.250485584,0.448344086,0.471162521,0.113846676,0
3.08494E-5,13.501858793,0.452585452,0.468520428,0.116648272,0
3.11474E-5,13.752962842,0.455763312,0.465910555,0.118685797,0
3.14526E-5,14.000237735,0.458997223,0.463365124,0.121742083,0
3.17598E-5,14.253136289,0.462233892,0.460787473,0.124373886,0
3.20982E-5,14.502123399,0.465776829,0.458274262,0.126666101,0
3.24896E-5,14.750830638,0.469845402,0.455793272,0.128958316,0
3.28398E-5,15.002380083,0.473459344,0.453312283,0.131759912,0
3.31255E-5,15.253013659,0.47638944,0.450863513,0.13422192,0
3.3433E-5,15.502636584,0.479524256,0.448446965,0.136853723,0
3.37909E-5,15.751331934,0.483150445,0.446062637,0.139315731,0
3.41623E-5,16.002657976,0.486886537,0.443678309,0.141607946,0
3.45377E-5,16.253453485,0.490635028,0.441326202,0.144664233,0
3.48217E-5,16.503226297,0.493452368,0.439006315,0.147211138,0
3.51289E-5,16.751648427,0.496482952,0.436718649,0.149927838,0
3.54678E-5,17.002173374,0.499804504,0.434430983,0.152389846,0
3.57048E-5,17.251204412,0.502114464,0.432175538,0.154682061,0
3.6021E-5,17.502293236,0.505179792,0.429920093,0.156889379,0
3.63008E-5,17.751761068,0.507876855,0.427696868,0.159266491,0
3.66349E-5,18.003403408,0.511078197,0.425473644,0.161898294,0
3.68951E-5,18.253478842,0.513556186,0.42328264,0.164105612,0
3.72515E-5,18.502001214,0.5169309,0.421123856,0.166397827,0
3.74968E-5,18.752463055,0.519239523,0.418965073,0.168859835,0
3.78071E-5,19.000980772,0.522144902,0.41683851,0.171746328,0
3.81261E-5,19.25163363,0.5251126,0.414711947,0.174378131,0
3.84177E-5,19.500404283,0.527809493,0.412617605,0.176415655,0
3.87727E-5,19.751329465,0.531072454,0.410523263,0.17870787,0
3.90251E-5,20.000362011,0.533378785,0.408461142,0.180490704,0
3.92833E-5,20.25094529,0.535726202,0.40639902,0.1832923,0
3.95949E-5,20.503384472,0.53854316,0.404336899,0.185584515,0
3.98639E-5,20.753709366,0.540961664,0.402306998,0.187961627,0
4.01076E-5,21.001662599,0.54314109,0.400309318,0.189999151,0
4.03849E-5,21.251226829,0.545609058,0.398311638,0.192291366,0
4.07077E-5,21.502763633,0.548464393,0.396313958,0.195347653,0
4.10096E-5,21.7520985,0.551119208,0.394348499,0.198319042,0
4.12384E-5,22.002934309,0.553121077,0.392383039,0.200781051,0
4.14732E-5,22.251146714,0.55516613,0.3904498,0.202988369,0
4.16712E-5,22.50064687,0.556882448,0.388516561,0.205365481,0
4.18886E-5,22.751349448,0.55876048,0.386583323,0.207912386,0
4.21858E-5,23.003529575,0.561314084,0.384650084,0.210289498,0
4.24042E-5,23.253062173,0.563181777,0.382749066,0.212751507,0
4.26728E-5,23.504073496,0.56546763,0.380848047,0.214873928,0
4.28902E-5,23.752243585,0.567308895,0.37897925,0.218100008,0
4.31189E-5,24.001769879,0.569237091,0.377110452,0.220731811,0
4.3323E-5,24.252566187,0.570950788,0.375241655,0.223788097,0
4.35409E-5,24.500132603,0.572773205,0.373405078,0.226504797,0
4.37541E-5,24.753311449,0.574548371,0.37153628,0.22939129,0
4.39535E-5,25.003300209,0.576201848,0.369699704,0.232023092,0
4.41523E-5,25.250041406,0.577844192,0.367895347,0.234654894,0
4.43635E-5,25.502338995,0.57958209,0.36605877,0.237626284,0
4.45921E-5,25.751473343,0.581455619,0.364254414,0.239918499,0
4.48178E-5,26.001777785,0.583296171,0.362450058,0.242804992,0
4.5041E-5,26.253322825,0.585109187,0.360645702,0.245097207,0
4.52368E-5,26.501559741,0.586693218,0.358873566,0.247559216,0
4.55038E-5,26.751122854,0.588842416,0.357101431,0.250530605,0
4.56979E-5,27.00194507,0.590398814,0.355329295,0.253162408,0
4.5938E-5,27.253895023,0.592315127,0.353557159,0.255964004,0
4.61553E-5,27.502500369,0.594041791,0.351817244,0.258510909,0
4.64025E-5,27.752409855,0.595996818,0.35007733,0.26037864,0
4.65779E-5,28.003421471,0.597378894,0.348337415,0.263180236,0
4.67762E-5,28.250747639,0.598934779,0.34662972,0.265557348,0
4.69726E-5,28.50391548,0.60047028,0.344889805,0.268358944,0
4.71802E-5,28.753458458,0.602086968,0.343182111,0.270226675,0
4.74144E-5,29.004187424,0.603903188,0.341474417,0.272349096,0
4.76193E-5,29.251253309,0.605485768,0.339798943,0.274726208,0
4.78153E-5,29.504225836,0.606992551,0.338091249,0.276424145,0
4.79671E-5,29.753239255,0.608156176,0.336415775,0.27897105,0
4.82476E-5,30.003390561,0.610297572,0.334740302,0.281093471,0
4.84446E-5,30.254762217,0.611794098,0.333064828,0.283895067,0
4.86731E-5,30.5024258,0.61352248,0.331421575,0.286441973,0
4.88431E-5,30.751058444,0.614803659,0.329778322,0.288479497,0
4.90085E-5,31.000592331,0.616045903,0.328135069,0.29136599,0
4.91907E-5,31.251015846,0.617409993,0.326491816,0.293573308,0
4.9356E-5,31.502346278,0.61864302,0.324848563,0.295865523,0
4.95252E-5,31.754442055,0.619901406,0.32320531,0.298667119,0
4.96583E-5,32.002436387,0.620888231,0.321594278,0.301044231,0
4.98298E-5,32.251191268,0.622156168,0.319983245,0.30350624,0
5.00487E-5,32.500879311,0.623768562,0.318372213,0.305798455,0
5.02037E-5,32.751484585,0.624905267,0.316761181,0.30834536,0
5.03588E-5,33.00295088,0.626040579,0.315150148,0.311146956,0
5.05274E-5,33.250145496,0.627269924,0.313571337,0.314033449,0
5.07189E-5,33.50323382,0.628661097,0.311960304,0.317004839,0
5.08776E-5,33.752112514,0.629810271,0.310381492,0.319466848,0
5.10953E-5,34.002000878,0.631380994,0.308802681,0.322013753,0
5.13037E-5,34.252881627,0.632878499,0.307223869,0.324815349,0
5.14947E-5,34.504811037,0.634245613,0.305645057,0.327447152,0
5.17067E-5,34.75253097,0.635757381,0.304098466,0.329994057,0
5.18707E-5,35.001122348,0.636921862,0.302551875,0.332795653,0
5.20485E-5,35.250503438,0.638180765,0.301005284,0.335936837,0
5.21728E-5,35.500625183,0.639058158,0.299458693,0.338398845,0
5.232E-5,35.751436908,0.640094499,0.297912102,0.341030648,0
5.25155E-5,36.003029498,0.641466097,0.296365511,0.343917141,0
5.26929E-5,36.250288812,0.642706125,0.294851141,0.345954665,0
5.29091E-5,36.503684565,0.644211743,0.29330455,0.348671364,0
5.30692E-5,36.752749685,0.645322811,0.291790179,0.351388064,0
5.31978E-5,37.00247633,0.646212247,0.290275809,0.354274556,0
5.33644E-5,37.252887221,0.647361837,0.288761438,0.356651668,0
5.35587E-5,37.504172125,0.648697681,0.287247068,0.359198574,0
5.37098E-5,37.750872419,0.64973249,0.285764918,0.361745479,0
5.38903E-5,38.003726898,0.650965403,0.284250548,0.364462178,0
5.40352E-5,38.251952057,0.651951617,0.282768398,0.367433568,0
5.4221E-5,38.5009504,0.653212892,0.281286248,0.370320061,0
5.43929E-5,38.750784964,0.654375232,0.279804098,0.372612276,0
5.45741E-5,39.001339671,0.655596084,0.278321949,0.375159182,0
5.4757E-5,39.252803481,0.656824035,0.276839799,0.378385262,0
5.4934E-5,39.505064984,0.658008508,0.275357649,0.381017064,0
5.5141E-5,39.75261509,0.659388672,0.27390772,0.383733763,0
5.53244E-5,40.001192872,0.660606278,0.272457791,0.385601494,0
5.54688E-5,40.250509995,0.661562106,0.271007862,0.3881484,0
5.56034E-5,40.5004052,0.662451195,0.269557933,0.391119789,0
5.57753E-5,40.75105049,0.663582119,0.268108004,0.394006282,0
5.59202E-5,41.002371414,0.664533206,0.266658074,0.396807878,0
5.60758E-5,41.254338137,0.665550912,0.265208145,0.399694371,0
5.62374E-5,41.501438939,0.666604845,0.263790437,0.401816793,0
5.64248E-5,41.754945551,0.667822938,0.262340508,0.404448595,0
5.66146E-5,42.003592213,0.669052425,0.260922799,0.407335088,0
5.6776E-5,42.253105518,0.670094302,0.259505091,0.40996689,0
5.69258E-5,42.503226355,0.671057859,0.258087382,0.412768486,0
5.70993E-5,42.754067752,0.672170616,0.256669674,0.415400289,0
5.72465E-5,43.005664421,0.673111606,0.255251965,0.417862297,0
5.74263E-5,43.252300728,0.674257894,0.253866478,0.42074879,0
5.75973E-5,43.505366831,0.675344041,0.252448769,0.423295696,0
5.77427E-5,43.753362385,0.676264749,0.251063281,0.426351982,0
5.78891E-5,44.00193174,0.677189112,0.249677794,0.429408269,0
5.80745E-5,44.251245907,0.678355885,0.248292306,0.432040071,0
5.82064E-5,44.501251803,0.679183503,0.246906818,0.434926564,0
5.83942E-5,44.751982088,0.680358031,0.24552133,0.43772816,0
5.84993E-5,45.003299493,0.68101342,0.244135842,0.440529756,0
5.8661E-5,45.255214146,0.682019389,0.242750354,0.443076662,0
5.87989E-5,45.501911227,0.682874636,0.241397087,0.445453774,0
5.89774E-5,45.755195136,0.68397866,0.240011599,0.44825537,0
5.91241E-5,46.003200832,0.68488264,0.238658332,0.450972069,0
5.92349E-5,46.251752724,0.685564135,0.237305065,0.453518974,0
5.93951E-5,46.500940673,0.686546611,0.235951798,0.456150777,0
5.95761E-5,46.75075588,0.687652358,0.234598531,0.458697682,0
5.96887E-5,47.001196297,0.68833866,0.233245264,0.461584175,0
5.98447E-5,47.252227325,0.689286769,0.231891996,0.464215978,0
6.00226E-5,47.503975367,0.690364882,0.230538729,0.46710247,0
6.01761E-5,47.750412003,0.691291401,0.229217683,0.469479582,0
6.02896E-5,48.00341159,0.691975395,0.227864416,0.472366075,0
6.04558E-5,48.250987699,0.692973401,0.226543369,0.474912981,0
6.05885E-5,48.505186747,0.693768092,0.225190102,0.47788437,0
6.0731E-5,48.753882739,0.694619163,0.223869055,0.480940657,0
6.08943E-5,49.003187213,0.695591791,0.222548009,0.483487563,0
6.10533E-5,49.253206767,0.696536059,0.221226962,0.486204262,0
6.11753E-5,49.503794234,0.697258161,0.219905916,0.488836064,0
6.13023E-5,49.75485605,0.6980083,0.218584869,0.491213176,0
6.1435E-5,50.000317355,0.698789994,0.217296043,0.494099669,0
6.15687E-5,50.252467634,0.699575458,0.215974997,0.496816368,0
6.17134E-5,50.505171907,0.700423514,0.21465395,0.499702861,0
6.18454E-5,50.752312144,0.701194453,0.213365124,0.502079973,0
6.19821E-5,51.006101626,0.701991238,0.212044078,0.504117497,0
6.21602E-5,51.254381487,0.70302655,0.210755252,0.506919093,0
6.22761E-5,51.503265793,0.703697675,0.209466426,0.509381102,0
6.24232E-5,51.752693843,0.704547632,0.2081776,0.512097801,0
6.25563E-5,52.002663346,0.705314781,0.206888774,0.514899397,0
6.26787E-5,52.253140755,0.706018957,0.205599948,0.5175312,0
6.27927E-5,52.504041471,0.706672552,0.204311123,0.520332796,0
6.29293E-5,52.755542271,0.707454114,0.203022297,0.522964598,0
6.30629E-5,53.00123662,0.708216728,0.201765691,0.52534171,0
6.31702E-5,53.253770146,0.708827254,0.200476866,0.527888615,0
6.32555E-5,53.50030633,0.709312031,0.19922026,0.530520418,0
6.3408E-5,53.753617918,0.71017677,0.197931434,0.533067323,0
6.35431E-5,54.001208947,0.710940346,0.196674829,0.535784022,0
6.36857E-5,54.255670673,0.711744632,0.195386003,0.538670515,0
6.38527E-5,54.50440869,0.71268322,0.194129398,0.541641905,0
6.39691E-5,54.753658098,0.71333533,0.192872793,0.544273707,0
6.4111E-5,55.003427296,0.714129128,0.191616188,0.546820613,0
6.42133E-5,55.253668019,0.714699503,0.190359582,0.549707106,0
6.43489E-5,55.504336416,0.715454399,0.189102977,0.552763392,0
6.45105E-5,55.755618655,0.7163508,0.187846372,0.555140504,0
6.46366E-5,56.001014423,0.717048686,0.186621987,0.558026997,0
6.47388E-5,56.253302245,0.717613262,0.185365382,0.561083284,0
6.49114E-5,56.506125783,0.718563644,0.184108777,0.563715086,0
6.5025E-5,56.753005188,0.719187095,0.182884392,0.566346889,0
6.51201E-5,57.000281672,0.719708146,0.181660008,0.568808897,0
6.52281E-5,57.254452644,0.720298984,0.180403403,0.57169539,0
6.53393E-5,57.502524869,0.720905642,0.179179018,0.574327192,0
6.54726E-5,57.751036154,0.721631565,0.177954633,0.576789201,0
6.56283E-5,58.00010777,0.722476915,0.176730249,0.579166313,0
6.57425E-5,58.256328443,0.723095118,0.175473644,0.581967909,0
6.58396E-5,58.506323817,0.723619975,0.174249259,0.584769505,0
6.595E-5,58.750107099,0.724215129,0.173057095,0.587486204,0
6.60865E-5,59.000962024,0.724949357,0.17183271,0.590118007,0
6.62219E-5,59.252351936,0.725676025,0.170608326,0.593089396,0
6.63773E-5,59.504276448,0.72650715,0.169383941,0.595721199,0
