X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,9.791846482773475E-5,98.92017892362871,0.8522954636021753
2.0,2.0,train,2.650885891391501E-5,10.660944651478717,0.40415247164601
3.0,3.0,train,7.595560828795126E-5,78.27863876024266,0.7731720160309018
4.0,4.0,train,2.0072538309730688E-5,7.1599782102902685,0.3243339893724074
5.0,5.0,train,5.5194821094279544E-5,39.82556344463916,0.659746405730529
6.0,6.0,train,3.195850813466383E-5,14.399341265901413,0.46431710267259085
7.0,7.0,train,4.444364684386466E-5,25.58968515287611,0.5802400869175146
8.0,8.0,train,9.474067211513916E-5,98.40805150101082,0.8428371573001991
9.0,9.0,train,5.403516919041045E-5,38.251899277736605,0.65195161709123
10.0,10.0,train,7.054290081408635E-5,67.360352951069,0.7478780654308002
11.0,11.0,train,4.888482677928217E-5,30.81401035105122,0.6151175819049592
12.0,12.0,train,1.574069196637926E-5,4.791045697626053,0.26467805946122647
13.0,13.0,train,5.3712774112106166E-5,37.75503872131076,0.649753036631286
14.0,14.0,train,4.7138126556930234E-5,28.702884603094688,0.6017601779577348
15.0,15.0,train,5.964668315662633E-5,46.907744114268866,0.688082874291857
16.0,16.0,train,6.245472121776174E-5,51.811892514208544,0.7047297643717636
17.0,17.0,train,5.455615989335313E-5,38.9765329482381,0.6554753909162816
18.0,18.0,train,7.992001062889754E-5,85.58586952850321,0.7900731098444538
19.0,19.0,train,6.783546488323465E-5,62.00873653601668,0.7341866371884076
20.0,20.0,train,5.5634064625956574E-5,40.5451169164958,0.6626530554731713
21.0,21.0,train,3.359348450252838E-5,15.614153067726933,0.4811535132370178
22.0,22.0,train,8.10711016593657E-5,87.65587500518963,0.794740251608147
23.0,23.0,train,8.079867253344027E-5,87.14178215921572,0.7936451370737728
24.0,24.0,train,5.5971060690866595E-5,41.0847313215011,0.6648662486958351
25.0,25.0,train,7.016677363099739E-5,66.55402265533205,0.7460190292312328
26.0,26.0,train,3.355679920218966E-5,15.588661411935952,0.4807816075614152
27.0,27.0,train,7.657229677269229E-5,79.47806447837957,0.7758878034401973
28.0,28.0,train,7.156757672627053E-5,69.39915334639815,0.7528738612037215
29.0,29.0,train,6.264070672764777E-5,52.17539192805378,0.7058004363576327
30.0,30.0,train,6.935074413043128E-5,64.93122263713929,0.741938477225551
31.0,31.0,train,4.669703752640659E-5,28.15201364382471,0.5983143838265894
32.0,32.0,train,4.6189968589340164E-5,27.537548950481977,0.5943162995459865
33.0,33.0,train,7.600579235847515E-5,78.38105427661809,0.7733942425748369
34.0,34.0,train,7.136016484775096E-5,69.0256682473781,0.7518706819358463
35.0,35.0,train,6.748824198398953E-5,61.462679686053164,0.7323777773078398
36.0,36.0,train,7.46724399930459E-5,75.93735772247608,0.7674152287164792
37.0,37.0,train,6.732299283857541E-5,61.18010048346724,0.7315125928655308
38.0,38.0,train,5.626414516945721E-5,41.53761864709212,0.6667792477708612
39.0,39.0,train,7.792616640940616E-5,82.031832865222,0.781736499459402
40.0,40.0,train,8.286624906935585E-5,90.56913492950865,0.8018125180324785
41.0,41.0,train,5.169236753430408E-5,34.73578362357587,0.6356550609490574
42.0,42.0,train,6.387444327939907E-5,54.5509679642113,0.7128051202554806
43.0,43.0,train,1.223249195000727E-5,3.1441840343892875,0.21252588060779354
44.0,44.0,train,5.516989241598253E-5,39.791775464490506,0.6595806937328099
45.0,45.0,train,4.0202559418563616E-5,21.08712409981167,0.5439877186798308
46.0,46.0,train,6.378868271309036E-5,54.40905819299625,0.7123236445646762
47.0,47.0,train,3.7712457388311566E-5,18.925181977969295,0.5212606179016097
48.0,48.0,train,5.0086405814112574E-5,32.56184238117467,0.6240452975609951
49.0,49.0,train,6.421184152215553E-5,55.25010036943716,0.7146915278070787
50.0,50.0,train,5.469559052002218E-5,39.16837340005226,0.656412377638077
51.0,51.0,train,1.5242201565834852E-5,4.52296088728694,0.25748362702976135
52.0,52.0,train,9.346268013865638E-6,2.072770519205657,0.16685793774810742
53.0,53.0,train,6.061525231858261E-5,48.55187583056633,0.6939282788030796
54.0,54.0,train,5.722857414702241E-5,42.975025257289765,0.6729974452240559
55.0,55.0,train,5.6132848915148996E-5,41.34157101253556,0.6659236146087865
56.0,56.0,train,2.610753560418075E-5,10.425262966019963,0.3994634847227537
57.0,57.0,train,6.628797627234402E-5,59.35947055031819,0.7260296377283618
58.0,58.0,train,3.757797500607401E-5,18.817475711097238,0.5200014567990496
59.0,59.0,train,5.3099015366250076E-5,36.810647751742444,0.6455290351595022
60.0,60.0,train,5.452000640400482E-5,38.92654162963604,0.6552320192256156
61.0,61.0,train,5.7828887643264605E-5,43.899698497672496,0.6768092606702485
62.0,62.0,train,6.953272021657056E-5,65.28314866698727,0.7428540908155336
63.0,63.0,train,6.98994209707638E-5,66.02787997462458,0.7446892903959625
64.0,64.0,train,8.579248456289942E-5,94.96596969549002,0.8128223264376944
65.0,65.0,train,7.465471554942423E-5,75.89507954097182,0.7673346954513274
66.0,66.0,train,2.6376131408713144E-5,10.58710396727851,0.4026057741662231
67.0,67.0,train,2.2969780893677976E-6,0.5661588111288223,0.04387299781412268
68.0,68.0,train,4.138713086741945E-5,22.160161081997945,0.5544173651988056
69.0,69.0,train,1.1835821316065303E-5,2.9840612355130816,0.20640102189701082
70.0,70.0,train,4.5267465428345074E-5,26.53022251163399,0.5869403121283553
71.0,71.0,train,6.661510405744488E-5,59.9428764834009,0.7277745779258085
72.0,72.0,train,5.067167650760168E-5,33.44082277799207,0.62831855040313
73.0,73.0,train,6.231561818880902E-5,51.570274255094944,0.7039264369084794
74.0,74.0,train,5.338406339259831E-5,37.27831755410026,0.6474970869893366
75.0,75.0,train,5.413953665916834E-5,38.3917779732921,0.6526603921624763
76.0,76.0,train,7.090428129646812E-5,68.08080835183812,0.7496513961636813
77.0,77.0,train,5.782981150996175E-5,43.90126711071222,0.6768150925766541
78.0,78.0,train,4.2062766645756255E-5,22.899133320294673,0.5602588695879398
79.0,79.0,train,4.535236318394912E-5,26.609575875586266,0.5876246888623913
80.0,80.0,train,4.5592966037706745E-5,26.866346054255253,0.5895580794547263
81.0,81.0,train,8.083577869439532E-5,87.19880003795113,0.7937946399700119
82.0,82.0,train,3.2944920963009496E-5,15.094598643978768,0.47453910005586963
83.0,83.0,train,2.2014410138166667E-5,8.092642022776484,0.3494811420239249
84.0,84.0,train,7.116304004402458E-5,68.60137148045659,0.7509134835971618
85.0,85.0,train,3.881866947713909E-5,19.796685629541347,0.5314935584787259
86.0,86.0,train,2.2465322429648508E-5,8.31470830756246,0.3551852422896796
87.0,87.0,train,1.2055942638248314E-5,3.0721634393455814,0.20980570101330043
88.0,88.0,train,5.4952716242436574E-5,39.52744763037244,0.6581336087350205
89.0,89.0,train,8.169998658607289E-5,88.64289650124405,0.7972461107349107
90.0,90.0,train,5.9198523383226845E-5,46.17015094671186,0.6853405392754672
91.0,91.0,train,8.234706548178895E-5,89.77904235352587,0.7997925369572149
92.0,92.0,train,7.112177772884541E-5,68.5200494206876,0.7507126552228216
93.0,93.0,train,7.010077187378048E-5,66.4235781462644,0.7456913998172572
94.0,94.0,train,6.939954582658973E-5,65.03082136551888,0.7421843426442607
95.0,95.0,train,5.139600351850743E-5,34.37463016604975,0.6335399067422292
96.0,96.0,train,1.0305611979946204E-4,99.57190635568567,0.8663979861364157
97.0,97.0,train,4.591527457913746E-5,27.23004800626438,0.5921338280669093
98.0,98.0,train,7.525047238632313E-5,76.98900221267556,0.770026370084061
99.0,99.0,train,7.022716648476726E-5,66.68591777082274,0.7463184465068766
100.0,100.0,train,6.999041321059978E-5,66.21460593406594,0.7451426405444024
101.0,101.0,train,5.067449739402757E-5,33.44455088983398,0.6283390285553371
102.0,102.0,train,4.84990500927625E-5,30.313778869377433,0.6122065462650741
103.0,103.0,train,1.3522245623771836E-5,3.6721651011864216,0.23211570478940624
104.0,104.0,train,7.3069029354764E-5,72.4461842195487,0.7600159293629413
105.0,105.0,train,9.682372132050992E-5,98.74269020916564,0.8491031622530956
106.0,106.0,train,6.567501672610119E-5,58.10492205197901,0.7227298653017988
107.0,107.0,train,3.5691705308293866E-5,17.237444983021653,0.5019872651960967
108.0,108.0,train,5.854051742059719E-5,45.06751267919231,0.6812703869180006
109.0,109.0,train,1.4190908762614527E-5,3.9620245317479963,0.24207930945008793
110.0,110.0,train,4.734480050060889E-5,28.929675850488255,0.6033645326208205
111.0,111.0,train,6.587860162243687E-5,58.5924464938205,0.7238302174877865
112.0,112.0,train,6.326464476712883E-5,53.515496333169146,0.7093640129809111
113.0,113.0,train,6.905251528148811E-5,64.42500381735722,0.7404308823655291
114.0,114.0,train,7.407982816862701E-5,74.70352718528376,0.7647074466363211
115.0,115.0,train,4.35527449858405E-5,24.514198737362026,0.5728718913488768
116.0,116.0,train,5.917351945170313E-5,46.11406092426007,0.6851868295339146
117.0,117.0,train,7.722922554605522E-5,80.73367182318567,0.7787450436760328
118.0,118.0,train,3.947085289007911E-5,20.402889122327686,0.537423745363206
119.0,119.0,train,5.706136706848419E-5,42.69922539157504,0.6719277466444575
120.0,120.0,train,4.59774527926115E-5,27.299031586082595,0.5926288660006003
121.0,121.0,train,4.016408078590921E-5,21.05249413107799,0.5436448675192217
122.0,122.0,train,6.965408359647064E-5,65.51981524787617,0.7434629248015889
123.0,123.0,train,7.430771341119146E-5,75.17141385248085,0.7657524181547708
124.0,124.0,train,4.9002121511032596E-5,30.990969301101437,0.6159983375460443
125.0,125.0,train,4.308112618905995E-5,23.960556240809677,0.5689191597854781
126.0,126.0,train,5.73278046347065E-5,43.11719208977639,0.6736306172443276
127.0,127.0,train,7.267540531675427E-5,71.62250685676939,0.7581637594517675
128.0,128.0,train,6.574137623185854E-5,58.25380714151575,0.723089011322251
129.0,129.0,train,5.7679538984469755E-5,43.64563438611675,0.6758651126926162
130.0,130.0,train,7.934557350268247E-5,84.65038602541259,0.7877044894540727
131.0,131.0,train,6.814161420078773E-5,62.6684266410402,0.7357713790139802
132.0,132.0,train,4.944182939776248E-5,31.630225880354462,0.6192821624973375
133.0,133.0,train,8.521280998565225E-5,94.16137404910535,0.8106910222168356
134.0,134.0,train,6.684590246934501E-5,60.40324981362475,0.7289989945528057
135.0,135.0,train,6.300614604462836E-5,52.8968644185164,0.7078928836006386
136.0,136.0,train,6.491813354510675E-5,56.52075935350612,0.718600414210997
137.0,137.0,train,4.833669692188646E-5,30.117078077746708,0.6109748708713046
138.0,138.0,train,7.144712209701178E-5,69.16952226708236,0.7522917587784859
139.0,139.0,train,9.519369958548754E-5,98.50858605116109,0.8442216817862158
140.0,140.0,train,7.695790849990523E-5,80.21788801679662,0.7775694220101312
141.0,141.0,train,2.9751988993319396E-5,12.81212766541462,0.4407256937991829
142.0,142.0,train,6.215890410699406E-5,51.25257495058571,0.7030187862235762
143.0,143.0,train,3.688992089378396E-5,18.248501258469222,0.5135071876983757
144.0,144.0,train,6.98312175566137E-5,65.88523749555334,0.7443489521973528
145.0,145.0,train,5.807624812303664E-5,44.254559334339596,0.6783669711971387
146.0,146.0,train,6.146093732308469E-5,50.04923360969199,0.6989424158468653
147.0,147.0,train,7.536200816500585E-5,77.16514571148339,0.7705268256398273
148.0,148.0,train,4.412929486463515E-5,25.221488515471474,0.5776548678407267
149.0,149.0,train,3.8102093343136276E-5,19.23277050412565,0.5248901689041992
150.0,150.0,train,6.588508286588902E-5,58.606758258315125,0.7238651760246644
151.0,151.0,train,6.521568429618405E-5,57.2252330930096,0.720231096494777
152.0,152.0,train,8.606432637215732E-5,95.19989504903037,0.8138135328069089
153.0,153.0,train,7.110882626124687E-5,68.49439105618586,0.7506495855771328
154.0,154.0,train,6.45889844552327E-5,55.908352621438475,0.7167854873470564
155.0,155.0,train,7.190503870191596E-5,70.1622001036161,0.7544973873062659
156.0,156.0,train,6.137837590151949E-5,49.895577150723625,0.6984565423678579
157.0,157.0,train,1.0872134377160312E-5,2.622610640340729,0.19132186612089475
158.0,158.0,train,7.581694381189934E-5,78.02767223907043,0.7725568443370119
159.0,159.0,train,4.3374134229536505E-5,24.310662184894785,0.5713792008433971
160.0,160.0,train,7.430636032054982E-5,75.16745345520084,0.7657462272519178
161.0,161.0,train,3.3772649551510995E-5,15.738650174640876,0.4829660162731221
162.0,162.0,train,1.0557938578754937E-4,99.77563245548812,0.8728228549980057
163.0,163.0,train,4.841310306837642E-5,30.214572187248024,0.6115550046771899
164.0,164.0,train,8.058025889325051E-5,86.80060437630533,0.7927629363719082
165.0,165.0,train,7.908667176666059E-5,84.14505347838298,0.7866282211194031
166.0,166.0,train,4.475531927648199E-5,25.932485792815985,0.5827876465878624
167.0,167.0,train,7.317073584270446E-5,72.65494144998472,0.7604921914591565
168.0,168.0,train,6.70166306644316E-5,60.69804756343694,0.7299011855393813
169.0,169.0,train,5.5421611753933674E-5,40.169036049372075,0.6612502836876146
170.0,170.0,train,6.011052869818396E-5,47.645140530441786,0.6908960251381308
171.0,171.0,train,6.491826002138773E-5,56.52103421608529,0.7186011093605498
172.0,172.0,train,5.309510528116074E-5,36.803054809043964,0.6455019625759095
173.0,173.0,train,6.652333979482798E-5,59.74527872820961,0.7272862205382242
174.0,174.0,train,7.006802791377998E-5,66.36256579671038,0.7455287036294633
175.0,175.0,train,7.634830543765752E-5,79.06182213261565,0.7749051659755823
176.0,176.0,train,4.754184273063828E-5,29.15785629189636,0.604888099959223
177.0,177.0,train,6.120265500701853E-5,49.55787138154932,0.6974198138139686
178.0,178.0,train,4.165070230758746E-5,22.474817690936522,0.5567053621446241
179.0,179.0,train,8.301507919597456E-5,90.82947097682396,0.8023878019485738
180.0,180.0,train,4.1442493606078734E-5,22.21868628859934,0.5548989328174562
181.0,181.0,train,6.842338899742863E-5,63.22906125560157,0.7372215983760295
182.0,182.0,train,8.54337001950016E-5,94.50138686427691,0.811506021811265
183.0,183.0,train,4.87099208662191E-5,30.556277972484853,0.6138004755345094
184.0,184.0,train,7.297746320878127E-5,72.25904175995876,0.75958634148984
185.0,185.0,train,3.244715060544806E-5,14.72385702605254,0.4694054224562979
186.0,186.0,train,7.173140356754845E-5,69.71485988541669,0.7536633670112288
187.0,187.0,train,3.359186867046966E-5,15.61303026828747,0.48113713797726676
188.0,188.0,train,8.592047166038691E-5,95.08331810602974,0.8132896565421847
