x,y,species cloglog values
1.0,1.0,0.03310018
2.0,2.0,0.62163836
3.0,3.0,0.13439621
4.0,4.0,0.48747578
5.0,5.0,0.17719902
6.0,6.0,0.72272694
7.0,7.0,0.14411649
8.0,8.0,0.43598914
9.0,9.0,0.47280365
10.0,10.0,0.14844875
11.0,11.0,0.39764136
12.0,12.0,0.115840815
13.0,13.0,0.13277471
14.0,14.0,0.6412371
15.0,15.0,0.034479603
16.0,16.0,0.008725364
17.0,17.0,0.09454279
18.0,18.0,0.053483777
19.0,19.0,0.023789324
20.0,20.0,0.048135668
21.0,21.0,0.56218296
22.0,22.0,0.42590508
23.0,23.0,0.06797488
24.0,24.0,0.03971357
25.0,25.0,0.15122226
26.0,26.0,0.5146619
27.0,27.0,0.6905651
28.0,28.0,0.14025392
29.0,29.0,0.4126131
30.0,30.0,0.008975179
31.0,31.0,0.49012324
32.0,32.0,0.011046088
33.0,33.0,0.007998615
34.0,34.0,0.06807469
35.0,35.0,0.096595034
36.0,36.0,0.038453724
37.0,37.0,0.21870634
38.0,38.0,0.04081459
39.0,39.0,0.028889062
40.0,40.0,0.5245122
41.0,41.0,0.18165113
42.0,42.0,0.17069316
43.0,43.0,0.03908672
44.0,44.0,0.06718691
45.0,45.0,0.02351004
46.0,46.0,0.23746869
47.0,47.0,0.50106686
48.0,48.0,0.5493114
49.0,49.0,0.3696988
50.0,50.0,0.088206545
51.0,51.0,0.014620449
52.0,52.0,0.07884255
53.0,53.0,0.060901903
54.0,54.0,0.4271254
55.0,55.0,0.007364622
56.0,56.0,0.008773352
57.0,57.0,0.020415913
58.0,58.0,0.018372688
59.0,59.0,0.054652497
60.0,60.0,0.23851466
61.0,61.0,0.50929546
62.0,62.0,0.6005601
63.0,63.0,0.06771957
64.0,64.0,0.1640647
65.0,65.0,0.63279337
66.0,66.0,0.060163043
67.0,67.0,0.46967772
68.0,68.0,0.022734696
69.0,69.0,0.07981303
70.0,70.0,0.50096387
71.0,71.0,0.05109482
72.0,72.0,0.6578576
73.0,73.0,0.49134514
74.0,74.0,0.03203539
75.0,75.0,0.06762818
76.0,76.0,0.024794083
77.0,77.0,0.17442366
78.0,78.0,0.11457025
79.0,79.0,0.06587092
80.0,80.0,0.089807555
81.0,81.0,0.3603204
82.0,82.0,0.06518909
83.0,83.0,0.4816753
84.0,84.0,0.010409696
85.0,85.0,0.106647424
86.0,86.0,0.022952588
87.0,87.0,0.018838495
88.0,88.0,0.14694282
89.0,89.0,0.13307783
90.0,90.0,0.073347524
91.0,91.0,0.015394652
92.0,92.0,0.15758762
93.0,93.0,0.48195943
94.0,94.0,0.05407245
95.0,95.0,0.17862304
96.0,96.0,0.33762282
97.0,97.0,0.06245595
98.0,98.0,0.5351056
99.0,99.0,0.49763852
100.0,100.0,0.045586284
101.0,101.0,0.3884237
