Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.19738E-6,0.000119738,0.000871544,1,0,0
2.04307E-6,0.000324045,0.001486646,0.999132697,0,0
2.6117E-6,0.000585215,0.001900014,0.998265395,0,0
4.33615E-6,0.001018829,0.003152574,0.997398092,0,0
9.3208E-6,0.00334765,0.006764367,0.994796184,0,0
1.02188E-5,0.005384631,0.007413626,0.993061578,0,0
1.14534E-5,0.010961875,0.008305596,0.988725065,0,0
1.36013E-5,0.02571379,0.009855474,0.978317433,0,0
1.52536E-5,0.050281556,0.011046093,0.963573287,0,0
2.26373E-5,0.101669146,0.01634925,0.939288812,0,0
3.31766E-5,0.202637013,0.023869465,0.908933218,0,0
4.15836E-5,0.303105919,0.029827065,0.885516045,0,0
4.81851E-5,0.401782771,0.034479612,0.866435386,0.002409639,0
5.66952E-5,0.50473397,0.040444472,0.849956635,0.002409639,0
6.36456E-5,0.601742243,0.045288768,0.836079792,0.002409639,0
7.03561E-5,0.702917627,0.049942587,0.823070252,0.002409639,0
7.53026E-5,0.754341182,0.053358576,0.816999133,0.002409639,0
7.71366E-5,0.800061315,0.05462199,0.811795317,0.002409639,0
8.1855E-5,0.903272145,0.057864628,0.800520382,0.002409639,0
8.55261E-5,1.004280072,0.060379867,0.790112749,0.002409639,0
9.07058E-5,1.100871787,0.063917266,0.78057242,0.002409639,0
9.51786E-5,1.20356467,0.066961161,0.77103209,0.002409639,0
9.82058E-5,1.300233348,0.069015688,0.762359063,0.002409639,0
1.0461E-4,1.401626202,0.073347356,0.753686036,0.002409639,0
1.12508E-4,1.509764049,0.078661488,0.74501301,0.002409639,0
1.23033E-4,1.757656273,0.085696061,0.726799653,0.002409639,0
1.39502E-4,2.004589911,0.096595058,0.710320902,0.002409639,0
1.52932E-4,2.25084246,0.105387118,0.695576756,0.004819277,0
1.68434E-4,2.507084905,0.115429323,0.681699913,0.004819277,0
1.85287E-4,2.755359036,0.126218512,0.669557676,0.004819277,0
2.01015E-4,3.008326834,0.136168869,0.658282741,0.009638554,0
2.13709E-4,3.256658807,0.144116966,0.647875108,0.012048193,0
2.26758E-4,3.522234444,0.152211125,0.637467476,0.014457831,0
2.46958E-4,3.759801985,0.164590614,0.628794449,0.01686747,0
2.66267E-4,4.016964723,0.176254523,0.620121422,0.019277108,0
2.85527E-4,4.267006814,0.187727022,0.612315698,0.021686747,0
