x,y,species cloglog values
1.0,1.0,0.30797392
2.0,2.0,0.54847044
3.0,3.0,0.0050334767
4.0,4.0,0.30588126
5.0,5.0,0.27429888
6.0,6.0,0.70288616
7.0,7.0,0.7005647
8.0,8.0,0.19751725
9.0,9.0,0.76014555
10.0,10.0,0.016778806
11.0,11.0,0.0026907078
12.0,12.0,0.013874491
13.0,13.0,0.023084844
14.0,14.0,0.30316713
15.0,15.0,0.06663659
16.0,16.0,0.103603534
17.0,17.0,0.01162309
18.0,18.0,0.011840183
19.0,19.0,0.004519964
20.0,20.0,0.0059203263
21.0,21.0,0.020639066
22.0,22.0,0.006082318
23.0,23.0,0.038155433
24.0,24.0,0.09478412
25.0,25.0,0.19758055
26.0,26.0,0.0066632726
27.0,27.0,0.006959631
28.0,28.0,0.0037248896
29.0,29.0,0.0027684206
30.0,30.0,0.032610744
31.0,31.0,0.24292658
32.0,32.0,0.46046737
33.0,33.0,0.03486652
34.0,34.0,0.007501823
35.0,35.0,0.023024382
36.0,36.0,0.012954677
37.0,37.0,0.021831246
38.0,38.0,0.015411657
39.0,39.0,0.017035801
40.0,40.0,0.37489033
41.0,41.0,0.009883877
42.0,42.0,0.0036008838
43.0,43.0,0.010223862
44.0,44.0,0.30788985
45.0,45.0,0.0115164975
46.0,46.0,0.044308003
47.0,47.0,0.04537433
48.0,48.0,0.0029479768
49.0,49.0,0.0035947147
50.0,50.0,0.009085906
51.0,51.0,0.30883768
52.0,52.0,0.71730405
53.0,53.0,0.6860805
54.0,54.0,0.014512463
55.0,55.0,0.16273695
56.0,56.0,0.03620647
57.0,57.0,0.01252534
58.0,58.0,0.003887663
59.0,59.0,0.4919223
60.0,60.0,0.038567938
61.0,61.0,0.019228479
62.0,62.0,0.008875534
63.0,63.0,0.010672972
64.0,64.0,0.016382495
65.0,65.0,0.01725604
66.0,66.0,0.031100858
67.0,67.0,0.01891325
68.0,68.0,0.0060832985
69.0,69.0,0.007466178
70.0,70.0,0.06260259
71.0,71.0,0.007387161
72.0,72.0,0.20234281
73.0,73.0,0.019583816
74.0,74.0,0.46081954
75.0,75.0,0.0035556895
76.0,76.0,0.20279069
77.0,77.0,0.0031398158
78.0,78.0,0.010664685
79.0,79.0,0.0048577376
80.0,80.0,0.34998825
81.0,81.0,0.45015398
82.0,82.0,0.13169856
83.0,83.0,0.008105181
84.0,84.0,0.42976063
85.0,85.0,0.007508082
86.0,86.0,0.010135747
87.0,87.0,0.0039881105
88.0,88.0,0.0042689745
89.0,89.0,0.045795277
90.0,90.0,0.3015021
91.0,91.0,0.12190744
92.0,92.0,0.11469469
93.0,93.0,0.005538026
94.0,94.0,0.24880342
95.0,95.0,0.05892188
96.0,96.0,0.61693645
97.0,97.0,0.008959453
98.0,98.0,0.009609089
99.0,99.0,0.19487344
100.0,100.0,0.42540753
101.0,101.0,0.0034734644
102.0,102.0,0.009759827
103.0,103.0,0.013253464
104.0,104.0,0.6497771
105.0,105.0,0.011232722
106.0,106.0,0.19842598
107.0,107.0,0.0075319167
108.0,108.0,0.012591017
109.0,109.0,0.1107478
110.0,110.0,0.22925425
111.0,111.0,0.08187095
112.0,112.0,0.010380444
113.0,113.0,0.037844267
114.0,114.0,0.035815917
115.0,115.0,0.19647683
116.0,116.0,0.019833673
117.0,117.0,0.0660323
118.0,118.0,0.10072508
119.0,119.0,0.19596203
120.0,120.0,0.011054048
121.0,121.0,0.43046892
122.0,122.0,0.014645276
123.0,123.0,0.012259997
124.0,124.0,0.006299277
125.0,125.0,0.0025269222
126.0,126.0,0.47392794
127.0,127.0,0.00359066
128.0,128.0,0.35288253
129.0,129.0,0.013329886
130.0,130.0,0.037894767
131.0,131.0,0.03967749
132.0,132.0,0.009271549
133.0,133.0,0.0068204203
134.0,134.0,0.055889715
135.0,135.0,0.054381233
136.0,136.0,0.006570715
137.0,137.0,0.0053518345
138.0,138.0,0.22173889
139.0,139.0,0.0144935
140.0,140.0,0.7197985
141.0,141.0,0.014397855
142.0,142.0,0.61771256
143.0,143.0,0.020020457
144.0,144.0,0.0049174284
145.0,145.0,0.07427736
146.0,146.0,0.3983217
147.0,147.0,0.5110291
148.0,148.0,0.003530384
149.0,149.0,0.22058992
150.0,150.0,0.0073379804
151.0,151.0,0.04169703
152.0,152.0,0.0038966236
153.0,153.0,0.006985616
154.0,154.0,0.06314073
155.0,155.0,0.0059475605
156.0,156.0,0.0070942347
157.0,157.0,0.04735469
158.0,158.0,0.0037368294
159.0,159.0,0.48648745
160.0,160.0,0.03549225
161.0,161.0,0.009853684
162.0,162.0,0.62243414
163.0,163.0,0.014953565
164.0,164.0,0.30879414
165.0,165.0,0.00998674
166.0,166.0,0.015128082
167.0,167.0,0.012362005
168.0,168.0,0.76150435
169.0,169.0,0.26441896
170.0,170.0,0.01442753
171.0,171.0,0.3402695
172.0,172.0,0.0066031204
173.0,173.0,0.60952514
174.0,174.0,0.2112517
175.0,175.0,0.15056771
176.0,176.0,0.003931876
177.0,177.0,0.003891261
178.0,178.0,0.0062524276
179.0,179.0,0.05614261
180.0,180.0,0.0042599137
181.0,181.0,0.014167969
182.0,182.0,0.0018304368
183.0,183.0,0.0063977963
184.0,184.0,0.40378076
185.0,185.0,0.015845133
186.0,186.0,0.003893857
187.0,187.0,0.0057091424
188.0,188.0,0.19169962
189.0,189.0,0.01790724
190.0,190.0,0.005725273
191.0,191.0,0.012145726
192.0,192.0,0.43824708
193.0,193.0,0.03859397
194.0,194.0,0.004160758
195.0,195.0,0.040451888
196.0,196.0,0.021918628
197.0,197.0,0.29403856
198.0,198.0,0.0076611093
199.0,199.0,0.0034680828
200.0,200.0,0.0075714453
201.0,201.0,0.2538854
202.0,202.0,0.004955513
203.0,203.0,0.6572171
204.0,204.0,0.009475761
205.0,205.0,0.23644203
206.0,206.0,0.04303633
207.0,207.0,0.46446207
208.0,208.0,0.009947963
