Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
4.57813E-7,0.000045781,0.000805556,1,0,0
4.88714E-7,0.000094653,0.000859904,0.999687695,0,0
5.24789E-7,0.000147132,0.00092335,0.99937539,0,0
5.50349E-7,0.000256837,0.0009683,0.998750781,0,0
7.98306E-7,0.000528949,0.001404257,0.997501562,0,0
1.0923E-6,0.001007927,0.001920902,0.995940037,0,0
1.32353E-6,0.002511216,0.002327072,0.99219238,0,0
1.45188E-6,0.005013768,0.002552463,0.986570893,0,0
1.83935E-6,0.010121693,0.003232546,0.976889444,0,0
2.15248E-6,0.025132954,0.003781812,0.953466583,0.000852515,0
2.52673E-6,0.050244336,0.004437888,0.920049969,0.000852515,0
3.58988E-6,0.100139305,0.006299275,0.867582761,0.000852515,0
5.7874E-6,0.200180324,0.010135746,0.800437227,0.00170503,0
7.71699E-6,0.300510788,0.013492241,0.754216115,0.002557545,0
1.05614E-5,0.40017566,0.01841937,0.719862586,0.00341006,0
1.58095E-5,0.500620801,0.027445475,0.694878201,0.004262575,0
2.00717E-5,0.600004338,0.034715056,0.677389132,0.00511509,0
2.39046E-5,0.700997387,0.041205807,0.663023111,0.00511509,0
2.56087E-5,0.750425557,0.044077658,0.656777014,0.00511509,0
2.84016E-5,0.801541875,0.04876569,0.650843223,0.00511509,0
3.30316E-5,0.9010654,0.056486805,0.640849469,0.005967604,0
3.66854E-5,1.001701763,0.062535695,0.63179263,0.005967604,0
3.97744E-5,1.101335601,0.06761945,0.623672705,0.006820119,0
4.50223E-5,1.20323002,0.076192865,0.616177389,0.007672634,0
4.90777E-5,1.302430489,0.082764098,0.609618988,0.008525149,0
5.43769E-5,1.400917353,0.091280386,0.603685197,0.009377664,0
5.92436E-5,1.503075163,0.099032017,0.59806371,0.009377664,0
6.93443E-5,1.753447568,0.11490963,0.585883823,0.009377664,0
8.02237E-5,2.000922713,0.131698621,0.575577764,0.011935209,0
9.00766E-5,2.255752081,0.146628513,0.56620862,0.015345269,0
9.90564E-5,2.500580065,0.160011686,0.558088695,0.020460358,0
1.08825E-4,2.750218591,0.174331767,0.550593379,0.021312873,0
1.19604E-4,3.011398786,0.189850595,0.543410369,0.024722933,0
1.27701E-4,3.259645054,0.201315586,0.537164272,0.027280477,0
1.34178E-4,3.508782507,0.21037001,0.531230481,0.030690537,0
1.41648E-4,3.757286007,0.220685957,0.525608994,0.033248082,0
1.52612E-4,4.008242191,0.235582201,0.520299813,0.037510656,0
1.58635E-4,4.258284155,0.243643093,0.515302936,0.039215686,0
1.64932E-4,4.503127422,0.251981187,0.510618364,0.042625746,0
1.73702E-4,4.757729982,0.263439902,0.505933791,0.046888321,0
1.78879E-4,5.003905894,0.270121576,0.501561524,0.04859335,0
1.87187E-4,5.260260891,0.280718118,0.497189257,0.05029838,0
1.95445E-4,5.510555728,0.291098713,0.493129294,0.05200341,0
2.00654E-4,5.767794218,0.2975687,0.489069332,0.05370844,0
2.05349E-4,6.012448012,0.303349947,0.485321674,0.05370844,0
2.09817E-4,6.262452301,0.308808332,0.481574016,0.056265985,0
2.15034E-4,6.517464587,0.315125933,0.477826359,0.060528559,0
2.26169E-4,6.759532157,0.328419427,0.474391006,0.063938619,0
2.34277E-4,7.013185623,0.337936684,0.470955653,0.066496164,0
2.41241E-4,7.250894438,0.346002787,0.467832605,0.068201194,0
2.48538E-4,7.520204317,0.354349305,0.464397252,0.068201194,0
2.57245E-4,7.773078159,0.364170257,0.461274204,0.069053708,0
2.60632E-4,8.006379454,0.367949304,0.45846346,0.070758738,0
2.65346E-4,8.27001213,0.373172251,0.455340412,0.073316283,0
2.68169E-4,8.510238716,0.376280196,0.452529669,0.075021313,0
2.72191E-4,8.753543153,0.38067997,0.449718926,0.076726343,0
2.78755E-4,9.001397953,0.387794535,0.446908182,0.079283887,0
2.82653E-4,9.254520835,0.391981452,0.444097439,0.081841432,0
2.86748E-4,9.510763916,0.396348421,0.441286696,0.085251492,0
2.92473E-4,9.771373852,0.402400484,0.438475953,0.085251492,0
2.9556E-4,10.006865294,0.405639311,0.435977514,0.086104007,0
3.00112E-4,10.275331468,0.41038326,0.433166771,0.090366581,0
3.07374E-4,10.519250701,0.417871893,0.430668332,0.092071611,0
3.12291E-4,10.766648964,0.422889297,0.428169894,0.094629156,0
3.14012E-4,11.017427337,0.424634823,0.425671455,0.098039216,0
3.15141E-4,11.269229466,0.425776943,0.423173017,0.10230179,0
3.16257E-4,11.521768138,0.426903584,0.420674578,0.10571185,0
3.19802E-4,11.775941847,0.430468872,0.41817614,0.106564365,0
3.21689E-4,12.000407848,0.432357583,0.415990006,0.109974425,0
3.24257E-4,12.259030629,0.434918059,0.413491568,0.112531969,0
3.273E-4,12.519850028,0.43793702,0.410993129,0.115089514,0
3.33192E-4,12.75155507,0.443736331,0.408806996,0.115942029,0
3.39233E-4,13.020689798,0.449619462,0.406308557,0.117647059,0
3.40889E-4,13.258911208,0.451222339,0.404122423,0.117647059,0
3.48068E-4,13.534709964,0.458112793,0.401623985,0.117647059,0
3.51093E-4,13.77981683,0.460990911,0.399437851,0.121909633,0
3.57452E-4,14.028412682,0.466990982,0.397251718,0.124467178,0
3.6224E-4,14.280463821,0.471463891,0.395065584,0.127024723,0
3.64763E-4,14.534834525,0.47380592,0.39287945,0.130434783,0
3.68201E-4,14.754928156,0.476981234,0.391005621,0.132992327,0
3.71711E-4,15.014082418,0.480202313,0.388819488,0.135549872,0
3.74613E-4,15.275423484,0.482851338,0.386633354,0.137254902,0
3.79237E-4,15.501876437,0.487043921,0.384759525,0.138107417,0
3.8275E-4,15.768591852,0.490205764,0.382573392,0.142369991,0
3.85447E-4,16.037331078,0.492619896,0.380387258,0.144075021,0
3.88797E-4,16.269627627,0.495603802,0.378513429,0.144075021,0
3.92072E-4,16.504265494,0.498502791,0.3766396,0.144927536,0
3.95467E-4,16.779776199,0.501490639,0.374453467,0.149190111,0
4.02654E-4,17.020068894,0.507758339,0.372579638,0.152600171,0
4.05067E-4,17.262482125,0.509844148,0.370705809,0.153452685,0
4.10765E-4,17.507245385,0.514736209,0.36883198,0.155157715,0
4.14761E-4,17.754583757,0.518137554,0.366958151,0.158567775,0
4.19908E-4,18.004985975,0.522483329,0.365084322,0.160272805,0
4.24771E-4,18.258807585,0.526554054,0.363210493,0.16283035,0
4.29855E-4,18.515794303,0.530772099,0.361336665,0.164535379,0
4.35946E-4,18.775825689,0.535776012,0.359462836,0.167945439,0
4.43544E-4,19.039488476,0.541943509,0.357589007,0.169650469,0
4.47946E-4,19.262091676,0.545479418,0.356027483,0.171355499,0
4.54054E-4,19.532665635,0.550340021,0.354153654,0.173913043,0
4.61062E-4,19.76223251,0.555852657,0.35259213,0.175618073,0
4.63742E-4,20.03942771,0.557942916,0.350718301,0.179880648,0
4.71135E-4,20.273983033,0.563659066,0.349156777,0.184143223,0
4.74669E-4,20.510620924,0.56636487,0.347595253,0.187553282,0
4.78074E-4,20.796617942,0.568956453,0.345721424,0.191815857,0
4.79411E-4,21.036053074,0.569969347,0.3441599,0.194373402,0
4.85013E-4,21.276923262,0.574188959,0.342598376,0.196078431,0
4.92219E-4,21.521150882,0.579556449,0.341036852,0.197783461,0
4.95618E-4,21.768158358,0.582064544,0.339475328,0.201193521,0
4.97506E-4,22.016661694,0.58345094,0.337913804,0.204603581,0
5.05624E-4,22.26710845,0.589361026,0.33635228,0.207161125,0
5.09158E-4,22.521153671,0.591907746,0.334790756,0.20801364,0
5.10585E-4,22.776307662,0.592931671,0.333229232,0.210571185,0
5.14608E-4,23.032880978,0.595803815,0.331667708,0.2114237,0
5.17076E-4,23.290847774,0.597556349,0.330106184,0.213981245,0
5.22377E-4,23.550918329,0.601294338,0.32854466,0.216538789,0
5.27912E-4,23.761341341,0.60515988,0.32729544,0.219096334,0
5.29269E-4,24.025729437,0.606102164,0.325733916,0.223358909,0
5.32583E-4,24.29152097,0.608393304,0.324172392,0.227621483,0
5.34572E-4,24.505066026,0.609761975,0.322923173,0.230179028,0
5.36826E-4,24.772994316,0.611307275,0.321361649,0.233589088,0
5.39496E-4,25.04225286,0.613129528,0.319800125,0.237851662,0
5.41006E-4,25.25849772,0.614156227,0.318550906,0.240409207,0
5.42713E-4,25.529440904,0.615314072,0.316989382,0.243819267,0
5.454E-4,25.801446848,0.617129538,0.315427858,0.247229327,0
5.48004E-4,26.02028486,0.618880357,0.314178638,0.248934356,0
5.52934E-4,26.29536993,0.622173476,0.312617114,0.252344416,0
5.55485E-4,26.51725627,0.623866567,0.311367895,0.254901961,0
5.56649E-4,26.79538701,0.624636443,0.309806371,0.25831202,0
5.60869E-4,27.018830175,0.627414428,0.308557152,0.260869565,0
5.63921E-4,27.300042152,0.629410766,0.306995628,0.26342711,0
5.64788E-4,27.525904518,0.629975828,0.305746408,0.26683717,0
5.6581E-4,27.752059139,0.63064078,0.304497189,0.270247229,0
5.67394E-4,28.035460632,0.631669445,0.302935665,0.271952259,0
5.69598E-4,28.262989223,0.63309556,0.301686446,0.274509804,0
5.73444E-4,28.549037129,0.63557071,0.300124922,0.276214834,0
5.77035E-4,28.779443184,0.637867135,0.298875703,0.277919864,0
5.79319E-4,29.010965647,0.639320511,0.297626483,0.281329923,0
5.80123E-4,29.300796698,0.639830697,0.296064959,0.283034953,0
5.82679E-4,29.533507846,0.641447662,0.29481574,0.284739983,0
5.84445E-4,29.766923111,0.642559948,0.293566521,0.287297528,0
5.86914E-4,30.001459754,0.644110184,0.292317302,0.289855072,0
5.89095E-4,30.29554588,0.645473778,0.290755778,0.293265132,0
5.90694E-4,30.531663832,0.646470806,0.289506558,0.295822677,0
5.95287E-4,30.768912773,0.649317409,0.288257339,0.296675192,0
5.97497E-4,31.007505265,0.650679119,0.28700812,0.298380222,0
5.99685E-4,31.306793683,0.652021807,0.285446596,0.301790281,0
6.01457E-4,31.547085454,0.653105328,0.284197377,0.304347826,0
6.03324E-4,31.787944441,0.654243424,0.282948157,0.306052856,0
6.05978E-4,32.029987381,0.655855403,0.281698938,0.308610401,0
6.08044E-4,32.272932,0.657104692,0.280449719,0.311167945,0
6.10373E-4,32.516706392,0.658507483,0.2792005,0.312872975,0
6.13248E-4,32.761691225,0.66023127,0.27795128,0.316283035,0
6.13696E-4,33.007084978,0.660498919,0.276702061,0.31713555,0
6.1704E-4,33.253464803,0.662491307,0.275452842,0.31884058,0
6.19201E-4,33.500799761,0.663773322,0.274203623,0.322250639,0
6.22575E-4,33.811492505,0.665763981,0.272642099,0.324808184,0
6.24563E-4,34.061063756,0.666931603,0.271392879,0.326513214,0
6.28199E-4,34.31199309,0.669056588,0.27014366,0.329923274,0
6.28455E-4,34.500488258,0.669205558,0.269206746,0.329923274,0
6.31008E-4,34.752404234,0.670688675,0.267957527,0.333333333,0
6.32706E-4,35.005189607,0.671672063,0.266708307,0.335890878,0
6.34792E-4,35.25871236,0.672875186,0.265459088,0.339300938,0
6.36891E-4,35.513121201,0.674081866,0.264209869,0.341858483,0
6.38063E-4,35.76813175,0.67475348,0.26296065,0.344416027,0
6.39724E-4,36.023644164,0.675702705,0.26171143,0.346121057,0
6.42134E-4,36.280110666,0.67707546,0.260462211,0.347826087,0
6.44323E-4,36.5374829,0.678317702,0.259212992,0.350383632,0
6.4577E-4,36.795566687,0.679135883,0.257963773,0.352088662,0
6.47556E-4,37.054310594,0.680142899,0.256714553,0.354646206,0
6.49972E-4,37.313938506,0.681500392,0.255465334,0.358056266,0
6.50727E-4,37.509096666,0.681923721,0.25452842,0.360613811,0
6.51868E-4,37.76968937,0.682561814,0.2532792,0.36402387,0
6.5413E-4,38.030891836,0.68382295,0.252029981,0.36743393,0
6.55733E-4,38.292940359,0.68471396,0.250780762,0.37084399,0
6.56156E-4,38.55536906,0.684948795,0.249531543,0.37254902,0
6.56448E-4,38.752258641,0.685110684,0.248594628,0.375106564,0
6.57436E-4,39.015116074,0.685657955,0.247345409,0.377664109,0
6.582E-4,39.278334588,0.686080434,0.24609619,0.381074169,0
6.58784E-4,39.541731739,0.686402647,0.244846971,0.383631714,0
6.59548E-4,39.805482721,0.686824169,0.243597751,0.386189258,0
6.60276E-4,40.003481792,0.687225431,0.242660837,0.388746803,0
