X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,7.818249855293214E-4,70.55634743797427,0.7474719802020127
2.0,2.0,train,3.168157667013234E-4,11.561831270564474,0.4274672510412568
3.0,3.0,train,5.663130296134048E-4,27.84205872451901,0.6309676907600604
4.0,4.0,train,5.315635906501766E-4,24.20976165381289,0.6076897273795037
5.0,5.0,train,8.215404784733112E-4,83.57847540487941,0.764523360472351
6.0,6.0,train,7.553656922956236E-4,64.08069794829125,0.7354320678694506
7.0,7.0,train,8.130563769979745E-4,81.07364351644692,0.760980262753897
8.0,8.0,train,7.378379212765684E-4,59.32891924904705,0.7271418987950873
9.0,9.0,train,4.6123535354705675E-4,19.780162648487728,0.55598842854399
10.0,10.0,train,7.106841564915444E-4,50.92209262049441,0.7137830215501206
11.0,11.0,train,3.6286684719261103E-4,14.343663013106577,0.4720471329570084
12.0,12.0,train,7.146504215830411E-4,52.07703050810418,0.7157743568293162
13.0,13.0,train,6.688537295375073E-4,41.53138473824506,0.6919125812667535
14.0,14.0,train,5.290296234424459E-4,23.979091034436433,0.605935919331563
15.0,15.0,train,6.839679295624046E-4,44.60768828779435,0.7000012513239182
16.0,16.0,train,1.7089844577456424E-4,4.676339778705272,0.2597961020432803
17.0,17.0,train,7.20177733625821E-5,1.8142614187692192,0.11906518629186458
18.0,18.0,train,6.735371496209682E-4,42.52265899721475,0.6944420572328431
19.0,19.0,train,5.636096626972234E-4,27.271355461820562,0.6292073952765588
20.0,20.0,train,8.872409180711256E-4,97.75571420140686,0.7902407676822789
21.0,21.0,train,6.69596460578212E-4,41.84496399767091,0.6923151166953041
22.0,22.0,train,7.705018248564397E-4,68.30321379870772,0.7423881030648658
23.0,23.0,train,7.237019005535615E-4,54.717726714805316,0.7202670835153859
24.0,24.0,train,6.909339749202875E-4,46.2920167377284,0.7036574366395
25.0,25.0,train,7.5468376230709E-4,63.83829977425783,0.7351142925802485
26.0,26.0,train,7.333436688834488E-4,57.60150749031641,0.7249747148635171
27.0,27.0,train,8.454233371139106E-4,89.80555897946343,0.7742177298955673
28.0,28.0,train,6.374454529881358E-4,35.6337622939174,0.6743995492691242
29.0,29.0,train,7.469049705108455E-4,61.93271603461007,0.7314623000676028
30.0,30.0,train,1.3178008366673846E-4,3.4165467855586105,0.20703025714192336
31.0,31.0,train,8.406105444342717E-4,88.03428368501123,0.7722968050421345
32.0,32.0,train,7.80077576311096E-4,70.26948262207242,0.7466940247288616
33.0,33.0,train,2.0534886319612412E-4,6.01244088322742,0.303349946661552
34.0,34.0,train,6.000895804317681E-4,31.361656746465865,0.6522694431312481
35.0,35.0,train,6.327064987834526E-4,35.005250226824565,0.67167206262904
36.0,36.0,train,6.865553347345992E-4,45.258392783725505,0.7013645081859217
37.0,37.0,train,6.817203429416585E-4,44.160793882561556,0.6988119888196038
38.0,38.0,train,8.414550322341268E-4,88.26009401744669,0.7726350428801311
39.0,39.0,train,6.897236720829899E-4,46.01536710837466,0.7030254131249833
40.0,40.0,train,1.5817143860343753E-4,4.2390396253584495,0.2430260673913337
41.0,41.0,train,8.168126064630275E-4,82.31881792414909,0.7625554541488611
42.0,42.0,train,9.347791186536618E-4,99.35191033557065,0.8070792112187578
43.0,43.0,train,8.024140282722318E-4,76.81584507136327,0.756460371551371
44.0,44.0,train,6.686287578506346E-4,41.48754389925005,0.6917905502394295
45.0,45.0,train,1.9671231069358892E-4,5.573139926345108,0.2926780169029889
46.0,46.0,train,4.711353124331468E-4,20.274003953634107,0.5636590659188261
47.0,47.0,train,7.331913353384366E-4,57.529519231549315,0.7249009569122925
48.0,48.0,train,7.053125746297271E-4,49.41348981036701,0.7110638607636297
49.0,49.0,train,6.766570278082353E-4,43.40589788614839,0.6961155416006867
50.0,50.0,train,4.6106166700700553E-4,19.762221601871985,0.555852656834239
51.0,51.0,train,8.252419650308487E-4,84.7041936540726,0.7660526593115582
52.0,52.0,train,9.907256916697169E-6,0.377255234791587,0.01728838464747584
53.0,53.0,train,6.192014802593507E-4,33.500843985391086,0.6637733219154606
54.0,54.0,train,5.875643262296394E-4,30.089149768447882,0.6445175405848531
55.0,55.0,train,7.552741322666286E-4,64.03069582352919,0.735389423611092
56.0,56.0,train,7.335990093839176E-4,57.78274707967641,0.7250983031110526
57.0,57.0,train,3.1332382520748975E-4,10.91714880428336,0.42393716589770636
58.0,58.0,train,7.102248391214794E-4,50.821319577489675,0.7135515133989587
59.0,59.0,train,7.060429365235824E-4,49.78778762947869,0.7114350909389988
60.0,60.0,train,5.433745807491725E-4,25.596412953203906,0.6157619217581549
61.0,61.0,train,6.32629109518964E-4,34.993742734839316,0.6716273324556017
