x,y,species cloglog values
1.0,1.0,0.77280676
2.0,2.0,0.10916811
3.0,3.0,0.057301506
4.0,4.0,0.11972872
5.0,5.0,0.28389424
6.0,6.0,0.23580086
7.0,7.0,0.6800362
8.0,8.0,0.05512001
9.0,9.0,0.056937292
10.0,10.0,0.08940812
11.0,11.0,0.08124998
12.0,12.0,0.4337501
13.0,13.0,0.7586557
14.0,14.0,0.38448218
15.0,15.0,0.076715834
16.0,16.0,0.100658655
17.0,17.0,0.28529108
18.0,18.0,0.2637968
19.0,19.0,0.52157897
20.0,20.0,0.06677096
21.0,21.0,0.27944508
22.0,22.0,0.10607532
23.0,23.0,0.5061252
24.0,24.0,0.32940105
25.0,25.0,0.53139067
26.0,26.0,0.08598502
27.0,27.0,0.3733408
28.0,28.0,0.120403446
29.0,29.0,0.27299622
30.0,30.0,0.36494303
31.0,31.0,0.23622471
32.0,32.0,0.5751692
33.0,33.0,0.6595933
34.0,34.0,0.55888367
35.0,35.0,0.4831903
36.0,36.0,0.31475282
37.0,37.0,0.24578823
38.0,38.0,0.720678
39.0,39.0,0.10692376
40.0,40.0,0.27086508
41.0,41.0,0.52835256
42.0,42.0,0.110928185
43.0,43.0,0.12564771
44.0,44.0,0.64600265
45.0,45.0,0.54327834
46.0,46.0,0.10761667
47.0,47.0,0.5862316
48.0,48.0,0.028505784
49.0,49.0,0.06586147
50.0,50.0,0.18758209
51.0,51.0,0.29861927
52.0,52.0,0.63139457
53.0,53.0,0.691987
54.0,54.0,0.17293714
55.0,55.0,0.11976286
56.0,56.0,0.301447
57.0,57.0,0.6530132
58.0,58.0,0.16257408
59.0,59.0,0.7627513
60.0,60.0,0.49723944
61.0,61.0,0.30426034
62.0,62.0,0.25997564
63.0,63.0,0.37499398
64.0,64.0,0.40777752
65.0,65.0,0.3226642
66.0,66.0,0.21781553
67.0,67.0,0.3573458
68.0,68.0,0.6345108
69.0,69.0,0.3550423
70.0,70.0,0.20949319
71.0,71.0,0.04848685
72.0,72.0,0.1033322
73.0,73.0,0.06689121
74.0,74.0,0.25589165
75.0,75.0,0.101774156
76.0,76.0,0.38896716
77.0,77.0,0.13017042
78.0,78.0,0.443037
79.0,79.0,0.084415674
80.0,80.0,0.6161064
81.0,81.0,0.18889217
82.0,82.0,0.24437274
83.0,83.0,0.7708333
84.0,84.0,0.078229465
85.0,85.0,0.053313937
86.0,86.0,0.18720402
87.0,87.0,0.04911569
88.0,88.0,0.3442825
89.0,89.0,0.21079944
90.0,90.0,0.46889925
91.0,91.0,0.16152097
92.0,92.0,0.4175243
93.0,93.0,0.8077325
94.0,94.0,0.043297715
95.0,95.0,0.53075826
96.0,96.0,0.4740271
97.0,97.0,0.24864554
98.0,98.0,0.15805838
99.0,99.0,0.07783466
100.0,100.0,0.13619006
101.0,101.0,0.03322383
102.0,102.0,0.07797641
103.0,103.0,0.18176834
104.0,104.0,0.077628896
105.0,105.0,0.6038294
106.0,106.0,0.7288834
107.0,107.0,0.3193455
108.0,108.0,0.5666226
109.0,109.0,0.60740113
110.0,110.0,0.78241926
111.0,111.0,0.101960585
112.0,112.0,0.08966624
113.0,113.0,0.3156336
114.0,114.0,0.5370803
115.0,115.0,0.09913955
116.0,116.0,0.14525601
117.0,117.0,0.10248013
118.0,118.0,0.3392611
119.0,119.0,0.21324308
120.0,120.0,0.096909925
121.0,121.0,0.47858202
122.0,122.0,0.18677512
123.0,123.0,0.4042549
124.0,124.0,0.18133052
125.0,125.0,0.119061895
126.0,126.0,0.10122932
127.0,127.0,0.63145494
128.0,128.0,0.14384496
129.0,129.0,0.014738007
130.0,130.0,0.55683863
131.0,131.0,0.27130863
132.0,132.0,0.21029861
133.0,133.0,0.124643415
134.0,134.0,0.37776652
135.0,135.0,0.14572656
136.0,136.0,0.45357108
137.0,137.0,0.23368508
138.0,138.0,0.72263753
139.0,139.0,0.20280372
