Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
6.21406E-8,0.000006214,0.001568494,1,0,0
9.36301E-8,0.000015577,0.002362382,0.999971744,0,0
9.7625E-8,0.00002534,0.002463052,0.999943488,0,0
1.13282E-7,0.000057736,0.002857522,0.999858721,0,0
1.41847E-7,0.000112442,0.003576756,0.999745698,0,0
2.102E-7,0.000258515,0.005295763,0.999519652,0,0
2.49143E-7,0.000518612,0.006273801,0.999208838,0,0
3.12518E-7,0.001020991,0.007863402,0.998700235,0,0
4.37051E-7,0.002511762,0.010979558,0.997570004,0,0
5.94181E-7,0.005022239,0.01489744,0.996213727,0,0
7.47546E-7,0.0100738,0.018706482,0.994094544,0,0
1.00438E-6,0.025025208,0.02505247,0.989347574,0.000147297,0
1.2394E-6,0.050023337,0.030823365,0.983103049,0.000294594,0
1.66091E-6,0.1000985,0.041087923,0.973298296,0.000662837,0
2.08457E-6,0.200106691,0.051295679,0.958266226,0.001767565,0
2.3843E-6,0.300163458,0.058451602,0.945664152,0.002651348,0
2.63676E-6,0.400105479,0.06443692,0.934446611,0.003166888,0
2.85545E-6,0.500240045,0.069591004,0.92416151,0.003682427,0
3.05695E-6,0.600088337,0.074314867,0.914611059,0.004197967,0
3.24237E-6,0.700237751,0.078640462,0.905625724,0.004787156,0
3.32901E-6,0.750169055,0.080654826,0.901330847,0.005302696,0
3.42712E-6,0.800206288,0.082930514,0.897148993,0.00559729,0
3.59152E-6,0.90025678,0.086731172,0.889096098,0.006407424,0
3.76925E-6,1.000082229,0.090822186,0.881438784,0.007143909,0
3.92647E-6,1.100016214,0.094425653,0.874092283,0.007512152,0
4.07176E-6,1.200054792,0.097743335,0.867028341,0.008248638,0
4.22868E-6,1.300143473,0.101312593,0.8602187,0.00861688,0
4.3683E-6,1.400375865,0.104476687,0.853635105,0.009353366,0
4.48563E-6,1.500438735,0.107126941,0.847249301,0.009868906,0
4.84213E-6,1.750470606,0.115131584,0.832104207,0.011636471,0
5.16935E-6,2.000095279,0.122415641,0.818004577,0.013919576,0
5.47129E-6,2.250525189,0.12908377,0.804696109,0.016423626,0
5.80642E-6,2.500435017,0.136425451,0.792178803,0.018191192,0
6.12733E-6,2.750332404,0.143397674,0.780339634,0.020032405,0
6.44749E-6,3.00008201,0.150297676,0.769122093,0.021505376,0
6.79123E-6,3.250406984,0.157643784,0.758441412,0.02283105,0
7.13624E-6,3.500175541,0.164953144,0.74829759,0.02386213,0
7.51274E-6,3.750616833,0.172857549,0.738634116,0.025629695,0
7.8836E-6,4.000737322,0.180570125,0.72945099,0.026808072,0
8.23955E-6,4.25061907,0.187905181,0.720691701,0.028060097,0
8.6062E-6,4.500683005,0.195391944,0.712299737,0.030195905,0
8.89121E-6,4.750785817,0.201164024,0.704218587,0.032037119,0
9.21171E-6,5.000019409,0.207605332,0.69644825,0.033951981,0
9.5328E-6,5.250531523,0.214006564,0.688903959,0.035351304,0
9.82311E-6,5.50024177,0.219749443,0.68161397,0.036897923,0
1.01115E-5,5.750393577,0.225412199,0.674521771,0.03859184,0
1.04027E-5,6.000576489,0.231089396,0.667627363,0.040874945,0
1.07167E-5,6.250953748,0.237163876,0.660930745,0.043010753,0
1.10486E-5,6.500098958,0.24353385,0.654460173,0.045293858,0
1.1349E-5,6.750952541,0.24925276,0.648130881,0.047356017,0
1.17007E-5,7.001022638,0.255891848,0.641999378,0.049639122,0
1.2069E-5,7.250537293,0.262782709,0.636065666,0.05177493,0
1.24457E-5,7.500938629,0.26976559,0.630301489,0.054278981,0
1.28204E-5,7.751095117,0.276644867,0.624706846,0.055972897,0
1.319E-5,8.000920213,0.283366658,0.619281738,0.058256002,0
1.35531E-5,8.250744952,0.289909725,0.613997909,0.06039181,0
1.38951E-5,8.500375731,0.296017558,0.608855359,0.062527618,0
1.42824E-5,8.751098235,0.3028724,0.603825831,0.06495802,0
1.46289E-5,9.0012511,0.308946028,0.598937583,0.067241125,0
1.49522E-5,9.251097208,0.314567074,0.594162358,0.069818825,0
1.52822E-5,9.500436674,0.320258102,0.589500155,0.071880984,0
1.56614E-5,9.750978217,0.326737682,0.58492272,0.074974223,0
1.60272E-5,10.001428789,0.332930983,0.580458309,0.077257328,0
1.64224E-5,10.25117051,0.339556791,0.57610692,0.080055973,0
1.67628E-5,10.5001964,0.345211557,0.571868554,0.082707321,0
1.71497E-5,10.751053829,0.351580012,0.5676867,0.085579614,0
1.7477E-5,11.000357113,0.356918611,0.563617869,0.088083665,0
1.78343E-5,11.251068121,0.362697273,0.559605549,0.090514067,0
1.81972E-5,11.501571113,0.368512609,0.555677997,0.092723523,0
1.85145E-5,11.750985057,0.373552978,0.551835212,0.095153925,0
1.88962E-5,12.001553732,0.379565094,0.548048939,0.098026219,0
1.92465E-5,12.251577282,0.385031474,0.544347433,0.101045809,0
1.95681E-5,12.501809524,0.390005816,0.540702438,0.102666077,0
1.99478E-5,12.750753368,0.395828673,0.537142211,0.105906614,0
2.02868E-5,13.000286608,0.400981186,0.533638496,0.108189719,0
2.06728E-5,13.250245519,0.406793595,0.530191292,0.111062012,0
2.09784E-5,13.500238629,0.411355732,0.526800599,0.114155251,0
2.13007E-5,13.751705436,0.416127836,0.523438162,0.116806599,0
2.16107E-5,14.000585862,0.420682582,0.520160493,0.119163352,0
2.19434E-5,14.251117074,0.425530765,0.516911079,0.121961997,0
2.22798E-5,14.501143804,0.430391678,0.513718177,0.124466048,0
2.25976E-5,14.750141754,0.434946933,0.510581786,0.126970099,0
2.28588E-5,15.000078302,0.438661996,0.507473651,0.12895861,0
2.3159E-5,15.250835378,0.442903305,0.504393772,0.131757254,0
2.34149E-5,15.500041847,0.446492467,0.501370405,0.134187657,0
2.37034E-5,15.752178912,0.450512033,0.498347037,0.136765356,0
2.4023E-5,16.000270133,0.454930455,0.495408437,0.139195758,0
2.42926E-5,16.251561259,0.458630331,0.492469837,0.142068051,0
2.45823E-5,16.500874412,0.462577762,0.489587748,0.144130211,0
2.49117E-5,16.750821825,0.467030935,0.486733915,0.146560613,0
2.52139E-5,17.001588644,0.471084185,0.483908338,0.149285609,0
2.54377E-5,17.252273474,0.474065667,0.481111017,0.152010605,0
