X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,6.013535550441058E-5,73.90560371498403,0.7810847774555684
2.0,2.0,train,4.0929859309698526E-5,37.07487994916142,0.6443909780323195
3.0,3.0,train,3.234602623969922E-5,24.597020383313154,0.5582841194452329
4.0,4.0,train,2.889359511512524E-5,20.656378816966033,0.518031746858171
5.0,5.0,train,1.8608973748932224E-5,11.813002772724992,0.37504689361369514
6.0,6.0,train,7.515342106095375E-6,3.7523717810909374,0.17291184806337478
7.0,7.0,train,6.443099024524556E-5,81.4514055578233,0.8035961262047429
8.0,8.0,train,4.9325974851407267E-5,51.721603982581954,0.7123516337471203
9.0,9.0,train,3.6801310805153934E-5,30.50109061683208,0.6053013524871993
10.0,10.0,train,5.185359208107588E-5,57.02502653157864,0.7301438602568716
11.0,11.0,train,5.265819567222697E-5,58.70223259435048,0.7355733166224047
12.0,12.0,train,2.8219869114158543E-5,19.92905186174013,0.5097589815609411
13.0,13.0,train,4.984313959386569E-5,52.719627017012165,0.7160850396246834
14.0,14.0,train,4.3946418354942244E-5,41.96653296954468,0.6704819930553934
15.0,15.0,train,4.236604434370236E-5,39.50668687938571,0.657060993821297
16.0,16.0,train,2.7490726699419145E-5,19.26135158409102,0.5006456778205974
17.0,17.0,train,3.080339552652388E-5,22.72882027542067,0.5407314808105378
18.0,18.0,train,1.3967925458544942E-5,8.547520015330845,0.29731164689159706
19.0,19.0,train,2.8592923754085106E-5,20.337716969334675,0.5143571564681766
20.0,20.0,train,4.900600056021578E-5,51.07323766497078,0.7100172005128021
21.0,21.0,train,5.940631459932517E-5,72.53635311974017,0.7770158388504698
22.0,22.0,train,4.77647070311406E-5,48.72734014938659,0.7007804006173307
23.0,23.0,train,4.854179950622517E-5,50.238972491883985,0.70659681343339
24.0,24.0,train,6.138493293407401E-5,76.36255464798764,0.7878870016088697
25.0,25.0,train,3.565185844733897E-5,28.784205961163273,0.5936728147860666
26.0,26.0,train,1.9280837871578703E-5,12.278295076125145,0.38556401326611134
27.0,27.0,train,4.7146603341799744E-5,47.619820998154935,0.6960717724180341
28.0,28.0,train,4.2754674993929685E-5,40.10758991867655,0.6604112037933942
29.0,29.0,train,5.732882845677786E-5,68.38734059581847,0.7650013364268121
30.0,30.0,train,3.867094189262701E-5,33.54988692959208,0.6235090277834376
31.0,31.0,train,3.101502908063554E-5,23.003555487319513,0.5431801998367445
32.0,32.0,train,5.3927459086594756E-5,61.29379277304927,0.7439170695110299
33.0,33.0,train,5.6104134685922825E-5,65.81219488231068,0.7576176001066623
34.0,34.0,train,6.082048166075433E-5,75.29423572604867,0.7848409186089083
35.0,35.0,train,5.5077764265432504E-5,63.58345723059115,0.7512511775089754
