x,y,species cloglog values
1.0,1.0,0.7656877
2.0,2.0,0.30104417
3.0,3.0,0.6954137
4.0,4.0,0.49958834
5.0,5.0,0.7732131
6.0,6.0,0.16369738
7.0,7.0,0.42472562
8.0,8.0,0.09959923
9.0,9.0,0.42373884
10.0,10.0,0.72377485
11.0,11.0,0.20192915
12.0,12.0,0.5164628
13.0,13.0,0.46505818
14.0,14.0,0.020171227
15.0,15.0,0.037794877
16.0,16.0,0.41206208
17.0,17.0,0.008856715
18.0,18.0,0.75651264
19.0,19.0,0.7551156
20.0,20.0,0.5842345
21.0,21.0,0.050692502
22.0,22.0,0.24676469
23.0,23.0,0.14978449
24.0,24.0,0.048395827
25.0,25.0,0.007342197
26.0,26.0,0.5797821
27.0,27.0,0.023032576
28.0,28.0,0.12193693
29.0,29.0,0.20083308
30.0,30.0,0.12107087
31.0,31.0,0.017538993
32.0,32.0,0.6992965
33.0,33.0,0.5172829
34.0,34.0,0.5413792
35.0,35.0,0.4183811
36.0,36.0,0.6145645
37.0,37.0,0.3648081
38.0,38.0,0.011526093
39.0,39.0,0.034009404
40.0,40.0,0.04017988
41.0,41.0,0.055237107
42.0,42.0,0.8549228
43.0,43.0,0.50755286
44.0,44.0,0.06852573
45.0,45.0,0.20995355
46.0,46.0,0.037337534
47.0,47.0,0.3536654
48.0,48.0,0.30610278
49.0,49.0,0.074801676
50.0,50.0,0.027183244
51.0,51.0,0.011889448
52.0,52.0,0.36931923
53.0,53.0,0.76438147
54.0,54.0,0.21458675
55.0,55.0,0.56290466
56.0,56.0,0.03306378
57.0,57.0,0.641503
58.0,58.0,0.024289455
59.0,59.0,0.024337668
60.0,60.0,0.04579721
61.0,61.0,0.10807102
62.0,62.0,0.34295222
63.0,63.0,0.3336406
64.0,64.0,0.7547278
65.0,65.0,0.71480906
66.0,66.0,0.6453783
67.0,67.0,0.014788876
68.0,68.0,0.63854283
69.0,69.0,0.7497397
70.0,70.0,0.47269857
71.0,71.0,0.018786028
72.0,72.0,0.018518506
73.0,73.0,0.026332531
74.0,74.0,0.73335934
75.0,75.0,0.040861595
76.0,76.0,0.3896089
77.0,77.0,0.030688172
78.0,78.0,0.63427293
79.0,79.0,0.006730029
80.0,80.0,0.5254756
81.0,81.0,0.031363998
82.0,82.0,0.073273785
83.0,83.0,0.13463071
84.0,84.0,0.065190054
85.0,85.0,0.026855258
86.0,86.0,0.2967425
87.0,87.0,0.3985346
88.0,88.0,0.17141229
89.0,89.0,0.024596876
90.0,90.0,0.042691685
91.0,91.0,0.30693287
92.0,92.0,0.60331386
93.0,93.0,0.3191016
94.0,94.0,0.7260791
95.0,95.0,0.13850802
96.0,96.0,0.3003247
97.0,97.0,0.047375735
98.0,98.0,0.06034443
99.0,99.0,0.057438344
100.0,100.0,0.37557426
101.0,101.0,0.22235762
102.0,102.0,0.6875184
103.0,103.0,0.30039194
104.0,104.0,0.104964234
105.0,105.0,0.2623087
106.0,106.0,0.13350572
107.0,107.0,0.026044434
108.0,108.0,0.34787577
109.0,109.0,0.7550279
110.0,110.0,0.065644205
111.0,111.0,0.06918496
112.0,112.0,0.42082453
113.0,113.0,0.7462579
114.0,114.0,0.027995119
115.0,115.0,0.028148705
116.0,116.0,0.4242831
117.0,117.0,0.08434546
118.0,118.0,0.29988584
119.0,119.0,0.29950762
120.0,120.0,0.63781077
121.0,121.0,0.021967188
122.0,122.0,0.4614069
123.0,123.0,0.110146314
124.0,124.0,0.84454226
125.0,125.0,0.034557756
126.0,126.0,0.01784172
127.0,127.0,0.2162956
128.0,128.0,0.8256413
129.0,129.0,0.29602256
130.0,130.0,0.6755401
131.0,131.0,0.18191728
132.0,132.0,0.14954755
