Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.61067E-7,0.000016107,0.004358266,1,0,0
1.72183E-7,0.000033325,0.004658356,0.999972922,0,0
1.78044E-7,0.000051129,0.004816543,0.999945843,0,0
1.81031E-7,0.000105172,0.004897142,0.999864609,0,0
1.91224E-7,0.000253477,0.005172153,0.999647983,0,0
2.05901E-7,0.000511182,0.005568046,0.999295965,0,0
2.21375E-7,0.001007623,0.005985239,0.998673165,0,0
2.45173E-7,0.002524188,0.006626507,0.996913079,0,0
2.77093E-7,0.005003014,0.007486015,0.994340644,0,0
3.23698E-7,0.010011129,0.00873959,0.989845654,0,0
4.47327E-7,0.025000483,0.012057262,0.979258056,0,0
5.90867E-7,0.050031238,0.01589537,0.966287571,0.000350361,0
7.65145E-7,0.100045233,0.020535315,0.946249662,0.000910938,0
1.17237E-6,0.200007672,0.031292118,0.917898727,0.001681732,0
1.50966E-6,0.300077583,0.040111952,0.897752505,0.001891949,0
1.86785E-6,0.40011155,0.049390645,0.881640942,0.002032093,0
2.2118E-6,0.500164363,0.058215822,0.868372597,0.002102165,0
2.55724E-6,0.60002863,0.066996921,0.856972651,0.002312382,0
2.99875E-6,0.700121446,0.078101061,0.8471974,0.003013103,0
3.22284E-6,0.750038094,0.083686185,0.84286488,0.003083176,0
3.42185E-6,0.800226586,0.088618062,0.838776063,0.003433537,0
3.79286E-6,0.900336694,0.097741534,0.831248308,0.004274403,0
4.08946E-6,1.000029996,0.104969472,0.824397509,0.00483498,0
4.33303E-6,1.100047711,0.110861618,0.817979962,0.005886063,0
4.54595E-6,1.200398233,0.115980712,0.811860276,0.006586784,0
4.74807E-6,1.300203421,0.120812752,0.806038451,0.006867073,0
5.00369E-6,1.400211079,0.126886068,0.800487409,0.00742765,0
5.25508E-6,1.500190159,0.132817999,0.795207149,0.0080583,0
5.90995E-6,1.750156194,0.148082125,0.78307609,0.009389671,0
6.62653E-6,2.000089523,0.164476819,0.772244787,0.010510826,0
7.42072E-6,2.250683344,0.182278979,0.76257785,0.012332703,0
8.17347E-6,2.500469006,0.198801924,0.75388573,0.014364796,0
8.87292E-6,2.750243028,0.213855402,0.745951801,0.017307827,0
9.56603E-6,3.000635452,0.228493468,0.738586515,0.020391003,0
1.02282E-5,3.25100317,0.242223377,0.731735716,0.022703384,0
1.07577E-5,3.50095781,0.253025713,0.725291091,0.025506271,0
1.12145E-5,3.750419938,0.262222506,0.719144327,0.027888725,0
1.1587E-5,4.000232575,0.269637158,0.713214189,0.030341251,0
