x,y,species cloglog values
1.0,1.0,0.031634834
2.0,2.0,0.015641607
3.0,3.0,0.047914598
4.0,4.0,0.22451997
5.0,5.0,0.03757379
6.0,6.0,0.17209499
7.0,7.0,0.037946764
8.0,8.0,0.71462965
9.0,9.0,0.0110542765
10.0,10.0,0.005661867
11.0,11.0,0.46311146
12.0,12.0,0.039303053
13.0,13.0,0.20108354
14.0,14.0,0.8570817
15.0,15.0,0.03540403
16.0,16.0,0.15023693
17.0,17.0,0.16344967
18.0,18.0,0.6943436
19.0,19.0,0.10900252
20.0,20.0,0.032579575
21.0,21.0,0.040508214
22.0,22.0,0.09634464
23.0,23.0,0.63364273
24.0,24.0,0.31517893
25.0,25.0,0.56794345
26.0,26.0,0.053623315
27.0,27.0,0.034553103
28.0,28.0,0.53821874
29.0,29.0,0.6285376
30.0,30.0,0.20322537
31.0,31.0,0.42124373
32.0,32.0,0.02534607
33.0,33.0,0.15418379
34.0,34.0,0.08575725
35.0,35.0,0.03481239
36.0,36.0,0.29205796
37.0,37.0,0.3513329
38.0,38.0,0.6425162
39.0,39.0,0.24345863
40.0,40.0,0.2418603
41.0,41.0,0.037538607
42.0,42.0,0.12894474
43.0,43.0,0.1501421
44.0,44.0,0.32577994
45.0,45.0,0.056032207
46.0,46.0,0.19192903
47.0,47.0,0.15352444
48.0,48.0,0.22409013
49.0,49.0,0.47044793
50.0,50.0,0.6359236
51.0,51.0,0.045282707
52.0,52.0,0.16034704
53.0,53.0,0.010714456
54.0,54.0,0.3950473
55.0,55.0,0.044145092
56.0,56.0,0.20735984
57.0,57.0,0.052567955
58.0,58.0,0.027549716
59.0,59.0,0.76333374
60.0,60.0,0.091176845
61.0,61.0,0.19275995
62.0,62.0,0.12800935
63.0,63.0,0.6999207
64.0,64.0,0.35688752
65.0,65.0,0.022147108
66.0,66.0,0.8132257
67.0,67.0,0.012944899
68.0,68.0,0.48096532
69.0,69.0,0.5562715
70.0,70.0,0.033088215
71.0,71.0,0.56752837
72.0,72.0,0.19849859
73.0,73.0,0.37245226
74.0,74.0,0.04478566
75.0,75.0,0.019618422
76.0,76.0,0.15911263
77.0,77.0,0.018040147
78.0,78.0,0.5517084
79.0,79.0,0.7358711
80.0,80.0,0.27863097
81.0,81.0,0.54471934
82.0,82.0,0.2002441
83.0,83.0,0.067139894
84.0,84.0,0.41932854
85.0,85.0,0.042799175
86.0,86.0,0.478914
87.0,87.0,0.026367117
88.0,88.0,0.020397754
89.0,89.0,0.04423499
90.0,90.0,0.35440075
91.0,91.0,0.36323246
92.0,92.0,0.23726544
93.0,93.0,0.132244
94.0,94.0,0.260922
95.0,95.0,0.39116895
96.0,96.0,0.21994697
97.0,97.0,0.1765201
98.0,98.0,0.4598173
99.0,99.0,0.026920395
100.0,100.0,0.07382175
101.0,101.0,0.4953292
102.0,102.0,0.05906023
103.0,103.0,0.7864503
104.0,104.0,0.2002287
105.0,105.0,0.31382805
106.0,106.0,0.25242743
107.0,107.0,0.12704343
108.0,108.0,0.030338101
109.0,109.0,0.8109584
110.0,110.0,0.23788783
111.0,111.0,0.70189035
112.0,112.0,0.017172417
113.0,113.0,0.048431545
114.0,114.0,0.058744717
115.0,115.0,0.4074375
116.0,116.0,0.67217845
117.0,117.0,0.012114655
118.0,118.0,0.14728503
119.0,119.0,0.5456273
120.0,120.0,0.5108651
121.0,121.0,0.29996672
122.0,122.0,0.14473476
123.0,123.0,0.5377327
124.0,124.0,0.02286947
125.0,125.0,0.5253461
126.0,126.0,0.14820592
127.0,127.0,0.0026867504
128.0,128.0,0.056027405
129.0,129.0,0.6613358
130.0,130.0,0.19638634
131.0,131.0,0.47650298
132.0,132.0,0.14277
133.0,133.0,0.710917
134.0,134.0,0.12410654
135.0,135.0,0.6556028
136.0,136.0,0.28895104
137.0,137.0,0.040355273
138.0,138.0,0.064444326
139.0,139.0,0.022341214
140.0,140.0,0.027442958
141.0,141.0,0.114448324
142.0,142.0,0.25654373
143.0,143.0,0.00790395
144.0,144.0,0.69590497
145.0,145.0,0.23028879
146.0,146.0,0.4489657
147.0,147.0,0.22103405
148.0,148.0,0.63931745
149.0,149.0,0.46601176
150.0,150.0,0.09467441
151.0,151.0,0.0048905574
152.0,152.0,0.27716994
153.0,153.0,0.12155313
154.0,154.0,0.055392496
155.0,155.0,0.38352826
156.0,156.0,0.101463966
157.0,157.0,0.56066567
158.0,158.0,0.071101665
159.0,159.0,0.17518042
160.0,160.0,0.77604693
161.0,161.0,0.055499557
162.0,162.0,0.64643157
163.0,163.0,0.0843642
