Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.70437E-7,0.000017044,0.001218012,1,0,0
2.34007E-7,0.000040444,0.001671927,0.999908667,0,0
2.73044E-7,0.000067749,0.001950564,0.999817335,0,0
2.92756E-7,0.000125179,0.002091233,0.99963467,0,0
3.25829E-7,0.000250864,0.002327204,0.99926934,0,0
4.0175E-7,0.000537591,0.00286869,0.998538679,0,0
4.66671E-7,0.001018389,0.003331479,0.997534021,0,0
6.25643E-7,0.002531175,0.004463823,0.99497671,0,0
8.74349E-7,0.005074351,0.00623274,0.991962736,0,0
1.10972E-6,0.010016677,0.007903954,0.987487442,0,0
1.64133E-6,0.025006836,0.011668136,0.977532195,0.00024919,0
2.2276E-6,0.050201347,0.01580283,0.965750297,0.00024919,0
2.98605E-6,0.100266815,0.021126137,0.948214449,0.00049838,0
3.97097E-6,0.200215646,0.027995992,0.922184674,0.001744331,0
4.61469E-6,0.300354964,0.03245995,0.901086857,0.001744331,0
5.1736E-6,0.400298673,0.036319151,0.882455019,0.002491901,0
5.66572E-6,0.500445758,0.039704368,0.865558498,0.004236232,0
6.09112E-6,0.60038303,0.042621107,0.850031966,0.004734613,0
6.5997E-6,0.700591577,0.046096476,0.835601425,0.006229753,0
6.89773E-6,0.750455552,0.048127219,0.828842817,0.006229753,0
7.20908E-6,0.800524153,0.050244093,0.822358206,0.006229753,0
7.77261E-6,0.900105762,0.054063559,0.810210978,0.006728134,0
8.41905E-6,1.000433333,0.058426082,0.798885743,0.007226514,0
9.04837E-6,1.100161281,0.062653779,0.788473833,0.008223274,0
9.67983E-6,1.200016311,0.066876749,0.778701251,0.008970845,0
1.05468E-5,1.301018876,0.072643878,0.769567997,0.010216795,0
1.1939E-5,1.400275255,0.08183008,0.761439401,0.010216795,0
1.34364E-5,1.500594003,0.091608817,0.75422413,0.010715176,0
1.7417E-5,1.751483342,0.117100777,0.739245593,0.014702218,0
1.9411E-5,2.000445511,0.129600593,0.727007033,0.016944929,0
2.09129E-5,2.251145754,0.13889835,0.715681797,0.01893845,0
2.22162E-5,2.501399229,0.146886273,0.705087223,0.021679541,0
2.33829E-5,2.750211683,0.153973741,0.695131976,0.023423872,0
2.42349E-5,3.002192669,0.15911268,0.685450726,0.028407675,0
2.51905E-5,3.251591902,0.164839136,0.676226139,0.032893097,0
2.65833E-5,3.500437784,0.173115284,0.667458215,0.035634189,0
2.79711E-5,3.750853706,0.181280597,0.659055622,0.038873661,0
2.92376E-5,4.002676147,0.188662283,0.651018358,0.041614752,0
3.05405E-5,4.250309908,0.196186047,0.643437757,0.043359083,0
3.16794E-5,4.502093595,0.202705351,0.636039821,0.044355844,0
3.2847E-5,4.750324054,0.209334862,0.629007215,0.046598555,0
3.40871E-5,5.001495865,0.216314761,0.622157275,0.049588836,0
3.51758E-5,5.250617984,0.222392346,0.615581332,0.052080738,0
3.67883E-5,5.502828127,0.231307146,0.609188054,0.053825069,0
3.80923E-5,5.750110222,0.238441615,0.603160106,0.054074259,0
4.00114E-5,6.003784568,0.248821132,0.597223491,0.054572639,0
4.17877E-5,6.253473125,0.258301786,0.591652206,0.05706454,0
4.32019E-5,6.500165071,0.265764821,0.586354918,0.057812111,0
4.46297E-5,6.750585542,0.273223036,0.581148963,0.059556442,0
4.57185E-5,7.004011353,0.278859242,0.576034341,0.061799153,0
4.7146E-5,7.250162884,0.286183285,0.571193716,0.063792674,0
4.82574E-5,7.502630094,0.291833387,0.566353092,0.065287815,0
4.98116E-5,7.7522982,0.299660638,0.561695132,0.067281336,0
5.09992E-5,8.004262871,0.305582817,0.557128505,0.068527286,0
5.23662E-5,8.252086125,0.312337524,0.552744543,0.071517568,0
5.42833E-5,8.502930647,0.321700423,0.548451913,0.073012709,0
5.53986E-5,8.75537683,0.327088501,0.544250616,0.07550461,0
5.69014E-5,9.002567577,0.334280527,0.540231985,0.077747321,0
5.85074E-5,9.251393791,0.341882268,0.536304685,0.078993272,0
6.06664E-5,9.501792331,0.351964683,0.532468719,0.081983553,0
6.21677E-5,9.753875216,0.358884217,0.528724084,0.084475455,0
6.34576E-5,10.005057092,0.364770344,0.525070783,0.086468976,0
6.48509E-5,10.255389356,0.371067812,0.521508814,0.089210067,0
6.59295E-5,10.503683603,0.375900229,0.518038177,0.092200349,0
6.72804E-5,10.750459231,0.381899866,0.514658873,0.09394468,0
6.81524E-5,11.001151644,0.385741859,0.511279569,0.096436581,0
6.92413E-5,11.255339115,0.390506516,0.507900265,0.098679292,0
7.00306E-5,11.505912301,0.393936598,0.504612293,0.101171194,0
7.12475E-5,11.752847489,0.399187595,0.501415654,0.103164715,0
7.25046E-5,12.004770853,0.404564176,0.498219015,0.104909046,0
7.34515E-5,12.252963603,0.408582411,0.495113709,0.107400947,0
7.45053E-5,12.50460844,0.413022299,0.492008403,0.110889609,0
7.57774E-5,12.752643929,0.418337416,0.488994429,0.11313232,0
7.63599E-5,13.003786721,0.420755084,0.485980455,0.115873411,0
7.73962E-5,13.25765632,0.425031539,0.482966481,0.119112883,0
7.83577E-5,13.50646584,0.42897129,0.48004384,0.121604784,0
7.91478E-5,13.750947733,0.43218855,0.477212531,0.123847496,0
8.01811E-5,14.005684195,0.436368447,0.474289889,0.127834538,0
8.14478E-5,14.256175979,0.441450732,0.471458581,0.129828059,0
8.22749E-5,14.501721137,0.444744213,0.468718604,0.13182158,0
8.32844E-5,14.750238023,0.448737963,0.465978628,0.134064291,0
8.40936E-5,15.001493288,0.451918773,0.463238652,0.135559432,0
8.51169E-5,15.255241691,0.455914536,0.460498676,0.137802143,0
8.58215E-5,15.503138335,0.458649095,0.457850032,0.140294044,0
8.66527E-5,15.753338387,0.461856939,0.455201388,0.142536756,0
8.74499E-5,16.005826644,0.464915911,0.452552745,0.144031896,0
8.81145E-5,16.251629251,0.467452906,0.449995433,0.146025417,0
8.93743E-5,16.500433986,0.472229054,0.447438122,0.149264889,0
9.03007E-5,16.752382976,0.475713614,0.444880811,0.15076003,0
9.11634E-5,17.006503529,0.478937967,0.4423235,0.152753551,0
9.19723E-5,17.25394241,0.48194329,0.439857521,0.154497882,0
9.26567E-5,17.503029556,0.484472298,0.437391543,0.156491403,0
9.33897E-5,17.754261122,0.487167399,0.434925564,0.158983304,0
9.41696E-5,18.007465577,0.490019296,0.432459585,0.160478445,0
9.48148E-5,18.253144825,0.492366909,0.430084939,0.162222776,0
9.53514E-5,18.500494641,0.494310915,0.427710293,0.165711438,0
9.6305E-5,18.75947926,0.497747392,0.425244315,0.167954149,0
9.70792E-5,19.001481649,0.500520423,0.422961001,0.17044605,0
9.84524E-5,19.255695355,0.505400843,0.420586355,0.173685522,0
9.93811E-5,19.503231026,0.508674573,0.418303041,0.176675804,0
1.00285E-4,19.752750123,0.511838545,0.416019728,0.179167705,0
1.01345E-4,20.00458526,0.515526036,0.413736414,0.180912036,0
