X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,2.725876420581718E-4,99.75118389930635,0.8576126338919996
2.0,2.0,train,5.113486886391089E-5,8.028858261871163,0.30625600792003216
3.0,3.0,train,2.1306530972227565E-4,72.46472493970035,0.7820686426972878
4.0,4.0,train,1.6545558540663317E-4,46.36324995178479,0.6936816220288744
5.0,5.0,train,2.0000542019811863E-4,65.0334194772622,0.7607358805677686
6.0,6.0,train,1.7268986875997519E-4,50.807492792943776,0.7091247400337901
7.0,7.0,train,2.1561220149134928E-4,74.02860712783107,0.7860017213003523
8.0,8.0,train,1.6329268500418244E-4,45.1043560263931,0.6889071702688467
9.0,9.0,train,1.9692702734299504E-4,63.58243786498375,0.7554106117433936
10.0,10.0,train,2.0252749433976984E-4,66.35501562600327,0.7650122602456302
11.0,11.0,train,2.5421141595813025E-4,96.28035958122558,0.8376174562542876
12.0,12.0,train,9.535139408642071E-5,18.500491915091036,0.49431091493947066
13.0,13.0,train,2.3010459558534218E-4,83.0154626779293,0.8070682315880049
14.0,14.0,train,1.288410584861018E-4,29.72417529726741,0.6020023656505294
15.0,15.0,train,2.3067518611669411E-4,83.37679408429118,0.8078538176084219
16.0,16.0,train,1.36079858632226E-4,32.21309791569944,0.6220797228308228
17.0,17.0,train,1.4978557267352879E-4,37.92238218383809,0.6573610612137162
18.0,18.0,train,6.267300182344209E-5,9.852272502579119,0.36119656820047297
19.0,19.0,train,2.614687000033108E-4,98.5352686923883,0.8458293718451512
20.0,20.0,train,2.2989490701898855E-4,82.86217762431043,0.8067787271236867
21.0,21.0,train,1.5049842895197626E-4,38.33628054236282,0.6591032026084895
22.0,22.0,train,2.110992189902614E-4,71.07053658252495,0.778983104952768
23.0,23.0,train,2.5740675698143317E-4,97.5646862366561,0.8412856775223204
24.0,24.0,train,2.5998473829170956E-4,98.10783855207745,0.8441846905637964
25.0,25.0,train,1.2998006946663955E-4,30.077220495800614,0.6052308011856675
26.0,26.0,train,1.7188757804204895E-4,50.38361241735424,0.707451200223
27.0,27.0,train,2.333603131488369E-4,85.18029559030514,0.8115079563420498
28.0,28.0,train,2.047535330376726E-4,67.55316785570328,0.7687231420205474
29.0,29.0,train,7.409262950902177E-5,12.406063746095153,0.4112874859506117
30.0,30.0,train,2.5282727517178386E-4,95.69624435725305,0.8360022731783827
31.0,31.0,train,1.8725692573442102E-4,59.32848138179692,0.7378991787525279
32.0,32.0,train,2.2391483751665685E-4,79.25399734129854,0.7983370054780634
33.0,33.0,train,2.4556778547325564E-4,91.9398500090853,0.8272641917103318
34.0,34.0,train,6.592952290375092E-5,10.5036877869422,0.3759002288344966
35.0,35.0,train,2.610349728104286E-4,98.40379929715223,0.8453504737875774
36.0,36.0,train,1.3630033683132984E-4,32.29605109962415,0.622675076005536
37.0,37.0,train,1.803497119532542E-4,55.66589406998972,0.7246285399585668
38.0,38.0,train,2.0175643882893305E-4,65.82677066116399,0.7637130489165531
39.0,39.0,train,1.3087499077078384E-4,30.331521484340215,0.6077490021083504
40.0,40.0,train,1.6350683656951137E-4,45.25781001806922,0.6893831954229175
41.0,41.0,train,2.432770680524468E-5,3.0264140440996266,0.15967046804554863
42.0,42.0,train,1.1815037432032778E-4,25.963156889631506,0.5703837407964625
43.0,43.0,train,1.3016298866223928E-4,30.130673607788115,0.6057468249183096
44.0,44.0,train,1.2532395852315244E-4,28.650087556955054,0.591865842731295
45.0,45.0,train,2.2643235440159934E-4,80.57176970247572,0.8019348839583471
46.0,46.0,train,2.0063075050754577E-4,65.2113971668737,0.7618033797685763
47.0,47.0,train,2.1063132004662714E-4,70.77902641290284,0.7782423826700378
48.0,48.0,train,3.097886504966296E-5,4.347221988477722,0.19870161308213863
49.0,49.0,train,1.9988236277096994E-4,64.9938360801779,0.760525246976828
50.0,50.0,train,8.108808703275719E-5,14.185042211815517,0.4400120541122273
51.0,51.0,train,6.172248864050211E-5,9.679119894653835,0.35683991213622157
52.0,52.0,train,1.9456218357448296E-4,62.56442838818793,0.7512393406430884
53.0,53.0,train,1.8673655005062954E-4,59.132869459848926,0.7369220657789795
54.0,54.0,train,2.0646423347146098E-4,68.37637399493582,0.7715350666133894
55.0,55.0,train,2.5544314225015697E-4,96.7997268688771,0.839041402214979
56.0,56.0,train,1.0289953498400853E-4,20.47182416265384,0.5208818565644874
57.0,57.0,train,1.6671967844238266E-4,47.104074698576895,0.696438019640258
58.0,58.0,train,1.1625501667313557E-4,25.305137428053527,0.5645214226969585
59.0,59.0,train,1.1824214388340859E-4,26.0013474103221,0.5706655713130823
60.0,60.0,train,2.2467112489913982E-4,79.65715163861141,0.7994246585537467
61.0,61.0,train,1.592707369735399E-4,42.83890169827056,0.6798302673303821
62.0,62.0,train,2.1763712456911367E-4,75.08475702132563,0.7890780271308173
