x,y,species cloglog values
1.0,1.0,0.0017999266
2.0,2.0,0.112783276
3.0,3.0,0.001134441
4.0,4.0,0.0016395148
5.0,5.0,0.08110215
6.0,6.0,0.0061228066
7.0,7.0,0.7084643
8.0,8.0,0.05470239
9.0,9.0,0.47145805
10.0,10.0,0.0019234492
11.0,11.0,0.68710935
12.0,12.0,0.10240975
13.0,13.0,0.002059301
14.0,14.0,0.15239845
15.0,15.0,0.024720728
16.0,16.0,9.4786135E-4
17.0,17.0,0.12191461
18.0,18.0,0.0051799132
19.0,19.0,0.006658054
20.0,20.0,0.76382875
21.0,21.0,0.097381845
22.0,22.0,0.67468613
23.0,23.0,0.006884493
24.0,24.0,0.04252828
25.0,25.0,0.0012500526
26.0,26.0,0.043280233
27.0,27.0,0.25813293
28.0,28.0,0.34632313
29.0,29.0,0.010475377
30.0,30.0,0.0012235672
31.0,31.0,0.005252738
32.0,32.0,0.26690948
33.0,33.0,0.084360525
34.0,34.0,0.01679583
35.0,35.0,0.53845084
36.0,36.0,0.35592037
37.0,37.0,0.024505032
38.0,38.0,0.017133057
39.0,39.0,0.002137076
40.0,40.0,0.63730603
41.0,41.0,0.12583956
42.0,42.0,0.6199887
43.0,43.0,0.05043317
44.0,44.0,0.06597166
45.0,45.0,0.027501926
46.0,46.0,0.0011120691
47.0,47.0,0.024781741
48.0,48.0,0.033286612
49.0,49.0,0.7130255
50.0,50.0,0.0043822126
51.0,51.0,0.074602626
52.0,52.0,0.6442798
53.0,53.0,0.002413854
54.0,54.0,0.7100172
55.0,55.0,0.39490786
56.0,56.0,0.061594058
57.0,57.0,0.083257705
58.0,58.0,0.05796418
59.0,59.0,0.0065410226
60.0,60.0,0.29003954
61.0,61.0,0.022877913
62.0,62.0,0.0079919165
63.0,63.0,0.13497679
64.0,64.0,0.58901346
65.0,65.0,0.0075641144
66.0,66.0,0.029448306
67.0,67.0,0.36000326
68.0,68.0,0.012789474
69.0,69.0,0.13205044
70.0,70.0,0.013094042
71.0,71.0,0.001489123
72.0,72.0,0.14666662
73.0,73.0,0.0019208527
74.0,74.0,0.012070808
75.0,75.0,0.39270142
76.0,76.0,0.34133768
77.0,77.0,0.24400388
78.0,78.0,0.001742347
79.0,79.0,0.67412347
80.0,80.0,0.3683448
81.0,81.0,0.64205235
82.0,82.0,0.70584667
83.0,83.0,0.18056822
84.0,84.0,5.5574725E-4
85.0,85.0,0.03181351
86.0,86.0,0.0014581822
87.0,87.0,0.0016934143
88.0,88.0,0.007587476
89.0,89.0,0.06556688
90.0,90.0,0.7349765
91.0,91.0,0.73815656
92.0,92.0,0.01967555
93.0,93.0,0.015657863
94.0,94.0,0.69314396
95.0,95.0,0.15563694
96.0,96.0,0.06761378
97.0,97.0,0.0763701
98.0,98.0,0.45593795
99.0,99.0,0.013086098
100.0,100.0,0.16660593
101.0,101.0,0.015398062
102.0,102.0,0.0016083962
