Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.65701E-8,0.000001657,0.000178453,1,0,0
1.91876E-8,0.000003576,0.000206639,0.999946775,0,0
2.33987E-8,0.000010591,0.000251984,0.999787098,0,0
2.61746E-8,0.000025628,0.000281875,0.999467745,0,0
3.13282E-8,0.000052728,0.000337365,0.998988716,0,0
3.76643E-8,0.000102032,0.000405582,0.99824356,0,0
4.97419E-8,0.000250606,0.000535604,0.996433894,0,0
6.35947E-8,0.000500339,0.000684714,0.994091974,0,0
7.5918E-8,0.001006964,0.000817343,0.99025974,0,0
8.88842E-8,0.002503792,0.000956872,0.980732382,0,0
1.05028E-7,0.005005364,0.00113057,0.967000213,0,0
1.39893E-7,0.010005323,0.001505589,0.945124548,0,0
2.43199E-7,0.025023821,0.002615957,0.901266766,0.000143041,0
4.62237E-7,0.050003875,0.004966171,0.861560571,0.000143041,0
8.87642E-7,0.100072497,0.00951482,0.821322121,0.000715205,0
1.64364E-6,0.200033389,0.017547066,0.77815627,0.002145616,0
2.36223E-6,0.300185703,0.025121522,0.751330637,0.003432985,0
2.97388E-6,0.400103174,0.03152275,0.731530764,0.004148191,0
3.49256E-6,0.500113283,0.03691802,0.714977645,0.004434273,0
4.05937E-6,0.600302705,0.042779583,0.700766447,0.004577314,0
4.71359E-6,0.700399039,0.049500695,0.688631041,0.005721642,0
5.04885E-6,0.750262434,0.052926695,0.683202044,0.006293806,0
5.41268E-6,0.800538352,0.056630642,0.678092399,0.006436847,0
6.07705E-6,0.900486733,0.063356971,0.668831169,0.006722929,0
6.62777E-6,1.000051028,0.068896276,0.660527997,0.007438135,0
7.13968E-6,1.100138513,0.074015833,0.652810304,0.00815334,0
7.63058E-6,1.200727705,0.078898825,0.645571641,0.009011586,0
8.00374E-6,1.300004467,0.082593474,0.638812008,0.009583751,0
8.38439E-6,1.400700162,0.086346956,0.632265276,0.010728079,0
8.7205E-6,1.500007236,0.089648398,0.626091122,0.011443284,0
9.67996E-6,1.75074544,0.099007515,0.611560571,0.014733228,0
1.07393E-5,2.000242008,0.109228826,0.598520332,0.017307967,0
1.2009E-5,2.250900216,0.121327647,0.586757505,0.01902446,0
1.3185E-5,2.500857609,0.132386554,0.576165638,0.020597912,0
1.47246E-5,2.751365778,0.146655249,0.56663828,0.022600486,0
1.6449E-5,3.000626656,0.162357855,0.55806898,0.024746102,0
1.81956E-5,3.251540924,0.177968572,0.550351288,0.025604348,0
2.00413E-5,3.500565727,0.194148129,0.543431978,0.026605636,0
2.22695E-5,3.751559595,0.213257522,0.537098148,0.027893005,0
2.41786E-5,4.000157518,0.229269666,0.531403023,0.030038621,0
2.60433E-5,4.251997744,0.244594513,0.526080477,0.032470319,0
2.76153E-5,4.501096318,0.257276687,0.521130509,0.033757688,0
2.91298E-5,4.750434053,0.269293158,0.516446668,0.034902017,0
3.07162E-5,5.00098793,0.281672469,0.511975729,0.037047633,0
3.22244E-5,5.250036135,0.293247234,0.507770918,0.038764125,0
3.35581E-5,5.5032913,0.303326621,0.503672557,0.0407667,0
3.48549E-5,5.752868466,0.312989809,0.499787098,0.042769275,0
3.61749E-5,6.002144902,0.322687537,0.496061316,0.04477185,0
3.72194E-5,6.251854468,0.330264689,0.492441984,0.04748963,0
3.83271E-5,6.501324653,0.33820777,0.488929104,0.049206122,0
3.94974E-5,6.750873926,0.346497167,0.485522674,0.051208697,0
4.03749E-5,7.002483253,0.352643864,0.48216947,0.054069518,0
4.14003E-5,7.2519323,0.359754371,0.478922717,0.056501216,0
4.22789E-5,7.503062906,0.365784195,0.475729189,0.058789873,0
4.3366E-5,7.751660219,0.373167001,0.472642112,0.06107853,0
4.41405E-5,8.001103464,0.378373714,0.469608261,0.063510227,0
4.51194E-5,8.250606742,0.384893628,0.466627635,0.066943213,0
4.63808E-5,8.502028304,0.393193618,0.463700234,0.070090116,0
4.75011E-5,8.750458786,0.400471761,0.460879285,0.073093978,0
4.89443E-5,9.001524541,0.409718504,0.458111561,0.075525676,0
5.05432E-5,9.254710208,0.419796793,0.455397062,0.078100415,0
5.18551E-5,9.500388466,0.427937432,0.45284224,0.080532113,0
5.34466E-5,9.753164338,0.437659769,0.450287418,0.083106852,0
5.4661E-5,10.00157867,0.444967269,0.447839046,0.08553855,0
5.58561E-5,10.250397997,0.452065935,0.4454439,0.08825633,0
5.72969E-5,10.505728755,0.460503257,0.443048755,0.09097411,0
5.85781E-5,10.754804263,0.467896587,0.44076006,0.092976684,0
6.01281E-5,11.003913667,0.476705865,0.43852459,0.096123587,0
6.12495E-5,11.252635063,0.482988341,0.436342346,0.098984409,0
6.23221E-5,11.50577323,0.48892646,0.434160102,0.10184523,0
6.33362E-5,11.751004895,0.494478515,0.432084309,0.103990845,0
6.48376E-5,12.000920095,0.50258714,0.430008516,0.106565584,0
6.60954E-5,12.256228257,0.509280369,0.427932723,0.10999857,0
6.70988E-5,12.502430817,0.514555439,0.425963381,0.112001144,0
6.85521E-5,12.753496908,0.522094467,0.423994039,0.115577171,0
6.93567E-5,13.001895683,0.526218338,0.422077922,0.11815191,0
7.01552E-5,13.252926872,0.530275359,0.420161805,0.121012731,0
7.09985E-5,13.500014678,0.534522727,0.418298914,0.123873552,0
7.17992E-5,13.756956975,0.53851943,0.416382798,0.126591332,0
7.25402E-5,14.002311265,0.542187835,0.414573132,0.128736948,0
7.32077E-5,14.250032612,0.545467495,0.412763466,0.13174081,0
7.39584E-5,14.500168566,0.549127921,0.4109538,0.134601631,0
7.45713E-5,14.75264623,0.552094471,0.409144135,0.137033329,0
7.49977E-5,15.00699544,0.554146781,0.407334469,0.139751109,0
7.56302E-5,15.25553035,0.557173673,0.405578029,0.14261193,0
7.63624E-5,15.50619061,0.560652232,0.403821588,0.14532971,0
7.69803E-5,15.751609723,0.563566214,0.402118373,0.147618366,0
7.74916E-5,16.006493463,0.56596289,0.400361933,0.150193105,0
7.80307E-5,16.255579696,0.568475798,0.398658718,0.153196968,0
7.8511E-5,16.506201879,0.570702532,0.396955504,0.155914748,0
7.91441E-5,16.750574922,0.573619841,0.395305514,0.158060363,0
7.9832E-5,17.004734238,0.576767116,0.393602299,0.160635102,0
8.04061E-5,17.253192353,0.579376431,0.39195231,0.162923759,0
8.08738E-5,17.503044607,0.581489709,0.390302321,0.165069375,0
8.14802E-5,17.754747474,0.584214193,0.388652331,0.167214991,0
8.19258E-5,18.008072302,0.586204787,0.387002342,0.169932771,0
8.24503E-5,18.254780533,0.588536055,0.385405578,0.172793592,0
8.27932E-5,18.50265837,0.590052958,0.383808814,0.175511372,0
8.3168E-5,18.751713561,0.591704508,0.38221205,0.177513947,0
8.35941E-5,19.001927005,0.593573891,0.380615286,0.180517809,0
8.39581E-5,19.25321469,0.595164124,0.379018522,0.182949507,0
8.43643E-5,19.505762676,0.59693153,0.377421759,0.185238163,0
8.4667E-5,19.750847548,0.598243431,0.37587822,0.18752682,0
8.50482E-5,20.005453262,0.599889382,0.374281456,0.189815477,0
8.53903E-5,20.2525309,0.601360961,0.372737918,0.191675011,0
8.58616E-5,20.500915382,0.603379568,0.371194379,0.194392791,0
8.61691E-5,20.750392244,0.604690804,0.369650841,0.196538407,0
8.65928E-5,21.000836284,0.60649058,0.368107303,0.199828351,0
8.68593E-5,21.252382869,0.607618457,0.366563764,0.201973967,0
8.71572E-5,21.504689587,0.608875609,0.365020226,0.203976541,0
8.74073E-5,21.757838308,0.609927546,0.363476687,0.206122157,0
8.78021E-5,22.003215014,0.611582768,0.361986374,0.208124732,0
8.81654E-5,22.258425342,0.613099648,0.360442836,0.211128594,0
8.85383E-5,22.505791636,0.614650699,0.358952523,0.214132456,0
8.8939E-5,22.754352311,0.616310192,0.35746221,0.217279359,0
8.91879E-5,23.003695697,0.617337229,0.355971897,0.219711057,0
8.95627E-5,23.253950245,0.618878982,0.354481584,0.222142755,0
8.98554E-5,23.505157444,0.620078562,0.352991271,0.225003576,0
9.01207E-5,23.757142859,0.62116247,0.351500958,0.227578315,0
9.04594E-5,24.000890011,0.622541995,0.350063871,0.230439136,0
9.07755E-5,24.254620102,0.623824757,0.348573558,0.233013875,0
9.10183E-5,24.500031102,0.624807426,0.34713647,0.235731655,0
9.12752E-5,24.755262845,0.625843987,0.345646157,0.238449435,0
9.15799E-5,25.002056183,0.627069968,0.34420907,0.241453297,0
9.1781E-5,25.258739893,0.627876579,0.342718757,0.244171077,0
9.20879E-5,25.507015058,0.629104684,0.341281669,0.246888857,0
9.23338E-5,25.755914783,0.630085866,0.339844582,0.249034473,0
9.26879E-5,26.005757167,0.631493733,0.338407494,0.251752253,0
9.29129E-5,26.256374374,0.632385696,0.336970407,0.254613074,0
9.30876E-5,26.507456671,0.633076711,0.335533319,0.258046059,0
9.33466E-5,26.759185034,0.634099155,0.334096232,0.260763839,0
9.35353E-5,27.00215872,0.634841798,0.33271237,0.263767701,0
9.37179E-5,27.254956228,0.63555923,0.331275282,0.266628522,0
9.39434E-5,27.508349002,0.636443571,0.329838195,0.26906022,0
9.42259E-5,27.752939975,0.637547824,0.328454333,0.271062795,0
9.44413E-5,28.007619026,0.638387961,0.327017245,0.27449578,0
9.46526E-5,28.253451957,0.639209862,0.325633383,0.277070519,0
9.48212E-5,28.509198363,0.639864265,0.324196296,0.27993134,0
9.51043E-5,28.756091387,0.640960796,0.322812433,0.282792161,0
9.53383E-5,29.003627586,0.641864433,0.321428571,0.285509941,0
9.55348E-5,29.251762145,0.642621955,0.320044709,0.287655557,0
9.58612E-5,29.500639777,0.643875893,0.318660847,0.290230296,0
9.60077E-5,29.750116576,0.644437385,0.317276985,0.292805035,0
9.62929E-5,30.000113327,0.64552792,0.315893123,0.295951938,0
9.65049E-5,30.250722234,0.646336405,0.314509261,0.2989558,0
9.67603E-5,30.502009647,0.647307945,0.313125399,0.302102703,0
9.69603E-5,30.753851953,0.648066959,0.311741537,0.30439136,0
9.71237E-5,31.006185759,0.648685474,0.310357675,0.307395222,0
9.7343E-5,31.258964063,0.64951454,0.308973813,0.309969961,0
9.76274E-5,31.50268963,0.650586474,0.307643176,0.312115577,0
9.78636E-5,31.756852038,0.651474074,0.306259314,0.314690316,0
9.80728E-5,32.001772366,0.652258537,0.304928678,0.317694178,0
9.83288E-5,32.257069705,0.653215982,0.303544816,0.320554999,0
9.85276E-5,32.503177325,0.653957653,0.302214179,0.322843656,0
9.87758E-5,32.759692462,0.654881711,0.300830317,0.324846231,0
9.9001E-5,33.006865764,0.655717863,0.299499681,0.327707052,0
9.93319E-5,33.254763633,0.656942655,0.298169044,0.330710914,0
9.96383E-5,33.503519597,0.658072745,0.296838407,0.333285653,0
9.97904E-5,33.752810929,0.658632353,0.295507771,0.335860392,0
9.99842E-5,34.002530013,0.659344455,0.294177134,0.33829209,0
1.00185E-4,34.252786412,0.660078461,0.292846498,0.340723788,0
1.00413E-4,34.503605479,0.660912162,0.291515861,0.343155486,0
1.00595E-4,34.754852986,0.66157884,0.290185225,0.345730225,0
1.00767E-4,35.006563124,0.662204211,0.288854588,0.348304964,0
1.00981E-4,35.258754336,0.662981989,0.287523951,0.350879702,0
1.01229E-4,35.501444899,0.663880012,0.28624654,0.353740524,0
1.0136E-4,35.754669795,0.664355686,0.284915904,0.356601345,0
1.016E-4,36.008359635,0.66522065,0.283585267,0.359033042,0
1.01788E-4,36.252414628,0.665897514,0.282307856,0.361035617,0
1.01949E-4,36.507128079,0.666477274,0.28097722,0.363181233,0
1.02176E-4,36.752054037,0.66729152,0.279699808,0.365326849,0
1.02376E-4,37.007719492,0.668008634,0.278369172,0.367901588,0
1.02528E-4,37.253611167,0.668552113,0.277091761,0.37090545,0
1.027E-4,37.510166311,0.669162847,0.275761124,0.372621942,0
1.02909E-4,37.756902767,0.66990832,0.274483713,0.374767558,0
1.03108E-4,38.004143182,0.670614297,0.273206302,0.377342297,0
1.03372E-4,38.251966129,0.671551907,0.271928891,0.379630954,0
1.03612E-4,38.500387167,0.672398461,0.27065148,0.38177657,0
1.03853E-4,38.759803318,0.673248731,0.269320843,0.384208268,0
1.04043E-4,39.009236949,0.673915391,0.268043432,0.386639966,0
1.04213E-4,39.2591564,0.674513595,0.266766021,0.388785581,0
1.04435E-4,39.509520799,0.675288074,0.26548861,0.39136032,0
1.04569E-4,39.760327516,0.675757022,0.264211199,0.393505936,0
1.04808E-4,40.001104629,0.67659029,0.262987013,0.396080675,0
1.05036E-4,40.25297563,0.677383385,0.261709602,0.398226291,0
1.05134E-4,40.505194999,0.677725475,0.260432191,0.400657989,0
1.05327E-4,40.757774166,0.678393736,0.25915478,0.403232728,0
1.05503E-4,41.000200526,0.679003757,0.257930594,0.405807467,0
1.05653E-4,41.253553787,0.67952015,0.256653183,0.407953083,0
1.05843E-4,41.507357766,0.680175724,0.255375772,0.41038478,0
1.06041E-4,41.750999773,0.680856496,0.254151586,0.41310256,0
1.0623E-4,42.005761588,0.681506947,0.252874175,0.415677299,0
1.06434E-4,42.250325061,0.682206601,0.251649989,0.418395079,0
1.06594E-4,42.505985419,0.682752869,0.250372578,0.420969818,0
1.06732E-4,42.751341367,0.683225324,0.249148393,0.423544557,0
1.069E-4,43.007719729,0.683797332,0.247870981,0.42669146,0
1.07032E-4,43.253728742,0.68424645,0.246646796,0.428550994,0
1.07183E-4,43.50007387,0.684757716,0.24542261,0.430553569,0
1.07341E-4,43.757507207,0.68529606,0.244145199,0.433557431,0
1.07497E-4,44.004573173,0.685822957,0.242921013,0.436275211,0
1.07653E-4,44.252005834,0.686349978,0.241696828,0.439136032,0
1.0783E-4,44.510632582,0.68694829,0.240419417,0.441710771,0
1.08048E-4,44.75887075,0.687682394,0.239195231,0.444142469,0
1.08149E-4,45.007519149,0.688020687,0.237971045,0.446574167,0
1.08316E-4,45.25648749,0.688583049,0.23674686,0.449148906,0
1.08434E-4,45.505749742,0.688978503,0.235522674,0.451723645,0
1.08591E-4,45.755341006,0.689504375,0.234298488,0.454441425,0
1.08797E-4,46.005322153,0.690191617,0.233074303,0.45658704,0
1.08934E-4,46.255747907,0.690647082,0.231850117,0.459447862,0
1.09102E-4,46.506511087,0.691208667,0.230625931,0.462308683,0
1.09234E-4,46.757571594,0.691647986,0.229401746,0.464454298,0
1.09393E-4,47.00899972,0.692174181,0.22817756,0.467315119,0
1.09502E-4,47.26072327,0.69253571,0.226953374,0.469460735,0
1.0964E-4,47.501793636,0.692990764,0.225782414,0.471606351,0
1.09769E-4,47.754110669,0.693417478,0.224558229,0.47418109,0
1.09873E-4,48.006707332,0.693762173,0.223334043,0.476469747,0
1.10007E-4,48.259570554,0.694201933,0.222109857,0.479044486,0
1.10206E-4,48.501790896,0.694858225,0.220938897,0.481619225,0
1.10359E-4,48.755443994,0.695360115,0.219714712,0.484193964,0
1.10501E-4,49.009417223,0.695827354,0.218490526,0.486625662,0
1.10681E-4,49.252704527,0.696414947,0.217319566,0.489200401,0
1.10827E-4,49.507458011,0.696891344,0.21609538,0.491918181,0
1.10969E-4,49.751428377,0.697354529,0.21492442,0.494492919,0
1.11104E-4,50.006812127,0.697794568,0.213700234,0.497353741,0
1.1118E-4,50.251312962,0.698043147,0.212529274,0.499928479,0
1.1133E-4,50.507200444,0.69852806,0.211305088,0.502360177,0
1.11483E-4,50.752305665,0.699027233,0.210134128,0.504934916,0
1.11597E-4,51.00885747,0.69939399,0.208909943,0.507652696,0
1.11735E-4,51.254528648,0.699840367,0.207738982,0.510656558,0
1.1188E-4,51.500518751,0.700308973,0.206568022,0.513231297,0
1.1204E-4,51.758029171,0.700827534,0.205343836,0.515806036,0
1.12148E-4,52.004625805,0.701172907,0.204172876,0.518523816,0
1.12277E-4,52.25148537,0.701589768,0.203001916,0.521241596,0
1.12393E-4,52.509856084,0.70196002,0.20177773,0.523673294,0
1.12487E-4,52.757217087,0.702263848,0.20060677,0.525961951,0
1.12649E-4,53.004886874,0.702782347,0.19943581,0.528822772,0
1.12771E-4,53.252856498,0.703172947,0.19826485,0.53125447,0
1.12882E-4,53.501098966,0.703527088,0.19709389,0.533543127,0
1.13007E-4,53.760890762,0.703926157,0.195869704,0.535974825,0
1.13158E-4,54.009687128,0.704406388,0.194698744,0.538835646,0
1.13289E-4,54.258764746,0.704822566,0.193527784,0.541696467,0
1.13424E-4,54.508166403,0.705252747,0.192356824,0.544128165,0
1.13565E-4,54.757864774,0.705700727,0.191185863,0.546559863,0
1.1367E-4,55.007831694,0.706032616,0.190014903,0.54884852,0
1.13821E-4,55.258069312,0.706510618,0.188843943,0.5515663,0
1.13931E-4,55.508608007,0.706858246,0.187672983,0.553997997,0
1.1406E-4,55.759418818,0.707264316,0.186502023,0.556143613,0
1.14223E-4,56.010522574,0.707778699,0.185331062,0.558861393,0
1.14346E-4,56.250522847,0.708163942,0.184213328,0.561436132,0
1.14502E-4,56.502231816,0.708655058,0.183042367,0.564010871,0
1.14673E-4,56.754364707,0.709190122,0.181871407,0.566442569,0
1.14776E-4,57.00676258,0.709514621,0.180700447,0.569017308,0
1.14877E-4,57.259373606,0.709828332,0.179529487,0.570733801,0
1.15028E-4,57.500773773,0.710301029,0.178411752,0.572879416,0
1.15145E-4,57.753990254,0.71066474,0.177240792,0.575597196,0
1.15255E-4,58.007417189,0.711007365,0.176069832,0.578314976,0
1.15353E-4,58.261083335,0.711314352,0.174898872,0.581032756,0
1.15486E-4,58.503478487,0.711727741,0.173781137,0.583464454,0
1.15574E-4,58.757646547,0.712000098,0.172610177,0.586039193,0
1.15764E-4,59.000544582,0.712589345,0.171492442,0.588756973,0
1.15857E-4,59.255346308,0.712874944,0.170321482,0.591617794,0
1.15979E-4,59.51036623,0.713254038,0.169150522,0.594192533,0
1.16123E-4,59.754084469,0.713699016,0.168032787,0.596767272,0
1.16324E-4,60.009748821,0.714317031,0.166861827,0.599055929,0
1.16443E-4,60.25415314,0.714681876,0.165744092,0.601487627,0
1.16609E-4,60.510526813,0.715190857,0.164573132,0.603633243,0
1.16743E-4,60.755562857,0.715602344,0.163455397,0.605635817,0
1.16819E-4,61.000809213,0.715835343,0.162337662,0.608210556,0
1.16946E-4,61.257941192,0.716223633,0.161166702,0.611071377,0
1.17078E-4,61.503656649,0.716628524,0.160048967,0.613789157,0
1.17225E-4,61.761404706,0.717074904,0.158878007,0.616220855,0
1.17355E-4,62.007706548,0.717470826,0.157760273,0.618938635,0
1.17534E-4,62.254316656,0.718014691,0.156642538,0.621656415,0
1.17685E-4,62.501297256,0.718474505,0.155524803,0.623802031,0
1.17812E-4,62.760343916,0.718858973,0.154353843,0.626233729,0
1.17999E-4,63.007987282,0.71942491,0.153236108,0.628665427,0
1.18162E-4,63.25600103,0.719915929,0.152118373,0.631526248,0
1.18246E-4,63.504245352,0.720170168,0.151000639,0.633957946,0
1.18348E-4,63.752665489,0.720477435,0.149882904,0.636389644,0
1.18509E-4,64.001350889,0.720961503,0.148765169,0.639393506,0
1.18638E-4,64.250371709,0.721350213,0.147647435,0.642111286,0
1.18806E-4,64.511571957,0.721852558,0.146476474,0.644686025,0
1.18938E-4,64.761201382,0.722248983,0.14535874,0.646974682,0
1.19066E-4,65.01110349,0.722629637,0.144241005,0.649692462,0
1.19284E-4,65.261384918,0.723281523,0.14312327,0.652410242,0
1.19394E-4,65.50006424,0.723609533,0.142058761,0.654412816,0
1.19531E-4,65.750932188,0.724016192,0.140941026,0.656558432,0
1.1966E-4,66.002082756,0.724399736,0.139823291,0.658704048,0
1.1977E-4,66.253511653,0.724726132,0.138705557,0.661564869,0
1.1996E-4,66.505203543,0.725287478,0.137587822,0.663996567,0
1.20075E-4,66.757224884,0.725627529,0.136470087,0.666714347,0
1.20214E-4,67.00955504,0.726039919,0.135352353,0.669003004,0
1.20341E-4,67.250119873,0.72641278,0.134287843,0.671720784,0
1.20466E-4,67.502992714,0.726781401,0.133170109,0.674295523,0
1.20613E-4,67.756135897,0.727214733,0.132052374,0.677156344,0
1.20772E-4,68.009574379,0.72767928,0.130934639,0.680017165,0
1.20973E-4,68.251332832,0.728267804,0.12987013,0.682877986,0
1.21095E-4,68.505523374,0.72862667,0.128752395,0.685166643,0
1.21203E-4,68.759938518,0.728942362,0.12763466,0.687741382,0
1.21317E-4,69.002469795,0.729275242,0.126570151,0.690316121,0
1.21437E-4,69.257350483,0.729623575,0.125452416,0.692604778,0
1.2155E-4,69.50034326,0.729951268,0.124387907,0.695036475,0
1.21701E-4,69.755763655,0.730391339,0.123270172,0.697468173,0
1.21824E-4,70.01148173,0.730747098,0.122152438,0.700042912,0
1.22012E-4,70.255310477,0.731293563,0.121087928,0.702331569,0
1.2212E-4,70.511635709,0.731604212,0.119970194,0.704906308,0
1.22228E-4,70.755996023,0.731917422,0.118905684,0.707624088,0
1.22381E-4,71.000627225,0.732358636,0.117841175,0.710055786,0
1.22548E-4,71.257806726,0.732838663,0.11672344,0.712916607,0
1.22669E-4,71.503045817,0.733186617,0.115658931,0.715348305,0
1.22774E-4,71.760761814,0.73349072,0.114541197,0.717923044,0
1.22881E-4,72.00641683,0.733797652,0.113476687,0.720211701,0
1.22985E-4,72.25228543,0.734094523,0.112412178,0.722500358,0
1.23161E-4,72.510739087,0.7345976,0.111294443,0.725361179,0
1.23257E-4,72.757138764,0.734871708,0.110229934,0.727935918,0
1.23358E-4,73.003729263,0.735160026,0.109165425,0.730653698,0
1.23451E-4,73.250542989,0.735426463,0.108100915,0.733228437,0
1.23594E-4,73.509944083,0.735832922,0.106983181,0.735517093,0
1.23697E-4,73.757256556,0.73612541,0.105918671,0.738377914,0
1.23854E-4,74.004811849,0.736572553,0.104854162,0.740952653,0
1.23945E-4,74.252620056,0.73682992,0.103789653,0.74324131,0
1.24042E-4,74.500599455,0.737103537,0.102725144,0.745816049,0
1.24134E-4,74.761208162,0.737365415,0.101607409,0.74867687,0
1.24245E-4,75.009593018,0.737677901,0.1005429,0.751108568,0
1.24337E-4,75.258167339,0.737938751,0.09947839,0.753683307,0
1.24502E-4,75.5070081,0.738403552,0.098413881,0.755828923,0
1.24606E-4,75.756107985,0.738697066,0.097349372,0.758403662,0
1.24732E-4,76.00545866,0.739052304,0.096284863,0.761121442,0
1.24821E-4,76.255022644,0.739301468,0.095220353,0.763696181,0
1.24935E-4,76.504792862,0.739620238,0.094155844,0.766413961,0
1.25055E-4,76.754805598,0.739958541,0.093091335,0.7689887,0
1.25175E-4,77.005066712,0.740294262,0.092026826,0.771563439,0
1.25273E-4,77.255489798,0.740566076,0.090962316,0.774138178,0
1.25371E-4,77.506139984,0.74084069,0.089897807,0.776855958,0
1.25499E-4,77.757018213,0.741197989,0.088833298,0.779573738,0
1.25604E-4,78.008120251,0.74149022,0.087768789,0.781719353,0
1.25704E-4,78.259453006,0.741768351,0.086704279,0.784437133,0
1.25798E-4,78.51097083,0.742030888,0.08563977,0.786868831,0
1.25869E-4,78.750046476,0.742226237,0.084628486,0.789300529,0
1.2596E-4,79.001882568,0.742479523,0.083563977,0.791732227,0
1.26085E-4,79.253948723,0.742826736,0.082499468,0.794450007,0
1.26164E-4,79.50620119,0.743044667,0.081434958,0.797167787,0
1.26334E-4,79.758685449,0.743515979,0.080370449,0.799456444,0
1.26501E-4,80.01148217,0.743976062,0.07930594,0.802174224,0
1.2669E-4,80.25201957,0.744496857,0.078294656,0.80431984,0
1.26826E-4,80.505554727,0.744870925,0.077230147,0.806894579,0
1.26915E-4,80.759301275,0.745114615,0.076165638,0.809326277,0
1.27046E-4,81.000576787,0.745472852,0.075154354,0.812044057,0
1.27153E-4,81.254775962,0.745767321,0.074089845,0.814904878,0
1.27249E-4,81.509192171,0.746030462,0.073025335,0.817479617,0
1.27339E-4,81.751071715,0.746277492,0.072014052,0.820054356,0
1.27481E-4,82.005916248,0.746663483,0.070949542,0.822772136,0
1.27632E-4,82.261062108,0.74707676,0.069885033,0.824917751,0
1.27736E-4,82.503690052,0.747359051,0.068873749,0.82749249,0
1.27902E-4,82.759354327,0.747809398,0.06780924,0.83021027,0
1.28E-4,83.002443749,0.748076104,0.066797956,0.832785009,0
1.28129E-4,83.258571949,0.748424628,0.065733447,0.835502789,0
1.28246E-4,83.502128608,0.748743871,0.064722163,0.838220569,0
1.28398E-4,83.75877353,0.74915438,0.063657654,0.840795308,0
1.28496E-4,84.002854971,0.749418203,0.06264637,0.843513088,0
1.28601E-4,84.259962869,0.749702099,0.061581861,0.846087827,0
1.28737E-4,84.504451953,0.750068761,0.060570577,0.848805607,0
1.28825E-4,84.7620052,0.750303917,0.059506068,0.851666428,0
1.28918E-4,85.006848403,0.750555606,0.058494784,0.853955085,0
1.29119E-4,85.252007392,0.75109394,0.0574835,0.856529824,0
1.29236E-4,85.510388923,0.7514065,0.056418991,0.859247604,0
1.29388E-4,85.75609031,0.751813656,0.055407707,0.861679302,0
1.29473E-4,86.002004534,0.752040877,0.054396423,0.864254041,0
1.29634E-4,86.261131239,0.752471322,0.053331914,0.86682878,0
1.29748E-4,86.507540598,0.752773946,0.05232063,0.869403519,0
1.29896E-4,86.754228463,0.753167764,0.051309346,0.871978258,0
1.30015E-4,87.001159447,0.75348439,0.050298063,0.874696038,0
1.30157E-4,87.2613488,0.753862248,0.049233553,0.876984695,0
1.30354E-4,87.50883065,0.754382152,0.04822227,0.879416393,0
1.30499E-4,87.75662503,0.754765218,0.047210986,0.88184809,0
1.30771E-4,88.004815035,0.755483286,0.046199702,0.884136747,0
1.30921E-4,88.253429899,0.755879238,0.045188418,0.886711486,0
1.31233E-4,88.502504683,0.756698131,0.044177134,0.889286225,0
1.31455E-4,88.752010031,0.75727718,0.043165851,0.891717923,0
1.31595E-4,89.001929604,0.757642931,0.042154567,0.894292662,0
1.31865E-4,89.252196228,0.758347813,0.041143283,0.896867401,0
1.32025E-4,89.502915658,0.758764019,0.040131999,0.89944214,0
