X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,6.006097019320693E-5,10.99312485012203,0.4763273935913205
2.0,2.0,train,9.677931478554065E-5,30.525953284193275,0.647380139019224
3.0,3.0,train,2.8467565227142E-6,0.37933663046182775,0.030195798063912926
4.0,4.0,train,1.1498430828500195E-4,57.430924850503004,0.7101646117854098
5.0,5.0,train,1.2996984918478221E-4,86.90746923498209,0.7533646596689184
6.0,6.0,train,1.0783984422787228E-4,44.52184227508435,0.6869813379294045
7.0,7.0,train,1.0884154926538182E-4,46.086754878353204,0.6903403113058206
8.0,8.0,train,1.2304446841333698E-4,72.33961400331211,0.7342646405302095
9.0,9.0,train,5.47012743728144E-5,10.009963777806066,0.4452078904603828
10.0,10.0,train,1.2126424012171325E-4,68.89022487697149,0.7291202678174333
11.0,11.0,train,1.1445559196127168E-4,56.42735156227169,0.7085094196300397
12.0,12.0,train,1.0573597615456555E-4,41.36439419853082,0.6798074319714904
13.0,13.0,train,1.3040450638197976E-4,87.59514235764631,0.7545165818782333
14.0,14.0,train,1.026292922563847E-4,37.40469866364454,0.6689123223452844
15.0,15.0,train,1.1206186272683149E-4,51.807948382543564,0.7008965716867626
16.0,16.0,train,1.1818704926435652E-4,63.330028859128376,0.7199920735429688
17.0,17.0,train,1.093165502091714E-4,46.8881089801187,0.6919204886709853
18.0,18.0,train,8.818834675264104E-5,22.2736472598336,0.6131953096139988
19.0,19.0,train,9.966807128743857E-5,33.55231462593434,0.6581824374270246
20.0,20.0,train,1.1320175503908647E-4,54.09288102808515,0.7045462880828584
21.0,21.0,train,1.372869580868988E-4,94.52378108260307,0.7720556005843234
22.0,22.0,train,8.190559665349375E-5,17.99658664383411,0.5861148792943175
23.0,23.0,train,1.1547073032442892E-4,58.475649198796674,0.7116790956742651
24.0,24.0,train,1.326152505874527E-4,90.09210226890586,0.760292720308823
25.0,25.0,train,7.886549121464613E-5,16.64303349618503,0.5723384972365584
26.0,26.0,train,8.6766650265847E-5,21.16493174619571,0.6072268114898975
27.0,27.0,train,5.892592213031676E-5,10.810704755633045,0.46988616668078265
28.0,28.0,train,8.279501434474047E-5,18.50386400494097,0.5900607624526786
29.0,29.0,train,1.205316379770998E-4,67.61602541093009,0.7269744325795313
30.0,30.0,train,1.0406107133280074E-4,39.03580387589646,0.673978866659767
31.0,31.0,train,6.96459627239529E-5,13.092833648594585,0.5276920422573329
32.0,32.0,train,1.1326597556135976E-4,54.2149870946084,0.7047505795557517
33.0,33.0,train,9.467205589018894E-5,28.282964258253564,0.6392854611342876
34.0,34.0,train,9.895429604753245E-5,32.95560479531503,0.6555445063877936
35.0,35.0,train,1.1533630457151075E-4,58.21786838601339,0.7112613517074182
36.0,36.0,train,1.1454700500289194E-4,56.56858995336028,0.7087962704209614
37.0,37.0,train,1.2136978946629797E-4,69.11459492407648,0.7294280350386428
38.0,38.0,train,1.1037104022761287E-4,48.776978469244604,0.6953996818053749
39.0,39.0,train,8.242336459645733E-5,18.242110970065237,0.5884165422551507
40.0,40.0,train,1.2755595546887693E-4,82.13256907957819,0.7468683245315909
41.0,41.0,train,1.8247101872117285E-5,3.2584896391531335,0.1784241298979502
42.0,42.0,train,8.97827133735652E-5,23.44277478656425,0.6197808818259531
43.0,43.0,train,7.015518306566198E-5,13.252921548209132,0.5302753594645329
44.0,44.0,train,1.19962204380752E-4,66.5100344212017,0.7252947933179945
45.0,45.0,train,1.2748859116732582E-4,82.0187431017467,0.7466845983660566
46.0,46.0,train,1.2128885208044003E-4,68.94258601538795,0.7291920641522429
47.0,47.0,train,1.1029729252485329E-4,48.653141430335154,0.6951576410571659
48.0,48.0,train,8.740727001514429E-5,21.757807957628653,0.609927545967566
49.0,49.0,train,5.7357891600943534E-5,10.517586009127962,0.4608572997087803
50.0,50.0,train,1.1692057279476573E-4,61.206459714816326,0.7161464214910189
