x,y,species cloglog values
1.0,1.0,0.013118898
2.0,2.0,0.29329926
3.0,3.0,0.004920315
4.0,4.0,0.031658214
5.0,5.0,0.14678608
6.0,6.0,0.0073574767
7.0,7.0,0.05169997
8.0,8.0,0.44474956
9.0,9.0,0.4019902
10.0,10.0,0.25115544
11.0,11.0,0.27745855
12.0,12.0,0.079888135
13.0,13.0,0.005348505
14.0,14.0,0.2088479
15.0,15.0,0.047363307
16.0,16.0,0.52577895
17.0,17.0,0.77694875
18.0,18.0,0.04391718
19.0,19.0,0.7712221
20.0,20.0,0.029824777
21.0,21.0,0.023173492
22.0,22.0,0.006221694
23.0,23.0,0.02722103
24.0,24.0,0.4078791
25.0,25.0,0.020947253
26.0,26.0,0.6800711
27.0,27.0,0.54847467
28.0,28.0,0.6999357
29.0,29.0,0.006798015
30.0,30.0,0.010617261
31.0,31.0,0.3105815
32.0,32.0,0.34674078
33.0,33.0,0.5107593
34.0,34.0,0.1221028
35.0,35.0,0.016450973
36.0,36.0,0.0020029705
37.0,37.0,0.011256408
38.0,38.0,0.24895495
39.0,39.0,0.63200736
40.0,40.0,0.058816113
41.0,41.0,0.026993258
42.0,42.0,0.011259076
43.0,43.0,0.011298042
44.0,44.0,0.73408836
45.0,45.0,0.43475997
46.0,46.0,0.009247307
47.0,47.0,0.016289093
48.0,48.0,0.63433135
49.0,49.0,0.37870583
50.0,50.0,0.1751879
51.0,51.0,0.45374903
52.0,52.0,0.0056157084
53.0,53.0,0.0099474015
54.0,54.0,0.010404716
55.0,55.0,0.07335087
56.0,56.0,0.14789222
57.0,57.0,0.122490786
58.0,58.0,0.33832252
59.0,59.0,0.19657768
60.0,60.0,0.6009207
61.0,61.0,0.028346252
62.0,62.0,0.30915946
63.0,63.0,0.20597094
64.0,64.0,0.59457153
65.0,65.0,0.013967318
66.0,66.0,0.024423713
67.0,67.0,0.37392363
68.0,68.0,0.03186339
69.0,69.0,0.4547769
70.0,70.0,0.59795547
71.0,71.0,0.09747249
72.0,72.0,0.4678096
73.0,73.0,0.24591932
74.0,74.0,0.5504419
75.0,75.0,0.034232873
76.0,76.0,0.0021206816
77.0,77.0,0.003045384
78.0,78.0,0.005699602
79.0,79.0,0.4293755
80.0,80.0,0.041488357
81.0,81.0,0.4037352
82.0,82.0,0.30018392
83.0,83.0,0.42776412
84.0,84.0,0.54897547
85.0,85.0,0.252091
86.0,86.0,0.57852
87.0,87.0,0.011094522
88.0,88.0,0.018991169
89.0,89.0,0.7459338
90.0,90.0,0.039664004
91.0,91.0,0.6534542
92.0,92.0,0.05031908
93.0,93.0,0.1821602
94.0,94.0,0.007648418
95.0,95.0,0.0037150704
96.0,96.0,0.68705803
97.0,97.0,0.3853828
98.0,98.0,0.39799386
99.0,99.0,0.37894
100.0,100.0,0.23354281
101.0,101.0,0.02623989
102.0,102.0,0.5186121
103.0,103.0,0.0022496446
104.0,104.0,0.01751361
105.0,105.0,0.004771158
106.0,106.0,0.56216514
107.0,107.0,0.120281726
108.0,108.0,0.02407701
109.0,109.0,0.50668377
110.0,110.0,0.004125991
111.0,111.0,0.01114932
112.0,112.0,0.24715605
113.0,113.0,0.009432209
114.0,114.0,0.41379312
115.0,115.0,0.063315734
116.0,116.0,0.3621883
117.0,117.0,0.27642718
118.0,118.0,0.0012866462
119.0,119.0,0.003764165
120.0,120.0,0.5350613
121.0,121.0,0.15307496
122.0,122.0,0.05499705
123.0,123.0,0.7086563
124.0,124.0,0.023080865
125.0,125.0,0.7107326
126.0,126.0,0.02260844
127.0,127.0,0.028476566
128.0,128.0,0.0102946125
129.0,129.0,0.05223391
130.0,130.0,0.51865643
131.0,131.0,0.5362209
132.0,132.0,0.25609568
133.0,133.0,0.15094309
134.0,134.0,0.6919631
135.0,135.0,0.65730125
136.0,136.0,0.2129535
137.0,137.0,0.011721843
138.0,138.0,0.0058247796
139.0,139.0,0.38826737
140.0,140.0,0.25400242
141.0,141.0,0.20261607
142.0,142.0,0.08732685
143.0,143.0,0.13737147
144.0,144.0,0.44804543
145.0,145.0,0.34413537
146.0,146.0,0.028071979
147.0,147.0,0.004480717
148.0,148.0,0.047344
149.0,149.0,0.38325125
150.0,150.0,0.42388237
151.0,151.0,0.05781746
152.0,152.0,0.1822301
153.0,153.0,0.29241875
154.0,154.0,0.02870063
155.0,155.0,0.16454855
156.0,156.0,0.00803502
157.0,157.0,0.0952161
158.0,158.0,0.6243953
159.0,159.0,0.028472135
160.0,160.0,0.0037259576
161.0,161.0,0.013617895
162.0,162.0,0.007244888
163.0,163.0,0.60987866
164.0,164.0,0.03665873
165.0,165.0,0.020628076
166.0,166.0,0.0022407987
167.0,167.0,0.22208756
168.0,168.0,0.016801184
169.0,169.0,0.01176749
170.0,170.0,0.6422885
171.0,171.0,0.056715805
172.0,172.0,0.58464324
173.0,173.0,0.19629352
174.0,174.0,0.74007434
175.0,175.0,0.69439375
176.0,176.0,0.15437959
177.0,177.0,0.10422547
178.0,178.0,0.02596404
179.0,179.0,0.5602833
180.0,180.0,0.0063900338
181.0,181.0,0.52413094
182.0,182.0,0.010244262
183.0,183.0,0.5900708
184.0,184.0,0.49058834
185.0,185.0,0.3443154
186.0,186.0,0.299519
187.0,187.0,0.59889394
188.0,188.0,0.6157396
189.0,189.0,0.5886405
190.0,190.0,0.43154487
191.0,191.0,0.02634588
192.0,192.0,0.27708945
193.0,193.0,0.58709896
194.0,194.0,0.047054432
195.0,195.0,0.1480796
196.0,196.0,0.035112705
197.0,197.0,0.5990033
198.0,198.0,0.5850578
199.0,199.0,0.010304939
200.0,200.0,0.0103686815
201.0,201.0,0.17726119
202.0,202.0,0.008251635
203.0,203.0,0.20346704
204.0,204.0,0.011803133
205.0,205.0,0.033841006
206.0,206.0,0.24838433
207.0,207.0,0.10819871
208.0,208.0,0.6460481
209.0,209.0,0.7930861
210.0,210.0,0.22989948
211.0,211.0,0.007996027
212.0,212.0,0.07656186
213.0,213.0,0.25728938
214.0,214.0,0.1792142
215.0,215.0,0.7421367
216.0,216.0,0.12479209
217.0,217.0,0.066580236
218.0,218.0,0.027455734
219.0,219.0,0.02265558
220.0,220.0,0.030455556
221.0,221.0,0.07074977
222.0,222.0,0.123382844
223.0,223.0,0.0046101543
224.0,224.0,0.0039659827
225.0,225.0,0.7225547
226.0,226.0,0.018354967
227.0,227.0,0.00886563
228.0,228.0,0.40470943
229.0,229.0,0.04915683
230.0,230.0,0.0066299015
231.0,231.0,0.15810558
232.0,232.0,0.010833679
233.0,233.0,0.24956405
234.0,234.0,0.6122189
235.0,235.0,0.5146567
236.0,236.0,0.6371754
237.0,237.0,0.0466769
238.0,238.0,0.39809555
239.0,239.0,0.0019475481
240.0,240.0,0.25699845
241.0,241.0,0.0033462427
242.0,242.0,0.43860203
243.0,243.0,0.10678812
244.0,244.0,0.20107219
245.0,245.0,0.21928184
246.0,246.0,0.4803668
247.0,247.0,0.0038743766
248.0,248.0,0.016035795
249.0,249.0,0.56426525
250.0,250.0,0.65223247
251.0,251.0,0.05954215
252.0,252.0,0.02539829
253.0,253.0,0.010703227
254.0,254.0,0.014717635
255.0,255.0,0.015853873
256.0,256.0,0.17485069
257.0,257.0,0.015335863
258.0,258.0,0.04215204
259.0,259.0,0.003077797
260.0,260.0,0.0073954593
261.0,261.0,0.12919569
262.0,262.0,0.0046733487
263.0,263.0,0.6992733
264.0,264.0,0.17134431
265.0,265.0,0.3502082
266.0,266.0,0.0073804287
267.0,267.0,0.635393
268.0,268.0,0.011468422
269.0,269.0,0.013377331
270.0,270.0,0.007522599
271.0,271.0,0.45395443
272.0,272.0,0.029332966
273.0,273.0,0.36810413
274.0,274.0,0.005167016
275.0,275.0,0.26471642
276.0,276.0,0.010096605
277.0,277.0,0.009093309
278.0,278.0,0.10428481
279.0,279.0,0.102084264
280.0,280.0,0.66612524
281.0,281.0,0.024112273
282.0,282.0,0.013137922
283.0,283.0,0.008252777
284.0,284.0,0.0070719835
285.0,285.0,0.50232923
286.0,286.0,0.46622467
287.0,287.0,0.006112507
288.0,288.0,0.22942281
289.0,289.0,0.27755523
290.0,290.0,0.0015901793
291.0,291.0,0.023218626
292.0,292.0,0.008522006
293.0,293.0,0.6335139
294.0,294.0,0.27159786
295.0,295.0,0.15585192
296.0,296.0,0.052774422
297.0,297.0,0.005006809
298.0,298.0,0.0038605183
299.0,299.0,0.00377927
300.0,300.0,0.010630016
301.0,301.0,0.33166397
302.0,302.0,0.27209583
303.0,303.0,0.04055774
304.0,304.0,0.3675708
305.0,305.0,0.0039184946
306.0,306.0,0.5128535
307.0,307.0,0.007909309
308.0,308.0,0.004428495
309.0,309.0,0.008563447
310.0,310.0,0.16351381
311.0,311.0,7.324234E-4
312.0,312.0,0.0026462409
313.0,313.0,0.19339631
314.0,314.0,0.13548434
315.0,315.0,0.050304838
316.0,316.0,0.14476459
317.0,317.0,0.6680065
318.0,318.0,0.69826746
319.0,319.0,0.019564377
320.0,320.0,0.043932695
321.0,321.0,0.0097229425
322.0,322.0,0.012326496
323.0,323.0,0.46245188
324.0,324.0,0.020112464
325.0,325.0,0.5661376
326.0,326.0,0.592414
327.0,327.0,0.357645
328.0,328.0,0.014965654
329.0,329.0,0.24039543
330.0,330.0,0.009576669
331.0,331.0,0.48456305
332.0,332.0,0.003153887
333.0,333.0,0.19477673
334.0,334.0,0.0059628417
335.0,335.0,0.27227467
336.0,336.0,0.18616031
337.0,337.0,0.27141145
338.0,338.0,0.60114056
339.0,339.0,0.5611977
340.0,340.0,0.0049459217
341.0,341.0,0.46826267
342.0,342.0,0.01990578
343.0,343.0,0.5086953
344.0,344.0,0.3619279
345.0,345.0,0.011604769
346.0,346.0,0.39224535
347.0,347.0,0.22987285
348.0,348.0,0.22616312
349.0,349.0,0.064405605
350.0,350.0,0.35214522
351.0,351.0,0.013945727
352.0,352.0,0.61782324
353.0,353.0,0.0078026555
354.0,354.0,0.033050805
355.0,355.0,0.22734053
356.0,356.0,0.062572196
357.0,357.0,0.5090383
358.0,358.0,0.014067228
359.0,359.0,0.021947037
360.0,360.0,0.40132552
361.0,361.0,0.014252368
362.0,362.0,0.014161007
363.0,363.0,0.0063955323
364.0,364.0,0.7208017
365.0,365.0,0.010482461
366.0,366.0,0.022295885
367.0,367.0,0.059955496
368.0,368.0,0.15643904
369.0,369.0,0.43418562
370.0,370.0,0.0029871976
371.0,371.0,0.46503264
372.0,372.0,0.23959771
373.0,373.0,0.13432278
374.0,374.0,0.4415455
375.0,375.0,0.018734558
376.0,376.0,0.72566503
377.0,377.0,0.3721685
378.0,378.0,0.011971406
379.0,379.0,0.36030254
380.0,380.0,0.006184742
381.0,381.0,0.008140585
382.0,382.0,0.30195767
383.0,383.0,0.05229759
384.0,384.0,0.008319102
385.0,385.0,0.0288259
386.0,386.0,0.004960191
387.0,387.0,0.010157218
388.0,388.0,0.74303365
389.0,389.0,0.10674948
390.0,390.0,0.45195487
391.0,391.0,0.00709514
392.0,392.0,0.0064232564
393.0,393.0,0.50445276
394.0,394.0,0.2907502
395.0,395.0,0.004825897
396.0,396.0,0.26205003
397.0,397.0,0.20661764
398.0,398.0,0.009341734
399.0,399.0,0.03907123
400.0,400.0,0.0040761074
401.0,401.0,0.4128653
402.0,402.0,0.1557329
403.0,403.0,0.05955725
404.0,404.0,0.01579291
405.0,405.0,0.008637488
406.0,406.0,0.057541233
407.0,407.0,0.017248856
408.0,408.0,0.003423675
409.0,409.0,0.25129622
410.0,410.0,0.11562049
411.0,411.0,0.12049571
412.0,412.0,0.31125695
