Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.48578E-8,0.000002486,0.000485286,1,0,0
2.65464E-8,0.00000514,0.000518243,0.999967779,0,0
2.84241E-8,0.000010701,0.00055489,0.999903338,0,0
3.30763E-8,0.000026908,0.000645678,0.999742235,0,0
3.72503E-8,0.000051673,0.000727129,0.99951669,0,0
4.55994E-8,0.000100469,0.000890032,0.999130043,0,0
5.95191E-8,0.000252877,0.001161567,0.998195644,0,0
7.83389E-8,0.000501292,0.001528569,0.9970357,0,0
9.48154E-8,0.001007826,0.001849767,0.995166903,0,0
1.1677E-7,0.00250001,0.002277597,0.990688233,0,0
1.46839E-7,0.005004742,0.002863243,0.98456631,0,0
1.79579E-7,0.010008061,0.003500526,0.974642351,0,0
2.68376E-7,0.025003648,0.005226928,0.952957855,0.000254691,0
3.85051E-7,0.050020429,0.007490782,0.928405722,0.000424484,0
5.29587E-7,0.10002723,0.010288069,0.893317438,0.001103659,0
7.88558E-7,0.200030201,0.015280385,0.84314989,0.001443246,0
1.09984E-6,0.300053842,0.021247855,0.808512695,0.001867731,0
1.47472E-6,0.400074759,0.028386488,0.783122825,0.002122421,0
1.99603E-6,0.500181076,0.03822706,0.764273747,0.002377112,0
2.45519E-6,0.600171261,0.04681194,0.749871117,0.002716699,0
2.88272E-6,0.70003482,0.054736487,0.737788375,0.003141183,0
3.14645E-6,0.750271358,0.059591904,0.732407527,0.003310977,0
3.4319E-6,0.800325049,0.064819204,0.727509988,0.003480771,0
3.9541E-6,0.900131136,0.074306971,0.718745972,0.003820358,0
4.57289E-6,1.000430558,0.085424953,0.7111419,0.004244843,0
5.19488E-6,1.10030715,0.096465955,0.704536667,0.004754224,0
5.78715E-6,1.20043033,0.106855443,0.698672509,0.005348502,0
6.3351E-6,1.300469624,0.116361102,0.693356103,0.006027676,0
6.79609E-6,1.400210498,0.124279765,0.688458564,0.006621954,0
7.25928E-6,1.500704582,0.132164804,0.683851012,0.006961542,0
8.26371E-6,1.750629537,0.149020465,0.673508184,0.009083963,0
9.12271E-6,2.00090061,0.163175616,0.664260858,0.011036591,0
