X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,9.87239122887327E-5,98.92575094097224,0.8545323952936202
2.0,2.0,train,2.6311702600135037E-5,10.568194761732554,0.40177835806842
3.0,3.0,train,7.564590363428074E-5,77.3905319303478,0.7717132826824121
4.0,4.0,train,2.009417100572268E-5,7.219374588252831,0.32455460016503634
5.0,5.0,train,5.512875284560977E-5,39.911811589089055,0.6592173318938305
6.0,6.0,train,3.088061839129373E-5,13.602937899761107,0.45283895267667384
7.0,7.0,train,4.386967806088817E-5,25.026306729010983,0.5754188409705153
8.0,8.0,train,9.607111840077391E-5,98.52449374576216,0.8467983452899356
9.0,9.0,train,5.363733356838099E-5,37.80031558167151,0.6491467011923844
10.0,10.0,train,7.101795775080964E-5,67.8465142363713,0.7501218974273637
11.0,11.0,train,4.903490176278969E-5,31.365174620381847,0.6161542406133144
12.0,12.0,train,1.562131160836442E-5,4.71401623127474,0.26290649410024336
13.0,13.0,train,5.3299664575029406E-5,37.337858660336366,0.6468256250735857
14.0,14.0,train,4.5810025533143535E-5,27.2956254420938,0.5912050784208389
15.0,15.0,train,5.83436624725966E-5,44.76503211895733,0.679953356979488
16.0,16.0,train,6.29396991250341E-5,52.640687516886906,0.7074255967487602
17.0,17.0,train,5.430991051702635E-5,38.64276686230164,0.6537245220055139
18.0,18.0,train,7.859443028809349E-5,83.0868929259045,0.7844859956476216
19.0,19.0,train,6.685897704001662E-5,60.12417826295349,0.72898166663305
20.0,20.0,train,5.465364155159149E-5,39.168979761017496,0.6560409767568744
21.0,21.0,train,3.39395172484155E-5,15.969132264759105,0.48456487866906606
22.0,22.0,train,7.968564417536124E-5,85.18063926224049,0.789029663590798
23.0,23.0,train,7.927623259152943E-5,84.4628726709904,0.7873362667859838
24.0,24.0,train,5.5752122046660854E-5,40.808162012554114,0.6633404170166025
25.0,25.0,train,7.047708186289822E-5,66.72049864455096,0.7474687502501587
26.0,26.0,train,3.347579349652473E-5,15.617531407550402,0.4798763002001962
27.0,27.0,train,7.616763620644025E-5,78.34515615546303,0.7740272553224641
28.0,28.0,train,7.294493150837107E-5,71.79391052938514,0.7593497097836043
29.0,29.0,train,6.134812775041887E-5,49.812404988644225,0.6981899211527385
30.0,30.0,train,6.925445606428887E-5,64.44259049217932,0.7413671561976253
31.0,31.0,train,4.652231201136383E-5,28.20225637856618,0.596851631804914
32.0,32.0,train,4.594100024746524E-5,27.472428093327775,0.5922492641166832
33.0,33.0,train,7.46817720852997E-5,75.42059329041281,0.7673746630601664
34.0,34.0,train,7.22749921657683E-5,70.33691044852077,0.7561808301943924
35.0,35.0,train,6.804495805944276E-5,62.28327337306768,0.7351860305469103
36.0,36.0,train,7.382615090559544E-5,73.53318854847535,0.763455334217813
37.0,37.0,train,6.702055861967579E-5,60.42191817946471,0.7298354458675655
38.0,38.0,train,5.565379021950881E-5,40.65130274554053,0.6626933605976613
39.0,39.0,train,7.636477672251477E-5,78.74766731521927,0.7748954883970308
