x,y,species cloglog values
1.0,1.0,0.033441782
2.0,2.0,0.62489706
3.0,3.0,0.12512995
4.0,4.0,0.4915548
5.0,5.0,0.1755841
6.0,6.0,0.7218846
7.0,7.0,0.1359899
8.0,8.0,0.43101907
9.0,9.0,0.47915396
10.0,10.0,0.13833241
11.0,11.0,0.39733472
12.0,12.0,0.11786776
13.0,13.0,0.13377737
14.0,14.0,0.643464
15.0,15.0,0.035229478
16.0,16.0,0.008774833
17.0,17.0,0.091276824
18.0,18.0,0.051270247
19.0,19.0,0.02330733
20.0,20.0,0.048027445
21.0,21.0,0.56169325
22.0,22.0,0.41908383
23.0,23.0,0.07499754
24.0,24.0,0.041141324
25.0,25.0,0.14993092
26.0,26.0,0.511926
27.0,27.0,0.6900861
28.0,28.0,0.14381269
29.0,29.0,0.41744107
30.0,30.0,0.0091105485
31.0,31.0,0.47711682
32.0,32.0,0.011349099
33.0,33.0,0.008249626
34.0,34.0,0.06759507
35.0,35.0,0.09694189
36.0,36.0,0.038747877
37.0,37.0,0.22518508
38.0,38.0,0.041957848
39.0,39.0,0.028095102
40.0,40.0,0.52780515
41.0,41.0,0.17665264
42.0,42.0,0.17077214
43.0,43.0,0.038163707
44.0,44.0,0.06514428
45.0,45.0,0.024189746
46.0,46.0,0.24169923
47.0,47.0,0.5052324
48.0,48.0,0.54943985
49.0,49.0,0.3712575
50.0,50.0,0.08686402
51.0,51.0,0.015394961
52.0,52.0,0.07967707
53.0,53.0,0.060708668
54.0,54.0,0.43359846
55.0,55.0,0.008071177
56.0,56.0,0.009053913
57.0,57.0,0.02132665
58.0,58.0,0.017903764
59.0,59.0,0.05618474
60.0,60.0,0.24044086
61.0,61.0,0.51122665
62.0,62.0,0.5999388
63.0,63.0,0.06702785
64.0,64.0,0.16699335
65.0,65.0,0.634895
66.0,66.0,0.059928723
67.0,67.0,0.4686522
68.0,68.0,0.022972386
69.0,69.0,0.07668666
70.0,70.0,0.49478748
71.0,71.0,0.051599428
72.0,72.0,0.659162
73.0,73.0,0.4946544
74.0,74.0,0.032005806
75.0,75.0,0.06849861
76.0,76.0,0.02523276
77.0,77.0,0.17772296
78.0,78.0,0.11436445
79.0,79.0,0.06508077
80.0,80.0,0.08936467
81.0,81.0,0.3593525
82.0,82.0,0.06211393
83.0,83.0,0.47248852
84.0,84.0,0.010650855
85.0,85.0,0.10448871
86.0,86.0,0.023387844
87.0,87.0,0.019582618
88.0,88.0,0.1467704
89.0,89.0,0.13326241
90.0,90.0,0.07093473
91.0,91.0,0.015505693
92.0,92.0,0.1569106
93.0,93.0,0.4813969
94.0,94.0,0.05507851
95.0,95.0,0.17325416
96.0,96.0,0.34217706
97.0,97.0,0.06327491
98.0,98.0,0.5422228
99.0,99.0,0.48835233
100.0,100.0,0.043896448
101.0,101.0,0.38855442
102.0,102.0,0.051103428
103.0,103.0,0.10872658
104.0,104.0,0.06030868
105.0,105.0,0.03475285
106.0,106.0,0.154066
107.0,107.0,0.041082397
108.0,108.0,0.5305547
109.0,109.0,0.019858552
110.0,110.0,0.35639676
111.0,111.0,0.5701694
112.0,112.0,0.22509326
113.0,113.0,0.57962346
114.0,114.0,0.5919637
115.0,115.0,0.023996739
116.0,116.0,0.19194333
117.0,117.0,0.030629413
118.0,118.0,0.01573619
119.0,119.0,0.31854364
120.0,120.0,0.60829777
121.0,121.0,0.011309691
122.0,122.0,0.048042066
123.0,123.0,0.028954469
124.0,124.0,0.052968625
125.0,125.0,0.65128386
126.0,126.0,0.06692245
127.0,127.0,0.011053841
128.0,128.0,0.056578718
129.0,129.0,0.67903554
130.0,130.0,0.4335405
131.0,131.0,0.008587886
132.0,132.0,0.035434425
133.0,133.0,0.030863825
134.0,134.0,0.01443699
135.0,135.0,0.39795417
136.0,136.0,0.058608525
137.0,137.0,0.054499626
138.0,138.0,0.05312266
139.0,139.0,0.024378922
140.0,140.0,0.6238689
141.0,141.0,0.06598058
142.0,142.0,0.7923819
143.0,143.0,0.06724684
144.0,144.0,0.030759068
145.0,145.0,0.040795323
146.0,146.0,0.124255344
147.0,147.0,0.059718397
148.0,148.0,0.37506127
149.0,149.0,0.08091562
150.0,150.0,0.5756026
151.0,151.0,0.51048094
152.0,152.0,0.060996063
153.0,153.0,0.08751461
154.0,154.0,0.5838614
155.0,155.0,0.0126041155
156.0,156.0,0.04868301
157.0,157.0,0.14380461
158.0,158.0,0.06385883
159.0,159.0,0.10290799
160.0,160.0,0.60197806
161.0,161.0,0.039813973
162.0,162.0,0.2898375
163.0,163.0,0.060383175
164.0,164.0,0.057186686
165.0,165.0,0.50596315
166.0,166.0,0.44308636
167.0,167.0,0.18946928
168.0,168.0,0.52874935
169.0,169.0,0.6901087
170.0,170.0,0.046125103
171.0,171.0,0.11019178
172.0,172.0,0.011729853
173.0,173.0,0.05255783
174.0,174.0,0.08172863
175.0,175.0,0.0703153
176.0,176.0,0.57518256
177.0,177.0,0.012326711
178.0,178.0,0.20924205
179.0,179.0,0.2233633
180.0,180.0,0.47772342
181.0,181.0,0.0305104
182.0,182.0,0.09120556
183.0,183.0,0.015226677
184.0,184.0,0.48450264
185.0,185.0,0.14285368
186.0,186.0,0.4483589
187.0,187.0,0.023223288
188.0,188.0,0.026207855
189.0,189.0,0.067836374
190.0,190.0,0.05356596
191.0,191.0,0.027789447
192.0,192.0,0.49767885
193.0,193.0,0.030514734
194.0,194.0,0.34939626
195.0,195.0,0.024543054
196.0,196.0,0.71506476
197.0,197.0,0.45729372
198.0,198.0,0.40004116
199.0,199.0,0.49739605
200.0,200.0,0.095762365
201.0,201.0,0.060484506
202.0,202.0,0.021788538
203.0,203.0,0.22042559
204.0,204.0,0.059352648
205.0,205.0,0.0354369
206.0,206.0,0.032638635
207.0,207.0,0.15141839
208.0,208.0,0.39373374
209.0,209.0,0.11856439
210.0,210.0,0.092944816
211.0,211.0,0.8037691
212.0,212.0,0.67300916
213.0,213.0,0.01130342
214.0,214.0,0.061081618
215.0,215.0,0.63174194
216.0,216.0,0.0820732
217.0,217.0,0.51439655
218.0,218.0,0.6032788
219.0,219.0,0.018060056
220.0,220.0,0.011185899
221.0,221.0,0.014139049
222.0,222.0,0.63309795
223.0,223.0,0.043494973
224.0,224.0,0.06911374
225.0,225.0,0.63613176
226.0,226.0,0.08844896
227.0,227.0,0.24603365
228.0,228.0,0.5198997
229.0,229.0,0.5544586
230.0,230.0,0.12616597
231.0,231.0,0.01330071
232.0,232.0,0.091234475
233.0,233.0,0.5156667
234.0,234.0,0.4818981
235.0,235.0,0.023495201
236.0,236.0,0.30598336
237.0,237.0,0.6232471
238.0,238.0,0.14517058
239.0,239.0,0.2349257
240.0,240.0,0.53718054
241.0,241.0,0.514126
242.0,242.0,0.5207932
243.0,243.0,0.036256094
244.0,244.0,0.088850416
245.0,245.0,0.11185544
246.0,246.0,0.4410468
247.0,247.0,0.5794089
248.0,248.0,0.020943929
249.0,249.0,0.033567075
250.0,250.0,0.48391274
251.0,251.0,0.008297317
252.0,252.0,0.05825396
253.0,253.0,0.15185718
254.0,254.0,0.030564733
255.0,255.0,0.055929407
256.0,256.0,0.008674326
257.0,257.0,0.09982026
258.0,258.0,0.010633054
259.0,259.0,0.47410446
260.0,260.0,0.41513324
261.0,261.0,0.18785189
262.0,262.0,0.025907146
263.0,263.0,0.36968789
264.0,264.0,0.4788174
265.0,265.0,0.5683569
266.0,266.0,0.017033443
267.0,267.0,0.13826704
268.0,268.0,0.050832845
269.0,269.0,0.101849265
270.0,270.0,0.17105702
271.0,271.0,0.6292464
272.0,272.0,0.008985786
273.0,273.0,0.55281776
274.0,274.0,0.15148357
275.0,275.0,0.29918563
276.0,276.0,0.09874568
277.0,277.0,0.084119186
278.0,278.0,0.54020697
279.0,279.0,0.766736
280.0,280.0,0.40505397
281.0,281.0,0.5136213
282.0,282.0,0.555905
283.0,283.0,0.44225422
284.0,284.0,0.37247404
285.0,285.0,0.006831843
286.0,286.0,0.36878407
287.0,287.0,0.0771623
288.0,288.0,0.5538253
289.0,289.0,0.0600368
290.0,290.0,0.016740253
291.0,291.0,0.6955994
292.0,292.0,0.01866843
293.0,293.0,0.015519215
294.0,294.0,0.20824948
295.0,295.0,0.37976012
296.0,296.0,0.15641497
297.0,297.0,0.41498327
298.0,298.0,0.027605275
299.0,299.0,0.099302456
300.0,300.0,0.6163942
301.0,301.0,0.034055427
302.0,302.0,0.23197858
303.0,303.0,0.34503716
304.0,304.0,0.044948485
305.0,305.0,0.5081567
306.0,306.0,0.025631811
307.0,307.0,0.4210914
308.0,308.0,0.2122047
309.0,309.0,0.14587334
310.0,310.0,0.5196958
311.0,311.0,0.10052753
312.0,312.0,0.54507446
313.0,313.0,0.010893302
314.0,314.0,0.08412244
315.0,315.0,0.12787545
316.0,316.0,0.5359837
317.0,317.0,0.48519152
318.0,318.0,0.026290353
319.0,319.0,0.4620174
320.0,320.0,0.008491695
321.0,321.0,0.4893238
322.0,322.0,0.029788869
323.0,323.0,0.08328923
324.0,324.0,0.5324157
325.0,325.0,0.08592895
326.0,326.0,0.2891546
327.0,327.0,0.12753756
328.0,328.0,0.30687618
329.0,329.0,0.0864776
330.0,330.0,0.01831365
331.0,331.0,0.05825491
332.0,332.0,0.010353298
333.0,333.0,0.057130974
334.0,334.0,0.022776386
335.0,335.0,0.37504593
336.0,336.0,0.03928769
337.0,337.0,0.083148114
338.0,338.0,0.020779036
339.0,339.0,0.056163054
340.0,340.0,0.602368
341.0,341.0,0.53689325
342.0,342.0,0.03402476
343.0,343.0,0.011917089
344.0,344.0,0.030909734
345.0,345.0,0.16985817
346.0,346.0,0.073812425
347.0,347.0,0.1876348
348.0,348.0,0.060808096
349.0,349.0,0.18181062
350.0,350.0,0.106663145
351.0,351.0,0.024854556
352.0,352.0,0.1634885
353.0,353.0,0.07291046
354.0,354.0,0.11246034
355.0,355.0,0.40587467
356.0,356.0,0.024607347
357.0,357.0,0.08454464
358.0,358.0,0.083908305
359.0,359.0,0.022840481
360.0,360.0,0.027219864
361.0,361.0,0.5850336
362.0,362.0,0.050186608
363.0,363.0,0.07652168
364.0,364.0,0.47653785
365.0,365.0,0.13889153
366.0,366.0,0.10792446
367.0,367.0,0.15496236
