Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.39158E-6,0.000139158,0.001012968,1,0,0
2.24121E-6,0.000363279,0.00163093,0.999132697,0,0
2.79688E-6,0.000642967,0.00203488,0.998265395,0,0
4.98701E-6,0.001141668,0.003625427,0.997398092,0,0
9.41281E-6,0.002583629,0.006831853,0.995663487,0,0
1.13743E-5,0.005776966,0.008249628,0.993061578,0,0
1.18427E-5,0.010435276,0.008587904,0.989592368,0,0
1.39811E-5,0.025513813,0.010130703,0.979184735,0,0
1.56175E-5,0.05109668,0.011309691,0.96444059,0,0
2.17787E-5,0.100871354,0.015736187,0.941023417,0,0
3.26456E-5,0.201820742,0.023495205,0.910667823,0,0
4.15235E-5,0.301675229,0.029788648,0.88725065,0,0
4.75315E-5,0.403935504,0.034024636,0.867302689,0.002409639,0
5.74414E-5,0.504809797,0.040971282,0.850823938,0.002409639,0
6.38383E-5,0.602227655,0.045428826,0.836947095,0.002409639,0
7.08346E-5,0.703470231,0.050280368,0.823937554,0.002409639,0
7.41315E-5,0.754172877,0.052558021,0.817866435,0.002409639,0
7.69487E-5,0.807131315,0.054499926,0.811795317,0.002409639,0
8.24126E-5,0.902789708,0.058254892,0.801387684,0.002409639,0
8.55191E-5,1.004280237,0.060383189,0.790980052,0.002409639,0
8.81443E-5,1.108503723,0.062177935,0.78057242,0.002409639,0
9.38566E-5,1.200267941,0.066071363,0.771899393,0.002409639,0
9.80069E-5,1.306292535,0.068890038,0.762359063,0.002409639,0
1.03348E-4,1.406951671,0.072504985,0.753686036,0.002409639,0
1.09998E-4,1.503001848,0.076985876,0.745880312,0.002409639,0
1.23157E-4,1.761528267,0.085789755,0.726799653,0.002409639,0
1.38217E-4,2.007623183,0.095762332,0.710320902,0.002409639,0
1.50265E-4,2.253233422,0.103661494,0.695576756,0.004819277,0
1.69557E-4,2.509660506,0.116167238,0.681699913,0.004819277,0
1.83552E-4,2.757790019,0.125130144,0.669557676,0.004819277,0
2.00703E-4,3.00716671,0.135990217,0.658282741,0.012048193,0
2.15303E-4,3.256537487,0.145128243,0.647875108,0.012048193,0
2.26153E-4,3.52184536,0.151857186,0.637467476,0.014457831,0
2.50879E-4,3.761454487,0.166993291,0.628794449,0.01686747,0
2.65111E-4,4.01825475,0.175583322,0.620121422,0.021686747,0
2.857E-4,4.266875442,0.187852691,0.612315698,0.021686747,0
3.20624E-4,4.504441851,0.20824948,0.605377277,0.028915663,0
3.35176E-4,4.76714009,0.216595885,0.598438855,0.031325301,0
3.50314E-4,5.010413711,0.225185882,0.592367736,0.031325301,0
3.66793E-4,5.262429637,0.234429124,0.586296618,0.03373494,0
3.763E-4,5.521726576,0.239711378,0.580225499,0.036144578,0
3.97322E-4,5.753257072,0.251263029,0.575021683,0.038554217,0
4.25767E-4,6.002659402,0.266614693,0.569817866,0.038554217,0
4.57034E-4,6.268664142,0.283126028,0.56461405,0.045783133,0
4.6995E-4,6.501671589,0.289838068,0.560277537,0.048192771,0
4.88143E-4,6.790847477,0.299185248,0.555073721,0.053012048,0
5.06703E-4,7.041254459,0.308594487,0.550737207,0.053012048,0
5.24163E-4,7.298327441,0.317331045,0.546400694,0.057831325,0
5.66913E-4,7.514909694,0.338258221,0.542931483,0.060240964,0
5.80552E-4,7.803394067,0.34479866,0.53859497,0.065060241,0
6.03303E-4,8.04057949,0.355565623,0.535125759,0.06746988,0
6.31761E-4,8.28584372,0.368784664,0.531656548,0.06746988,0
6.35952E-4,8.539733415,0.370708424,0.528187337,0.06746988,0
6.45449E-4,8.795855119,0.375045899,0.524718127,0.06746988,0
6.51315E-4,9.055085204,0.377710154,0.521248916,0.06746988,0
6.60012E-4,9.252136095,0.381639086,0.518647008,0.069879518,0
6.75454E-4,9.520704456,0.388554446,0.515177797,0.072289157,0
6.93718E-4,9.795795192,0.396634033,0.511708586,0.072289157,0
7.01494E-4,10.005148457,0.400041091,0.509106678,0.072289157,0
7.13014E-4,10.288446598,0.405053996,0.505637467,0.074698795,0
7.25678E-4,10.504140781,0.410515805,0.503035559,0.074698795,0
7.36476E-4,10.797322696,0.415133266,0.499566349,0.079518072,0
7.39149E-4,11.018776306,0.416270805,0.496964441,0.081927711,0
7.6671E-4,11.319269553,0.427871116,0.49349523,0.081927711,0
7.74286E-4,11.551196917,0.431019049,0.490893322,0.084337349,0
7.80384E-4,11.785020776,0.433540451,0.488291414,0.084337349,0
7.987E-4,12.021377239,0.441046451,0.485689506,0.084337349,0
8.03471E-4,12.262011843,0.442985277,0.483087598,0.084337349,0
8.06464E-4,12.503477077,0.444198103,0.48048569,0.089156627,0
8.20515E-4,12.830559462,0.449856803,0.477016479,0.089156627,0
8.22531E-4,13.077149765,0.450663879,0.474414571,0.096385542,0
8.32828E-4,13.326746925,0.454768259,0.471812663,0.098795181,0
8.39203E-4,13.577946177,0.457293791,0.469210755,0.101204819,0
8.45796E-4,13.830905971,0.459893229,0.466608846,0.103614458,0
8.47328E-4,14.000228801,0.460495743,0.464874241,0.103614458,0
8.4937E-4,14.254880467,0.461297556,0.462272333,0.106024096,0
8.52027E-4,14.510197389,0.462339049,0.459670425,0.106024096,0
8.568E-4,14.766870969,0.464204742,0.457068517,0.110843373,0
8.71462E-4,15.02658308,0.469895418,0.454466609,0.110843373,0
8.78519E-4,15.290057383,0.472613057,0.451864701,0.113253012,0
8.83384E-4,15.554672167,0.474478374,0.449262793,0.113253012,0
8.9189E-4,15.821768214,0.477723664,0.446660885,0.113253012,0
8.9387E-4,16.000540811,0.478476509,0.444926279,0.115662651,0
9.01581E-4,16.269741185,0.481396863,0.442324371,0.118072289,0
9.04414E-4,16.540830407,0.482465927,0.439722463,0.118072289,0
9.11665E-4,16.813805503,0.485191611,0.437120555,0.118072289,0
9.15266E-4,17.088188903,0.486540218,0.434518647,0.118072289,0
9.20729E-4,17.272273864,0.48857908,0.432784042,0.118072289,0
9.24674E-4,17.549166495,0.490046134,0.430182134,0.120481928,0
9.28742E-4,17.827479122,0.491554853,0.427580225,0.120481928,0
9.30931E-4,18.013578706,0.492364847,0.42584562,0.122891566,0
9.37138E-4,18.29429509,0.4946543,0.423243712,0.125301205,0
9.4538E-4,18.577043876,0.49767882,0.420641804,0.125301205,0
9.6174E-4,18.768535068,0.503628208,0.418907199,0.127710843,0
9.68214E-4,19.058646663,0.505963148,0.416305291,0.13253012,0
9.73462E-4,19.253268757,0.507847694,0.414570685,0.13253012,0
9.80622E-4,19.546819099,0.510407549,0.411968777,0.134939759,0
9.84887E-4,19.841682676,0.511925872,0.409366869,0.137349398,0
9.9109E-4,20.039758191,0.514125965,0.407632264,0.137349398,0
9.95451E-4,20.337663604,0.515666694,0.405030356,0.139759036,0
9.95871E-4,20.536821448,0.515814731,0.40329575,0.142168675,0
9.99777E-4,20.836041643,0.517190014,0.400693842,0.144578313,0
1.00692E-3,21.037410099,0.519695788,0.398959237,0.14939759,0
1.01282E-3,21.340448531,0.521753845,0.396357329,0.14939759,0
1.01961E-3,21.544255012,0.524112695,0.394622723,0.151807229,0
1.02439E-3,21.851038741,0.525765929,0.392020815,0.159036145,0
1.03305E-3,22.057373996,0.528749304,0.39028621,0.159036145,0
1.03511E-3,22.264385837,0.529455085,0.388551605,0.159036145,0
1.04377E-3,22.576254298,0.532415606,0.385949696,0.163855422,0
1.0517E-3,22.786273481,0.535107215,0.384215091,0.16626506,0
1.05429E-3,23.102435626,0.535983595,0.381613183,0.168674699,0
1.05784E-3,23.313918057,0.537180432,0.379878578,0.168674699,0
1.07254E-3,23.527856877,0.54211005,0.378143972,0.168674699,0
1.08292E-3,23.851582604,0.545556851,0.375542064,0.168674699,0
1.09222E-3,24.069674898,0.548624153,0.373807459,0.171084337,0
1.095E-3,24.288644703,0.549538185,0.372072853,0.171084337,0
1.09888E-3,24.50812234,0.550811213,0.370338248,0.173493976,0
1.10556E-3,24.839222001,0.552988649,0.36773634,0.175903614,0
1.10688E-3,25.060574839,0.553418283,0.366001735,0.178313253,0
1.11008E-3,25.282395777,0.554458765,0.364267129,0.180722892,0
1.11318E-3,25.504955082,0.555463542,0.362532524,0.180722892,0
1.1156E-3,25.839489997,0.556247704,0.359930616,0.185542169,0
1.12474E-3,26.063659443,0.559191053,0.35819601,0.190361446,0
1.12971E-3,26.289218027,0.56078335,0.356461405,0.195180723,0
1.13256E-3,26.515725754,0.561693267,0.3547268,0.197590361,0
1.13798E-3,26.856746852,0.563419455,0.352124892,0.202409639,0
1.14633E-3,27.085274522,0.566068552,0.350390286,0.207228916,0
1.15294E-3,27.31535967,0.568150174,0.348655681,0.212048193,0
1.15359E-3,27.546071353,0.568356986,0.346921075,0.214457831,0
1.15743E-3,27.777217233,0.569561401,0.34518647,0.21686747,0
1.15937E-3,28.008942655,0.570169519,0.343451865,0.219277108,0
1.16471E-3,28.35796619,0.571837618,0.340849957,0.224096386,0
1.17153E-3,28.591817796,0.573958574,0.339115351,0.226506024,0
1.17548E-3,28.826897009,0.575182543,0.337380746,0.231325301,0
1.17985E-3,29.062565948,0.576532839,0.335646141,0.231325301,0
1.18216E-3,29.298804397,0.577245263,0.333911535,0.23373494,0
1.18443E-3,29.53546728,0.577942179,0.33217693,0.236144578,0
1.18741E-3,29.772784009,0.578858741,0.330442324,0.240963855,0
1.18978E-3,30.010682878,0.579584111,0.328707719,0.243373494,0
1.19245E-3,30.367957893,0.580401385,0.326105811,0.245783133,0
1.19932E-3,30.607537508,0.582494225,0.324371206,0.248192771,0
1.2029E-3,30.847915356,0.58358077,0.3226366,0.253012048,0
1.20437E-3,31.088733997,0.584026103,0.320901995,0.255421687,0
1.2077E-3,31.330248046,0.58503371,0.319167389,0.260240964,0
1.21254E-3,31.57248196,0.586496647,0.317432784,0.262650602,0
1.21574E-3,31.81538791,0.587457141,0.315698179,0.26746988,0
1.22707E-3,32.060427925,0.590847572,0.313963573,0.272289157,0
1.23076E-3,32.306514237,0.591945189,0.312228968,0.274698795,0
1.23295E-3,32.552891365,0.592597045,0.310494363,0.277108434,0
1.2388E-3,32.800474654,0.594327618,0.308759757,0.281927711,0
1.24596E-3,33.049642543,0.596436972,0.307025152,0.284337349,0
1.25677E-3,33.300753356,0.599604453,0.305290546,0.284337349,0
1.26142E-3,33.552687145,0.600955757,0.303555941,0.286746988,0
1.26518E-3,33.805698986,0.602047821,0.301821336,0.289156627,0
1.26943E-3,34.059270635,0.603278522,0.30008673,0.291566265,0
1.27207E-3,34.313473677,0.604040458,0.298352125,0.291566265,0
1.27592E-3,34.568316803,0.605148776,0.29661752,0.293975904,0
1.28102E-3,34.824215931,0.606612682,0.294882914,0.298795181,0
1.28258E-3,35.080627031,0.607058558,0.293148309,0.303614458,0
1.28849E-3,35.33816735,0.608746383,0.291413703,0.306024096,0
1.29875E-3,35.597205279,0.611658527,0.289679098,0.310843373,0
1.3019E-3,35.857368556,0.612549311,0.287944493,0.315662651,0
1.30439E-3,36.118023486,0.613251078,0.286209887,0.320481928,0
1.31184E-3,36.380246534,0.615344592,0.284475282,0.322891566,0
1.31311E-3,36.51155777,0.615700404,0.283607979,0.325301205,0
1.31559E-3,36.774477835,0.616394315,0.281873374,0.330120482,0
1.32066E-3,37.038414925,0.617807467,0.280138768,0.33253012,0
1.33466E-3,37.304285431,0.621685526,0.278404163,0.337349398,0
1.33564E-3,37.57133859,0.621955404,0.276669558,0.342168675,0
1.34034E-3,37.838959768,0.623247249,0.274934952,0.346987952,0
1.34261E-3,38.107372187,0.623869014,0.273200347,0.346987952,0
1.34453E-3,38.3762323,0.624393923,0.271465742,0.34939759,0
1.34637E-3,38.51086938,0.624897057,0.270598439,0.351807229,0
1.35594E-3,38.781561014,0.62750137,0.268863833,0.354216867,0
1.36239E-3,39.053420318,0.629246517,0.267129228,0.356626506,0
1.36804E-3,39.326497853,0.630771076,0.265394623,0.356626506,0
1.37166E-3,39.600794394,0.631742031,0.263660017,0.359036145,0
1.37367E-3,39.875500825,0.632280498,0.261925412,0.359036145,0
1.37503E-3,40.013003687,0.632644822,0.261058109,0.359036145,0
1.37671E-3,40.288220839,0.633095577,0.259323504,0.363855422,0
1.37764E-3,40.563657368,0.633343438,0.257588899,0.36626506,0
1.37869E-3,40.839332685,0.633624302,0.255854293,0.371084337,0
1.38028E-3,41.115270028,0.634046707,0.254119688,0.373493976,0
1.38347E-3,41.253616573,0.634895116,0.253252385,0.373493976,0
1.39048E-3,41.531476956,0.636755345,0.25151778,0.373493976,0
1.40153E-3,41.810728211,0.639666708,0.249783174,0.375903614,0
1.4212E-3,42.094455981,0.644793003,0.248048569,0.375903614,0
1.42393E-3,42.37900971,0.645497524,0.246313964,0.380722892,0
1.42414E-3,42.521423934,0.645552593,0.245446661,0.38313253,0
1.42723E-3,42.806697135,0.646349264,0.243712056,0.385542169,0
1.42906E-3,43.0924409,0.646820391,0.24197745,0.387951807,0
1.44653E-3,43.380014603,0.651283907,0.240242845,0.392771084,0
1.45406E-3,43.52542027,0.653191259,0.239375542,0.392771084,0
1.45946E-3,43.817109892,0.65455262,0.237640937,0.397590361,0
1.4779E-3,44.11097569,0.659161971,0.235906331,0.402409639,0
1.50046E-3,44.261021586,0.664715675,0.235039029,0.402409639,0
1.51601E-3,44.564100933,0.668492336,0.233304423,0.407228916,0
1.52688E-3,44.868793336,0.671106683,0.231569818,0.409638554,0
1.52903E-3,45.021696086,0.671619634,0.230702515,0.412048193,0
1.53485E-3,45.328183871,0.673009302,0.22896791,0.41686747,0
1.53953E-3,45.636047914,0.674122042,0.227233304,0.419277108,0
1.5439E-3,45.790437418,0.67515614,0.226366002,0.421686747,0
1.54861E-3,46.099983986,0.6762698,0.224631396,0.424096386,0
1.54905E-3,46.254889194,0.676373914,0.223764094,0.426506024,0
1.55664E-3,46.565782771,0.678157749,0.222029488,0.431325301,0
1.55683E-3,46.877134975,0.678202869,0.220294883,0.43373494,0
1.56039E-3,47.033174135,0.679035577,0.21942758,0.43373494,0
1.57295E-3,47.34702872,0.681956801,0.217692975,0.436144578,0
1.57434E-3,47.504463018,0.682280296,0.216825672,0.438554217,0
1.60832E-3,47.824419609,0.69004674,0.215091067,0.443373494,0
1.6086E-3,48.146129328,0.690108814,0.213356461,0.445783133,0
1.61118E-3,48.307247118,0.690690349,0.212489159,0.445783133,0
1.63314E-3,48.631798338,0.695599368,0.210754553,0.45060241,0
1.65493E-3,48.797291631,0.700391589,0.209887251,0.45060241,0
