X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,0.0014574391016572423,43.70794784131492,0.6540445385766096
2.0,2.0,train,0.0019687033438249356,63.81414174132748,0.7615978430991592
3.0,3.0,train,0.0022977144640740944,84.40727059422159,0.8123943950631869
4.0,4.0,train,0.002249900883967061,80.76049824008173,0.805746444611584
5.0,5.0,train,0.0023294985533839556,86.94542690361516,0.816687246793013
6.0,6.0,train,0.0017177786895064898,52.05019905243793,0.713795643391576
7.0,7.0,train,0.002269171220752632,82.34265431526752,0.8084536516535377
8.0,8.0,train,0.0023287915231869735,86.48157238719146,0.8165928299145786
9.0,9.0,train,0.0011354454479752842,26.697275317976622,0.562613900494259
10.0,10.0,train,5.797541740027886E-4,7.786518905142925,0.3444180190634104
11.0,11.0,train,0.0018909196626340414,59.38101609967276,0.747702630710279
12.0,12.0,train,0.00222041478053787,78.82296363664422,0.8015298191616153
13.0,13.0,train,0.0021702573147053907,75.66737734397597,0.7941457724453371
14.0,14.0,train,8.217458378888546E-4,12.981111390549865,0.45034978404664316
15.0,15.0,train,0.0012916327995439716,35.41751474621175,0.60964136214932
16.0,16.0,train,0.0018985087291970156,60.13906420024038,0.7490932511954208
17.0,17.0,train,0.002443501705293124,91.64779185162695,0.8312926036561175
18.0,18.0,train,0.001213322071890306,31.631847558588454,0.5867308018638053
19.0,19.0,train,0.0021454500519311305,73.86873408797192,0.7903928039528798
20.0,20.0,train,0.0011540282445820253,27.57245115236653,0.5684934997024009
21.0,21.0,train,2.552487734382156E-4,3.840302081729074,0.16964033433759762
22.0,22.0,train,0.0011066511368662197,25.022196426745577,0.5533447370092774
23.0,23.0,train,0.001879683331710563,58.43755082785065,0.7456295193825175
24.0,24.0,train,3.662316309357879E-4,5.253844532045502,0.23411601141245797
25.0,25.0,train,0.0017413485080751145,53.38479468069112,0.7186666361796441
26.0,26.0,train,0.001124742051646675,26.06375255497563,0.5591910528336539
27.0,27.0,train,0.0020229764207154344,66.61094150088718,0.7708373104683726
28.0,28.0,train,0.0019638820215119603,63.42028605970703,0.7607592597728132
