x,y,species cloglog values
1.0,1.0,0.31323308
2.0,2.0,0.5432175
3.0,3.0,0.0051128264
4.0,4.0,0.30283675
5.0,5.0,0.27143484
6.0,6.0,0.7047848
7.0,7.0,0.7014596
8.0,8.0,0.18549693
9.0,9.0,0.7611889
10.0,10.0,0.016585352
11.0,11.0,0.0026861862
12.0,12.0,0.014503176
13.0,13.0,0.02300888
14.0,14.0,0.30514088
15.0,15.0,0.06794337
16.0,16.0,0.106777795
17.0,17.0,0.011787002
18.0,18.0,0.012230422
19.0,19.0,0.0045191096
20.0,20.0,0.006073835
21.0,21.0,0.020773062
22.0,22.0,0.006153382
23.0,23.0,0.037502978
24.0,24.0,0.094281904
25.0,25.0,0.20280357
26.0,26.0,0.0065895743
27.0,27.0,0.0070665847
28.0,28.0,0.0037808698
29.0,29.0,0.0027407818
30.0,30.0,0.03308175
31.0,31.0,0.24097836
32.0,32.0,0.45218074
33.0,33.0,0.0364385
34.0,34.0,0.007304791
35.0,35.0,0.02348809
36.0,36.0,0.012714518
37.0,37.0,0.022275552
38.0,38.0,0.015490806
39.0,39.0,0.016709901
40.0,40.0,0.37651497
41.0,41.0,0.009820122
42.0,42.0,0.0036538858
43.0,43.0,0.010061097
44.0,44.0,0.3062264
45.0,45.0,0.011308078
46.0,46.0,0.044405807
47.0,47.0,0.045570605
48.0,48.0,0.0030294694
49.0,49.0,0.0036483665
50.0,50.0,0.009083008
51.0,51.0,0.3077526
52.0,52.0,0.7175935
53.0,53.0,0.687247
54.0,54.0,0.014298294
55.0,55.0,0.16374044
56.0,56.0,0.037292838
57.0,57.0,0.01245325
58.0,58.0,0.0038589607
59.0,59.0,0.49708295
60.0,60.0,0.03757301
61.0,61.0,0.018816696
62.0,62.0,0.008900786
63.0,63.0,0.010664045
64.0,64.0,0.016648518
65.0,65.0,0.017038206
66.0,66.0,0.032451846
67.0,67.0,0.018637154
68.0,68.0,0.0059851618
69.0,69.0,0.0073653557
70.0,70.0,0.06311546
71.0,71.0,0.0073855305
72.0,72.0,0.19942833
73.0,73.0,0.020591054
74.0,74.0,0.4603948
75.0,75.0,0.0035898904
76.0,76.0,0.2036928
77.0,77.0,0.0030736108
78.0,78.0,0.010815133
79.0,79.0,0.0048505217
80.0,80.0,0.3520347
81.0,81.0,0.4474863
82.0,82.0,0.13013564
83.0,83.0,0.008189626
84.0,84.0,0.4282136
85.0,85.0,0.0074582743
86.0,86.0,0.0105397375
87.0,87.0,0.003917812
88.0,88.0,0.004345246
89.0,89.0,0.045524023
90.0,90.0,0.30349505
91.0,91.0,0.1229209
92.0,92.0,0.11839635
93.0,93.0,0.005707696
94.0,94.0,0.24889581
95.0,95.0,0.059488896
96.0,96.0,0.6191141
97.0,97.0,0.0087280385
98.0,98.0,0.00951862
99.0,99.0,0.19651191
100.0,100.0,0.4229186
101.0,101.0,0.0034231103
102.0,102.0,0.0098153455
103.0,103.0,0.013109407
104.0,104.0,0.6482621
105.0,105.0,0.01153505
106.0,106.0,0.19894548
107.0,107.0,0.0074753137
108.0,108.0,0.012740209
109.0,109.0,0.10930682
110.0,110.0,0.23152201
111.0,111.0,0.083261445
112.0,112.0,0.010332175
113.0,113.0,0.038652327
114.0,114.0,0.036606308
115.0,115.0,0.18897732
116.0,116.0,0.019800285
117.0,117.0,0.067113906
118.0,118.0,0.09093649
119.0,119.0,0.19784778
120.0,120.0,0.010908511
121.0,121.0,0.42850602
122.0,122.0,0.014535628
123.0,123.0,0.012370371
124.0,124.0,0.006328193
125.0,125.0,0.002512855
126.0,126.0,0.47417498
127.0,127.0,0.0036342153
128.0,128.0,0.35585704
129.0,129.0,0.013118481
130.0,130.0,0.038597893
131.0,131.0,0.039124653
132.0,132.0,0.009266435
133.0,133.0,0.006938085
134.0,134.0,0.05713147
135.0,135.0,0.055708822
136.0,136.0,0.006490626
137.0,137.0,0.0055312365
138.0,138.0,0.2216642
139.0,139.0,0.014643269
140.0,140.0,0.72272646
141.0,141.0,0.014574472
142.0,142.0,0.6173524
143.0,143.0,0.020000141
144.0,144.0,0.0049717217
145.0,145.0,0.074112974
146.0,146.0,0.4015613
147.0,147.0,0.5170229
148.0,148.0,0.0035482657
149.0,149.0,0.22163181
150.0,150.0,0.007198739
151.0,151.0,0.041526385
152.0,152.0,0.003852459
153.0,153.0,0.006928281
154.0,154.0,0.06537305
155.0,155.0,0.005935298
156.0,156.0,0.007092046
157.0,157.0,0.04713848
158.0,158.0,0.0037820458
159.0,159.0,0.4861522
160.0,160.0,0.035162415
161.0,161.0,0.009696556
162.0,162.0,0.62664497
163.0,163.0,0.015129898
164.0,164.0,0.30933774
165.0,165.0,0.010249769
166.0,166.0,0.015575119
167.0,167.0,0.0124992
168.0,168.0,0.76217026
169.0,169.0,0.26156923
170.0,170.0,0.014669494
171.0,171.0,0.34008574
172.0,172.0,0.0065930495
173.0,173.0,0.6135438
174.0,174.0,0.21143112
175.0,175.0,0.14135854
176.0,176.0,0.003944261
177.0,177.0,0.003894726
178.0,178.0,0.0062702917
179.0,179.0,0.0562096
180.0,180.0,0.0044092946
181.0,181.0,0.0142323235
182.0,182.0,0.0018563025
183.0,183.0,0.006628796
184.0,184.0,0.40057218
185.0,185.0,0.01559909
186.0,186.0,0.0038510328
187.0,187.0,0.005744496
188.0,188.0,0.18368018
189.0,189.0,0.018452462
190.0,190.0,0.005632576
191.0,191.0,0.012309034
192.0,192.0,0.4401785
193.0,193.0,0.038847066
194.0,194.0,0.004144072
195.0,195.0,0.04044923
196.0,196.0,0.022480274
197.0,197.0,0.29483083
198.0,198.0,0.007937687
199.0,199.0,0.003418989
200.0,200.0,0.0074571245
201.0,201.0,0.25270456
202.0,202.0,0.004962996
203.0,203.0,0.66170394
204.0,204.0,0.009774712
205.0,205.0,0.23542112
206.0,206.0,0.04396666
207.0,207.0,0.47328258
208.0,208.0,0.009963136
209.0,209.0,0.035416182
210.0,210.0,0.00850902
211.0,211.0,0.040445156
212.0,212.0,0.6471457
213.0,213.0,0.17230074
214.0,214.0,0.5377547
215.0,215.0,0.004008132
216.0,216.0,0.0072304895
217.0,217.0,0.060168963
218.0,218.0,0.06795617
219.0,219.0,0.28433478
220.0,220.0,0.5894677
221.0,221.0,0.044252485
222.0,222.0,0.069668755
223.0,223.0,0.6357068
224.0,224.0,0.25044444
225.0,225.0,0.026300231
226.0,226.0,0.024342526
227.0,227.0,0.028977992
228.0,228.0,0.015117385
229.0,229.0,0.34840623
230.0,230.0,0.53180516
231.0,231.0,0.006276589
232.0,232.0,0.0051221657
233.0,233.0,0.07884981
234.0,234.0,0.20361353
235.0,235.0,0.28770566
236.0,236.0,0.0041479613
237.0,237.0,0.022446027
238.0,238.0,0.23749332
239.0,239.0,0.1335127
240.0,240.0,0.05053623
241.0,241.0,0.0051876246
242.0,242.0,0.0036720058
243.0,243.0,0.009760764
244.0,244.0,0.0050912355
245.0,245.0,0.003448241
246.0,246.0,0.4885564
247.0,247.0,0.0022995067
248.0,248.0,0.010040654
249.0,249.0,0.0035203723
250.0,250.0,0.37507376
251.0,251.0,0.009831524
252.0,252.0,0.0056866636
253.0,253.0,0.07604128
254.0,254.0,0.029326834
255.0,255.0,0.16515753
256.0,256.0,0.40290552
257.0,257.0,0.03984863
258.0,258.0,0.28905338
259.0,259.0,0.059810538
260.0,260.0,0.56840765
261.0,261.0,0.0038794735
262.0,262.0,0.4753226
263.0,263.0,0.005567467
264.0,264.0,0.043910287
265.0,265.0,0.29118466
266.0,266.0,0.3798123
267.0,267.0,0.0055671963
268.0,268.0,0.5746799
269.0,269.0,0.34630305
270.0,270.0,0.16669086
271.0,271.0,0.17162843
272.0,272.0,0.005129892
273.0,273.0,0.09722973
274.0,274.0,0.11974198
275.0,275.0,0.009100476
276.0,276.0,0.39421037
277.0,277.0,0.06072395
278.0,278.0,0.07785329
279.0,279.0,0.32643035
280.0,280.0,0.02141875
281.0,281.0,0.010180209
282.0,282.0,0.66029936
283.0,283.0,0.6767256
284.0,284.0,0.013123843
285.0,285.0,0.35519245
286.0,286.0,0.0038156386
287.0,287.0,0.010185663
288.0,288.0,0.049023107
289.0,289.0,0.39824304
290.0,290.0,0.4675396
291.0,291.0,0.003521379
292.0,292.0,0.71979356
293.0,293.0,0.4478721
294.0,294.0,0.2925611
295.0,295.0,0.20885994
296.0,296.0,0.16319878
297.0,297.0,0.39913365
298.0,298.0,0.0024982968
299.0,299.0,0.5252353
300.0,300.0,0.0022696385
301.0,301.0,0.63041294
302.0,302.0,0.067405775
303.0,303.0,0.009327062
304.0,304.0,0.0042956206
305.0,305.0,0.37157908
306.0,306.0,0.005836203
307.0,307.0,0.1231285
308.0,308.0,0.30791607
309.0,309.0,0.0010372688
310.0,310.0,0.15424009
311.0,311.0,0.00419662
312.0,312.0,0.28231412
313.0,313.0,0.07690637
314.0,314.0,0.011756042
315.0,315.0,0.032856923
316.0,316.0,0.012607247
317.0,317.0,0.044557944
318.0,318.0,0.039259702
319.0,319.0,0.68953717
320.0,320.0,0.0092614405
321.0,321.0,0.12588547
322.0,322.0,0.0042237453
323.0,323.0,0.58607626
324.0,324.0,0.009052876
325.0,325.0,0.7371355
326.0,326.0,0.0071712793
327.0,327.0,0.6781305
328.0,328.0,0.0055971034
329.0,329.0,0.26397175
330.0,330.0,0.0100552635
331.0,331.0,0.007049524
332.0,332.0,0.09640767
333.0,333.0,0.208963
334.0,334.0,0.014674082
335.0,335.0,0.0908522
336.0,336.0,0.4570394
337.0,337.0,0.0069913715
338.0,338.0,0.6727189
339.0,339.0,0.11704911
340.0,340.0,0.019360136
341.0,341.0,0.1538758
342.0,342.0,0.035888486
343.0,343.0,0.005121824
344.0,344.0,0.02812205
345.0,345.0,0.12555686
346.0,346.0,0.18789575
347.0,347.0,0.015929034
348.0,348.0,0.01041458
349.0,349.0,0.013066813
350.0,350.0,0.001414835
351.0,351.0,0.66217875
352.0,352.0,0.13778178
353.0,353.0,0.002688191
354.0,354.0,0.31717592
355.0,355.0,0.082093455
356.0,356.0,0.5467988
357.0,357.0,0.0042209397
358.0,358.0,0.012085329
359.0,359.0,0.0027666162
360.0,360.0,0.18576975
361.0,361.0,0.007847062
362.0,362.0,0.011107098
363.0,363.0,0.21670723
364.0,364.0,0.004423638
365.0,365.0,0.09947954
366.0,366.0,0.004352175
367.0,367.0,0.60623145
368.0,368.0,0.24027887
369.0,369.0,0.39930677
370.0,370.0,0.012245499
371.0,371.0,0.011717507
372.0,372.0,0.66483825
373.0,373.0,0.00919192
374.0,374.0,0.05654515
375.0,375.0,0.002413463
376.0,376.0,0.0034781036
377.0,377.0,0.34608126
378.0,378.0,0.25481066
379.0,379.0,0.21444486
380.0,380.0,0.30341613
381.0,381.0,0.0040225238
