Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
4.71715E-7,0.000047171,0.000829892,1,0,0
4.95535E-7,0.000096725,0.000871781,0.999687695,0,0
5.38643E-7,0.000150589,0.000947585,0.99937539,0,0
5.61909E-7,0.000262433,0.000988493,0.998750781,0,0
8.04434E-7,0.000537231,0.001414835,0.997501562,0,0
1.10496E-6,0.00102468,0.001942883,0.995940037,0,0
1.32159E-6,0.002531893,0.002323346,0.99219238,0,0
1.4422E-6,0.005040568,0.002535107,0.986570893,0,0
1.82335E-6,0.010141271,0.003204032,0.976889444,0,0
2.16439E-6,0.025173583,0.003802173,0.953466583,0.000852515,0
2.53222E-6,0.050037365,0.004446898,0.920362274,0.000852515,0
3.58134E-6,0.100217263,0.006283474,0.867582761,0.000852515,0
5.81372E-6,0.200556405,0.010180207,0.800437227,0.00170503,0
7.68884E-6,0.300000808,0.013441518,0.75452842,0.002557545,0
1.06271E-5,0.40071239,0.018530328,0.719862586,0.00341006,0
1.5314E-5,0.500099187,0.02659325,0.695190506,0.004262575,0
2.04292E-5,0.601008477,0.035317413,0.677389132,0.00511509,0
2.36144E-5,0.700255722,0.040710348,0.663335415,0.00511509,0
2.57954E-5,0.752399531,0.044385688,0.656777014,0.00511509,0
2.84903E-5,0.800890119,0.048907604,0.651155528,0.00511509,0
3.33414E-5,0.902966472,0.056993553,0.640849469,0.005967604,0
3.67356E-5,1.001432434,0.062610222,0.632104934,0.005967604,0
3.99851E-5,1.101590496,0.067956157,0.623985009,0.006820119,0
4.51511E-5,1.203631166,0.076392267,0.616489694,0.007672634,0
4.88177E-5,1.302605742,0.082333435,0.609931293,0.009377664,0
5.27957E-5,1.403594662,0.088735967,0.603685197,0.009377664,0
5.89659E-5,1.504549469,0.098578562,0.59806371,0.009377664,0
6.98167E-5,1.754587569,0.11563035,0.585883823,0.009377664,0
8.06325E-5,2.00257427,0.132306173,0.575577764,0.011935209,0
8.75261E-5,2.254288024,0.142770429,0.56620862,0.014492754,0
9.94593E-5,2.507419378,0.160586966,0.55777639,0.020460358,0
1.0857E-4,2.758031875,0.173940063,0.550281074,0.021312873,0
1.18444E-4,3.007072082,0.188171007,0.543410369,0.024722933,0
1.27628E-4,3.254657727,0.201187997,0.537164272,0.026427962,0
1.3496E-4,3.50368507,0.211431027,0.531230481,0.029838022,0
1.42382E-4,3.752291044,0.221664194,0.525608994,0.033248082,0
1.52842E-4,4.003946219,0.235862707,0.520299813,0.037510656,0
1.60613E-4,4.255364991,0.246243218,0.515302936,0.040068201,0
1.65218E-4,4.500534253,0.252327962,0.510618364,0.042625746,0
1.74136E-4,4.755382065,0.263971606,0.505933791,0.046035806,0
1.79927E-4,5.002699139,0.271434943,0.501561524,0.04859335,0
1.88475E-4,5.260179152,0.28231411,0.497189257,0.049445865,0
1.93973E-4,5.509500465,0.289225894,0.493129294,0.05200341,0
2.01922E-4,5.767384006,0.299101131,0.489069332,0.05370844,0
2.05431E-4,6.012197531,0.303416171,0.485321674,0.054560955,0
2.11138E-4,6.261631134,0.310377299,0.481574016,0.054560955,0
2.15178E-4,6.517377264,0.315263613,0.477826359,0.059676044,0
2.2452E-4,6.759501202,0.326430385,0.474391006,0.063938619,0
2.36157E-4,7.013105262,0.340085736,0.470955653,0.066496164,0
2.4028E-4,7.251455883,0.344857237,0.467832605,0.067348679,0
2.48936E-4,7.520176034,0.354762506,0.464397252,0.068201194,0
2.54701E-4,7.77273277,0.361276525,0.461274204,0.069906223,0
2.61494E-4,8.005458606,0.368868148,0.45846346,0.073316283,0
2.6554E-4,8.268704128,0.373346387,0.455340412,0.074168798,0
2.68334E-4,8.508987568,0.376419768,0.452529669,0.074168798,0
2.71476E-4,8.751850329,0.379859438,0.449718926,0.076726343,0
2.78735E-4,9.027196973,0.387731312,0.446595878,0.079283887,0
2.82889E-4,9.251992609,0.392191832,0.444097439,0.080988917,0
2.86556E-4,9.508101361,0.396101894,0.441286696,0.084398977,0
2.90777E-4,9.768128805,0.400571983,0.438475953,0.086104007,0
2.948E-4,10.002285622,0.404801125,0.435977514,0.086104007,0
2.99811E-4,10.270809262,0.41002747,0.433166771,0.089514066,0
3.05032E-4,10.513047128,0.41542399,0.430668332,0.092071611,0
3.08243E-4,10.758678946,0.418718923,0.428169894,0.095481671,0
3.10086E-4,11.006121961,0.420600809,0.425671455,0.098039216,0
3.13487E-4,11.255944921,0.424059181,0.423173017,0.101449275,0
3.15193E-4,11.50759138,0.425785534,0.420674578,0.103154305,0
3.17601E-4,11.760876545,0.428213551,0.41817614,0.10571185,0
3.21471E-4,12.016401429,0.432094977,0.415677701,0.108269395,0
3.25398E-4,12.275269339,0.436006901,0.413179263,0.110826939,0
3.27642E-4,12.503774539,0.438230303,0.410993129,0.114236999,0
3.32927E-4,12.767634469,0.443431306,0.408494691,0.115942029,0
3.37478E-4,13.002968911,0.447872071,0.406308557,0.115942029,0
3.43713E-4,13.276019003,0.453897705,0.403810119,0.116794544,0
3.46614E-4,13.517544578,0.456678747,0.401623985,0.118499574,0
3.50806E-4,13.761995112,0.46067282,0.399437851,0.121909633,0
3.55866E-4,14.009918245,0.465454547,0.397251718,0.123614663,0
3.61583E-4,14.261570064,0.470805931,0.395065584,0.127024723,0
3.64161E-4,14.515655117,0.473201515,0.39287945,0.129582268,0
3.66453E-4,14.771325599,0.475322558,0.390693317,0.132992327,0
3.73018E-4,15.030458015,0.481350588,0.388507183,0.135549872,0
3.7595E-4,15.255645539,0.4840195,0.386633354,0.138959932,0
3.78303E-4,15.51987018,0.486152249,0.38444722,0.139812447,0
3.81819E-4,15.78618138,0.489322548,0.382261087,0.141517477,0
3.85299E-4,16.016428618,0.492440374,0.380387258,0.144075021,0
3.90519E-4,16.288170742,0.497082687,0.378201124,0.144927536,0
3.93494E-4,16.523520293,0.499708968,0.376327295,0.147485081,0
3.9478E-4,16.760022207,0.500840462,0.374453467,0.150042626,0
4.01722E-4,17.03862727,0.506901911,0.372267333,0.151747656,0
4.06716E-4,17.281466956,0.511217226,0.370393504,0.1543052,0
4.11128E-4,17.5269398,0.51499812,0.368519675,0.15601023,0
4.15097E-4,17.775108587,0.518373987,0.366645846,0.15771526,0
4.19933E-4,18.02598802,0.522456331,0.364772017,0.160272805,0
4.26241E-4,18.280164036,0.527728787,0.362898189,0.161977835,0
4.29539E-4,18.537025207,0.530461836,0.36102436,0.164535379,0
4.33062E-4,18.752953734,0.533364224,0.359462836,0.167092924,0
4.41434E-4,19.01588919,0.540190256,0.357589007,0.169650469,0
4.45538E-4,19.28269464,0.543498834,0.355715178,0.171355499,0
4.53517E-4,19.507841373,0.549865229,0.354153654,0.173060529,0
4.60107E-4,19.782890364,0.555055729,0.352279825,0.177323103,0
4.6463E-4,20.013769553,0.558583705,0.350718301,0.179880648,0
4.71568E-4,20.29562079,0.56394134,0.348844472,0.183290708,0
4.75565E-4,20.532523585,0.566998194,0.347282948,0.187553282,0
4.77417E-4,20.770855584,0.568407689,0.345721424,0.190110827,0
4.80495E-4,21.010627778,0.570739299,0.3441599,0.192668372,0
4.85735E-4,21.251938614,0.574679892,0.342598376,0.196078431,0
4.90311E-4,21.545085072,0.578091609,0.340724547,0.199488491,0
4.9635E-4,21.792416975,0.582552291,0.339163023,0.201193521,0
4.99768E-4,22.04161433,0.585056231,0.337601499,0.204603581,0
5.03545E-4,22.292695376,0.587804997,0.336039975,0.207161125,0
5.08531E-4,22.546254867,0.591407056,0.334478451,0.208866155,0
5.11575E-4,22.750356736,0.593590186,0.333229232,0.20971867,0
5.15706E-4,23.007797854,0.596534392,0.331667708,0.2114237,0
5.19265E-4,23.266646966,0.599053751,0.330106184,0.21312873,0
5.21746E-4,23.527209701,0.600800469,0.32854466,0.216538789,0
5.25126E-4,23.788928586,0.603168005,0.326983136,0.220801364,0
5.29529E-4,24.000126691,0.606231427,0.325733916,0.224211424,0
5.32087E-4,24.265741469,0.608000728,0.324172392,0.227621483,0
5.35537E-4,24.532564963,0.610373701,0.322610868,0.231031543,0
5.36254E-4,24.800555609,0.610865149,0.321049344,0.233589088,0
5.40091E-4,25.016062328,0.613484047,0.319800125,0.236999147,0
5.42414E-4,25.286632513,0.615061041,0.318238601,0.240409207,0
5.45585E-4,25.504265441,0.617203242,0.316989382,0.243819267,0
5.47552E-4,25.777497467,0.618526135,0.315427858,0.247229327,0
5.496E-4,26.051776609,0.619898614,0.313866334,0.249786871,0
5.52131E-4,26.272307308,0.621588658,0.312617114,0.251491901,0
5.54645E-4,26.549130766,0.623259394,0.31105559,0.255754476,0
5.56459E-4,26.771457351,0.624460191,0.309806371,0.25831202,0
5.61158E-4,27.050962593,0.627553153,0.308244847,0.26172208,0
5.63004E-4,27.275824337,0.628761175,0.306995628,0.26513214,0
5.64782E-4,27.501508432,0.629921315,0.305746408,0.267689685,0
5.68166E-4,27.784744763,0.632119006,0.304184884,0.269394714,0
5.70664E-4,28.012826328,0.633732584,0.302935665,0.271099744,0
5.72952E-4,28.298567656,0.635204899,0.301374141,0.274509804,0
5.75452E-4,28.528308237,0.636806028,0.300124922,0.276214834,0
5.76628E-4,28.758877428,0.637557384,0.298875703,0.277919864,0
5.79465E-4,29.047862053,0.63936226,0.297314179,0.280477408,0
5.81876E-4,29.280243153,0.640889238,0.296064959,0.283034953,0
5.82749E-4,29.513235973,0.641440585,0.29481574,0.284739983,0
5.86931E-4,29.805498878,0.644070587,0.293254216,0.288150043,0
5.8895E-4,30.040813807,0.645333034,0.292004997,0.290707587,0
5.91386E-4,30.276953168,0.646850467,0.290755778,0.292412617,0
5.93467E-4,30.513915588,0.648141661,0.289506558,0.294117647,0
5.95839E-4,30.751819846,0.649607358,0.288257339,0.295822677,0
5.99584E-4,31.051016348,0.651909132,0.286695815,0.299232737,0
6.01034E-4,31.291269865,0.65279645,0.285446596,0.301790281,0
6.04067E-4,31.532595895,0.654644773,0.284197377,0.304347826,0
6.0528E-4,31.774596671,0.655381408,0.282948157,0.306905371,0
6.07612E-4,32.017286364,0.656792937,0.281698938,0.309462916,0
6.09931E-4,32.260842647,0.658191276,0.280449719,0.31202046,0
6.12731E-4,32.505234111,0.659871156,0.2792005,0.314578005,0
6.13446E-4,32.750576544,0.660299319,0.27795128,0.317988065,0
6.15801E-4,33.057987457,0.661703966,0.276389756,0.32054561,0
6.19011E-4,33.305223817,0.663609891,0.275140537,0.322250639,0
6.21089E-4,33.553356428,0.664838288,0.273891318,0.325660699,0
6.25005E-4,33.803121237,0.667140118,0.272642099,0.325660699,0
6.27774E-4,34.053819909,0.668758411,0.271392879,0.328218244,0
6.28988E-4,34.305349277,0.669465705,0.27014366,0.329923274,0
6.30481E-4,34.557424747,0.670333068,0.268894441,0.332480818,0
6.32022E-4,34.810069934,0.671225964,0.267645222,0.335038363,0
6.33285E-4,35.063262992,0.671956002,0.266396002,0.337595908,0
6.34073E-4,35.253364612,0.672410702,0.265459088,0.339300938,0
6.35027E-4,35.507205281,0.672959853,0.264209869,0.340153453,0
6.37728E-4,35.761699601,0.674511055,0.26296065,0.342710997,0
6.4074E-4,36.017370553,0.676232133,0.26171143,0.346121057,0
6.43358E-4,36.274251925,0.677720531,0.260462211,0.348678602,0
6.46282E-4,36.53240155,0.679375017,0.259212992,0.351236147,0
6.47484E-4,36.791322809,0.680052293,0.257963773,0.354646206,0
6.47981E-4,37.050411566,0.68033185,0.256714553,0.357203751,0
6.49237E-4,37.309938129,0.681037944,0.255465334,0.358908781,0
6.50437E-4,37.504941018,0.681710874,0.25452842,0.361466326,0
6.50945E-4,37.765254914,0.681995307,0.2532792,0.364876385,0
6.52237E-4,38.026061688,0.682717791,0.252029981,0.368286445,0
6.53057E-4,38.287105753,0.683175489,0.250780762,0.371696505,0
6.53944E-4,38.548582765,0.683669302,0.249531543,0.374254049,0
6.54651E-4,38.81035649,0.68406287,0.248282324,0.377664109,0
6.54971E-4,39.006844014,0.684240769,0.247345409,0.379369139,0
6.58129E-4,39.269600138,0.685991031,0.24609619,0.382779199,0
6.59106E-4,39.533032854,0.686530258,0.244846971,0.385336743,0
6.60411E-4,39.797073008,0.687249586,0.243597751,0.387041773,0
6.62151E-4,40.061582823,0.688205862,0.242348532,0.390451833,0
6.62701E-4,40.260320648,0.688507371,0.241411618,0.392156863,0
6.64195E-4,40.52572835,0.689325569,0.240162399,0.394714408,0
6.65027E-4,40.791546505,0.689780268,0.238913179,0.396419437,0
6.67159E-4,41.057985595,0.690942168,0.23766396,0.398976982,0
6.68596E-4,41.258347623,0.69172268,0.236727046,0.401534527,0
6.688E-4,41.525837914,0.691833429,0.235477826,0.404944587,0
6.69871E-4,41.793617753,0.692413724,0.234228607,0.408354646,0
6.71859E-4,42.062099286,0.693488085,0.232979388,0.410912191,0
6.72877E-4,42.263856722,0.694036743,0.232042473,0.412617221,0
6.74022E-4,42.5332922,0.694652976,0.230793254,0.415174766,0
6.75051E-4,42.803217307,0.695205205,0.229544035,0.418584825,0
6.76671E-4,43.006028834,0.696073203,0.228607121,0.42114237,0
6.77639E-4,43.276910895,0.696590649,0.227357901,0.42455243,0
6.78623E-4,43.548207495,0.697115452,0.226108682,0.427962489,0
6.792E-4,43.75193529,0.697422861,0.225171768,0.430520034,0
6.80984E-4,44.02408351,0.698371649,0.223922548,0.432225064,0
6.81863E-4,44.296755788,0.698837579,0.222673329,0.435635124,0
6.83414E-4,44.501556724,0.6996586,0.221736415,0.438192668,0
6.8533E-4,44.775427319,0.700669787,0.220487196,0.440750213,0
6.86607E-4,45.049882181,0.701342187,0.219237976,0.444160273,0
6.8735E-4,45.256009556,0.701732407,0.218301062,0.445865303,0
6.88579E-4,45.531259646,0.702376509,0.217051843,0.449275362,0
6.90326E-4,45.807010914,0.703290698,0.215802623,0.452685422,0
6.91064E-4,46.014288509,0.703675595,0.214865709,0.454390452,0
6.9272E-4,46.291091024,0.704537909,0.21361649,0.457800512,0
6.95002E-4,46.568533672,0.705722432,0.21236727,0.459505541,0
6.96479E-4,46.777414053,0.706486539,0.211430356,0.462063086,0
6.97031E-4,47.056150576,0.706771377,0.210181137,0.465473146,0
6.97435E-4,47.265327131,0.706979662,0.209244222,0.468030691,0
6.98358E-4,47.544568304,0.707455405,0.207995003,0.47144075,0
6.9869E-4,47.754132814,0.707626117,0.207058089,0.473998295,0
6.9908E-4,48.033712912,0.707826796,0.205808869,0.477408355,0
7.00567E-4,48.313830493,0.708590405,0.20455965,0.479965899,0
7.01631E-4,48.524287241,0.709135784,0.203622736,0.481670929,0
7.02415E-4,48.805095234,0.709536933,0.202373517,0.485080989,0
7.03089E-4,49.015958647,0.709881247,0.201436602,0.487638534,0
7.04793E-4,49.297619997,0.710749807,0.200187383,0.490196078,0
7.04954E-4,49.509090711,0.710831963,0.199250468,0.491048593,0
7.06556E-4,49.791422771,0.711646431,0.198001249,0.494458653,0
7.08224E-4,50.003788719,0.712491502,0.197064335,0.497016198,0
7.08664E-4,50.287150819,0.712714229,0.195815116,0.500426257,0
