X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,7.772042955599544E-4,69.56081112434252,0.7453616193388113
2.0,2.0,train,3.113201669103151E-4,11.096778600420459,0.4218581524804027
3.0,3.0,train,5.645190354594924E-4,27.46812996499126,0.6297497806962418
4.0,4.0,train,5.217459662178095E-4,23.52720615308386,0.6008004689786055
5.0,5.0,train,8.22753326051087E-4,83.85806385460438,0.7649786653259218
6.0,6.0,train,7.539801299742997E-4,63.50057970448743,0.7347375030576544
7.0,7.0,train,8.091291891934478E-4,79.44332404083227,0.759274970581554
8.0,8.0,train,7.402166000048392E-4,60.23955717049147,0.7282332240388998
9.0,9.0,train,4.5711121954962485E-4,19.657854492963093,0.5527037501733647
10.0,10.0,train,7.117285398645354E-4,51.28113721008985,0.7142594046077546
11.0,11.0,train,3.615875901362598E-4,14.262022463152386,0.47081051600222745
12.0,12.0,train,7.30953646504266E-4,57.245928448246865,0.723766249796343
13.0,13.0,train,6.67479940052098E-4,41.10273451615851,0.6911166469154835
14.0,14.0,train,5.376071150752701E-4,24.876553886378392,0.6117905129569309
15.0,15.0,train,6.740222863465084E-4,42.533367313811375,0.6946529756409712
16.0,16.0,train,1.7198779558326994E-4,4.693993278799911,0.26118331393070393
17.0,17.0,train,7.174682530006513E-5,1.798841845676694,0.11862959245147431
18.0,18.0,train,6.698708431967451E-4,41.79357854781759,0.6924137235508268
19.0,19.0,train,5.621472065757509E-4,27.171458105350826,0.6282009352567857
20.0,20.0,train,8.915866510948693E-4,98.04373079550017,0.7917942294599069
21.0,21.0,train,6.728767976399298E-4,42.2638166162545,0.6940367426103893
22.0,22.0,train,7.636286830276458E-4,66.30721832572732,0.7392041158421838
23.0,23.0,train,7.204041534060481E-4,54.289100549511154,0.7185893582999445
24.0,24.0,train,6.815111432276624E-4,44.18760722412851,0.6986512521018717
25.0,25.0,train,7.517364654709724E-4,62.52209631154685,0.7336879264138698
26.0,26.0,train,7.255734419223997E-4,55.51921408177424,0.7211380643568713
27.0,27.0,train,8.419583579160797E-4,88.89916018203651,0.7727900076095006
28.0,28.0,train,6.300816595700726E-4,34.490000817620256,0.6701011187468721
29.0,29.0,train,7.448514860220132E-4,61.27178643746783,0.730441166905107
30.0,30.0,train,1.3265415743089897E-4,3.425368396737654,0.2082239232937111
31.0,31.0,train,8.358696973152696E-4,87.0895863285468,0.7703420669423424
32.0,32.0,train,8.020186102799153E-4,76.89997105111169,0.7562433892492747
33.0,33.0,train,2.0428343773001072E-4,5.932135187177521,0.30200760811006466
34.0,34.0,train,5.99923222741064E-4,31.107222869784145,0.6521169882066935
35.0,35.0,train,6.389967510833795E-4,35.86939641286543,0.6752371359213354
36.0,36.0,train,6.785687400920314E-4,43.53324760826403,0.6970865948910767
37.0,37.0,train,6.690564802187255E-4,41.58996511444537,0.6919725404618279
38.0,38.0,train,8.367992266048823E-4,87.42197356966331,0.7707174822076922
39.0,39.0,train,6.887537116764922E-4,45.55883661584953,0.7024682289160151
40.0,40.0,train,1.5770785515822615E-4,4.161373490729647,0.24237911895746167
41.0,41.0,train,8.137578491087116E-4,81.11058984209649,0.7612281012890836
42.0,42.0,train,9.377840500742308E-4,99.36571033529809,0.8080533267953592
43.0,43.0,train,7.941536397195263E-4,74.07129756014749,0.7528456857945769
44.0,44.0,train,6.65384903117979E-4,40.83627416966346,0.6899755836234629
45.0,45.0,train,1.96682767756987E-4,5.597411460654729,0.29260749043212797
46.0,46.0,train,4.7457253400141246E-4,20.473699975040567,0.5662412474519394
47.0,47.0,train,7.282552989154736E-4,56.48121837635181,0.722451240206557
48.0,48.0,train,7.124469212877314E-4,51.6175338765398,0.7146204610634577
49.0,49.0,train,6.642316530548618E-4,40.5374387435318,0.6893456673587515
50.0,50.0,train,4.601066539753167E-4,19.782875921854323,0.5550557287505793
51.0,51.0,train,8.269187368167308E-4,85.1028543271165,0.7666953745087403
52.0,52.0,train,1.021332751165069E-5,0.3865299548547999,0.017815265525273793
53.0,53.0,train,6.184185533162769E-4,33.259593174763936,0.6632591229707407
54.0,54.0,train,5.888266722530262E-4,30.026439928831174,0.6452559207691905
55.0,55.0,train,7.57635115123183E-4,64.64047902630502,0.7364384388952986
56.0,56.0,train,7.37147076067505E-4,59.06329615953817,0.7267610347502758
57.0,57.0,train,3.123779903913589E-4,11.174481803358377,0.42293354246673676
58.0,58.0,train,7.141246168875531E-4,52.054104939356506,0.7154618902340876
59.0,59.0,train,7.108790293889965E-4,51.06204979767698,0.7138318535346683
60.0,60.0,train,5.521313836226026E-4,26.272349549740426,0.6215886575469686
61.0,61.0,train,6.263321429498496E-4,33.92327760214318,0.6679168174810513
62.0,62.0,train,4.982165683664729E-4,21.928503546050823,0.5839214530167757
63.0,63.0,train,8.748661796294582E-4,96.02414615823713,0.7855759545531258
64.0,64.0,train,2.382342170681067E-4,7.13318917617294,0.34249427967819357
65.0,65.0,train,8.182074682962361E-4,82.82449793187443,0.7630907423832141
66.0,66.0,train,7.639673513017357E-4,66.38087890764824,0.7393595220714384
67.0,67.0,train,6.816112729874128E-4,44.21866821353322,0.6987043548383198
68.0,68.0,train,5.282456564483607E-4,23.93856872457479,0.6053411767264655
69.0,69.0,train,5.251256416801611E-4,23.788900840713403,0.6031680049924382
70.0,70.0,train,4.6462963649028977E-4,20.01375099743354,0.5585837049752285
71.0,71.0,train,8.946451951606544E-4,98.2472395099104,0.7929120232527814
