x,y,species cloglog values
1.0,1.0,0.7742886
2.0,2.0,0.106599726
3.0,3.0,0.058858212
4.0,4.0,0.11666315
5.0,5.0,0.2912622
6.0,6.0,0.23586243
7.0,7.0,0.679631
8.0,8.0,0.057661667
9.0,9.0,0.05715498
10.0,10.0,0.08604481
11.0,11.0,0.0846942
12.0,12.0,0.42597955
13.0,13.0,0.7636166
14.0,14.0,0.37948838
15.0,15.0,0.07732168
16.0,16.0,0.10807414
17.0,17.0,0.2837905
18.0,18.0,0.26721802
19.0,19.0,0.52757156
20.0,20.0,0.06644451
21.0,21.0,0.28262872
22.0,22.0,0.10700319
23.0,23.0,0.49551377
24.0,24.0,0.3267618
25.0,25.0,0.5235375
26.0,26.0,0.08905876
27.0,27.0,0.36973935
28.0,28.0,0.11929283
29.0,29.0,0.28567258
30.0,30.0,0.35997963
31.0,31.0,0.23267983
32.0,32.0,0.57539314
33.0,33.0,0.65824693
34.0,34.0,0.5593479
35.0,35.0,0.47533727
36.0,36.0,0.3245666
37.0,37.0,0.23254286
38.0,38.0,0.7157438
39.0,39.0,0.10330113
40.0,40.0,0.26721513
41.0,41.0,0.5271721
42.0,42.0,0.10806927
43.0,43.0,0.12522744
44.0,44.0,0.65006083
45.0,45.0,0.54028237
46.0,46.0,0.10433551
47.0,47.0,0.58082193
48.0,48.0,0.02824131
49.0,49.0,0.06640721
50.0,50.0,0.19968513
51.0,51.0,0.30290234
52.0,52.0,0.6318038
53.0,53.0,0.6960832
54.0,54.0,0.17876637
55.0,55.0,0.12141003
56.0,56.0,0.29998395
57.0,57.0,0.65326285
58.0,58.0,0.16305038
59.0,59.0,0.7633354
60.0,60.0,0.49490067
61.0,61.0,0.30381402
62.0,62.0,0.25883755
63.0,63.0,0.36454567
64.0,64.0,0.40953872
65.0,65.0,0.32951817
66.0,66.0,0.21824339
67.0,67.0,0.35151234
68.0,68.0,0.64671236
69.0,69.0,0.3588676
70.0,70.0,0.20768046
71.0,71.0,0.050269883
72.0,72.0,0.10095286
73.0,73.0,0.06739696
74.0,74.0,0.2641339
75.0,75.0,0.1006187
76.0,76.0,0.37823927
77.0,77.0,0.13344459
78.0,78.0,0.43571326
79.0,79.0,0.08311406
80.0,80.0,0.6023865
81.0,81.0,0.19365303
82.0,82.0,0.25229126
83.0,83.0,0.7625353
84.0,84.0,0.0762575
85.0,85.0,0.05407113
86.0,86.0,0.18692176
87.0,87.0,0.04776514
88.0,88.0,0.3399958
89.0,89.0,0.20865837
90.0,90.0,0.47131395
91.0,91.0,0.16014954
92.0,92.0,0.41232938
93.0,93.0,0.8062488
94.0,94.0,0.043334115
95.0,95.0,0.5357181
96.0,96.0,0.48469034
97.0,97.0,0.25113505
98.0,98.0,0.16668423
99.0,99.0,0.0771721
100.0,100.0,0.13778701
101.0,101.0,0.033203196
102.0,102.0,0.0758829
103.0,103.0,0.1799507
104.0,104.0,0.07577459
105.0,105.0,0.6069996
106.0,106.0,0.73775834
107.0,107.0,0.31737116
108.0,108.0,0.5637753
109.0,109.0,0.5994616
110.0,110.0,0.7917383
111.0,111.0,0.09968274
112.0,112.0,0.09091099
113.0,113.0,0.3124188
114.0,114.0,0.54996264
115.0,115.0,0.09738225
116.0,116.0,0.14855036
117.0,117.0,0.099956945
118.0,118.0,0.34270933
119.0,119.0,0.20720486
120.0,120.0,0.09488847
121.0,121.0,0.4711973
122.0,122.0,0.19168814
123.0,123.0,0.41185272
124.0,124.0,0.18212979
125.0,125.0,0.11475776
126.0,126.0,0.10915483
127.0,127.0,0.6332224
128.0,128.0,0.14602739
129.0,129.0,0.015612185
130.0,130.0,0.55371135
131.0,131.0,0.2764567
132.0,132.0,0.20426866
133.0,133.0,0.12336321
134.0,134.0,0.38776416
135.0,135.0,0.1448347
136.0,136.0,0.4433616
137.0,137.0,0.22344407
138.0,138.0,0.7158855
139.0,139.0,0.20670326
140.0,140.0,0.063486226
141.0,141.0,0.13915266
142.0,142.0,0.45941654
143.0,143.0,0.065521926
144.0,144.0,0.059384204
145.0,145.0,0.09568036
146.0,146.0,0.42895004
147.0,147.0,0.20348679
148.0,148.0,0.29257601
149.0,149.0,0.057014983
150.0,150.0,0.11064095
151.0,151.0,0.44159612
152.0,152.0,0.052020915
153.0,153.0,0.33644682
154.0,154.0,0.050262216
155.0,155.0,0.16804218
156.0,156.0,0.6796951
157.0,157.0,0.17655627
158.0,158.0,0.27701256
159.0,159.0,0.6748506
160.0,160.0,0.16774914
161.0,161.0,0.60685873
162.0,162.0,0.778554
163.0,163.0,0.6639796
164.0,164.0,0.52923656
165.0,165.0,0.10548108
166.0,166.0,0.11287383
167.0,167.0,0.7240973
168.0,168.0,0.63953394
169.0,169.0,0.049457505
170.0,170.0,0.67063004
