Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
5.28603E-8,0.000005286,0.001335055,1,0,0
7.79916E-8,0.000013085,0.00196915,0.999971744,0,0
8.85257E-8,0.000030253,0.002234821,0.999915233,0,0
1.01069E-7,0.000050034,0.002551079,0.999858721,0,0
1.40483E-7,0.000112313,0.003544154,0.999717442,0,0
1.86075E-7,0.000255132,0.00469165,0.999491396,0,0
2.21466E-7,0.00050472,0.005581519,0.999152327,0,0
2.97794E-7,0.001002306,0.007497941,0.998615467,0,0
4.38333E-7,0.002513705,0.011016916,0.997485236,0,0
5.84582E-7,0.005014709,0.014665625,0.996128959,0,0
7.50157E-7,0.01003921,0.018780232,0.994038032,0,0
1.02223E-6,0.025041844,0.025504019,0.989319318,0.000147297,0
1.26067E-6,0.050017559,0.031358749,0.98315956,0.000294594,0
1.66481E-6,0.100051619,0.041202039,0.973467831,0.000662837,0
2.0943E-6,0.20005062,0.051553055,0.958577039,0.00154662,0
2.39727E-6,0.300012352,0.058787784,0.946031477,0.002504051,0
2.64426E-6,0.400053691,0.064644533,0.934842192,0.003093239,0
2.86806E-6,0.500261393,0.069920174,0.924585347,0.003461482,0
3.05997E-6,0.600143664,0.074420313,0.915063152,0.004197967,0
3.24476E-6,0.700146471,0.07873297,0.906106072,0.004639859,0
3.33792E-6,0.750241541,0.08089931,0.901811195,0.004860804,0
3.43047E-6,0.80030264,0.083046618,0.897629341,0.005302696,0
3.60662E-6,0.900340816,0.087119749,0.889604702,0.006186478,0
3.76967E-6,1.000365501,0.090873786,0.881947388,0.006775667,0
3.92605E-6,1.100302481,0.094459781,0.874600887,0.007438503,0
4.08041E-6,1.200269166,0.097985536,0.867536944,0.008248638,0
4.21496E-6,1.300179999,0.101047715,0.860727304,0.008690529,0
4.35645E-6,1.400040594,0.104256439,0.854143709,0.009058772,0
4.49488E-6,1.500096281,0.107384859,0.847757905,0.009721608,0
4.81615E-6,1.750330497,0.114603079,0.8325563,0.011268228,0
5.14187E-6,2.000468651,0.121861664,0.818371902,0.013551333,0
5.4572E-6,2.250198685,0.128832063,0.805063434,0.016276329,0
5.7949E-6,2.500442546,0.136235671,0.792489616,0.018117543,0
6.12995E-6,2.750399164,0.143518865,0.780650448,0.019885108,0
6.47235E-6,3.000455104,0.15089861,0.769432907,0.021505376,0
6.7878E-6,3.250139573,0.15764098,0.758780481,0.022462807,0
7.13895E-6,3.500120668,0.165083555,0.748636659,0.02437767,0
7.51069E-6,3.750305319,0.172890874,0.738973185,0.025482398,0
7.88969E-6,4.000543102,0.180775631,0.72979006,0.026734423,0
8.25555E-6,4.250637735,0.188315593,0.721030771,0.028207394,0
8.59723E-6,4.500341712,0.19529466,0.712667062,0.029754014,0
8.92214E-6,4.750834271,0.201875433,0.704585912,0.032331713,0
9.23518E-6,5.000508493,0.208164701,0.696815575,0.033731035,0
9.52976E-6,5.250924126,0.21403809,0.689271284,0.035424952,0
9.82471E-6,5.500718954,0.219875024,0.681981295,0.036971572,0
1.00911E-5,5.750952065,0.225110348,0.674889096,0.038886434,0
1.04048E-5,6.001022914,0.231228941,0.667994688,0.040506702,0
1.06861E-5,6.250990604,0.236674412,0.66129807,0.042937104,0
1.10023E-5,6.500532855,0.242749948,0.654799243,0.045146561,0
1.13703E-5,6.751064645,0.24976086,0.64846995,0.047503314,0
1.16743E-5,7.00104948,0.255503032,0.642338448,0.049933716,0
1.20739E-5,7.250319921,0.262983425,0.636404736,0.051848579,0
1.24615E-5,7.500649665,0.270169068,0.630640558,0.053689792,0
1.28039E-5,7.75065694,0.276456848,0.625045916,0.056193843,0
1.31775E-5,8.000022028,0.283256416,0.619620808,0.058403299,0
1.35388E-5,8.25118932,0.289771938,0.614308723,0.061201944,0
1.38905E-5,8.500772549,0.296055487,0.609166172,0.062822212,0
1.42656E-5,8.751411423,0.302697894,0.604136645,0.064589778,0
1.46114E-5,9.000947409,0.308764814,0.599248396,0.066872883,0
1.49186E-5,9.250503704,0.314111718,0.594473171,0.069229636,0
1.52658E-5,9.501043635,0.320103819,0.589782713,0.072028281,0
1.56088E-5,9.750893579,0.325972106,0.585205278,0.075047872,0
1.59655E-5,10.000342258,0.332021343,0.580740866,0.077404625,0
1.63563E-5,10.250524169,0.338586227,0.576361222,0.08020327,0
1.67324E-5,10.500446953,0.344842133,0.5720946,0.083001915,0
1.70776E-5,10.750680218,0.350533965,0.567912746,0.085211371,0
1.74466E-5,11.000999916,0.356562119,0.563815659,0.087641773,0
1.78005E-5,11.251285177,0.362291083,0.55980334,0.089998527,0
1.81625E-5,11.501163204,0.368100307,0.555875788,0.092797172,0
1.84948E-5,11.750555302,0.373383624,0.552033003,0.09544852,0
1.8857E-5,12.000716783,0.37909388,0.548246729,0.097878922,0
1.91869E-5,12.251878872,0.384249757,0.544516968,0.100309324,0
1.95605E-5,12.501598187,0.390035486,0.540871973,0.102666077,0
1.9951E-5,12.750677286,0.396026394,0.537311746,0.105391074,0
2.03321E-5,13.000537675,0.401815413,0.53380803,0.108189719,0
2.06323E-5,13.250498071,0.406336295,0.530360826,0.110914715,0
2.09349E-5,13.502076724,0.410858864,0.526941878,0.113860657,0
2.12274E-5,13.750847049,0.415198378,0.523607697,0.116659302,0
2.15604E-5,14.001073814,0.420099822,0.520301772,0.119457947,0
2.18636E-5,14.25073811,0.42452667,0.517052358,0.122551186,0
2.21621E-5,14.501911307,0.428851913,0.5138312,0.124760642,0
2.24682E-5,14.751929193,0.433252532,0.510666554,0.126970099,0
2.27871E-5,15.000858214,0.437802803,0.507558419,0.129695095,0
2.30835E-5,15.250872972,0.441997478,0.50447854,0.131609957,0
2.34171E-5,15.502026115,0.446682476,0.501426916,0.134408602,0
2.36752E-5,15.751725991,0.450280507,0.498431805,0.136691707,0
2.39728E-5,16.001740196,0.454399317,0.495464949,0.139048461,0
2.42364E-5,16.250025356,0.45802214,0.492554604,0.141405214,0
2.44931E-5,16.501056985,0.461526633,0.48964426,0.143982914,0
2.47882E-5,16.752298036,0.465528257,0.486762171,0.146045073,0
2.509E-5,17.001829848,0.469588889,0.483936594,0.149506555,0
2.53607E-5,17.251616367,0.473204976,0.481139273,0.152157902,0
2.56972E-5,17.501788671,0.477666107,0.478370207,0.154514656,0
2.59726E-5,17.752484075,0.481289487,0.475629397,0.156797761,0
2.62305E-5,18.000547834,0.484659106,0.472945099,0.159743703,0
