x,y,species cloglog values
1.0,1.0,0.7663731
2.0,2.0,0.29991478
3.0,3.0,0.6898541
4.0,4.0,0.4977849
5.0,5.0,0.76574075
6.0,6.0,0.16576883
7.0,7.0,0.42718282
8.0,8.0,0.10424099
9.0,9.0,0.41355804
10.0,10.0,0.71990335
11.0,11.0,0.19754387
12.0,12.0,0.51427317
13.0,13.0,0.45699418
14.0,14.0,0.020786501
15.0,15.0,0.040380854
16.0,16.0,0.41709104
17.0,17.0,0.009200668
18.0,18.0,0.7535823
19.0,19.0,0.75929606
20.0,20.0,0.5703528
21.0,21.0,0.048489127
22.0,22.0,0.2391737
23.0,23.0,0.14879411
24.0,24.0,0.048399337
25.0,25.0,0.007541473
26.0,26.0,0.57072556
27.0,27.0,0.022332253
28.0,28.0,0.11529336
29.0,29.0,0.19984664
30.0,30.0,0.12325563
31.0,31.0,0.017623104
32.0,32.0,0.70078504
33.0,33.0,0.51805407
34.0,34.0,0.5286304
35.0,35.0,0.42344075
36.0,36.0,0.6113583
37.0,37.0,0.3571815
38.0,38.0,0.011715102
39.0,39.0,0.033337027
40.0,40.0,0.039698865
41.0,41.0,0.053117547
42.0,42.0,0.85629976
43.0,43.0,0.51113385
44.0,44.0,0.06892872
45.0,45.0,0.20474267
46.0,46.0,0.03710116
47.0,47.0,0.35099953
48.0,48.0,0.28627867
49.0,49.0,0.0728446
50.0,50.0,0.026277643
51.0,51.0,0.011978037
52.0,52.0,0.37544376
53.0,53.0,0.7707078
54.0,54.0,0.2234075
55.0,55.0,0.558788
56.0,56.0,0.032589223
57.0,57.0,0.63876516
58.0,58.0,0.023717172
59.0,59.0,0.02453525
60.0,60.0,0.044458132
61.0,61.0,0.11203777
62.0,62.0,0.34377518
63.0,63.0,0.33950165
64.0,64.0,0.7547489
65.0,65.0,0.720014
66.0,66.0,0.6384249
67.0,67.0,0.015192173
68.0,68.0,0.6276217
69.0,69.0,0.7594386
70.0,70.0,0.4833426
71.0,71.0,0.018669397
72.0,72.0,0.019198447
73.0,73.0,0.026194714
74.0,74.0,0.7383281
75.0,75.0,0.039298907
76.0,76.0,0.38689741
77.0,77.0,0.031777523
78.0,78.0,0.6192474
79.0,79.0,0.006951928
80.0,80.0,0.5271964
81.0,81.0,0.032170128
82.0,82.0,0.07447723
83.0,83.0,0.13764359
84.0,84.0,0.06878839
85.0,85.0,0.026365075
86.0,86.0,0.29449472
87.0,87.0,0.39153662
88.0,88.0,0.16477826
89.0,89.0,0.024848724
90.0,90.0,0.04552507
91.0,91.0,0.3055604
92.0,92.0,0.6060124
93.0,93.0,0.32773486
94.0,94.0,0.73829746
95.0,95.0,0.14527297
96.0,96.0,0.31275856
97.0,97.0,0.045344483
98.0,98.0,0.060904473
99.0,99.0,0.05723435
100.0,100.0,0.3755231
101.0,101.0,0.2234983
102.0,102.0,0.69661826
103.0,103.0,0.3060385
104.0,104.0,0.10113203
105.0,105.0,0.26556286
106.0,106.0,0.13721915
107.0,107.0,0.027901843
108.0,108.0,0.3408206
109.0,109.0,0.75562835
110.0,110.0,0.06378612
111.0,111.0,0.072787434
112.0,112.0,0.42524838
113.0,113.0,0.7548574
114.0,114.0,0.027634991
115.0,115.0,0.027528731
116.0,116.0,0.41403523
117.0,117.0,0.08474359
118.0,118.0,0.29261285
119.0,119.0,0.30134228
120.0,120.0,0.6305083
121.0,121.0,0.021331063
122.0,122.0,0.48026606
123.0,123.0,0.11461067
124.0,124.0,0.84519595
125.0,125.0,0.034474514
126.0,126.0,0.018124238
127.0,127.0,0.2126844
128.0,128.0,0.8301216
129.0,129.0,0.29617798
130.0,130.0,0.6634535
131.0,131.0,0.1834428
132.0,132.0,0.14721106
133.0,133.0,0.74761117
134.0,134.0,0.61206377
135.0,135.0,0.12766422
136.0,136.0,0.7243321
137.0,137.0,0.78427786
138.0,138.0,0.020622343
139.0,139.0,0.440778
140.0,140.0,0.22347921
141.0,141.0,0.52905256
142.0,142.0,0.49100274
143.0,143.0,0.64099485
144.0,144.0,0.06326723
145.0,145.0,0.00987849
146.0,146.0,0.5461491
147.0,147.0,0.05172232
148.0,148.0,0.144473
149.0,149.0,0.45032543
150.0,150.0,0.018539967
151.0,151.0,0.54338324
152.0,152.0,0.56158316
153.0,153.0,0.57745063
154.0,154.0,0.37439194
155.0,155.0,0.010772592
156.0,156.0,0.8191994
157.0,157.0,0.67796224
158.0,158.0,0.31827268
159.0,159.0,0.15254149
160.0,160.0,0.10735272
161.0,161.0,0.20297284
162.0,162.0,0.3022201
163.0,163.0,0.049025826
164.0,164.0,0.03627838
165.0,165.0,0.13164406
166.0,166.0,0.028165014
167.0,167.0,0.48523885
168.0,168.0,0.42904633
169.0,169.0,0.06345823
170.0,170.0,0.7008403
171.0,171.0,0.038414788
172.0,172.0,0.20972815
173.0,173.0,0.5545577
174.0,174.0,0.24962813
175.0,175.0,0.45304567
176.0,176.0,0.6094958
177.0,177.0,0.12157867
178.0,178.0,0.6540891
179.0,179.0,0.31642324
180.0,180.0,0.32813877
181.0,181.0,0.22725837
182.0,182.0,0.050989572
183.0,183.0,0.6322592
184.0,184.0,0.29375702
185.0,185.0,0.6349808
186.0,186.0,0.7391523
