Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.70786E-7,0.000017079,0.004616485,1,0,0
1.82213E-7,0.0000353,0.00492461,0.999972922,0,0
1.82686E-7,0.000053568,0.004937367,0.999945843,0,0
1.87579E-7,0.000109475,0.00506927,0.999864609,0,0
2.00299E-7,0.00026564,0.005412104,0.999647983,0,0
2.12884E-7,0.000514096,0.005751176,0.999323044,0,0
2.26351E-7,0.001002782,0.006113869,0.998727322,0,0
2.52792E-7,0.002500112,0.006825616,0.99704847,0,0
2.8476E-7,0.005006937,0.007685451,0.994530192,0,0
3.323E-7,0.010017918,0.008962743,0.990143515,0,0
4.49252E-7,0.025037287,0.012098009,0.979718386,0,0
5.92934E-7,0.050031898,0.015936288,0.966883293,0.000210217,0
7.646E-7,0.100060355,0.020502563,0.946845383,0.000910938,0
1.15704E-6,0.200038368,0.03086194,0.91816951,0.001681732,0
1.50203E-6,0.30007465,0.039878289,0.89783374,0.001962021,0
1.85537E-6,0.400083846,0.049025894,0.881613864,0.002032093,0
2.19513E-6,0.500005882,0.057739793,0.868210127,0.002102165,0
2.57309E-6,0.600117892,0.067339484,0.856756025,0.002312382,0
2.98098E-6,0.700046801,0.077589575,0.847007853,0.002802887,0
3.20591E-6,0.750149428,0.083193785,0.842621175,0.003083176,0
3.41134E-6,0.800097001,0.088282402,0.838532359,0.003363464,0
3.78219E-6,0.900200262,0.097397151,0.830977525,0.004134258,0
4.09188E-6,1.000038993,0.104938836,0.824099648,0.004554691,0
4.31761E-6,1.10039066,0.110396115,0.817655023,0.005255413,0
4.51662E-6,1.200234929,0.115179755,0.811535337,0.006306496,0
4.72516E-6,1.300426852,0.120165014,0.805659356,0.006797001,0
4.93213E-6,1.400230697,0.125084964,0.800054157,0.007147362,0
5.15782E-6,1.500299964,0.130418425,0.794692662,0.007707939,0
5.82211E-6,1.75041415,0.145929239,0.782344977,0.009319599,0
6.56693E-6,2.000602346,0.162991452,0.771378283,0.010440754,0
7.37467E-6,2.250353536,0.181109975,0.761657189,0.012472847,0
8.1691E-6,2.50023485,0.198547244,0.752937991,0.014294724,0
8.87421E-6,2.750626245,0.213712768,0.744976983,0.017167683,0
9.60167E-6,3.000245209,0.229058321,0.737665854,0.020671291,0
1.02733E-5,3.250228095,0.242959763,0.730869212,0.023123818,0
1.08687E-5,3.500323013,0.255074433,0.724478744,0.025506271,0
1.13364E-5,3.750066244,0.264453241,0.718386136,0.027888725,0
1.1681E-5,4.000782885,0.271288619,0.712483076,0.030411324,0
1.20294E-5,4.250133351,0.278136322,0.706796642,0.033003994,0
1.23426E-5,4.501119885,0.284234606,0.701218522,0.035106159,0
1.26498E-5,4.751070088,0.290167841,0.69580287,0.037418541,0
1.2919E-5,5.000412241,0.295326509,0.69052261,0.039800995,0
1.32E-5,5.251027966,0.300671486,0.685323585,0.042393665,0
1.34784E-5,5.500304266,0.3059258,0.680259951,0.044706047,0
1.37563E-5,5.750910818,0.31113132,0.675277552,0.047018429,0
1.40436E-5,6.001197494,0.316472838,0.670403466,0.049120594,0
1.43058E-5,6.250674792,0.321311443,0.665637693,0.051292832,0
1.45632E-5,6.500257586,0.326027823,0.660953155,0.05381543,0
1.48245E-5,6.750044033,0.330782786,0.656349851,0.055777451,0
1.5092E-5,7.001372076,0.335616664,0.651800704,0.058300049,0
1.53354E-5,7.25102807,0.339982516,0.64735987,0.059421204,0
1.56321E-5,7.500199051,0.345267441,0.643000271,0.061173008,0
1.59812E-5,7.751426814,0.351431253,0.638694828,0.063765679,0
1.62853E-5,8.0014984,0.356751644,0.634497698,0.065937916,0
1.65471E-5,8.250976694,0.361297969,0.630381803,0.068460514,0
