X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,4.32656768307054E-5,50.9291511521,0.6903204610020707
2.0,2.0,train,1.3656015815205244E-5,5.6604758638022865,0.30925795876875384
3.0,3.0,train,6.988220714260968E-5,97.25898936837443,0.8494336446283965
4.0,4.0,train,3.7894929018682695E-5,37.76013157145712,0.6418147877000253
5.0,5.0,train,3.3986217305013484E-5,30.170694461551836,0.6018014445527446
6.0,6.0,train,4.14394150732509E-5,46.233018430287814,0.6746121734347199
7.0,7.0,train,4.952703226050698E-5,67.75092499507932,0.738640676156578
8.0,8.0,train,6.988652027853986E-5,97.261917681774,0.8494512384554425
9.0,9.0,train,5.0726394965597326E-5,70.46626480896738,0.7469970157027128
10.0,10.0,train,3.467188956984019E-5,31.351716811570697,0.6091305863112724
11.0,11.0,train,5.173777289013662E-5,72.56311805823398,0.7538356140950017
12.0,12.0,train,5.5909850441800576E-5,80.79677441211456,0.780146042680331
13.0,13.0,train,2.8834468386004924E-5,22.168430898447124,0.542155543388452
14.0,14.0,train,6.461383122873378E-5,92.81559249954485,0.8263325151215645
15.0,15.0,train,1.5750158353320735E-5,7.585159051023581,0.3473579240028879
16.0,16.0,train,7.4312025736354475E-6,2.2681353843489136,0.18236320297013642
17.0,17.0,train,7.459254955643455E-5,99.56471006300842,0.8674732685717715
18.0,18.0,train,2.1583377375513644E-5,13.500689607625999,0.4427651864301658
19.0,19.0,train,3.796501595850922E-5,37.901808713016884,0.6424942996284942
20.0,20.0,train,3.528874156233811E-5,32.557639474364926,0.6156087693658268
21.0,21.0,train,6.518016122599402E-5,93.32550376722449,0.8289769025125765
22.0,22.0,train,2.607014027109032E-5,18.51141859137121,0.5065484146858761
23.0,23.0,train,4.5598648476965586E-5,57.2965802284931,0.7092889776772386
24.0,24.0,train,6.738970326903144E-5,95.31781967365178,0.8389146317228473
25.0,25.0,train,2.6700831595817278E-5,19.36446112527074,0.5149086936876175
26.0,26.0,train,1.4620410057408772E-5,6.554946820492167,0.3270724600647964
27.0,27.0,train,2.805072364606607E-5,21.141074876145552,0.5323295526074976
28.0,28.0,train,3.457078747684794E-5,31.169876650863802,0.6080584465789101
29.0,29.0,train,6.005878398541962E-5,87.47196313360999,0.8035212084546076
30.0,30.0,train,6.13615000696228E-5,89.15148840356103,0.8103349926256065
